date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,35.75,69400.0,35.75,34.75,34.62
1998-01-05,34.75,105000.0,37.0,36.88,34.75
1998-01-06,36.75,273600.0,36.75,36.62,36.06
1998-01-07,36.56,136000.0,36.88,36.88,36.12
1998-01-08,36.88,71200.0,36.88,36.75,36.25
1998-01-09,36.75,110200.0,36.75,36.0,36.0
1998-01-12,35.62,53200.0,36.06,35.81,35.62
1998-01-13,36.0,76200.0,36.25,35.75,35.75
1998-01-14,36.38,240800.0,36.5,36.06,36.06
1998-01-15,36.19,73800.0,36.19,35.69,35.56
1998-01-16,35.75,90400.0,35.88,35.62,35.25
1998-01-20,35.62,43000.0,35.81,35.5,35.5
1998-01-21,35.62,85600.0,35.62,35.25,34.94
1998-01-22,35.12,64200.0,35.38,35.0,35.0
1998-01-23,35.0,82800.0,35.0,34.19,34.0
1998-01-26,34.31,76600.0,34.75,34.75,34.25
1998-01-27,34.62,84400.0,34.81,34.62,34.56
1998-01-28,34.44,19000.0,34.75,34.69,34.44
1998-01-29,34.81,232400.0,35.0,34.69,34.62
1998-01-30,34.62,82400.0,34.81,34.25,34.25
1998-02-02,34.44,133000.0,36.0,35.69,34.25
1998-02-03,36.75,213800.0,36.88,36.12,35.94
1998-02-04,36.0,108200.0,37.0,37.0,35.88
1998-02-05,37.25,219200.0,39.25,38.62,37.25
1998-02-06,38.62,337600.0,39.06,38.0,38.0
1998-02-09,38.12,53000.0,38.81,38.56,38.12
1998-02-10,38.44,181000.0,39.75,39.12,38.38
1998-02-11,39.25,104800.0,39.69,39.19,38.88
1998-02-12,39.06,270200.0,41.25,41.06,39.06
1998-02-13,40.88,401200.0,40.94,40.56,40.19
1998-02-17,40.5,215200.0,40.88,40.75,40.06
1998-02-18,40.75,298000.0,40.75,40.62,40.44
1998-02-19,40.69,60200.0,41.19,40.75,40.69
1998-02-20,40.88,150000.0,40.94,40.5,40.5
1998-02-23,40.5,87200.0,40.5,39.88,39.88
1998-02-24,39.75,64600.0,40.69,40.69,39.75
1998-02-25,40.75,139400.0,41.5,40.44,40.44
1998-02-26,40.38,232600.0,40.44,40.19,40.12
1998-02-27,40.25,118600.0,41.5,41.19,40.12
1998-03-02,41.31,283000.0,42.0,41.25,41.0
