date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,13.38,301900.0,14.13,14.13,13.38
1998-01-05,14.13,265700.0,14.25,14.25,14.0
1998-01-06,14.0,171600.0,14.0,13.88,13.63
1998-01-07,13.81,92400.0,13.88,13.69,13.63
1998-01-08,13.69,112700.0,13.81,13.81,13.5
1998-01-09,13.63,233600.0,13.75,13.38,13.25
1998-01-12,13.0,171200.0,13.25,12.63,12.63
1998-01-13,12.63,493800.0,13.06,12.94,12.63
1998-01-14,12.88,300800.0,13.0,12.75,12.69
1998-01-15,12.88,127300.0,13.0,12.88,12.75
1998-01-16,12.88,311700.0,12.88,12.88,12.69
1998-01-20,12.88,357500.0,12.88,12.81,12.69
1998-01-21,12.75,198500.0,12.88,12.44,12.31
1998-01-22,12.31,196600.0,12.63,12.38,12.25
1998-01-23,12.38,153500.0,12.44,12.25,12.13
1998-01-26,12.25,55400.0,12.38,12.13,12.13
1998-01-27,12.13,117300.0,12.5,12.44,12.13
1998-01-28,12.44,283500.0,12.5,12.16,12.0
1998-01-29,12.06,286600.0,12.25,12.13,11.88
1998-01-30,12.13,260400.0,12.19,11.63,11.56
1998-02-02,11.63,585300.0,12.88,12.63,11.63
1998-02-03,12.94,156200.0,13.38,13.0,12.63
1998-02-04,11.63,1089000.0,11.81,10.94,10.5
1998-02-05,11.06,850700.0,11.19,10.5,10.5
1998-02-06,10.75,5503400.0,10.75,10.0,9.313
1998-02-09,10.13,992700.0,10.44,10.44,9.938
1998-02-10,10.5,536100.0,10.94,10.63,10.44
1998-02-11,10.56,508900.0,10.94,10.94,10.5
1998-02-12,10.88,897000.0,11.0,10.94,10.63
1998-02-13,11.0,866600.0,11.06,10.88,10.75
1998-02-17,10.81,546000.0,11.06,10.69,10.63
1998-02-18,10.63,372800.0,10.75,10.69,10.38
1998-02-19,10.56,670900.0,10.94,10.94,10.5
1998-02-20,10.63,303900.0,10.94,10.63,10.56
1998-02-23,10.63,415000.0,10.81,10.75,10.56
1998-02-24,10.63,176500.0,10.88,10.88,10.56
1998-02-25,10.63,128200.0,10.88,10.81,10.63
1998-02-26,10.75,172800.0,10.88,10.81,10.63
1998-02-27,10.69,229500.0,10.88,10.75,10.63
1998-03-02,10.75,750700.0,10.88,10.5,10.44
1998-03-03,10.38,729600.0,10.69,10.63,10.38
1998-03-04,10.69,359000.0,10.75,10.63,10.56
1998-03-05,10.5,1399800.0,10.69,10.63,10.44
1998-03-06,10.75,390300.0,10.81,10.75,10.63
1998-03-09,10.69,155800.0,10.81,10.63,10.56
1998-03-10,10.63,465500.0,11.06,11.0,10.63
1998-03-11,11.25,985600.0,11.44,11.13,10.88
1998-03-12,11.13,418700.0,11.5,11.31,11.13
1998-03-13,11.38,152700.0,11.63,11.56,11.31
1998-03-16,11.63,243200.0,11.75,11.75,11.44
1998-03-17,11.81,500000.0,12.5,12.38,11.75
1998-03-18,12.31,566100.0,12.94,12.31,12.0
1998-03-19,12.25,376100.0,12.31,12.25,12.0
1998-03-20,12.25,341400.0,12.5,12.31,12.06
1998-03-23,12.38,433300.0,12.38,12.0,12.0
1998-03-24,12.06,393600.0,12.06,11.88,11.56
1998-03-25,11.81,137900.0,12.0,11.63,11.56
1998-03-26,11.75,102700.0,11.94,11.94,11.5
1998-03-27,12.0,107800.0,12.0,11.75,11.56
1998-03-30,11.69,104300.0,11.88,11.63,11.63
1998-03-31,11.63,182700.0,12.25,12.25,11.63
1998-04-01,12.19,650500.0,12.69,12.63,12.19
1998-04-02,12.63,715900.0,13.0,12.69,12.56
1998-04-03,12.69,263000.0,12.75,12.69,12.56
1998-04-06,12.75,195500.0,12.88,12.5,12.38
1998-04-07,12.38,176100.0,12.56,12.22,12.19
1998-04-08,12.19,233000.0,12.5,12.19,12.13
1998-04-09,12.38,461100.0,12.69,12.63,12.25
1998-04-13,12.5,182700.0,12.63,12.25,11.81
1998-04-14,12.25,429800.0,12.41,12.25,12.0
1998-04-15,12.38,285100.0,12.75,12.69,12.31
1998-04-16,12.81,205800.0,12.88,12.69,12.69
1998-04-17,12.69,177700.0,12.94,12.81,12.69
1998-04-20,12.88,476000.0,13.31,13.13,12.88
1998-04-21,13.19,430800.0,13.31,13.19,13.06
1998-04-22,12.94,244700.0,13.31,12.94,12.88
1998-04-23,12.81,363500.0,13.06,12.75,12.69
1998-04-24,12.63,500400.0,12.81,12.44,12.0
1998-04-27,12.13,248200.0,12.5,12.06,11.88
1998-04-28,12.13,292300.0,12.31,12.25,11.88
1998-04-29,12.12,64600.0,12.38,12.25,12.12
1998-04-30,12.38,308700.0,13.0,12.94,12.38
1998-05-01,12.75,268700.0,12.75,12.75,12.13
1998-05-04,12.63,135300.0,12.81,12.56,12.5
1998-05-05,12.5,181900.0,12.75,12.63,12.5
1998-05-06,12.56,207200.0,12.75,12.38,12.38
1998-05-07,12.38,201800.0,12.5,12.06,12.06
1998-05-08,11.69,490200.0,12.0,11.69,11.31
1998-05-11,11.69,188700.0,12.0,11.88,11.63
1998-05-12,11.75,103200.0,12.0,11.63,11.63
1998-05-13,11.63,68900.0,11.81,11.56,11.56
1998-05-14,11.56,74900.0,11.69,11.63,11.56
1998-05-15,11.63,134800.0,11.88,11.38,11.38
1998-05-18,11.38,90300.0,11.5,11.25,11.19
1998-05-19,11.13,83300.0,11.75,11.69,11.13
1998-05-20,11.75,74900.0,11.75,11.56,11.38
1998-05-21,11.75,137000.0,11.75,11.47,11.44
1998-05-22,11.44,87000.0,11.63,11.5,11.44
1998-05-26,11.5,380900.0,11.63,11.0,10.88
1998-05-27,10.94,346100.0,11.13,10.94,10.38
1998-05-28,10.75,463000.0,11.13,10.94,10.75
1998-05-29,11.25,905600.0,11.25,11.0,10.63
1998-06-01,10.94,153800.0,11.0,10.75,10.63
1998-06-02,10.75,310900.0,10.81,10.69,10.69
1998-06-03,10.81,276600.0,10.88,10.75,10.69
1998-06-04,10.75,73100.0,10.88,10.81,10.75
1998-06-05,10.75,124200.0,11.0,10.81,10.75
1998-06-08,11.0,241900.0,11.0,10.81,10.8
1998-06-09,10.88,215300.0,11.0,10.94,10.81
1998-06-10,10.94,83700.0,11.0,10.75,10.69
1998-06-11,10.63,121900.0,10.81,10.75,10.63
1998-06-12,10.69,111200.0,10.88,10.75,10.69
1998-06-15,10.69,236400.0,10.94,10.72,10.69
1998-06-16,10.69,230300.0,10.75,10.75,10.69
1998-06-17,10.75,360100.0,10.75,10.75,10.69
1998-06-18,10.75,317800.0,10.75,10.25,10.19
1998-06-19,10.19,2525200.0,10.25,9.844,9.625
1998-06-22,9.813,341000.0,9.969,9.938,9.75
1998-06-23,9.875,651900.0,10.25,10.13,9.875
1998-06-24,10.25,395100.0,10.25,10.13,10.0
1998-06-25,10.25,356000.0,10.25,10.13,10.0
1998-06-26,10.0,272700.0,10.44,10.38,10.0
1998-06-29,10.0,220500.0,10.25,10.19,9.875
1998-06-30,10.19,609400.0,10.19,10.06,10.0
1998-07-01,10.0,462400.0,10.25,10.25,9.938
1998-07-02,10.0,291700.0,10.25,10.0,9.938
1998-07-06,10.13,1247900.0,10.25,10.13,10.0
1998-07-07,10.13,451800.0,10.25,9.906,9.75
1998-07-08,9.875,164200.0,9.938,9.813,9.75
1998-07-09,9.75,225600.0,9.938,9.875,9.688
