date,1. open,5. volume,2. high,4. close,3. low
2001-12-13,29.1,49466000.0,30.0,29.3,29.0
2001-12-14,29.9,9676300.0,30.1,29.68,29.52
2001-12-17,29.95,5110900.0,29.95,29.45,29.4
2001-12-18,29.5,5167700.0,29.95,29.95,29.39
2001-12-19,29.85,3693200.0,30.19,30.15,29.62
2001-12-20,30.25,3914200.0,30.98,30.17,30.12
2001-12-21,30.4,3429100.0,30.99,30.99,30.25
2001-12-24,30.75,976900.0,31.49,31.45,30.75
2001-12-26,31.5,2456300.0,32.74,32.2,31.5
2001-12-27,32.2,4447500.0,32.97,32.85,31.52
2001-12-28,32.86,4174800.0,33.1,32.94,32.58
2001-12-31,33.11,5532800.0,33.74,33.19,32.72
2002-01-02,32.61,5168900.0,32.8,31.3,31.12
2002-01-03,32.75,2906500.0,32.75,31.25,30.82
2002-01-04,32.0,3086000.0,32.0,31.95,31.1
2002-01-07,31.75,2449300.0,32.05,31.95,31.37
2002-01-08,31.25,1766500.0,31.85,31.78,31.25
2002-01-09,31.95,1639100.0,31.95,31.3,31.25
2002-01-10,31.12,1689400.0,31.68,31.01,31.01
2002-01-11,31.01,1966200.0,31.15,30.9,30.75
2002-01-14,30.75,3160000.0,30.75,30.05,29.53
2002-01-15,30.4,1962400.0,31.12,30.78,29.92
2002-01-16,30.58,1881100.0,31.15,30.68,30.45
2002-01-17,30.88,1739800.0,31.0,30.52,30.3
2002-01-18,30.4,1531400.0,30.45,30.25,29.75
2002-01-22,30.49,2322700.0,31.25,31.25,30.4
2002-01-23,31.7,2460800.0,31.7,30.52,30.52
2002-01-24,30.6,3064100.0,30.67,30.25,30.0
2002-01-25,30.0,2373600.0,30.5,30.43,29.9
2002-01-28,31.04,2450800.0,31.04,30.93,30.55
2002-01-29,30.0,2512800.0,30.89,30.39,30.0
2002-01-30,30.5,3533700.0,30.57,30.15,29.8
2002-01-31,30.48,3986900.0,31.18,31.05,30.33
2002-02-01,30.95,3200100.0,30.95,30.6,30.4
2002-02-04,30.6,3193400.0,30.98,30.88,30.5
2002-02-05,30.85,2397200.0,31.6,31.05,30.76
2002-02-06,31.2,2107700.0,31.2,31.15,30.89
2002-02-07,30.95,1801500.0,31.05,30.62,30.52
2002-02-08,30.57,1399300.0,31.03,31.03,30.55
2002-02-11,30.7,1904300.0,31.89,31.76,30.67
2002-02-12,31.41,2038700.0,31.85,31.5,31.25
2002-02-13,31.2,3779900.0,32.22,32.09,30.86
2002-02-14,32.05,2200800.0,32.28,32.03,31.9
2002-02-15,31.93,1649600.0,31.93,31.5,31.03
2002-02-19,31.0,2983900.0,31.1,30.26,30.0
2002-02-20,30.73,2283100.0,30.73,30.65,30.1
2002-02-21,30.45,1929100.0,30.87,30.84,30.45
2002-02-22,30.55,1655900.0,30.65,30.24,30.0
2002-02-25,30.25,2355800.0,30.32,30.28,30.07
2002-02-26,30.38,2309100.0,30.69,30.5,30.33
2002-02-27,30.6,2937000.0,30.61,30.35,30.3
2002-02-28,30.35,2012600.0,30.75,30.57,30.35
2002-03-01,30.69,2189500.0,30.89,30.85,30.4
2002-03-04,30.88,2321500.0,31.48,30.7,30.7
2002-03-05,30.7,3350200.0,31.49,31.44,30.41
2002-03-06,31.0,1593000.0,31.4,31.4,31.0
2002-03-07,31.2,2412800.0,31.67,31.57,31.1
2002-03-08,31.85,2561600.0,32.06,31.75,31.45
2002-03-11,31.85,2237500.0,31.9,31.35,31.2
2002-03-12,31.35,2054000.0,31.35,30.9,30.69
2002-03-13,30.63,2077400.0,30.9,30.63,30.6
2002-03-14,31.0,2493400.0,31.0,30.97,30.7
2002-03-15,30.69,3211200.0,31.38,31.1,30.69
2002-03-18,31.55,2275600.0,31.6,31.39,30.95
2002-03-19,31.3,2259500.0,31.78,31.4,31.29
2002-03-20,31.25,2410100.0,31.49,31.35,31.22
2002-03-21,31.34,2524800.0,31.34,31.25,30.99
2002-03-22,30.85,1674300.0,31.3,31.25,30.83
2002-03-25,31.2,930200.0,31.45,31.21,31.14
2002-03-26,31.05,1693800.0,31.48,31.43,31.05
2002-03-27,31.49,1764400.0,31.49,31.37,31.23
2002-03-28,31.37,2681600.0,31.39,31.05,30.95
2002-04-01,31.3,1553000.0,31.3,31.05,30.93
2002-04-02,31.0,1753400.0,31.4,31.35,30.99
2002-04-03,31.27,1495100.0,31.49,31.35,31.25
2002-04-04,31.35,2076000.0,31.86,31.84,31.27
2002-04-05,31.95,4725700.0,32.7,32.31,31.85
2002-04-08,32.31,3018900.0,32.95,32.72,32.2
2002-04-09,32.97,2337500.0,33.11,33.0,32.78
2002-04-10,32.85,1632600.0,33.2,32.79,32.57
2002-04-11,32.79,1634600.0,32.99,32.6,32.55
2002-04-12,32.5,1411400.0,33.02,32.51,32.5
2002-04-15,32.6,1747700.0,32.7,32.07,32.05
2002-04-16,32.35,2570900.0,32.6,32.6,32.15
2002-04-17,32.5,941600.0,32.6,32.22,32.2
2002-04-18,32.3,1454600.0,32.37,31.85,31.66
2002-04-19,31.85,1913500.0,32.11,31.9,31.8
2002-04-22,32.0,1806000.0,32.75,32.75,31.9
