date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,39.5,323200.0,40.0,36.88,36.38
1998-01-05,38.0,413000.0,38.88,34.81,34.13
1998-01-06,34.0,2525000.0,34.25,28.0,27.75
1998-01-07,28.75,1393000.0,29.94,29.88,26.5
1998-01-08,29.0,813700.0,29.25,27.69,27.38
1998-01-09,26.63,862900.0,27.38,24.28,24.0
1998-01-12,21.38,685600.0,24.13,22.75,20.5
1998-01-13,23.5,839400.0,25.0,23.63,23.25
1998-01-14,24.13,771300.0,24.25,23.88,22.75
1998-01-15,24.38,604000.0,25.25,23.56,23.25
1998-01-16,24.13,429900.0,24.88,24.25,23.88
1998-01-20,25.69,674000.0,27.44,27.06,25.0
1998-01-21,26.81,806800.0,28.5,28.44,26.0
1998-01-22,27.0,842000.0,27.5,25.5,25.13
1998-01-23,26.63,583600.0,27.13,24.63,24.25
1998-01-26,12.63,429400.0,13.0,12.75,12.25
1998-01-27,12.56,1284600.0,13.0,12.44,12.38
1998-01-28,12.69,794500.0,12.75,12.25,12.0
1998-01-29,12.44,2085200.0,13.44,13.19,12.25
1998-01-30,13.25,624700.0,13.25,12.56,12.5
1998-02-02,12.81,871000.0,12.81,12.0,11.88
1998-02-03,11.94,1088900.0,12.0,11.06,11.0
1998-02-04,11.0,2196200.0,12.38,12.31,10.75
1998-02-05,12.5,1670800.0,13.38,12.25,12.13
1998-02-06,12.25,464600.0,12.75,12.38,12.0
1998-02-09,12.19,728200.0,12.5,11.88,11.75
1998-02-10,11.81,2207100.0,12.06,11.56,11.0
1998-02-11,11.81,3511600.0,11.94,11.13,11.0
1998-02-12,11.13,2441900.0,11.25,10.06,10.0
1998-02-13,10.06,2455700.0,10.19,9.563,9.438
1998-02-17,9.938,1499300.0,10.13,9.313,9.0
1998-02-18,9.25,2210400.0,10.5,10.38,9.0
1998-02-19,10.69,1465200.0,10.88,10.38,10.0
1998-02-20,10.44,685100.0,10.44,10.0,9.813
1998-02-23,10.13,1014600.0,10.13,9.719,9.313
1998-02-24,9.75,882300.0,10.25,9.563,9.5
1998-02-25,9.625,724000.0,9.688,9.375,9.25
1998-02-26,9.813,1610800.0,10.13,9.875,9.688
1998-02-27,10.0,925900.0,10.25,10.0,9.75
1998-03-02,10.44,857900.0,10.44,10.31,10.13
1998-03-03,10.44,1163800.0,10.56,10.38,9.813
1998-03-04,10.5,3741700.0,11.63,11.31,10.38
1998-03-05,11.06,929000.0,11.5,11.06,10.88
1998-03-06,11.19,781500.0,11.25,10.63,10.5
1998-03-09,10.5,784500.0,10.56,9.875,9.875
1998-03-10,10.0,2519600.0,10.06,9.813,9.75
1998-03-11,10.13,900300.0,10.38,10.19,9.875
1998-03-12,10.19,620100.0,10.38,10.19,9.875
1998-03-13,10.25,1128200.0,10.31,10.13,9.938
1998-03-16,10.13,1337100.0,10.13,9.688,9.5
1998-03-17,9.5,1486800.0,9.625,9.313,8.875
1998-03-18,9.25,1803200.0,10.19,10.06,9.063
1998-03-19,10.25,1449100.0,10.56,10.25,10.0
1998-03-20,10.38,974600.0,10.38,10.13,10.0
1998-03-23,11.44,6464000.0,12.38,12.25,11.38
1998-03-24,12.25,3179400.0,12.25,12.03,11.75
1998-03-25,12.06,1155100.0,12.06,11.94,11.75
1998-03-26,11.94,2490100.0,12.88,12.63,11.81
1998-03-27,12.88,1801600.0,13.13,12.5,12.38
1998-03-30,12.44,1725900.0,12.81,12.44,11.88
1998-03-31,12.38,1910100.0,12.38,11.5,11.31
1998-04-01,11.5,3317000.0,12.81,12.56,11.44
1998-04-02,12.75,1453800.0,12.88,12.56,12.5
1998-04-03,12.75,1025000.0,12.94,12.63,12.31
1998-04-06,12.81,790100.0,12.88,12.19,12.06
1998-04-07,12.25,1189100.0,12.38,12.25,11.75
1998-04-08,12.5,985000.0,12.81,12.63,12.39
1998-04-09,13.0,1399900.0,13.25,12.75,12.69
1998-04-13,12.81,369300.0,13.0,12.75,12.63
1998-04-14,12.75,434800.0,12.88,12.44,12.44
1998-04-15,12.56,1199700.0,13.44,13.19,12.56
1998-04-16,13.38,988100.0,13.5,13.13,13.0
1998-04-17,12.94,1223400.0,13.75,13.69,12.94
1998-04-20,14.0,2186200.0,14.63,14.38,13.88
1998-04-21,15.13,1783500.0,15.19,15.13,14.38
1998-04-22,14.88,1875100.0,15.63,14.88,14.63
1998-04-23,14.88,827900.0,14.88,14.13,14.13
1998-04-24,14.38,849200.0,14.63,14.38,14.23
1998-04-27,13.81,654600.0,14.06,13.88,13.5
1998-04-28,14.56,496600.0,14.63,14.38,14.19
1998-04-29,14.5,892100.0,15.13,15.0,14.38
1998-04-30,15.19,2268000.0,15.25,14.0,13.94
1998-05-01,13.81,1626400.0,14.56,14.38,13.56
1998-05-04,14.56,744600.0,14.56,14.31,14.19
1998-05-05,14.31,565300.0,14.38,14.25,13.88
1998-05-06,14.31,568600.0,14.44,14.31,14.19
1998-05-07,14.19,258700.0,14.44,14.0,14.0
1998-05-08,14.06,364300.0,14.19,13.75,13.75
1998-05-11,13.81,401100.0,14.13,13.56,13.5
1998-05-12,13.75,353500.0,13.88,13.38,13.38
1998-05-13,13.63,278800.0,13.69,13.5,13.38
1998-05-14,13.5,430300.0,13.88,13.75,13.38
1998-05-15,13.69,392200.0,13.88,13.63,13.5
