date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,29.5,242500.0,30.0,28.69,28.63
1998-01-05,28.5,340900.0,28.5,27.44,27.0
1998-01-06,27.44,517900.0,27.44,27.44,27.44
1998-01-07,26.0,682300.0,26.44,25.06,24.38
1998-01-08,25.06,515700.0,25.31,24.63,24.0
1998-01-09,24.5,725600.0,24.63,23.75,22.25
1998-01-12,23.0,488800.0,23.63,23.25,23.0
1998-01-13,23.38,444000.0,24.19,24.19,23.25
1998-01-14,24.5,439800.0,24.88,24.25,24.06
1998-01-15,24.13,294900.0,24.75,24.0,23.88
1998-01-16,24.13,361400.0,24.38,24.0,23.63
1998-01-20,24.0,432400.0,24.69,24.63,23.88
1998-01-21,25.0,233700.0,25.25,24.31,24.13
1998-01-22,24.06,109700.0,24.06,23.81,23.38
1998-01-23,23.5,218700.0,23.56,22.63,22.38
1998-01-26,22.44,1709000.0,22.44,20.88,20.63
1998-01-27,21.0,1257500.0,21.75,21.63,20.75
1998-01-28,22.06,281900.0,22.5,22.13,21.38
1998-01-29,22.25,508000.0,22.63,21.94,21.63
1998-01-30,22.0,499200.0,22.13,21.69,21.63
1998-02-02,21.94,1803000.0,22.06,21.31,21.0
1998-02-03,21.31,1392200.0,21.75,21.5,21.13
1998-02-04,21.5,544800.0,21.5,21.31,21.0
1998-02-05,21.44,884100.0,22.19,22.0,21.38
1998-02-06,22.13,390600.0,23.0,22.38,21.88
1998-02-09,22.38,479500.0,22.69,22.06,22.0
1998-02-10,22.13,655400.0,23.69,23.13,22.13
1998-02-11,23.13,337800.0,23.5,22.56,22.56
1998-02-12,22.63,809900.0,22.94,22.44,21.88
1998-02-13,22.5,1002600.0,22.5,22.31,22.0
1998-02-17,22.38,750700.0,22.38,22.13,22.06
1998-02-18,22.13,535300.0,22.13,21.94,21.69
1998-02-19,21.94,714800.0,22.25,22.0,21.06
1998-02-20,22.06,567200.0,22.06,22.0,21.56
1998-02-23,21.88,308500.0,22.13,21.88,21.56
1998-02-24,21.94,548600.0,22.25,21.81,21.75
1998-02-25,22.06,467000.0,22.38,22.06,21.81
1998-02-26,22.19,614400.0,23.19,22.94,22.19
1998-02-27,23.06,617700.0,23.75,23.69,23.06
1998-03-02,23.75,231000.0,24.0,23.81,23.44
1998-03-03,24.0,491600.0,24.31,24.06,23.75
1998-03-04,24.06,293300.0,24.19,24.13,23.94
1998-03-05,24.13,295600.0,24.38,24.0,23.75
1998-03-06,24.06,125700.0,24.06,23.69,23.06
1998-03-09,23.69,294800.0,23.88,22.75,22.63
1998-03-10,23.0,370200.0,23.06,22.38,22.38
1998-03-11,22.31,1038400.0,22.94,22.38,22.31
1998-03-12,22.5,645700.0,22.88,22.75,22.19
1998-03-13,23.0,286300.0,23.0,23.0,22.69
1998-03-16,22.94,445300.0,23.5,23.5,22.94
1998-03-17,23.0,476500.0,23.63,23.63,22.75
1998-03-18,23.5,576300.0,24.19,23.94,23.44
1998-03-19,24.19,410000.0,25.13,24.94,24.19
1998-03-20,24.94,271300.0,26.13,26.06,24.94
1998-03-23,27.75,767100.0,27.75,26.56,26.56
1998-03-24,26.63,243300.0,26.81,26.44,25.63
1998-03-25,26.38,831200.0,26.63,25.13,24.81
1998-03-26,25.13,919700.0,25.13,24.81,24.63
1998-03-27,24.88,355700.0,25.19,24.88,24.88
1998-03-30,24.88,121700.0,25.0,25.0,24.88
1998-03-31,25.0,455700.0,25.0,25.0,25.0
1998-04-01,25.0,321000.0,25.75,25.69,24.75
1998-04-02,25.81,69700.0,25.94,25.25,25.0
1998-04-03,25.38,107000.0,25.75,25.0,24.88
1998-04-06,25.0,706200.0,25.0,24.38,24.19
1998-04-07,24.25,275000.0,24.63,24.63,24.06
1998-04-08,24.81,217900.0,24.94,24.5,24.5
1998-04-09,24.5,295900.0,24.75,24.25,24.19
1998-04-13,24.44,217500.0,24.5,24.19,24.13
1998-04-14,24.19,120300.0,24.31,24.19,23.88
1998-04-15,24.19,292700.0,24.5,24.13,24.0
1998-04-16,24.0,184800.0,24.13,23.94,23.75
1998-04-17,23.94,1393500.0,24.38,24.38,23.81
1998-04-20,24.38,213100.0,24.38,23.69,23.5
1998-04-21,23.75,212200.0,24.13,24.06,23.56
1998-04-22,23.75,176100.0,24.0,23.81,23.5
1998-04-23,23.75,142900.0,24.06,23.56,23.5
1998-04-24,23.56,130200.0,23.75,23.56,23.56
1998-04-27,23.56,245500.0,23.69,23.5,23.44
1998-04-28,23.75,107400.0,24.0,23.63,23.38
1998-04-29,23.88,170100.0,24.13,24.06,23.69
