date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,51.25,1499500.0,52.94,51.81,51.13
1998-01-05,52.63,1521200.0,53.75,52.38,51.88
1998-01-06,52.38,1142700.0,53.75,51.94,51.88
1998-01-07,50.75,4835500.0,50.88,47.88,47.38
1998-01-08,47.81,2533700.0,49.94,48.38,47.0
1998-01-09,48.38,2065700.0,48.63,46.44,45.88
1998-01-12,45.88,2197500.0,47.88,47.06,45.25
1998-01-13,48.13,1742000.0,49.38,48.69,48.0
1998-01-14,49.5,1554400.0,50.0,48.69,48.5
1998-01-15,47.63,2342200.0,47.63,46.0,46.0
1998-01-16,46.25,3051600.0,47.25,46.0,45.0
1998-01-20,48.38,2736700.0,48.88,47.5,47.19
1998-01-21,51.63,7359900.0,54.63,54.13,50.88
1998-01-22,53.88,4575100.0,55.25,53.0,52.13
1998-01-23,53.75,1917900.0,54.75,54.44,53.38
1998-01-26,54.25,1871400.0,54.38,51.88,51.56
1998-01-27,52.13,2203000.0,53.75,52.5,51.88
1998-01-28,53.38,1563800.0,55.0,53.94,52.75
1998-01-29,54.25,1984500.0,55.88,53.81,53.25
1998-01-30,54.13,2313200.0,54.5,51.88,51.75
1998-02-02,53.38,3699200.0,56.44,56.25,53.13
1998-02-03,56.63,2555900.0,57.0,56.0,56.0
1998-02-04,55.38,2284700.0,58.0,57.06,55.13
1998-02-05,57.75,1773300.0,58.44,56.25,55.88
1998-02-06,46.25,15181000.0,49.63,47.75,46.13
1998-02-09,46.88,3446700.0,48.25,47.69,46.88
1998-02-10,47.56,3097300.0,47.75,46.38,46.25
1998-02-11,46.44,3535900.0,48.38,47.25,46.25
1998-02-12,46.94,1662100.0,48.0,47.63,46.56
1998-02-13,47.25,1319100.0,47.44,46.56,46.5
1998-02-17,47.75,1045100.0,47.75,46.75,46.63
1998-02-18,47.13,1156800.0,47.75,47.44,46.75
1998-02-19,47.88,841800.0,48.0,47.25,47.0
1998-02-20,47.63,1393800.0,47.63,46.63,46.38
1998-02-23,47.5,4981100.0,51.38,51.38,47.13
