date,1. open,5. volume,2. high,4. close,3. low
1999-03-10,102.3,2616000.0,102.3,102.1,100.6
1999-03-11,102.9,4844300.0,103.5,102.6,100.6
1999-03-12,102.3,4371800.0,102.3,100.1,99.31
1999-03-15,100.9,3184500.0,103.1,103.0,99.81
1999-03-16,103.4,2452900.0,104.3,103.9,102.3
1999-03-17,103.9,1982500.0,104.0,103.1,102.8
1999-03-18,103.0,2424200.0,105.2,105.1,103.0
1999-03-19,106.5,3580200.0,106.5,102.4,102.4
1999-03-22,102.9,2512400.0,103.1,101.2,101.0
1999-03-23,100.6,5481200.0,101.0,97.63,97.44
1999-03-24,98.5,4223500.0,101.0,100.9,97.0
1999-03-25,102.5,4066900.0,104.6,104.6,101.8
1999-03-26,103.8,4128100.0,104.9,103.5,103.1
1999-03-29,104.8,2556900.0,107.3,107.3,104.1
1999-03-30,107.1,2470300.0,108.0,106.5,106.1
1999-03-31,108.3,4128300.0,108.4,104.9,104.6
1999-04-01,108.0,4357900.0,108.1,107.1,105.4
1999-04-05,108.9,2848600.0,111.2,111.0,108.2
1999-04-06,110.9,3761200.0,112.4,111.2,109.9
1999-04-07,112.3,5961800.0,112.5,110.1,107.7
1999-04-08,109.9,3976200.0,111.5,110.9,107.6
1999-04-09,110.8,2473400.0,111.9,111.6,110.4
1999-04-12,109.0,5467000.0,111.6,110.9,108.9
1999-04-13,111.6,4981100.0,111.8,109.4,108.5
1999-04-14,110.8,10626900.0,110.9,105.6,105.0
1999-04-15,106.0,8825300.0,107.2,107.1,102.3
1999-04-16,106.8,8637000.0,106.8,103.9,103.4
1999-04-19,104.6,9730300.0,105.5,99.06,98.02
1999-04-20,98.63,8706800.0,102.1,101.3,97.69
1999-04-21,102.3,5470200.0,106.4,106.3,100.9
1999-04-22,107.3,6815300.0,109.5,109.2,106.6
1999-04-23,108.6,3532200.0,111.4,110.6,107.5
1999-04-26,111.4,2710500.0,114.0,113.2,111.0
1999-04-27,114.0,8241400.0,114.6,111.4,110.0
1999-04-28,110.5,3838400.0,110.9,107.6,107.1
1999-04-29,107.1,9574100.0,107.8,106.8,104.5
1999-04-30,108.3,7647600.0,108.8,107.4,103.6
1999-05-03,107.1,5554900.0,107.6,106.9,105.1
1999-05-04,107.1,7714200.0,108.8,105.2,104.6
1999-05-05,105.3,6321300.0,108.4,108.4,102.1
1999-05-06,107.4,7586700.0,108.3,104.4,103.4
1999-05-07,105.4,8215200.0,106.3,105.9,103.1
1999-05-10,106.6,5302100.0,107.7,107.0,105.4
1999-05-11,107.9,4400400.0,109.3,108.7,107.3
1999-05-12,109.2,6253700.0,111.3,110.9,106.0
1999-05-13,111.8,4932000.0,112.0,108.9,108.4
1999-05-14,106.8,6102700.0,108.0,106.8,106.0
1999-05-17,105.9,4953400.0,109.1,108.7,104.8
1999-05-18,108.6,4633900.0,109.3,108.3,107.0
1999-05-19,108.7,3992800.0,109.8,109.8,107.0
1999-05-20,110.0,2998600.0,110.0,106.7,106.6
1999-05-21,107.1,5479300.0,107.4,105.8,105.2
1999-05-24,105.9,4784900.0,106.1,103.1,102.4
1999-05-25,102.9,8885600.0,104.4,99.69,99.25
1999-05-26,101.0,13386000.0,102.9,102.5,97.88
1999-05-27,102.1,11667400.0,103.9,102.4,100.8
1999-05-28,103.0,6484900.0,104.6,104.1,101.7
1999-06-01,103.9,3480100.0,104.4,101.8,101.2
1999-06-02,101.7,5998300.0,104.0,103.5,99.14
1999-06-03,104.3,5573900.0,104.3,102.0,101.4
1999-06-04,102.8,6493600.0,105.5,105.1,102.8
1999-06-07,105.9,5745900.0,108.0,107.3,105.6
1999-06-08,107.6,4067400.0,108.1,104.6,104.1
1999-06-09,105.0,4192200.0,106.7,106.4,104.9
1999-06-10,105.3,4696200.0,105.9,105.2,103.9
1999-06-11,105.9,8283800.0,106.0,103.1,102.6
1999-06-14,103.9,7068400.0,103.9,101.6,101.4
1999-06-15,101.9,4573900.0,103.7,103.1,101.6
1999-06-16,105.7,7530100.0,108.4,108.4,105.6
1999-06-17,107.0,8139100.0,110.1,109.6,107.0
1999-06-18,108.6,2696400.0,110.4,110.1,108.4
1999-06-21,110.9,5282600.0,113.5,113.4,110.7
1999-06-22,112.8,5431400.0,114.2,110.0,110.0
1999-06-23,110.0,4803500.0,112.0,111.7,109.3
1999-06-24,111.7,7494400.0,111.8,109.5,109.0
1999-06-25,110.3,4317800.0,111.1,109.4,108.4
1999-06-28,110.3,3833100.0,112.1,112.0,109.4
1999-06-29,111.9,4500200.0,113.9,113.5,111.3
1999-06-30,113.6,9733800.0,119.9,115.3,112.3
1999-07-01,115.6,3411300.0,116.7,116.0,113.6
1999-07-02,116.0,1651000.0,117.6,117.5,116.0
1999-07-06,118.1,4397400.0,119.3,116.8,116.1
1999-07-07,116.7,5260000.0,117.4,116.9,115.9
1999-07-08,116.9,5612500.0,119.0,118.5,116.4
1999-07-09,118.9,2103400.0,119.8,119.7,118.1
1999-07-12,120.1,3908100.0,120.8,119.1,118.4
1999-07-13,118.5,3115000.0,118.9,118.5,117.6
1999-07-14,119.7,3454700.0,120.8,120.5,118.0
1999-07-15,120.9,3269900.0,121.6,121.6,120.3
1999-07-16,121.7,2456900.0,123.4,122.8,121.6
1999-07-19,123.3,3416500.0,123.3,121.5,121.0
1999-07-20,120.0,7418700.0,120.2,116.8,116.5
1999-07-21,117.1,5490200.0,118.4,117.4,116.1
1999-07-22,117.4,7574200.0,117.4,114.4,114.1
1999-07-23,115.3,6057500.0,115.7,114.6,113.4
1999-07-26,113.0,5360000.0,114.3,111.8,111.6
1999-07-27,114.0,6866400.0,115.8,114.0,113.0
1999-07-28,115.4,5080900.0,116.9,116.2,113.9
1999-07-29,114.1,6516900.0,115.0,113.8,112.6
1999-07-30,114.3,5473700.0,115.5,113.2,113.0
1999-08-02,113.4,4821200.0,115.6,112.9,112.4
1999-08-03,114.4,6502500.0,114.4,112.1,110.5
1999-08-04,112.1,6613800.0,113.0,110.1,110.0
1999-08-05,110.1,9347600.0,111.9,111.9,107.5
1999-08-06,111.1,6196100.0,113.1,110.7,109.9
1999-08-09,111.1,3991700.0,111.4,109.2,109.0
1999-08-10,108.9,8383600.0,109.7,108.3,105.9
1999-08-11,110.2,6550700.0,112.0,111.8,108.5
1999-08-12,112.3,6357500.0,113.0,110.5,110.3
1999-08-13,112.8,7171300.0,115.4,115.3,112.6
1999-08-16,115.3,5735300.0,116.6,116.2,114.5
1999-08-17,117.3,5704200.0,117.4,116.8,114.7
1999-08-18,116.3,3517600.0,117.7,115.5,115.1
1999-08-19,114.4,5078900.0,115.3,114.4,113.4
1999-08-20,114.3,3460400.0,115.5,115.4,114.3
1999-08-23,117.0,4826000.0,119.6,119.6,116.7
1999-08-24,118.8,6945700.0,121.8,121.0,118.5
1999-08-25,121.2,5676000.0,123.5,123.0,119.9
1999-08-26,123.0,4876500.0,123.4,121.0,120.8
1999-08-27,121.9,4817700.0,121.9,119.8,119.4
1999-08-30,120.3,5070800.0,120.6,118.1,117.8
1999-08-31,118.9,7295200.0,120.1,119.4,116.3
1999-09-01,120.1,5376000.0,121.3,120.2,119.4
1999-09-02,118.0,7291600.0,120.4,119.8,117.8
1999-09-03,123.3,7097700.0,125.4,125.3,122.8
1999-09-07,125.1,4504500.0,126.3,124.8,124.6
1999-09-08,124.0,7151700.0,125.3,123.1,122.1
1999-09-09,123.1,6338800.0,125.1,124.8,122.5
1999-09-10,126.5,5125500.0,127.5,126.3,125.1
1999-09-13,126.1,3620400.0,126.4,124.7,124.1
1999-09-14,124.3,5011300.0,126.3,125.4,124.0
1999-09-15,127.0,8048000.0,127.0,123.0,122.9
1999-09-16,122.9,7685500.0,124.1,122.9,120.4
1999-09-17,124.1,7253200.0,126.9,126.6,123.9
1999-09-20,127.0,3093600.0,127.5,126.9,126.1
1999-09-21,125.8,6132900.0,126.1,123.9,123.5
1999-09-22,124.1,6220900.0,125.8,125.2,122.6
1999-09-23,126.5,9883000.0,126.8,120.0,119.3
1999-09-24,119.3,11785400.0,120.6,120.2,117.3
1999-09-27,121.9,6304400.0,122.8,121.0,120.6
1999-09-28,120.4,10311000.0,122.0,121.6,117.8
1999-09-29,121.6,7778500.0,122.4,119.1,119.1
1999-09-30,120.3,8802100.0,121.6,120.4,118.8
1999-10-01,118.8,9803700.0,120.4,120.4,117.5
1999-10-04,121.1,6217100.0,123.6,123.1,120.4
1999-10-05,123.6,9763200.0,125.5,124.0,121.4
1999-10-06,124.8,9549100.0,126.7,126.5,122.9
1999-10-07,127.2,11006800.0,127.8,126.2,125.3
1999-10-08,125.7,11261600.0,127.9,127.5,124.0
1999-10-11,127.9,6508000.0,129.4,129.3,127.6
1999-10-12,128.9,10091400.0,129.9,126.4,126.0
1999-10-13,124.9,11285300.0,126.4,122.6,122.1
1999-10-14,123.1,11065200.0,124.3,123.4,121.1
1999-10-15,120.3,16851500.0,122.0,119.8,119.0
1999-10-18,119.9,12357400.0,120.3,118.2,114.8
1999-10-19,119.5,13328600.0,120.1,118.9,116.9
1999-10-20,120.7,11243200.0,123.5,122.5,119.5
1999-10-21,120.5,11227400.0,124.5,124.5,119.6
1999-10-22,125.2,8294700.0,126.5,123.9,123.5
1999-10-25,123.4,6927700.0,125.4,124.0,122.9
1999-10-26,125.5,6771200.0,126.2,123.0,122.8
1999-10-27,122.7,7612600.0,123.3,122.8,120.9
1999-10-28,124.8,7051900.0,127.5,127.1,123.6
1999-10-29,130.0,9500000.0,132.5,131.5,129.6
1999-11-01,131.5,4840900.0,133.1,130.8,130.6
1999-11-02,131.5,6417400.0,133.1,130.9,130.4
1999-11-03,132.8,9376300.0,134.3,133.5,132.4
1999-11-04,135.4,10024300.0,135.6,135.0,133.6
1999-11-05,137.8,7567300.0,138.4,136.4,136.4
1999-11-08,136.9,5445400.0,139.6,139.1,136.4
1999-11-09,140.3,7314900.0,140.5,138.2,137.0
1999-11-10,138.3,8280500.0,141.2,140.0,137.6
1999-11-11,141.5,9250700.0,142.7,142.5,140.3
1999-11-12,143.3,14323300.0,144.5,144.4,138.8
1999-11-15,144.5,5454700.0,145.0,144.1,143.4
1999-11-16,144.6,9563200.0,148.4,147.8,144.0
1999-11-17,147.8,10841800.0,148.4,145.8,145.0
1999-11-18,146.8,8869200.0,150.2,150.2,145.9
1999-11-19,149.6,8969700.0,151.8,151.6,149.0
1999-11-22,151.9,9420900.0,155.0,149.3,149.3
1999-11-23,152.9,12023800.0,153.0,149.9,148.5
1999-11-24,150.4,9308900.0,155.5,154.9,148.8
1999-11-26,156.8,4022600.0,157.6,155.4,154.8
1999-11-29,155.1,10242600.0,156.4,152.8,152.6
1999-11-30,153.1,11851200.0,153.4,148.0,147.5
1999-12-01,148.6,11602900.0,150.9,150.2,147.5
1999-12-02,150.8,8614600.0,155.3,155.0,150.7
1999-12-03,158.6,10722300.0,160.4,158.3,157.8
1999-12-06,158.9,8009200.0,161.0,159.7,157.4
1999-12-07,160.2,11698500.0,160.8,159.7,157.7
1999-12-08,159.7,9781500.0,161.0,157.8,157.4
1999-12-09,160.0,14222700.0,160.9,158.5,154.5
