date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,53.25,335200.0,53.5,52.5,50.12
1998-01-05,52.5,230600.0,52.5,52.06,51.69
1998-01-06,52.0,88900.0,52.06,51.31,51.06
1998-01-07,51.12,306100.0,51.12,51.0,50.0
1998-01-08,50.94,154800.0,51.25,51.0,50.94
1998-01-09,51.12,345800.0,51.12,50.0,49.88
1998-01-12,49.94,133300.0,50.5,50.5,49.62
1998-01-13,50.5,90200.0,51.19,51.12,50.06
1998-01-14,51.31,165000.0,52.88,52.5,50.75
1998-01-15,52.38,100700.0,53.0,52.75,52.0
1998-01-16,52.81,48600.0,52.81,52.38,52.38
1998-01-20,52.19,138900.0,53.38,53.31,51.44
1998-01-21,53.56,136600.0,53.56,52.62,52.31
1998-01-22,52.62,59700.0,52.62,52.38,52.0
1998-01-23,52.38,82600.0,52.38,51.12,51.06
1998-01-26,51.12,72100.0,51.12,50.0,49.75
1998-01-27,50.5,194000.0,51.19,51.19,50.25
1998-01-28,50.88,492200.0,52.5,52.44,50.88
1998-01-29,52.5,139000.0,53.44,52.75,52.44
1998-01-30,52.88,192700.0,52.88,52.38,52.12
1998-02-02,52.62,142400.0,52.75,52.69,52.5
1998-02-03,52.69,165300.0,52.94,51.94,51.31
1998-02-04,52.19,178100.0,53.88,53.44,52.06
1998-02-05,53.69,296800.0,54.44,53.12,52.88
1998-02-06,53.19,135100.0,54.75,54.38,53.0
1998-02-09,53.88,45800.0,53.94,53.62,53.5
1998-02-10,53.81,59200.0,54.75,54.69,53.81
1998-02-11,54.38,779500.0,54.62,53.06,52.75
1998-02-12,52.81,317500.0,52.88,51.38,49.75
1998-02-13,50.88,278500.0,50.94,49.94,49.5
1998-02-17,49.94,373200.0,50.75,50.06,49.5
1998-02-18,50.25,717300.0,52.38,51.25,50.06
1998-02-19,51.38,210900.0,52.38,52.0,51.12
1998-02-20,52.25,91900.0,52.81,52.62,52.25
1998-02-23,52.75,137700.0,52.88,52.56,52.5
1998-02-24,52.62,134000.0,53.0,52.56,52.5
1998-02-25,52.81,323900.0,54.5,54.25,52.81
1998-02-26,53.94,31700.0,54.31,54.25,53.75
1998-02-27,54.44,152500.0,55.25,54.75,54.38
1998-03-02,55.0,385300.0,55.69,55.0,54.88
1998-03-03,55.12,135100.0,57.0,56.75,54.88
1998-03-04,57.38,3257500.0,57.5,56.5,56.25
1998-03-05,55.0,662700.0,56.62,55.88,55.0
1998-03-06,56.12,575600.0,57.69,57.56,56.0
1998-03-09,57.44,369800.0,59.0,57.81,57.31
1998-03-10,57.56,273900.0,58.0,57.94,56.75
1998-03-11,58.0,247700.0,58.25,58.0,57.75
1998-03-12,58.19,180800.0,59.88,59.81,58.0
1998-03-13,60.5,318200.0,60.88,59.81,59.56
1998-03-16,59.81,149800.0,60.5,60.0,59.81
1998-03-17,60.0,189100.0,62.44,62.06,59.94
1998-03-18,62.06,159800.0,63.0,61.0,61.0
1998-03-19,61.25,241400.0,63.5,61.62,61.25
1998-03-20,62.12,688400.0,65.0,64.94,62.12
1998-03-23,64.94,567900.0,67.0,67.0,64.88
1998-03-24,67.0,342500.0,67.12,66.94,66.06
1998-03-25,67.31,770000.0,68.5,68.25,66.81
1998-03-26,68.25,815200.0,69.38,68.88,68.06
1998-03-27,69.12,237800.0,70.12,69.19,69.0
1998-03-30,70.0,197900.0,70.0,68.88,68.69
1998-03-31,69.0,572700.0,70.88,70.38,68.44
1998-04-01,72.5,331400.0,72.94,71.88,71.38
1998-04-02,71.88,282000.0,72.5,70.75,70.31
1998-04-03,71.5,360500.0,72.5,71.75,71.0
1998-04-06,72.0,129500.0,72.0,71.62,70.69
1998-04-07,71.62,486100.0,71.62,69.75,67.62
1998-04-08,69.75,282700.0,69.75,68.69,68.69
1998-04-09,68.75,153300.0,69.25,68.75,68.56
1998-04-13,69.62,108500.0,69.94,69.0,69.0
1998-04-14,69.12,175600.0,69.88,68.19,67.94
1998-04-15,68.62,400500.0,71.0,70.88,68.62
1998-04-16,70.94,112700.0,72.38,71.06,70.94
1998-04-17,71.12,49500.0,71.75,71.69,71.12
1998-04-20,71.94,103400.0,72.5,71.12,70.56
1998-04-21,71.25,73700.0,71.5,70.06,70.06
1998-04-22,70.31,172800.0,70.31,69.56,69.0
1998-04-23,69.44,268700.0,69.56,67.69,67.25
1998-04-24,67.81,430200.0,68.25,68.06,65.25
1998-04-27,67.12,323300.0,67.38,65.69,65.38
1998-04-28,66.62,536600.0,68.25,67.31,66.62
1998-04-29,70.19,411300.0,70.19,67.5,67.12
1998-04-30,68.5,392000.0,69.19,68.38,67.62
1998-05-01,68.44,130000.0,68.5,68.5,67.25
1998-05-04,68.62,149200.0,69.25,68.19,67.88
1998-05-05,68.44,116700.0,68.56,68.31,67.5
1998-05-06,69.25,91200.0,69.25,68.5,68.38
1998-05-07,68.0,151300.0,68.0,67.06,67.06
1998-05-08,67.31,216600.0,67.5,67.31,66.94
1998-05-11,68.12,140700.0,69.12,67.5,67.44
1998-05-12,68.0,106600.0,68.12,67.81,67.5
1998-05-13,67.94,102300.0,69.5,68.56,67.94
1998-05-14,68.31,107600.0,69.25,67.88,67.81
1998-05-15,67.88,159700.0,69.19,68.75,67.88
1998-05-18,69.75,119600.0,69.94,67.94,67.5
1998-05-19,67.75,186200.0,69.0,66.5,65.75
1998-05-20,66.88,154500.0,68.5,68.25,66.88
1998-05-21,69.0,323600.0,70.5,69.69,69.0
1998-05-22,70.25,312200.0,70.88,70.5,69.69
1998-05-26,72.38,304300.0,72.38,70.31,70.25
1998-05-27,70.31,72000.0,70.31,69.88,69.5
1998-05-28,70.0,107500.0,70.38,70.12,69.5
1998-05-29,69.94,234200.0,69.94,69.69,69.0
1998-06-01,69.75,93700.0,70.44,69.75,69.12
1998-06-02,69.81,242900.0,70.25,70.25,68.94
1998-06-03,70.38,131400.0,70.5,69.69,69.62
1998-06-04,69.5,105700.0,70.88,70.88,69.12
1998-06-05,71.38,149600.0,71.81,71.5,70.62
1998-06-08,71.38,161200.0,73.75,73.19,71.38
1998-06-09,73.5,148000.0,75.44,74.5,73.5
1998-06-10,74.56,81400.0,74.56,74.12,74.0
1998-06-11,74.0,76200.0,74.81,74.56,73.5
1998-06-12,74.81,75100.0,75.5,73.06,73.0
1998-06-15,72.0,119400.0,72.38,71.94,70.81
1998-06-16,71.81,58400.0,72.62,72.12,71.5
1998-06-17,72.38,48200.0,73.38,73.06,72.38
1998-06-18,72.81,116100.0,73.0,72.25,72.25
1998-06-19,72.25,75700.0,72.88,72.62,72.25
1998-06-22,72.81,108700.0,75.19,75.06,72.81
1998-06-23,75.38,352700.0,79.75,78.5,75.38
1998-06-24,79.0,356100.0,79.69,78.25,77.69
1998-06-25,78.5,190300.0,78.88,78.0,77.81
1998-06-26,78.0,255400.0,78.0,76.88,76.25
1998-06-29,77.12,119600.0,78.44,78.12,77.12
1998-06-30,78.25,173400.0,80.75,79.5,78.25
1998-07-01,79.75,325800.0,81.88,80.31,79.75
1998-07-02,80.38,92500.0,80.38,80.12,79.75
1998-07-06,80.12,69800.0,80.25,80.0,79.75
1998-07-07,79.88,86900.0,81.25,80.56,79.88
1998-07-08,80.81,122400.0,82.94,82.06,80.81
1998-07-09,83.62,99300.0,83.75,82.38,82.19
1998-07-10,82.62,95600.0,83.75,82.94,82.38
1998-07-13,83.0,164200.0,83.12,83.12,82.56
1998-07-14,83.0,427700.0,85.62,84.38,83.0
1998-07-15,85.0,214500.0,85.25,85.06,84.62
1998-07-16,84.81,243300.0,85.5,84.94,83.06
1998-07-17,84.94,99500.0,86.38,86.25,84.94
1998-07-20,86.5,152000.0,87.81,87.31,86.5
1998-07-21,87.44,130100.0,87.75,86.19,86.0
1998-07-22,86.25,75200.0,86.25,85.0,84.44
1998-07-23,85.0,74700.0,85.25,82.88,82.56
1998-07-24,82.88,223200.0,82.94,80.56,78.88
1998-07-27,79.75,879300.0,80.5,75.56,73.75
1998-07-28,75.56,834500.0,77.75,75.31,73.75
1998-07-29,75.56,113900.0,76.75,75.19,75.19
1998-07-30,75.19,159300.0,76.0,75.25,75.12
1998-07-31,75.25,307300.0,75.94,74.75,74.25
1998-08-03,38.0,156400.0,38.0,35.69,35.0
1998-08-04,36.0,488100.0,36.88,34.19,33.56
1998-08-05,34.25,366800.0,34.5,33.25,32.25
1998-08-06,33.12,371900.0,33.88,33.88,32.81
1998-08-07,34.56,633100.0,36.75,36.5,34.5
1998-08-10,36.5,170900.0,36.5,35.25,34.94
1998-08-11,33.5,697700.0,33.56,32.62,30.5
1998-08-12,33.75,211400.0,34.75,33.12,32.25
1998-08-13,33.12,450300.0,33.12,32.0,31.56
1998-08-14,33.0,324800.0,33.0,30.81,30.12
1998-08-17,30.69,1041100.0,30.69,28.81,28.0
1998-08-18,29.75,1392300.0,29.75,29.0,28.12
1998-08-19,30.5,1025800.0,33.12,32.0,30.38
1998-08-20,31.5,438800.0,33.5,32.69,31.38
1998-08-21,31.5,782400.0,33.38,33.31,31.31
1998-08-24,33.31,436000.0,33.56,31.81,31.69
1998-08-25,33.5,413000.0,33.62,31.88,31.81
1998-08-26,31.88,420200.0,32.75,32.56,30.62
1998-08-27,32.44,363600.0,32.44,30.38,30.0
1998-08-28,30.5,472600.0,30.62,28.56,27.0
1998-08-31,28.56,773100.0,28.81,24.5,23.12
