date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,41.25,58800.0,41.25,40.5,40.38
1998-01-05,40.44,134000.0,41.0,40.63,40.31
1998-01-06,40.63,139300.0,40.63,40.13,40.0
1998-01-07,40.06,36200.0,40.06,38.88,38.88
1998-01-08,38.94,104300.0,38.94,37.13,36.75
1998-01-09,37.25,197800.0,37.25,36.56,35.75
1998-01-12,36.44,74600.0,37.5,37.38,36.44
1998-01-13,37.19,166000.0,38.0,38.0,37.19
1998-01-14,37.81,164400.0,38.0,38.0,36.75
1998-01-15,38.19,87100.0,39.0,38.19,38.19
1998-01-16,38.19,176600.0,38.19,37.38,37.38
1998-01-20,37.25,117800.0,37.25,37.19,36.38
1998-01-21,37.38,80000.0,37.38,37.31,36.63
1998-01-22,37.31,78600.0,37.88,37.44,37.06
1998-01-23,37.38,203900.0,37.38,36.88,36.5
1998-01-26,36.88,280300.0,36.88,35.5,35.25
1998-01-27,35.63,263800.0,37.0,36.88,35.63
1998-01-28,37.0,147500.0,38.63,38.25,37.0
1998-01-29,38.13,118600.0,38.13,37.38,37.19
1998-01-30,37.38,96600.0,38.13,37.88,37.38
1998-02-02,38.0,134400.0,39.56,39.38,37.94
1998-02-03,39.44,193100.0,39.5,38.44,38.44
1998-02-04,38.63,135900.0,38.63,37.94,37.94
1998-02-05,38.0,174500.0,38.06,37.56,37.44
1998-02-06,37.75,412200.0,37.75,37.38,37.0
1998-02-09,37.5,113200.0,37.63,37.38,37.13
1998-02-10,37.56,136300.0,38.38,37.88,37.38
1998-02-11,38.13,193400.0,38.5,38.0,38.0
1998-02-12,38.0,74300.0,38.25,38.0,37.63
1998-02-13,37.88,118400.0,38.25,38.13,37.69
1998-02-17,38.13,59000.0,38.25,38.06,37.94
1998-02-18,38.0,152700.0,38.38,38.25,37.94
1998-02-19,38.13,109200.0,38.38,38.38,38.0
1998-02-20,38.38,66900.0,38.5,38.19,38.0
1998-02-23,37.63,113500.0,37.81,37.75,36.69
1998-02-24,37.56,101500.0,38.94,38.38,37.38
1998-02-25,38.38,125000.0,38.38,37.81,37.5
1998-02-26,37.94,109400.0,37.94,37.75,37.5
1998-02-27,37.75,309100.0,37.75,36.88,36.63
1998-03-02,36.81,296300.0,37.0,36.94,36.63
1998-03-03,36.88,827400.0,37.13,36.94,36.75
1998-03-04,37.0,231800.0,37.0,36.75,36.63
1998-03-05,36.75,691600.0,37.44,37.44,36.5
1998-03-06,37.63,203700.0,37.94,37.56,37.25
1998-03-09,37.5,1095400.0,37.75,37.5,37.25
1998-03-10,37.56,242800.0,37.69,37.56,37.5
1998-03-11,37.63,235600.0,37.75,37.69,37.38
1998-03-12,37.69,233200.0,38.0,37.81,37.63
1998-03-13,37.94,393000.0,38.0,37.88,37.81
1998-03-16,37.88,793300.0,39.5,39.19,37.75
1998-03-17,39.0,294600.0,40.31,39.63,39.0
1998-03-18,39.81,381900.0,40.75,40.31,39.81
1998-03-19,40.38,142000.0,40.63,40.31,40.0
1998-03-20,40.56,212000.0,41.5,40.44,40.44
1998-03-23,40.19,48400.0,40.94,40.81,40.13
1998-03-24,40.81,88200.0,41.31,40.88,40.56
1998-03-25,40.94,114100.0,41.63,41.56,40.75
1998-03-26,41.5,162600.0,41.56,40.5,40.13
1998-03-27,40.63,88400.0,40.94,40.25,40.25
1998-03-30,40.13,182100.0,40.88,39.81,39.69
1998-03-31,39.81,242600.0,41.5,41.13,39.81
1998-04-01,41.06,98800.0,42.19,42.19,41.0
1998-04-02,42.19,207800.0,43.56,42.75,42.13
1998-04-03,42.81,141000.0,44.63,44.06,42.81
1998-04-06,44.25,232800.0,44.81,42.44,42.38
1998-04-07,42.56,102200.0,42.63,42.63,42.38
1998-04-08,42.5,156200.0,44.38,43.56,42.5
1998-04-09,43.5,208400.0,44.69,44.69,43.38
1998-04-13,44.69,208800.0,45.0,44.25,43.88
1998-04-14,44.38,148000.0,44.44,44.25,43.88
1998-04-15,44.38,293600.0,44.88,44.63,44.25
1998-04-16,44.44,88600.0,45.25,44.5,44.44
1998-04-17,44.25,223000.0,44.31,44.31,43.88
1998-04-20,44.31,73400.0,44.38,44.13,44.06
1998-04-21,44.31,351600.0,44.31,43.63,43.44
1998-04-22,43.38,603700.0,44.13,43.44,43.13
1998-04-23,43.44,42400.0,43.56,43.13,42.94
1998-04-24,43.0,400500.0,43.13,42.0,41.0
1998-04-27,41.75,199500.0,41.75,40.75,40.69
1998-04-28,41.5,138100.0,42.0,41.81,41.5
1998-04-29,41.94,158100.0,42.0,40.88,40.88
1998-04-30,40.94,143100.0,41.56,41.25,40.75
1998-05-01,41.31,125000.0,42.0,41.63,41.25
1998-05-04,41.75,187500.0,41.94,40.63,40.56
1998-05-05,40.63,413400.0,40.88,40.19,39.63
1998-05-06,40.44,222600.0,40.75,40.38,39.44
1998-05-07,40.13,190100.0,40.69,40.19,40.06
1998-05-08,39.94,276700.0,40.0,39.31,39.06
1998-05-11,39.38,127200.0,39.56,39.44,39.25
1998-05-12,39.31,190800.0,39.5,39.25,38.81
1998-05-13,39.38,159400.0,39.44,39.31,39.25
1998-05-14,39.25,203600.0,40.5,40.0,39.25
1998-05-15,39.81,148100.0,39.94,39.88,39.47
1998-05-18,39.69,107200.0,39.69,38.31,38.25
1998-05-19,38.38,170500.0,39.88,39.56,38.38
1998-05-20,39.63,104200.0,39.69,39.19,38.5
1998-05-21,39.06,118100.0,39.81,39.38,39.06
1998-05-22,39.31,37400.0,39.88,39.81,39.31
1998-05-26,39.88,303700.0,40.56,38.63,38.56
1998-05-27,38.38,236500.0,39.0,38.63,38.38
1998-05-28,38.69,90100.0,38.94,38.94,38.63
1998-05-29,38.94,102500.0,39.13,38.88,38.75
1998-06-01,38.69,178900.0,38.81,38.63,38.5
1998-06-02,38.56,132300.0,38.69,38.44,38.0
1998-06-03,38.5,493600.0,38.69,38.69,38.13
1998-06-04,38.88,70300.0,39.38,39.31,38.75
1998-06-05,39.19,198200.0,40.63,40.38,39.19
1998-06-08,40.5,156300.0,40.75,39.69,39.69
1998-06-09,39.44,266800.0,39.63,39.06,38.31
1998-06-10,38.88,123800.0,39.25,38.69,38.38
1998-06-11,38.69,126400.0,39.0,38.0,37.88
1998-06-12,38.0,139700.0,38.31,37.63,37.25
1998-06-15,37.63,55500.0,37.63,37.56,37.5
1998-06-16,37.69,104900.0,37.69,37.19,36.88
1998-06-17,37.25,105800.0,37.5,37.13,36.81
1998-06-18,37.13,297000.0,37.13,36.5,36.5
1998-06-19,36.5,230400.0,36.94,36.5,36.13
1998-06-22,39.0,657600.0,39.0,38.0,37.69
1998-06-23,38.25,335300.0,39.13,39.0,38.25
1998-06-24,39.0,357500.0,40.25,37.81,37.75
1998-06-25,38.0,169300.0,39.0,38.5,38.0
1998-06-26,38.25,159100.0,38.88,38.88,38.06
1998-06-29,38.81,231100.0,39.25,38.75,38.56
1998-06-30,38.56,272600.0,38.81,38.44,38.0
1998-07-01,38.56,200900.0,40.13,39.31,38.44
