date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,27.63,12500.0,27.75,27.75,27.63
1998-01-05,27.69,87300.0,27.81,27.63,27.63
1998-01-06,27.81,31000.0,27.81,27.5,27.5
1998-01-07,27.5,4000.0,27.5,27.5,27.38
1998-01-08,27.38,158400.0,27.5,27.25,27.25
1998-01-09,27.25,53500.0,27.25,26.75,26.63
1998-01-12,26.38,13300.0,26.69,26.56,26.38
1998-01-13,26.69,40200.0,27.0,26.88,26.63
1998-01-14,27.0,6800.0,27.13,27.0,26.88
1998-01-15,27.0,23900.0,27.06,26.88,26.88
1998-01-16,27.0,32800.0,27.13,27.0,27.0
1998-01-20,27.19,16400.0,27.19,27.13,27.0
1998-01-21,27.13,89700.0,27.13,27.06,26.88
1998-01-22,27.0,17700.0,27.0,26.94,26.56
1998-01-23,26.94,10100.0,27.0,26.94,26.94
1998-01-26,27.0,10700.0,27.0,27.0,26.75
1998-01-27,26.94,51400.0,27.13,27.13,26.81
1998-01-28,27.19,84400.0,27.19,27.13,27.13
1998-01-29,27.13,17400.0,27.13,27.06,27.0
1998-01-30,27.13,94800.0,27.25,27.19,27.0
1998-02-02,27.25,39500.0,27.25,27.13,27.13
1998-02-03,27.0,32200.0,27.25,27.25,26.88
1998-02-04,27.25,35500.0,27.5,27.5,27.13
1998-02-05,27.5,42100.0,27.63,27.38,27.13
1998-02-06,27.38,166100.0,27.63,27.63,27.31
1998-02-09,27.63,6800.0,27.63,27.63,27.5
1998-02-10,27.0,11100.0,27.25,27.0,27.0
1998-02-11,27.0,17800.0,27.19,27.06,27.0
1998-02-12,27.0,65100.0,27.0,26.81,26.75
1998-02-13,26.63,50900.0,26.69,26.5,26.5
1998-02-17,26.5,5700.0,26.5,26.38,26.13
1998-02-18,26.25,7800.0,26.38,26.38,26.25
1998-02-19,26.44,5400.0,26.44,26.25,26.25
1998-02-20,26.25,42700.0,26.44,26.19,26.19
1998-02-23,26.44,70600.0,26.44,26.25,26.19
1998-02-24,26.38,41000.0,26.38,26.31,26.25
1998-02-25,26.31,44500.0,26.38,26.31,26.19
1998-02-26,26.25,42300.0,26.5,26.31,26.25
1998-02-27,26.25,26800.0,26.25,26.19,26.13
1998-03-02,26.25,30400.0,26.25,26.13,26.0
1998-03-03,26.13,15000.0,26.44,26.38,26.13
1998-03-04,26.25,44800.0,26.5,26.38,26.25
1998-03-05,26.31,14000.0,26.31,26.19,26.0
1998-03-06,26.19,300.0,26.19,26.19,26.19
1998-03-09,26.13,4500.0,26.13,26.06,26.0
1998-03-10,26.0,17600.0,26.0,25.81,25.69
1998-03-11,25.88,14800.0,25.88,25.63,25.5
1998-03-12,25.88,40700.0,25.88,25.56,25.56
1998-03-13,25.69,45100.0,25.69,25.44,25.31
1998-03-16,25.44,16100.0,25.63,25.56,25.44
1998-03-17,25.25,54900.0,25.31,25.25,25.0
1998-03-18,25.19,58300.0,25.25,24.88,24.88
1998-03-19,24.88,51200.0,25.0,24.88,24.63
1998-03-20,24.88,32600.0,25.25,25.06,24.88
1998-03-23,25.19,113700.0,25.31,25.25,25.06
1998-03-24,25.31,6500.0,25.38,25.25,25.25
1998-03-25,25.31,35900.0,25.31,25.0,24.88
1998-03-26,25.13,28500.0,25.25,25.25,25.06
1998-03-27,25.38,655900.0,25.5,25.0,25.0
1998-03-30,25.19,22900.0,25.38,25.38,25.19
1998-03-31,25.44,27200.0,26.44,26.44,25.44
1998-04-01,26.31,36300.0,26.31,25.56,25.56
1998-04-02,25.69,38600.0,25.81,25.63,25.5
1998-04-03,25.63,6800.0,25.94,25.88,25.63
1998-04-06,25.88,10600.0,25.88,25.75,25.56
1998-04-07,25.63,11900.0,25.75,25.75,25.63
1998-04-08,25.75,18800.0,25.75,25.63,25.56
1998-04-09,25.63,15200.0,25.81,25.69,25.44
1998-04-13,25.63,9000.0,25.69,25.63,25.56
1998-04-14,25.63,6500.0,25.75,25.63,25.63
1998-04-15,25.63,13700.0,25.75,25.63,25.63
1998-04-16,25.63,64900.0,25.75,25.13,25.13
1998-04-17,25.13,22100.0,25.5,25.31,25.13
1998-04-20,25.31,66300.0,25.38,25.25,25.19
1998-04-21,25.25,8800.0,25.31,25.25,25.25
1998-04-22,25.13,31900.0,25.25,24.94,24.75
1998-04-23,24.88,41100.0,24.88,24.88,24.75
1998-04-24,24.81,15400.0,25.38,25.19,24.81
1998-04-27,25.06,48400.0,25.13,24.5,24.38
1998-04-28,24.75,28100.0,25.38,25.31,24.75
1998-04-29,25.25,6900.0,25.31,25.19,25.19
1998-04-30,25.19,38200.0,25.75,25.75,25.19
1998-05-01,25.75,10200.0,26.0,26.0,25.75
1998-05-04,26.0,15000.0,26.25,26.06,26.0
1998-05-05,26.13,9200.0,26.38,26.13,26.13
1998-05-06,26.19,70400.0,26.44,26.38,26.19
1998-05-07,26.31,5100.0,26.5,26.25,26.25
1998-05-08,26.13,3000.0,26.25,26.25,26.13
1998-05-11,26.38,60900.0,26.69,26.56,26.38
1998-05-12,26.13,30000.0,26.5,26.5,26.0
1998-05-13,26.5,21200.0,26.63,26.44,26.38
1998-05-14,26.38,19600.0,26.44,26.19,26.19
1998-05-15,26.13,17000.0,26.13,25.56,25.56
1998-05-18,25.63,13800.0,25.63,25.25,25.19
1998-05-19,25.13,5900.0,25.19,25.19,25.06
1998-05-20,25.13,6700.0,25.13,24.94,24.94
1998-05-21,24.94,62300.0,24.94,24.75,24.75
1998-05-22,24.69,41800.0,24.69,24.56,24.38
1998-05-26,24.56,36300.0,24.56,24.44,24.31
1998-05-27,24.44,6800.0,24.75,24.75,24.38
1998-05-28,24.69,8700.0,24.75,24.75,24.63
1998-05-29,24.75,41200.0,24.88,24.5,24.44
1998-06-01,24.5,21800.0,24.56,24.5,24.44
1998-06-02,24.63,30600.0,24.63,24.44,24.38
1998-06-03,24.5,23000.0,24.63,24.5,24.5
1998-06-04,24.56,39100.0,24.56,24.5,24.5
1998-06-05,24.5,17900.0,24.5,24.44,24.31
1998-06-08,24.5,130300.0,24.56,24.31,24.25
1998-06-09,24.31,11000.0,24.44,24.44,24.25
1998-06-10,24.38,7900.0,24.44,24.25,24.25
1998-06-11,24.25,6200.0,24.31,24.25,24.25
1998-06-12,24.25,11200.0,24.31,24.19,24.13
1998-06-15,24.19,22000.0,24.19,24.13,24.06
1998-06-16,24.13,7900.0,24.19,24.13,24.13
1998-06-17,24.25,47000.0,24.31,24.25,24.13
1998-06-18,24.38,9500.0,24.38,24.31,24.31
1998-06-19,24.31,9000.0,24.38,24.31,24.31
1998-06-22,24.44,9500.0,24.44,24.25,24.25
1998-06-23,24.38,5900.0,24.44,24.44,24.38
1998-06-24,24.38,18200.0,24.44,24.44,24.25
1998-06-25,24.44,37400.0,24.94,24.88,24.38
1998-06-26,25.0,41500.0,25.5,25.44,24.94
1998-06-29,25.38,7700.0,25.56,25.56,25.38
1998-06-30,25.69,144600.0,26.25,25.13,25.13
1998-07-01,25.19,18900.0,25.75,25.75,25.19
1998-07-02,25.75,11300.0,25.75,25.69,25.63
1998-07-06,25.69,36300.0,25.94,25.94,25.69
1998-07-07,26.06,82000.0,26.5,26.44,26.06
1998-07-08,26.5,58400.0,26.5,26.31,26.31
1998-07-09,26.25,17500.0,26.31,26.31,26.25
1998-07-10,26.31,24700.0,26.31,26.13,26.13
1998-07-13,26.25,30600.0,26.25,25.88,25.88
1998-07-14,25.75,32700.0,25.75,25.56,25.31
1998-07-15,25.5,5000.0,25.5,25.5,25.44
1998-07-16,25.63,79600.0,25.94,25.94,25.56
1998-07-17,25.94,28200.0,26.0,26.0,25.75
1998-07-20,26.0,37600.0,26.13,26.06,25.94
1998-07-21,26.0,62100.0,26.06,26.0,25.88
1998-07-22,26.0,37200.0,26.0,25.38,25.25
1998-07-23,25.5,6600.0,25.5,25.38,25.25
1998-07-24,25.38,12700.0,25.44,25.38,25.25
1998-07-27,25.38,34100.0,25.38,25.25,25.25
1998-07-28,25.31,18200.0,25.31,25.0,24.94
1998-07-29,25.0,61600.0,25.0,24.75,24.75
1998-07-30,24.81,72900.0,24.81,24.25,24.13
1998-07-31,24.19,37500.0,24.25,23.75,23.75
1998-08-03,23.63,38200.0,23.63,23.25,23.25
1998-08-04,23.25,38800.0,23.56,22.38,22.38
1998-08-05,22.38,27000.0,22.56,22.44,22.19
1998-08-06,22.69,29400.0,22.69,22.63,22.5
1998-08-07,22.63,84700.0,23.0,22.81,22.63
1998-08-10,22.44,20300.0,22.56,22.5,22.38
1998-08-11,22.0,61000.0,22.0,22.0,21.75
1998-08-12,22.0,73900.0,22.0,22.0,21.75
1998-08-13,22.5,15200.0,22.75,22.69,22.38
1998-08-14,22.63,16000.0,22.75,22.69,22.56
1998-08-17,22.63,13000.0,22.75,22.75,22.38
1998-08-18,22.75,25000.0,22.94,22.94,22.75
1998-08-19,22.94,11100.0,23.0,22.81,22.81
1998-08-20,22.81,8300.0,22.94,22.63,22.63
1998-08-21,22.88,23600.0,22.88,22.69,22.63
1998-08-24,22.75,28200.0,23.0,22.81,22.69
1998-08-25,22.88,18000.0,22.88,22.69,22.69
1998-08-26,22.63,2100.0,22.63,22.5,22.5
1998-08-27,22.5,18700.0,22.5,22.44,22.38
1998-08-28,22.44,19100.0,22.56,22.5,22.44
1998-08-31,22.5,15500.0,22.5,22.06,22.0
1998-09-01,22.13,26500.0,22.25,22.13,22.13
1998-09-02,22.25,14400.0,22.25,21.75,21.75
1998-09-03,21.63,6700.0,21.75,21.25,21.25
1998-09-04,21.13,24100.0,21.38,21.13,20.88
1998-09-08,21.25,24600.0,21.63,21.38,21.25
1998-09-09,21.44,25600.0,21.44,21.13,21.13
1998-09-10,21.0,2200.0,21.0,20.75,20.75
1998-09-11,20.75,28200.0,20.75,20.75,20.5
1998-09-14,20.69,12900.0,20.94,20.69,20.69
1998-09-15,20.63,31300.0,20.75,20.63,20.56
1998-09-16,20.69,8100.0,20.75,20.56,20.56
1998-09-17,20.69,60500.0,21.25,21.25,20.44
1998-09-18,21.63,22300.0,21.75,21.75,21.31
1998-09-21,21.75,34400.0,22.13,22.13,21.75
1998-09-22,22.25,137000.0,23.38,23.25,22.25
1998-09-23,23.38,41200.0,23.5,23.44,23.38
1998-09-24,23.5,59300.0,24.0,23.63,23.5
1998-09-25,23.5,12400.0,23.63,23.19,23.06
