date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,8.75,26700.0,8.875,8.875,8.5
1998-01-05,9.0,44800.0,9.375,9.0,8.875
1998-01-06,9.0,60600.0,9.125,8.5,8.25
1998-01-07,8.5,83700.0,8.5,8.25,8.125
1998-01-08,8.25,16200.0,8.625,8.25,8.25
1998-01-09,8.25,32000.0,8.75,8.688,8.25
1998-01-12,8.25,7700.0,8.5,8.375,8.25
1998-01-13,8.875,35300.0,8.875,8.375,8.375
1998-01-14,8.5,104600.0,8.875,8.563,8.375
1998-01-15,8.5,30100.0,8.75,8.375,8.375
1998-01-16,8.625,101800.0,8.625,8.125,8.0
1998-01-20,8.125,48200.0,8.5,8.5,8.125
1998-01-21,8.0,126900.0,8.375,7.875,7.5
1998-01-22,7.813,18800.0,8.0,7.938,7.813
1998-01-23,8.0,10900.0,8.0,7.938,7.875
1998-01-26,8.125,30900.0,8.125,7.5,7.5
1998-01-27,7.875,115800.0,7.875,7.438,7.25
1998-01-28,7.375,88100.0,7.5,7.125,7.125
1998-01-29,7.25,179500.0,7.25,7.0,7.0
1998-01-30,7.0,69300.0,7.375,7.0,7.0
1998-02-02,7.125,130800.0,7.625,7.375,7.125
1998-02-03,7.5,97100.0,7.625,7.5,7.25
1998-02-04,7.625,83500.0,7.75,7.5,7.375
1998-02-05,7.5,42200.0,7.688,7.125,7.125
1998-02-06,7.375,104700.0,7.375,7.125,7.125
1998-02-09,7.125,151000.0,7.375,7.375,7.125
1998-02-10,7.25,62200.0,7.625,7.5,7.25
1998-02-11,7.625,269000.0,9.5,9.5,7.375
1998-02-12,9.5,111900.0,9.5,8.938,8.5
1998-02-13,8.813,108800.0,9.125,8.563,8.5
1998-02-17,8.875,29100.0,9.0,8.813,8.5
1998-02-18,8.625,32400.0,9.0,8.688,8.625
1998-02-19,8.563,29000.0,9.0,8.875,8.563
1998-02-20,8.625,44800.0,9.0,8.625,8.625
1998-02-23,8.688,87500.0,8.688,8.438,8.25
1998-02-24,8.0,63600.0,8.5,8.375,8.0
1998-02-25,8.125,49000.0,8.5,8.5,7.875
1998-02-26,8.0,68600.0,8.5,8.25,8.0
1998-02-27,8.375,4061000.0,8.375,8.125,7.563
1998-03-02,8.0,185000.0,8.125,7.75,7.688
1998-03-03,7.688,370000.0,7.688,7.625,7.5
1998-03-04,7.5,47400.0,7.75,7.5,7.5
1998-03-05,7.5,10800.0,7.531,7.516,7.5
1998-03-06,7.688,63300.0,7.75,7.625,7.5
1998-03-09,7.75,93900.0,7.875,7.563,7.5
1998-03-10,7.563,87800.0,7.875,7.563,7.563
1998-03-11,7.5,413200.0,8.125,7.813,7.5
1998-03-12,7.625,250700.0,8.5,8.5,7.625
1998-03-13,8.5,311500.0,9.125,8.875,8.25
1998-03-16,9.063,91100.0,9.063,8.625,8.625
1998-03-17,8.875,81400.0,9.0,8.5,8.25
1998-03-18,8.5,67000.0,8.75,8.563,8.375
1998-03-19,8.75,29900.0,8.75,8.5,8.5
1998-03-20,8.375,54500.0,8.625,8.25,8.25
1998-03-23,7.813,28700.0,8.125,7.875,7.75
1998-03-24,7.875,99200.0,8.25,7.938,7.75
1998-03-25,7.938,50200.0,7.938,7.75,7.75
1998-03-26,7.75,128600.0,7.813,7.563,7.5
1998-03-27,7.5,86700.0,7.75,7.531,7.5
