date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,42.0,270283.0,42.81,42.56,42.0
1998-01-05,42.5,274332.0,43.5,43.5,42.25
1998-01-06,43.5,269393.0,43.5,42.13,42.13
1998-01-07,41.88,282267.0,42.0,41.25,40.88
1998-01-08,41.38,360972.0,41.38,40.44,39.5
1998-01-09,40.5,372227.0,40.63,39.75,39.0
1998-01-12,38.88,357247.0,39.63,39.13,38.5
1998-01-13,39.5,290931.0,40.0,38.13,38.13
1998-01-14,38.63,421943.0,40.13,39.63,38.38
1998-01-15,40.13,180729.0,40.25,39.56,39.25
1998-01-16,39.75,421862.0,40.13,40.13,39.25
1998-01-20,40.38,94332.0,40.38,40.0,39.63
1998-01-21,40.13,165425.0,40.13,39.81,39.38
1998-01-22,39.75,77895.0,39.88,39.63,39.44
1998-01-23,39.88,208988.0,40.0,38.63,38.25
1998-01-26,38.75,173684.0,38.88,38.78,38.38
1998-01-27,38.5,110688.0,39.25,39.06,38.5
1998-01-28,39.0,129717.0,39.75,39.75,39.0
1998-01-29,39.75,212470.0,40.38,39.5,39.25
1998-01-30,39.63,287206.0,40.69,39.13,39.13
1998-02-02,39.5,206316.0,40.94,40.5,39.38
1998-02-03,40.75,244777.0,41.13,40.88,40.13
1998-02-04,41.13,88016.0,41.13,41.13,40.75
1998-02-05,41.13,98704.0,41.25,41.19,40.5
1998-02-06,41.5,220405.0,41.75,40.5,40.5
1998-02-09,40.0,445749.0,40.5,39.13,38.88
1998-02-10,39.38,439190.0,40.0,39.56,39.25
1998-02-11,39.63,389312.0,39.63,39.0,39.0
1998-02-12,39.0,479109.0,39.25,38.44,38.0
1998-02-13,38.25,324534.0,38.5,38.0,38.0
1998-02-17,38.19,525182.0,38.44,37.94,37.75
1998-02-18,38.0,371579.0,38.75,38.63,37.88
1998-02-19,38.81,219676.0,38.81,38.56,38.38
1998-02-20,38.5,1259514.0,39.25,39.06,38.44
1998-02-23,39.06,516923.0,39.75,39.06,39.0
1998-02-24,38.94,306964.0,39.75,39.63,38.88
1998-02-25,39.88,385344.0,40.0,39.88,39.38
1998-02-26,40.0,221457.0,40.0,39.75,39.5
1998-02-27,39.63,218057.0,40.0,39.75,39.38
1998-03-02,40.0,463239.0,40.19,39.97,39.75
1998-03-03,40.0,620162.0,41.25,41.19,39.75
1998-03-04,41.13,262105.0,41.25,40.75,40.38
1998-03-05,40.38,304534.0,40.88,40.75,40.13
1998-03-06,40.38,871984.0,41.25,41.25,40.38
1998-03-09,41.06,175385.0,41.19,40.75,40.5
1998-03-10,41.0,385020.0,41.31,41.25,40.69
1998-03-11,41.25,239595.0,41.25,41.06,40.88
1998-03-12,40.75,291741.0,41.19,40.88,40.75
1998-03-13,41.0,212227.0,41.25,40.75,40.5
1998-03-16,40.88,362348.0,41.75,41.63,40.69
1998-03-17,41.5,519919.0,41.75,41.63,41.19
1998-03-18,41.38,231903.0,41.5,41.5,41.25
1998-03-19,41.56,105020.0,41.56,41.5,41.38
1998-03-20,41.63,238057.0,41.63,41.56,41.25
1998-03-23,41.38,180567.0,41.63,41.38,41.31
1998-03-24,41.44,170526.0,41.5,41.41,41.31
1998-03-25,41.44,418138.0,42.0,41.88,41.38
1998-03-26,41.88,251741.0,42.0,42.0,41.5
1998-03-27,42.0,190607.0,42.0,41.44,41.38
1998-03-30,41.56,153441.0,41.75,41.5,41.38
1998-03-31,41.38,330040.0,41.94,41.94,41.38
1998-04-01,42.0,288502.0,42.0,41.69,41.56
1998-04-02,41.75,393765.0,42.31,42.06,41.75
1998-04-03,42.13,164696.0,42.63,41.88,41.75
1998-04-06,41.88,329960.0,42.44,42.0,41.88
1998-04-07,42.0,202591.0,42.0,41.56,41.5
1998-04-08,41.5,245182.0,41.63,41.0,41.0
