date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,39.25,182500.0,39.5,39.38,38.69
1998-01-05,40.0,110100.0,40.0,38.56,38.56
1998-01-06,38.56,194600.0,38.56,38.06,37.94
1998-01-07,38.13,145800.0,38.31,37.94,37.19
1998-01-08,37.69,168300.0,37.75,36.63,36.56
1998-01-09,36.94,177100.0,36.94,35.25,35.0
1998-01-12,33.38,267900.0,36.0,35.5,33.25
1998-01-13,36.5,351200.0,37.94,37.94,36.31
1998-01-14,37.81,166500.0,37.81,37.06,36.88
1998-01-15,37.25,116700.0,37.25,37.19,36.88
1998-01-16,37.25,384500.0,37.5,37.0,36.56
1998-01-20,36.88,253500.0,38.63,38.38,36.88
1998-01-21,38.38,124300.0,39.38,38.81,38.31
1998-01-22,38.63,141400.0,38.81,38.63,37.88
1998-01-23,38.63,135800.0,38.63,37.13,36.75
1998-01-26,37.38,327300.0,38.69,37.5,37.38
1998-01-27,37.44,201400.0,38.0,37.5,37.13
1998-01-28,37.5,267200.0,38.75,38.69,37.5
1998-01-29,38.63,310900.0,39.63,39.0,38.63
1998-01-30,38.94,167400.0,39.63,38.63,38.25
1998-02-02,39.5,288200.0,41.13,41.0,39.44
1998-02-03,41.0,278700.0,41.38,40.19,39.88
1998-02-04,40.44,258100.0,42.0,41.94,40.44
1998-02-05,42.19,136200.0,42.63,41.75,41.19
1998-02-06,41.75,256100.0,43.63,43.63,41.75
1998-02-09,43.38,270300.0,44.81,44.31,43.25
1998-02-10,44.44,222900.0,45.31,44.81,44.38
1998-02-11,44.94,357400.0,45.13,44.63,44.63
1998-02-12,44.38,286800.0,44.44,44.13,42.81
1998-02-13,44.0,103200.0,44.5,43.75,43.75
1998-02-17,43.75,148500.0,44.13,43.75,43.56
1998-02-18,43.75,151500.0,44.06,44.06,43.63
1998-02-19,43.94,112900.0,44.5,44.31,43.69
1998-02-20,44.25,182600.0,44.31,44.31,44.0
1998-02-23,44.44,92400.0,44.5,44.38,44.31
1998-02-24,44.25,112400.0,44.38,44.31,43.88
1998-02-25,44.5,230600.0,45.38,45.0,44.5
1998-02-26,45.0,253900.0,45.38,45.38,45.0
1998-02-27,45.5,137300.0,46.0,45.25,45.19
1998-03-02,45.0,254000.0,45.81,45.69,45.0
1998-03-03,45.56,195100.0,46.88,46.38,45.31
1998-03-04,46.25,198600.0,47.13,47.13,45.88
1998-03-05,46.63,172300.0,47.0,46.56,46.13
1998-03-06,46.81,106600.0,47.0,46.81,46.38
1998-03-09,46.75,102300.0,47.56,46.5,46.5
1998-03-10,46.5,133300.0,47.06,46.5,46.38
1998-03-11,46.5,98200.0,46.94,46.88,46.13
1998-03-12,46.94,101700.0,47.25,47.06,46.5
1998-03-13,47.13,155100.0,47.44,47.44,46.19
1998-03-16,47.81,128100.0,47.88,47.81,47.25
1998-03-17,47.0,66300.0,47.38,47.25,47.0
1998-03-18,47.38,56800.0,47.44,47.19,46.94
1998-03-19,47.31,131700.0,47.56,47.56,46.88
1998-03-20,47.38,151400.0,48.25,47.63,47.19
1998-03-23,47.38,137700.0,47.81,47.19,47.19
1998-03-24,47.19,161100.0,47.63,47.25,46.63
1998-03-25,47.38,177300.0,49.25,47.56,47.38
1998-03-26,47.19,160200.0,47.69,47.63,46.88
1998-03-27,47.69,46100.0,48.0,47.56,47.44
1998-03-30,47.56,72000.0,47.56,47.0,47.0
1998-03-31,47.0,185400.0,48.25,48.0,47.0
1998-04-01,48.13,103000.0,48.13,47.56,47.44
1998-04-02,47.63,111400.0,48.94,48.63,47.56
1998-04-03,48.69,137000.0,49.81,48.75,48.63
1998-04-06,48.88,135100.0,49.0,47.25,47.25
1998-04-07,47.38,362300.0,48.25,47.75,47.25
1998-04-08,47.63,208500.0,48.56,48.0,47.13
1998-04-09,48.13,134900.0,49.63,48.06,48.0
1998-04-13,48.25,82800.0,48.88,48.69,48.25
1998-04-14,48.88,85000.0,50.25,49.81,48.81
1998-04-15,50.0,139400.0,50.69,49.75,49.44
1998-04-16,49.94,311800.0,51.0,49.38,49.31
1998-04-17,49.38,181700.0,49.56,49.5,49.25
1998-04-20,49.63,242000.0,52.5,52.19,49.63
1998-04-21,52.63,212500.0,52.88,51.75,51.63
1998-04-22,52.0,144300.0,52.94,52.88,52.0
1998-04-23,52.88,125100.0,52.88,51.25,51.13
1998-04-24,51.38,178800.0,52.19,51.5,51.38
1998-04-27,51.25,109700.0,51.25,50.25,49.5
1998-04-28,50.63,107600.0,50.88,50.88,50.44
1998-04-29,51.06,81100.0,51.88,51.19,50.69
1998-04-30,51.38,242800.0,54.25,54.13,51.38
1998-05-01,54.13,114200.0,54.13,54.06,53.38
1998-05-04,54.13,158300.0,54.25,54.06,53.88
1998-05-05,54.13,113700.0,54.19,53.31,53.06
1998-05-06,53.38,73300.0,53.38,52.75,52.75
1998-05-07,52.75,58400.0,53.19,52.94,52.75
1998-05-08,52.94,124900.0,54.81,53.94,52.94
1998-05-11,54.19,54300.0,54.56,53.19,53.13
1998-05-12,53.25,109100.0,53.88,53.56,53.0
1998-05-13,53.69,42500.0,54.44,54.31,53.5
1998-05-14,54.38,42300.0,54.94,54.56,54.13
1998-05-15,54.69,134400.0,54.69,52.44,52.0
1998-05-18,52.56,126600.0,52.81,52.44,51.63
1998-05-19,52.19,116500.0,53.44,52.25,52.0
1998-05-20,52.44,201300.0,52.81,52.75,52.31
1998-05-21,52.88,160000.0,53.25,53.13,52.69
1998-05-22,53.19,96600.0,53.31,52.94,52.69
1998-05-26,53.0,268500.0,53.38,51.06,50.63
1998-05-27,50.94,222300.0,51.13,51.13,49.75
1998-05-28,51.0,102800.0,51.94,51.69,50.63
1998-05-29,51.69,65300.0,51.81,50.63,50.63
1998-06-01,50.88,148300.0,50.94,50.94,50.19
1998-06-02,51.19,65100.0,52.19,52.0,51.0
1998-06-03,51.75,327200.0,54.94,54.38,51.75
1998-06-04,54.38,290900.0,55.75,55.5,54.38
1998-06-05,55.63,265000.0,56.25,55.75,55.0
1998-06-08,56.0,149800.0,57.44,57.06,56.0
1998-06-09,57.19,287000.0,60.25,59.0,57.19
1998-06-10,58.81,142200.0,58.94,57.44,57.44
1998-06-11,57.19,380000.0,57.5,56.88,56.44
1998-06-12,56.88,177600.0,56.88,55.44,55.41
1998-06-15,55.5,364100.0,55.75,55.56,54.63
1998-06-16,55.63,354100.0,55.63,55.13,54.38
1998-06-17,55.5,283200.0,57.38,57.38,55.5
1998-06-18,57.5,336300.0,57.94,57.0,56.63
1998-06-19,57.0,256300.0,57.25,56.31,56.31
1998-06-22,56.38,200300.0,56.38,56.19,55.94
1998-06-23,56.19,121100.0,56.25,55.88,55.81
1998-06-24,55.94,306000.0,56.13,56.0,55.56
1998-06-25,56.25,205900.0,57.88,56.0,55.75
1998-06-26,56.0,174500.0,56.0,55.88,55.63
1998-06-29,55.94,285400.0,56.13,56.0,55.88
1998-06-30,56.0,272900.0,56.0,55.88,55.38
1998-07-01,56.0,220400.0,56.0,55.94,55.56
1998-07-02,56.0,89200.0,56.0,55.0,54.88
1998-07-06,55.0,201900.0,55.0,53.94,53.94
1998-07-07,53.25,610100.0,53.25,52.75,51.19
1998-07-08,53.0,349200.0,54.94,54.75,52.81
1998-07-09,54.88,330900.0,54.94,54.56,54.5
1998-07-10,54.56,173700.0,54.56,53.94,53.5
1998-07-13,53.81,80900.0,53.94,53.44,53.44
1998-07-14,53.69,439600.0,53.75,53.69,53.06
1998-07-15,53.56,213600.0,54.5,53.81,53.5
1998-07-16,53.38,142900.0,53.5,53.06,52.88
1998-07-17,53.06,128600.0,53.06,52.0,51.94
1998-07-20,54.0,604100.0,55.38,55.19,53.81
1998-07-21,56.5,693000.0,58.69,57.56,56.5
1998-07-22,57.56,318900.0,57.75,57.69,57.0
1998-07-23,57.69,283800.0,58.25,57.06,57.0
1998-07-24,57.0,267700.0,57.19,55.75,53.88
1998-07-27,55.63,188300.0,55.63,54.5,53.25
1998-07-28,54.5,319000.0,55.75,55.06,54.5
1998-07-29,55.13,426000.0,57.25,56.19,55.13
1998-07-30,56.0,157500.0,56.06,55.75,55.19
1998-07-31,55.5,201300.0,55.94,53.56,53.25
1998-08-03,53.25,329000.0,53.63,53.63,51.69
1998-08-04,53.88,247000.0,54.25,53.31,52.75
1998-08-05,53.0,355100.0,54.75,54.31,53.0
1998-08-06,53.88,154300.0,56.5,56.5,53.88
1998-08-07,56.5,415800.0,57.44,57.0,56.0
1998-08-10,57.25,221200.0,57.75,56.88,56.56
1998-08-11,56.0,250000.0,56.25,55.75,55.31
1998-08-12,56.0,347100.0,57.25,57.25,55.31
1998-08-13,57.0,528000.0,57.44,57.06,56.63
1998-08-14,57.13,285200.0,57.13,55.81,55.5
1998-08-17,55.94,178300.0,56.63,56.44,55.56
1998-08-18,56.5,307700.0,57.13,56.94,56.44
1998-08-19,57.0,381400.0,57.25,56.94,56.0
1998-08-20,56.94,263200.0,56.94,55.06,55.0
1998-08-21,54.81,188600.0,54.81,53.69,52.81
1998-08-24,53.44,209200.0,53.44,52.69,52.44
1998-08-25,52.81,214200.0,54.25,53.75,52.81
1998-08-26,53.63,360000.0,53.63,52.81,52.31
1998-08-27,52.5,571900.0,52.5,50.13,46.38
1998-08-28,50.31,474800.0,51.06,49.5,48.88
1998-08-31,49.0,799600.0,49.25,48.0,46.38
1998-09-01,47.5,547500.0,47.75,46.63,45.44
1998-09-02,46.88,477300.0,46.94,45.25,45.25
1998-09-03,44.5,532400.0,44.75,43.5,43.5
1998-09-04,43.0,840200.0,43.0,41.31,41.0
1998-09-08,43.5,830900.0,45.5,44.63,43.5
1998-09-09,44.88,451200.0,46.31,45.75,44.81
1998-09-10,45.0,818900.0,45.0,42.75,41.56
1998-09-11,42.5,678600.0,44.38,44.38,41.75
