date,1. open,5. volume,2. high,4. close,3. low
1999-08-11,46.0,17883100.0,56.75,54.5,40.0
1999-08-12,58.0,15293000.0,77.87,72.62,58.0
1999-08-13,85.12,8890700.0,90.69,85.25,80.25
1999-08-16,85.75,6242100.0,86.25,74.5,73.62
1999-08-17,76.0,6667700.0,76.5,67.25,62.38
1999-08-18,66.5,4298900.0,75.75,71.5,61.0
1999-08-19,69.19,1901400.0,75.31,71.31,67.25
1999-08-20,73.87,1251100.0,74.87,68.12,67.19
1999-08-23,64.0,1383700.0,67.87,63.88,63.5
1999-08-24,62.81,1869500.0,70.81,69.0,62.75
1999-08-25,73.75,1879100.0,76.5,73.5,70.25
1999-08-26,77.25,2900000.0,84.62,78.94,75.25
1999-08-27,83.25,1320100.0,83.5,79.81,76.5
1999-08-30,80.75,652200.0,81.06,75.56,75.0
1999-08-31,76.62,1496400.0,82.5,82.31,70.5
1999-09-01,83.87,1279800.0,86.0,79.62,78.62
1999-09-02,77.62,772200.0,81.5,80.0,75.0
1999-09-03,84.44,1121500.0,85.25,84.94,80.62
1999-09-07,87.0,8228200.0,109.87,108.0,83.37
1999-09-08,106.25,12259200.0,135.25,116.75,106.0
1999-09-09,125.31,5185400.0,131.5,123.25,123.25
1999-09-10,130.25,2819100.0,130.69,119.75,117.12
1999-09-13,118.5,2698300.0,118.75,108.37,105.75
1999-09-14,104.62,2566000.0,106.5,100.97,100.12
1999-09-15,106.0,2354200.0,106.62,96.84,96.0
1999-09-16,99.72,4716500.0,113.5,113.44,92.5
1999-09-17,114.94,4602100.0,120.81,107.37,107.12
1999-09-20,111.0,1438500.0,115.0,110.47,106.41
1999-09-21,109.12,1948100.0,117.25,112.37,108.5
1999-09-22,115.0,1498700.0,115.0,108.25,107.5
1999-09-23,111.44,1388200.0,112.5,101.0,100.0
1999-09-24,103.0,1281600.0,105.25,102.06,98.25
1999-09-27,108.0,697300.0,108.62,102.25,100.87
1999-09-28,101.06,665100.0,102.31,99.62,98.75
1999-09-29,99.0,745800.0,104.0,98.19,97.5
1999-09-30,99.94,631900.0,101.5,96.0,95.75
1999-10-01,95.0,1617100.0,95.0,87.44,85.62
1999-10-04,91.0,834900.0,92.5,88.69,87.56
1999-10-05,91.0,1620200.0,97.5,90.87,89.25
1999-10-06,93.87,701300.0,93.87,90.87,88.12
1999-10-07,92.5,1482500.0,92.94,86.37,85.25
1999-10-08,86.37,715100.0,89.5,86.5,84.87
1999-10-11,86.37,1366100.0,95.5,95.25,86.37
1999-10-12,94.5,1010700.0,96.19,91.12,90.0
1999-10-13,89.12,786200.0,93.5,89.44,86.19
1999-10-14,90.56,402300.0,90.56,87.41,86.0
1999-10-15,81.06,820300.0,84.75,81.25,80.25
1999-10-18,80.44,484600.0,84.0,83.87,80.06
1999-10-19,86.87,626200.0,87.0,77.5,77.25
1999-10-20,80.12,629700.0,82.81,79.31,77.87
1999-10-21,77.0,813600.0,83.0,77.0,75.0
