date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,48.19,387700.0,48.19,47.56,47.0
1998-01-05,47.69,895900.0,49.5,44.94,44.75
1998-01-06,43.75,1430800.0,43.81,42.13,41.0
1998-01-07,42.38,1806300.0,43.38,42.0,41.0
1998-01-08,40.5,1269800.0,41.25,40.0,39.94
1998-01-09,39.88,1581800.0,40.5,37.25,36.38
1998-01-12,35.5,1521300.0,38.5,36.25,35.0
1998-01-13,37.25,1308600.0,39.19,38.19,37.13
1998-01-14,39.0,615000.0,39.75,39.31,38.81
1998-01-15,39.69,861500.0,41.0,39.06,38.88
1998-01-16,39.25,612200.0,41.75,41.5,39.13
1998-01-20,42.5,800300.0,43.75,43.5,42.13
1998-01-21,43.13,581300.0,43.38,43.0,41.88
1998-01-22,42.0,1066400.0,42.06,40.06,39.5
1998-01-23,40.5,710200.0,41.13,39.06,38.31
1998-01-26,39.88,978000.0,40.63,40.25,38.56
1998-01-27,40.25,862800.0,40.81,39.25,39.0
1998-01-28,39.69,575500.0,41.75,41.75,39.56
1998-01-29,42.63,1091000.0,43.31,42.25,41.88
1998-01-30,42.63,888600.0,42.75,39.75,39.25
1998-02-02,41.0,1505600.0,41.31,40.13,39.63
1998-02-03,40.0,1126000.0,41.0,40.25,39.31
1998-02-04,39.38,1277600.0,43.25,43.06,39.38
1998-02-05,43.06,1265200.0,44.69,43.81,42.88
1998-02-06,43.88,953500.0,44.38,42.69,42.5
1998-02-09,44.0,903600.0,44.44,42.13,42.06
1998-02-10,42.5,1151400.0,43.5,42.56,42.25
1998-02-11,42.63,1116000.0,42.81,41.63,41.5
1998-02-12,41.0,860300.0,41.5,41.5,40.44
1998-02-13,42.0,760300.0,42.75,41.94,41.38
1998-02-17,42.44,2000300.0,42.69,39.5,39.0
1998-02-18,39.44,1244000.0,41.94,41.88,39.44
1998-02-19,41.75,1450700.0,42.44,41.19,40.5
1998-02-20,41.75,1265500.0,42.19,42.06,41.06
1998-02-23,41.13,1063700.0,41.25,40.63,39.75
1998-02-24,40.88,685600.0,41.44,40.75,40.19
1998-02-25,40.0,588600.0,42.0,41.5,39.88
1998-02-26,42.63,679300.0,43.75,42.81,42.25
1998-02-27,42.94,627400.0,44.0,43.38,42.63
1998-03-02,43.5,853900.0,46.63,45.88,43.5
1998-03-03,45.94,819800.0,47.44,47.0,44.38
1998-03-04,47.5,952500.0,48.44,45.94,45.88
1998-03-05,45.94,847200.0,48.44,47.06,45.75
1998-03-06,47.38,523700.0,47.75,45.81,45.56
1998-03-09,45.81,558900.0,45.81,44.56,43.81
1998-03-10,44.81,653500.0,45.94,45.56,43.69
1998-03-11,45.63,883300.0,46.63,44.56,44.25
1998-03-12,44.81,606800.0,45.69,45.69,43.31
1998-03-13,46.0,615700.0,46.63,45.19,44.94
1998-03-16,45.38,675900.0,45.38,43.31,42.75
1998-03-17,43.06,1895000.0,43.13,43.0,41.0
1998-03-18,42.38,2612800.0,46.38,46.19,42.38
1998-03-19,46.06,1305400.0,47.5,46.63,45.13
1998-03-20,46.81,1076800.0,49.75,49.0,46.81
1998-03-23,53.5,1768400.0,53.5,52.0,51.81
1998-03-24,51.75,1190400.0,53.0,51.88,51.31
1998-03-25,52.0,780100.0,54.94,53.94,51.88
1998-03-26,53.75,710900.0,54.75,53.94,53.31
1998-03-27,54.0,996700.0,54.31,54.0,52.5
1998-03-30,54.0,354100.0,54.44,52.94,52.38
1998-03-31,52.88,520500.0,52.88,51.44,51.13
1998-04-01,51.56,897700.0,54.63,54.06,51.56
1998-04-02,54.25,899100.0,54.31,52.88,52.88
1998-04-03,53.63,882300.0,54.44,53.56,53.31
1998-04-06,53.44,868900.0,53.75,52.88,52.63
1998-04-07,53.19,836600.0,53.19,51.31,50.56
1998-04-08,51.81,684600.0,53.19,53.19,51.25
1998-04-09,53.06,510600.0,53.56,52.75,52.06
1998-04-13,52.56,726700.0,52.81,51.94,51.63
1998-04-14,51.69,320400.0,52.75,52.69,51.69
1998-04-15,52.44,643300.0,54.94,54.75,52.38
1998-04-16,54.94,750600.0,55.38,53.0,52.5
1998-04-17,53.5,490300.0,55.0,54.38,53.19
1998-04-20,54.63,870000.0,55.0,53.5,52.75
1998-04-21,53.75,870500.0,54.56,54.56,53.0
1998-04-22,54.44,891600.0,55.56,54.0,53.38
1998-04-23,54.13,425000.0,54.44,53.81,53.63
1998-04-24,53.88,355100.0,54.25,53.13,53.0
1998-04-27,52.63,458600.0,53.25,52.75,51.5
1998-04-28,54.0,942700.0,54.5,53.19,52.5
1998-04-29,53.31,923800.0,55.94,55.94,53.31
1998-04-30,55.0,960300.0,55.94,55.88,54.19
1998-05-01,55.88,1649600.0,59.5,59.31,54.88
1998-05-04,58.94,1013000.0,59.94,56.81,56.31
1998-05-05,57.25,898900.0,58.13,57.88,56.81
1998-05-06,57.88,600500.0,58.13,56.88,56.75
1998-05-07,56.94,263200.0,57.06,54.88,54.88
1998-05-08,54.94,405600.0,55.69,55.63,54.94
1998-05-11,56.63,400300.0,56.94,55.31,55.13
1998-05-12,55.06,495200.0,56.5,55.56,55.0
1998-05-13,56.06,441000.0,56.5,56.06,55.81
1998-05-14,56.0,494900.0,57.0,56.31,55.44
1998-05-15,56.56,376300.0,56.94,55.0,54.25
1998-05-18,54.19,450800.0,54.56,53.13,52.44
1998-05-19,53.25,671400.0,54.25,52.81,52.56
1998-05-20,52.56,557600.0,52.56,49.81,49.63
1998-05-21,50.0,594600.0,50.63,49.56,49.25
1998-05-22,49.75,291000.0,50.38,50.0,49.5
1998-05-26,50.88,654700.0,50.88,48.63,48.06
1998-05-27,48.0,700200.0,48.69,47.94,47.31
1998-05-28,48.19,781700.0,49.94,49.94,47.13
1998-05-29,49.88,1348300.0,50.19,49.31,48.63
1998-06-01,49.25,632700.0,49.25,46.44,46.38
1998-06-02,46.81,782800.0,48.0,47.81,46.31
1998-06-03,47.69,425100.0,48.0,47.0,46.75
1998-06-04,47.63,764100.0,49.5,48.25,47.63
1998-06-05,49.19,451600.0,49.31,48.63,48.44
1998-06-08,48.63,472700.0,48.63,46.81,46.81
1998-06-09,47.31,856000.0,47.75,46.38,46.19
1998-06-10,46.13,1067400.0,46.13,44.75,44.69
1998-06-11,44.63,987900.0,44.81,43.0,42.69
1998-06-12,42.94,966400.0,45.31,44.75,42.75
1998-06-15,43.75,805300.0,44.06,41.75,41.69
1998-06-16,42.0,1194600.0,44.56,44.38,42.0
1998-06-17,45.63,802400.0,45.69,44.69,44.69
1998-06-18,44.94,728500.0,44.94,43.31,43.19
1998-06-19,43.13,1080600.0,44.0,43.63,43.13
1998-06-22,43.88,695100.0,45.94,45.88,43.63
1998-06-23,45.88,842000.0,47.0,45.69,45.19
1998-06-24,46.38,711900.0,46.75,44.75,44.69
1998-06-25,44.38,790800.0,44.44,43.5,42.81
1998-06-26,43.63,780500.0,43.81,42.44,42.0
1998-06-29,43.0,607600.0,44.56,44.0,42.88
1998-06-30,44.63,620800.0,45.19,44.5,44.44
1998-07-01,45.5,509000.0,45.5,44.38,43.94
1998-07-02,44.19,399800.0,46.38,45.88,44.06
1998-07-06,45.56,382900.0,45.56,44.56,44.56
1998-07-07,44.69,616600.0,44.81,43.06,42.63
1998-07-08,43.31,465100.0,44.69,43.0,43.0
1998-07-09,43.06,667000.0,43.31,42.44,42.0
1998-07-10,42.69,333800.0,43.13,42.06,42.0
1998-07-13,42.06,880500.0,42.31,42.25,40.94
1998-07-14,42.31,1285600.0,44.0,43.31,42.13
1998-07-15,43.63,782800.0,44.69,44.63,43.63
1998-07-16,44.69,600000.0,44.69,43.75,43.25
1998-07-17,43.63,404300.0,44.44,43.88,43.44
1998-07-20,44.13,489900.0,44.31,43.06,42.75
1998-07-21,43.06,640200.0,43.75,42.13,41.56
1998-07-22,42.13,791500.0,43.44,43.25,41.0
1998-07-23,43.75,624500.0,43.88,41.19,41.13
1998-07-24,41.44,862100.0,41.75,39.25,38.0
1998-07-27,39.38,718800.0,40.56,39.63,38.56
1998-07-28,39.25,722900.0,40.13,38.88,38.63
1998-07-29,39.13,656500.0,39.56,39.06,38.13
1998-07-30,39.31,554900.0,41.38,41.13,39.25
1998-07-31,40.88,205100.0,40.94,39.44,39.38
1998-08-03,39.06,690100.0,39.44,37.63,36.75
1998-08-04,38.0,655200.0,38.19,37.0,36.19
1998-08-05,36.5,1691900.0,36.81,34.0,33.13
1998-08-06,33.88,929500.0,35.56,35.0,33.5
1998-08-07,36.5,1432300.0,37.25,35.44,35.06
1998-08-10,35.25,1783400.0,35.25,33.25,33.25
1998-08-11,31.75,1434600.0,32.38,32.0,31.31
1998-08-12,31.75,1160900.0,32.56,32.5,31.31
1998-08-13,32.94,686000.0,33.5,31.94,31.94
1998-08-14,32.63,896400.0,32.69,31.0,30.13
1998-08-17,30.63,863000.0,30.63,29.75,28.63
1998-08-18,29.75,836500.0,30.94,30.06,29.31
1998-08-19,31.25,796000.0,32.44,32.44,31.06
1998-08-20,31.88,1025900.0,32.31,31.56,30.0
1998-08-21,30.0,1648500.0,30.63,30.0,28.94
1998-08-24,30.25,1358700.0,30.63,28.69,28.5
1998-08-25,28.69,1157400.0,29.0,28.19,28.0
1998-08-26,27.5,1175700.0,28.69,27.94,26.0
