date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,28.31,70200.0,29.0,29.0,27.81
1998-01-05,29.0,41800.0,29.0,27.75,27.75
1998-01-06,27.5,54600.0,27.5,26.31,25.81
1998-01-07,26.25,45200.0,27.94,27.94,26.25
1998-01-08,27.94,93700.0,29.0,28.13,27.94
1998-01-09,27.5,74500.0,27.56,25.63,25.31
1998-01-12,25.31,33900.0,26.0,25.31,25.25
1998-01-13,25.44,54000.0,26.13,25.81,25.19
1998-01-14,25.94,59200.0,27.75,27.69,25.94
1998-01-15,27.5,32700.0,27.75,27.06,27.0
1998-01-16,27.31,130800.0,27.5,27.25,27.0
1998-01-20,27.0,67700.0,27.25,27.19,27.0
1998-01-21,27.19,25100.0,27.25,27.19,27.0
1998-01-22,27.19,38400.0,27.25,27.13,27.13
1998-01-23,27.06,38600.0,27.56,27.13,27.06
1998-01-26,27.5,21500.0,27.5,27.38,27.06
1998-01-27,27.13,51100.0,28.0,27.31,27.13
1998-01-28,27.31,62800.0,29.25,28.94,27.31
1998-01-29,29.0,15300.0,29.44,29.0,28.94
1998-01-30,31.0,218700.0,31.0,29.81,29.5
1998-02-02,29.81,108500.0,30.88,30.88,29.81
1998-02-03,30.75,17600.0,30.94,30.94,30.56
1998-02-04,30.94,31100.0,31.44,31.44,30.56
1998-02-05,31.31,213800.0,31.75,31.56,31.0
1998-02-06,31.19,69800.0,32.63,32.56,31.19
1998-02-09,32.56,72200.0,33.38,33.25,32.56
1998-02-10,33.13,58600.0,33.5,32.88,32.88
1998-02-11,32.88,16100.0,32.88,32.63,32.63
1998-02-12,32.25,55400.0,32.25,31.44,31.13
1998-02-13,31.56,39700.0,31.56,31.44,31.13
1998-02-17,31.44,80900.0,31.75,30.13,30.0
1998-02-18,30.38,44700.0,31.44,31.25,30.28
1998-02-19,31.31,255500.0,31.31,27.38,26.75
1998-02-20,28.0,364500.0,28.5,28.44,27.56
1998-02-23,28.44,99600.0,28.94,28.44,28.25
1998-02-24,28.69,87300.0,29.38,29.38,28.38
1998-02-25,29.38,48200.0,29.63,29.38,29.19
1998-02-26,29.19,22200.0,29.44,29.44,29.06
1998-02-27,29.44,20500.0,29.44,29.06,29.06
1998-03-02,29.81,37900.0,30.25,29.44,29.06
1998-03-03,29.5,35500.0,29.5,29.06,29.0
1998-03-04,29.31,86200.0,29.31,28.75,28.13
1998-03-05,28.63,26300.0,29.0,28.63,28.44
1998-03-06,28.88,31100.0,28.88,28.5,28.38
1998-03-09,28.5,19100.0,28.63,28.56,28.44
1998-03-10,29.0,63600.0,29.19,28.94,28.63
1998-03-11,29.0,36700.0,29.5,29.5,28.63
1998-03-12,29.5,14300.0,29.5,29.19,28.94
1998-03-13,29.25,27300.0,29.31,28.44,28.38
1998-03-16,28.44,27600.0,28.69,28.25,27.75
1998-03-17,28.25,54500.0,28.44,27.31,27.0
1998-03-18,27.31,56700.0,27.69,27.56,27.06
1998-03-19,27.44,186000.0,27.75,27.63,27.13
1998-03-20,27.75,34100.0,27.75,27.06,27.06
1998-03-23,27.13,115500.0,27.31,25.94,25.75
1998-03-24,25.88,108900.0,26.81,26.31,25.81
1998-03-25,26.06,121700.0,27.0,26.75,26.06
1998-03-26,26.88,173900.0,28.0,27.88,26.56
1998-03-27,29.0,125500.0,29.25,29.06,28.5
1998-03-30,28.63,20900.0,28.94,28.63,28.5
1998-03-31,28.88,67700.0,30.0,29.69,28.63
1998-04-01,29.81,29700.0,29.81,29.63,29.5
1998-04-02,29.5,56800.0,30.5,30.25,29.38
1998-04-03,30.25,101400.0,30.44,29.0,28.88
1998-04-06,29.0,93800.0,29.0,28.88,28.81
1998-04-07,28.88,100100.0,28.88,28.69,28.69
1998-04-08,28.44,27400.0,28.94,28.94,28.44
1998-04-09,29.0,56800.0,29.56,29.5,29.0
1998-04-13,29.75,18900.0,29.88,29.44,29.13
1998-04-14,29.69,67800.0,31.75,31.13,29.69
1998-04-15,31.0,50000.0,31.19,30.63,30.56
1998-04-16,30.56,15900.0,30.81,30.75,30.56
1998-04-17,30.75,47100.0,31.25,30.63,30.56
1998-04-20,30.69,57400.0,30.69,30.19,30.06
1998-04-21,30.44,54200.0,30.69,30.38,29.94
1998-04-22,30.5,35800.0,30.69,30.69,30.25
1998-04-23,30.69,18600.0,30.69,29.94,29.94
1998-04-24,29.69,34400.0,30.0,29.13,29.06
1998-04-27,28.38,99200.0,28.69,28.69,27.75
1998-04-28,28.94,56500.0,30.25,29.69,28.94
1998-04-29,29.63,48100.0,30.63,30.63,29.63
1998-04-30,30.75,97800.0,31.0,31.0,30.75
1998-05-01,31.0,53400.0,32.44,32.44,31.0
1998-05-04,32.44,18900.0,32.63,31.69,31.63
1998-05-05,31.69,16700.0,31.81,31.0,31.0
1998-05-06,31.0,33000.0,31.13,31.06,30.38
1998-05-07,31.0,7000.0,31.13,31.06,30.75
1998-05-08,30.56,25000.0,31.81,31.81,30.56
1998-05-11,32.06,46700.0,32.63,32.0,31.88
1998-05-12,32.0,13300.0,32.0,31.5,31.19
1998-05-13,31.5,17300.0,31.5,30.63,30.56
1998-05-14,30.88,40300.0,31.13,30.75,30.69
1998-05-15,30.63,136500.0,33.75,32.88,30.63
1998-05-18,33.0,201800.0,33.75,33.06,33.0
1998-05-19,33.5,105100.0,33.94,33.5,33.25
1998-05-20,33.75,65100.0,33.88,33.5,33.25
1998-05-21,33.5,62200.0,33.5,33.44,33.06
1998-05-22,33.44,41700.0,33.75,33.75,33.06
1998-05-26,33.75,81600.0,33.75,33.13,33.0
1998-05-27,33.0,196600.0,33.5,33.25,32.81
1998-05-28,33.25,92100.0,33.81,33.75,32.88
1998-05-29,33.75,48700.0,33.75,33.19,33.0
1998-06-01,33.19,55500.0,33.19,32.81,32.75
1998-06-02,32.81,16900.0,33.44,33.06,32.81
1998-06-03,33.19,53300.0,34.06,33.88,33.19
1998-06-04,33.81,40900.0,33.81,33.31,32.94
1998-06-05,33.5,89700.0,33.5,33.0,32.75
1998-06-08,33.25,69700.0,33.5,33.0,32.94
1998-06-09,33.0,97100.0,33.0,32.31,31.88
1998-06-10,32.06,29000.0,32.44,31.75,31.56
1998-06-11,31.75,27900.0,31.94,31.94,31.5
1998-06-12,31.69,91200.0,31.69,30.0,29.88
