date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,36.63,80900.0,36.88,36.13,36.13
1998-01-05,36.13,162400.0,36.63,36.06,35.5
1998-01-06,36.0,598200.0,36.0,35.63,34.0
1998-01-07,35.5,195400.0,35.88,35.38,35.13
1998-01-08,35.5,368000.0,36.38,36.0,35.38
1998-01-09,36.0,233400.0,36.25,36.13,35.63
1998-01-12,35.25,458600.0,36.0,36.0,34.75
1998-01-13,36.0,382100.0,36.5,36.38,35.63
1998-01-14,36.25,198800.0,36.94,36.94,36.13
1998-01-15,36.75,177100.0,37.25,36.88,36.5
1998-01-16,37.13,452700.0,37.25,36.75,36.38
1998-01-20,37.0,636200.0,37.0,35.88,35.5
1998-01-21,36.0,685900.0,36.25,35.38,35.13
1998-01-22,35.13,544300.0,35.75,34.25,34.25
1998-01-23,34.5,526200.0,34.5,34.13,33.75
1998-01-26,34.0,442100.0,34.0,33.38,33.38
1998-01-27,33.63,624500.0,33.75,33.56,33.25
1998-01-28,33.63,677100.0,33.75,33.0,32.5
1998-01-29,33.0,687500.0,33.63,32.75,32.63
1998-01-30,32.69,449300.0,33.13,32.5,32.13
1998-02-02,33.13,696600.0,33.88,33.56,33.13
1998-02-03,33.63,328600.0,34.5,33.88,33.38
1998-02-04,33.63,234200.0,34.25,34.13,32.88
1998-02-05,34.38,575000.0,36.0,35.94,34.25
1998-02-06,35.75,682900.0,36.38,35.31,35.31
1998-02-09,35.31,1473700.0,35.69,34.69,34.63
1998-02-10,35.0,513100.0,35.25,35.0,34.63
1998-02-11,35.0,375900.0,36.19,36.0,34.88
1998-02-12,36.19,397600.0,36.19,35.63,35.25
1998-02-13,35.5,254400.0,36.0,35.75,35.25
1998-02-17,36.0,674800.0,36.0,35.44,35.44
1998-02-18,35.5,549100.0,36.13,36.13,35.44
1998-02-19,35.75,625900.0,37.63,37.19,35.75
1998-02-20,37.19,606900.0,38.0,37.69,37.0
1998-02-23,37.63,751000.0,38.19,38.0,37.63
1998-02-24,38.0,330100.0,38.25,37.94,37.75
1998-02-25,38.0,290300.0,38.88,38.63,37.88
1998-02-26,38.63,324700.0,39.5,39.44,38.63
1998-02-27,39.5,485500.0,39.75,39.38,39.0
1998-03-02,39.5,325300.0,39.5,38.63,38.38
1998-03-03,38.13,424700.0,38.75,38.5,37.88
