date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,16.38,30667.0,16.38,16.06,15.87
1998-01-05,15.94,88667.0,16.06,15.5,15.44
1998-01-06,15.38,99667.0,15.38,14.56,14.5
1998-01-07,14.56,73200.0,15.0,14.5,14.31
1998-01-08,14.56,127600.0,14.56,14.5,14.37
1998-01-09,14.5,219400.0,14.5,13.62,13.25
1998-01-12,13.5,271667.0,14.06,13.94,13.31
1998-01-13,13.94,271800.0,14.75,14.13,13.94
1998-01-14,14.31,206600.0,14.62,14.62,14.31
1998-01-15,14.62,310800.0,16.38,15.81,14.62
1998-01-16,15.81,81400.0,16.19,16.19,15.75
1998-01-20,16.19,41800.0,16.5,16.38,16.12
1998-01-21,16.38,94400.0,16.56,16.12,16.12
1998-01-22,15.5,73200.0,15.56,15.31,15.19
1998-01-23,15.44,48867.0,15.56,15.19,15.0
1998-01-26,15.12,34467.0,15.38,15.19,14.94
1998-01-27,15.06,106667.0,15.25,15.25,14.94
1998-01-28,15.19,45400.0,15.63,15.63,15.19
1998-01-29,15.63,56000.0,16.19,16.19,15.5
1998-01-30,16.19,55267.0,16.19,15.94,15.81
1998-02-02,15.81,60467.0,15.81,15.63,15.5
1998-02-03,15.75,47000.0,15.87,15.87,15.56
1998-02-04,15.75,25867.0,15.87,15.69,15.5
1998-02-05,15.63,84600.0,16.31,16.0,15.63
1998-02-06,16.12,115267.0,17.0,17.0,15.81
1998-02-09,16.94,166467.0,17.25,17.06,16.88
1998-02-10,17.19,32867.0,17.5,17.0,16.94
1998-02-11,17.0,86600.0,17.37,17.37,17.0
1998-02-12,17.31,288600.0,17.44,17.31,17.19
1998-02-13,17.25,167200.0,17.25,16.62,16.62
1998-02-17,16.75,91200.0,16.75,15.87,15.81
1998-02-18,15.75,73800.0,16.31,16.25,15.69
1998-02-19,16.19,36067.0,16.19,16.0,15.63
1998-02-20,15.87,151400.0,15.87,15.69,15.31
1998-02-23,15.63,50067.0,15.69,15.56,15.5
1998-02-24,15.56,90600.0,15.63,15.56,15.44
1998-02-25,15.44,55600.0,15.75,15.63,15.44
1998-02-26,15.75,121667.0,16.88,16.81,15.75
1998-02-27,16.69,34000.0,16.75,16.56,16.56
1998-03-02,16.56,36067.0,16.56,16.5,16.44
1998-03-03,16.38,102400.0,16.75,16.62,16.31
1998-03-04,16.5,58400.0,16.81,16.62,16.5
1998-03-05,16.5,99600.0,16.62,16.44,16.25
1998-03-06,16.44,45867.0,16.56,16.5,16.44
1998-03-09,16.38,58467.0,16.56,16.38,16.31
1998-03-10,16.31,44200.0,16.56,16.31,16.31
1998-03-11,16.19,52200.0,16.38,15.94,15.87
