date,1. open,5. volume,2. high,4. close,3. low
1998-07-01,25.25,13879067.0,25.69,25.5,24.94
1998-07-02,25.56,2024800.0,25.75,25.69,25.5
1998-07-06,25.69,1158467.0,26.0,25.88,25.5
1998-07-07,26.0,718000.0,26.0,25.5,25.5
1998-07-08,25.63,787000.0,25.75,25.69,25.5
1998-07-09,25.63,962600.0,25.94,25.88,25.5
1998-07-10,26.0,744867.0,26.44,25.81,25.81
1998-07-13,25.75,527200.0,25.81,25.75,25.5
1998-07-14,25.75,850867.0,25.88,25.56,25.56
1998-07-15,25.5,575600.0,26.0,26.0,25.5
1998-07-16,25.75,723000.0,25.94,25.69,25.5
1998-07-17,25.5,801067.0,26.13,26.0,25.38
1998-07-20,26.0,663667.0,27.38,27.38,26.0
1998-07-21,27.38,523067.0,27.44,26.56,26.25
1998-07-22,26.25,998600.0,26.5,25.63,25.44
1998-07-23,25.75,832200.0,25.81,25.5,24.75
1998-07-24,25.75,673200.0,26.06,26.0,25.63
1998-07-27,26.0,562400.0,26.31,25.88,25.75
1998-07-28,25.94,1387867.0,26.06,25.0,25.0
1998-07-29,25.0,887600.0,25.25,24.63,24.5
1998-07-30,24.81,1321600.0,25.0,25.0,24.5
1998-07-31,25.0,729067.0,25.63,25.0,24.88
1998-08-03,25.0,672667.0,25.0,24.38,24.31
1998-08-04,24.31,830600.0,24.31,23.0,22.88
1998-08-05,22.75,436067.0,23.13,21.94,21.94
1998-08-06,22.06,392800.0,22.19,21.88,21.88
1998-08-07,22.0,733467.0,22.63,22.13,21.88
1998-08-10,22.13,214467.0,23.94,23.13,22.0
1998-08-11,22.75,222667.0,22.75,22.0,22.0
1998-08-12,22.75,342400.0,22.75,21.94,21.94
1998-08-13,22.0,646000.0,22.06,21.75,21.75
1998-08-14,22.5,152867.0,22.5,22.0,21.94
1998-08-17,22.25,213267.0,22.38,22.0,22.0
1998-08-18,22.0,141267.0,22.06,22.0,21.88
1998-08-19,22.13,65200.0,22.25,21.94,21.94
1998-08-20,22.19,252467.0,22.38,22.0,21.94
1998-08-21,21.88,342667.0,21.88,20.5,20.13
1998-08-24,20.63,182667.0,21.0,20.69,20.63
1998-08-25,20.94,187267.0,21.69,20.81,20.75
1998-08-26,20.75,42400.0,21.0,20.94,20.63
1998-08-27,20.75,244800.0,20.75,18.88,18.88
1998-08-28,19.0,447467.0,19.75,16.88,16.75
1998-08-31,17.25,1456600.0,17.75,16.13,15.75
1998-09-01,16.13,621000.0,16.75,16.25,15.88
1998-09-02,16.25,159200.0,16.38,15.88,15.63
1998-09-03,15.81,1886800.0,15.88,15.88,13.5
1998-09-04,15.88,121800.0,16.19,15.88,15.25
1998-09-08,16.5,411400.0,17.0,16.75,16.5
1998-09-09,16.75,172200.0,16.75,16.13,16.13
1998-09-10,16.0,89600.0,16.0,14.81,14.75
1998-09-11,14.81,328067.0,15.25,14.94,14.75
1998-09-14,15.5,343867.0,15.5,14.94,14.94
1998-09-15,14.94,437267.0,15.0,13.75,13.75
1998-09-16,14.0,1066800.0,14.75,14.5,13.38
1998-09-17,14.25,173400.0,15.56,15.19,14.0
1998-09-18,15.19,303000.0,15.56,15.25,14.88
1998-09-21,14.75,598667.0,15.38,15.31,14.75
1998-09-22,15.56,291200.0,18.25,17.25,15.56
1998-09-23,18.25,552000.0,21.38,19.94,18.25
1998-09-24,20.0,385400.0,21.13,19.5,19.5
1998-09-25,19.25,360067.0,20.38,19.69,19.0
1998-09-28,21.38,288000.0,21.5,19.88,19.88
1998-09-29,19.63,527400.0,19.75,19.25,18.38
1998-09-30,19.5,196067.0,19.69,19.5,19.31
1998-10-01,19.25,90200.0,19.94,19.88,19.13
1998-10-02,19.88,964600.0,19.88,19.0,19.0
1998-10-05,18.75,171200.0,19.5,19.44,18.0
1998-10-06,19.56,712667.0,19.63,18.94,18.06
1998-10-07,18.69,328200.0,19.0,15.25,15.0
1998-10-08,14.88,707667.0,15.25,14.5,14.0
1998-10-09,15.0,201000.0,16.63,16.38,14.88
1998-10-12,17.0,198800.0,17.63,16.94,16.63
1998-10-13,16.94,310267.0,17.25,16.5,16.0
1998-10-14,16.25,76600.0,16.5,16.25,16.25
1998-10-15,16.25,353067.0,16.38,16.19,15.75
1998-10-16,16.0,651400.0,16.13,16.0,15.88
