date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,50.56,439200.0,52.25,52.25,50.12
1998-01-05,52.44,522100.0,52.44,51.44,50.81
1998-01-06,51.19,368300.0,51.19,50.06,50.06
1998-01-07,49.81,491500.0,49.94,48.62,48.56
1998-01-08,48.44,613400.0,49.44,49.0,48.12
1998-01-09,48.69,493900.0,49.0,46.75,46.62
1998-01-12,46.0,628100.0,47.94,47.81,45.75
1998-01-13,48.56,547700.0,48.88,48.81,48.25
1998-01-14,49.12,352300.0,49.56,49.44,48.38
1998-01-15,49.19,525100.0,50.94,50.44,49.19
1998-01-16,50.62,624200.0,50.69,50.62,49.94
1998-01-20,50.0,689600.0,51.56,51.5,49.75
1998-01-21,51.31,644700.0,52.0,52.0,50.88
1998-01-22,51.62,709900.0,52.12,50.88,50.5
1998-01-23,50.19,685700.0,50.5,50.0,49.81
1998-01-26,50.5,793400.0,52.06,52.0,50.12
1998-01-27,52.0,730000.0,53.44,53.06,51.88
1998-01-28,52.81,708600.0,53.12,52.94,52.69
1998-01-29,52.81,657900.0,53.38,53.19,52.81
1998-01-30,52.94,268600.0,53.06,52.12,52.12
1998-02-02,52.62,598500.0,54.12,53.81,52.62
1998-02-03,53.81,789600.0,54.5,54.5,53.0
1998-02-04,54.44,617800.0,54.75,54.69,53.62
1998-02-05,54.62,575100.0,54.62,54.31,53.81
1998-02-06,54.44,409800.0,54.75,54.5,54.25
1998-02-09,54.88,328900.0,54.88,54.0,53.94
1998-02-10,54.0,417700.0,54.69,54.56,54.0
1998-02-11,54.62,596900.0,54.62,54.38,53.94
1998-02-12,54.25,860900.0,54.94,54.75,54.0
1998-02-13,54.5,437900.0,54.56,54.25,54.0
1998-02-17,54.31,373200.0,54.31,54.12,53.75
1998-02-18,53.94,505500.0,54.69,54.25,53.75
1998-02-19,54.25,305800.0,54.56,54.19,53.88
1998-02-20,54.5,670200.0,55.56,55.44,54.25
1998-02-23,55.25,534300.0,55.62,55.56,55.0
1998-02-24,55.56,627800.0,55.56,54.94,54.5
1998-02-25,55.12,794400.0,57.38,57.38,54.94
1998-02-26,57.0,870600.0,58.38,57.94,57.0
1998-02-27,58.0,617400.0,59.0,58.81,57.81
1998-03-02,58.44,751700.0,59.0,58.75,58.06
1998-03-03,58.25,565000.0,59.38,59.12,58.19
1998-03-04,59.0,420900.0,59.5,59.38,58.69
1998-03-05,59.0,497400.0,59.44,59.0,58.38
1998-03-06,59.0,1024700.0,60.12,60.0,58.94
1998-03-09,59.56,498800.0,60.0,59.94,59.5
1998-03-10,59.62,289000.0,60.25,60.0,59.62
1998-03-11,59.75,204200.0,60.19,60.06,59.56
1998-03-12,59.75,509600.0,60.19,60.06,59.75
1998-03-13,59.38,453200.0,59.94,59.94,59.19
1998-03-16,59.19,474200.0,59.81,59.62,59.06
1998-03-17,59.5,941300.0,60.0,60.0,59.31
1998-03-18,59.56,375900.0,60.31,60.06,59.5
1998-03-19,59.94,709600.0,60.38,60.38,59.88
1998-03-20,60.69,594400.0,60.69,60.69,59.81
1998-03-23,60.44,350900.0,60.56,60.38,59.88
1998-03-24,60.12,510600.0,60.38,60.19,59.75
1998-03-25,60.0,669600.0,60.38,60.31,59.94
1998-03-26,60.25,871300.0,60.5,60.38,59.94
1998-03-27,60.5,817200.0,60.5,60.25,60.0
1998-03-30,60.12,807500.0,60.19,59.25,58.94
1998-03-31,58.88,1019200.0,59.19,58.38,58.25
1998-04-01,58.31,522900.0,58.31,57.75,57.56
1998-04-02,57.75,550300.0,57.94,57.5,57.5
1998-04-03,57.81,874300.0,58.81,57.81,57.56
1998-04-06,58.38,416500.0,58.38,57.81,57.62
1998-04-07,57.81,781300.0,57.81,57.31,56.88
1998-04-08,57.12,1098600.0,57.12,56.94,56.31
1998-04-09,57.0,447400.0,58.38,58.38,56.81
1998-04-13,58.12,582400.0,58.56,58.5,57.88
1998-04-14,58.5,510000.0,58.75,58.56,58.06
1998-04-15,58.62,712300.0,58.62,58.06,57.94
1998-04-16,58.06,513300.0,58.75,58.62,57.94
1998-04-17,58.62,745800.0,58.75,58.75,58.0
1998-04-20,58.5,414200.0,59.19,58.62,58.44
1998-04-21,58.31,641600.0,58.44,58.44,58.12
1998-04-22,58.19,366500.0,58.19,57.19,57.06
1998-04-23,57.19,339500.0,57.25,56.25,56.19
1998-04-24,56.31,599000.0,56.44,55.5,55.25
1998-04-27,55.38,699600.0,55.44,54.38,54.06
1998-04-28,54.62,616900.0,54.62,54.0,53.56
1998-04-29,54.12,684500.0,55.5,55.12,54.0
1998-04-30,55.38,536800.0,56.94,56.69,55.31
