date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,58.38,1056000.0,58.44,58.0,57.25
1998-01-05,58.0,909600.0,58.88,57.62,56.75
1998-01-06,57.0,1126400.0,59.38,59.25,56.62
1998-01-07,58.62,857600.0,59.0,58.25,57.75
1998-01-08,57.88,1129300.0,57.88,56.5,56.31
1998-01-09,57.0,1876500.0,57.69,56.12,56.0
1998-01-12,55.25,723200.0,57.25,57.0,55.25
1998-01-13,57.12,703400.0,57.5,57.5,56.62
1998-01-14,57.5,504100.0,58.12,58.12,56.62
1998-01-15,58.0,587500.0,58.12,58.12,56.81
1998-01-16,58.88,903300.0,59.69,59.62,58.38
1998-01-20,59.88,1167400.0,60.12,60.0,59.0
1998-01-21,59.75,367200.0,59.81,59.31,58.75
1998-01-22,59.12,1056200.0,61.94,61.44,59.06
1998-01-23,61.19,917500.0,61.38,60.06,59.25
1998-01-26,60.12,485400.0,60.38,59.06,59.06
1998-01-27,59.12,935900.0,61.75,60.38,58.81
1998-01-28,61.75,948200.0,61.81,60.62,60.56
1998-01-29,60.88,1030800.0,60.88,60.12,60.12
1998-01-30,60.0,773000.0,60.62,59.56,59.12
1998-02-02,59.5,689500.0,61.12,60.94,59.5
1998-02-03,61.12,982200.0,62.38,61.44,60.75
1998-02-04,60.5,636300.0,60.62,60.0,59.75
1998-02-05,59.5,642200.0,59.88,59.25,58.5
1998-02-06,59.25,623600.0,59.62,59.12,58.94
1998-02-09,59.38,1001100.0,59.62,58.12,57.62
1998-02-10,58.12,768900.0,59.75,58.62,57.56
1998-02-11,58.88,380400.0,59.38,58.88,58.56
1998-02-12,58.62,921300.0,59.94,59.75,58.12
1998-02-13,59.0,452200.0,59.5,58.94,58.81
1998-02-17,58.5,1002600.0,58.75,58.31,57.88
1998-02-18,58.12,642900.0,58.5,58.12,58.0
1998-02-19,58.25,744600.0,59.75,59.75,58.0
1998-02-20,60.0,1136700.0,61.38,61.0,59.44
1998-02-23,61.0,724200.0,61.56,60.06,59.94
1998-02-24,60.0,1119900.0,61.44,60.88,59.56
1998-02-25,61.0,1050900.0,63.0,62.44,61.0
1998-02-26,62.31,1409800.0,64.38,64.38,62.25
1998-02-27,64.38,1353000.0,66.19,66.0,63.88
1998-03-02,66.06,898900.0,66.5,66.25,65.94
1998-03-03,66.0,1307600.0,67.88,67.31,65.69
1998-03-04,67.38,1728100.0,67.44,66.88,65.88
1998-03-05,66.62,816700.0,66.69,66.12,65.81
1998-03-06,66.0,813800.0,68.75,68.12,66.0
1998-03-09,68.19,1158700.0,69.94,69.5,68.0
1998-03-10,69.5,563100.0,69.75,68.19,67.75
1998-03-11,68.0,619800.0,69.12,69.0,68.0
1998-03-12,68.5,366200.0,68.75,68.25,67.88
1998-03-13,68.5,446300.0,69.25,68.75,67.62
1998-03-16,68.75,874800.0,70.56,70.5,68.31
1998-03-17,70.0,610300.0,70.12,69.94,69.31
1998-03-18,69.75,778300.0,70.88,70.31,69.5
1998-03-19,70.38,787800.0,71.12,71.0,70.25
1998-03-20,72.0,2571100.0,75.62,73.56,71.88
1998-03-23,72.38,1247000.0,72.5,70.94,70.69
1998-03-24,71.0,1263600.0,72.12,71.5,71.0
1998-03-25,71.56,1074400.0,71.81,70.12,69.75
1998-03-26,70.0,1910400.0,70.38,70.06,69.75
1998-03-27,70.19,795500.0,70.5,68.38,67.88
1998-03-30,68.44,757800.0,70.12,68.56,68.12
1998-03-31,68.75,1262900.0,70.06,67.69,67.5
1998-04-01,67.94,1336700.0,68.25,67.0,66.25
1998-04-02,67.0,1107500.0,68.94,67.94,66.75
1998-04-03,68.5,1321100.0,69.44,68.0,67.88
1998-04-06,68.0,594100.0,68.25,66.38,66.38
1998-04-07,66.38,1255800.0,66.44,66.0,65.0
1998-04-08,66.19,1001800.0,67.06,66.88,65.81
1998-04-09,67.25,1142200.0,67.62,67.38,66.94
1998-04-13,67.5,949000.0,67.5,66.38,65.88
1998-04-14,66.31,1185300.0,67.31,66.81,66.12
1998-04-15,67.25,1560200.0,69.25,68.0,66.25
1998-04-16,68.25,1630200.0,69.12,68.62,66.62
1998-04-17,68.88,1440100.0,71.12,70.75,68.75
1998-04-20,70.75,1250000.0,71.88,71.19,70.56
1998-04-21,71.0,595400.0,71.38,69.62,69.62
1998-04-22,69.69,627100.0,70.75,70.31,69.62
1998-04-23,70.0,737800.0,70.81,69.94,69.75
1998-04-24,69.69,429300.0,70.31,69.25,69.0
1998-04-27,68.62,480700.0,68.88,68.19,67.81
1998-04-28,68.19,555800.0,68.81,68.06,67.94
1998-04-29,68.12,436800.0,68.56,68.0,67.5
1998-04-30,68.75,734600.0,69.38,68.31,68.25
1998-05-01,68.56,741600.0,68.75,68.31,67.44
1998-05-04,68.31,495900.0,70.12,69.56,68.12
1998-05-05,69.5,380700.0,69.5,68.94,68.31
1998-05-06,69.19,733700.0,69.19,68.0,67.62
1998-05-07,67.75,695900.0,68.12,67.0,66.75
1998-05-08,66.75,712300.0,69.0,68.88,66.75
1998-05-11,70.75,789100.0,71.0,69.31,68.69
1998-05-12,69.75,1013000.0,69.75,69.31,68.38
1998-05-13,69.56,1702500.0,71.5,70.12,69.12
1998-05-14,69.88,645500.0,71.06,70.31,69.75
1998-05-15,70.38,746300.0,70.56,70.0,69.75
1998-05-18,69.88,1930200.0,74.0,74.0,69.75
1998-05-19,73.94,2018800.0,74.12,70.81,70.5
1998-05-20,71.06,1424500.0,72.19,71.81,70.62
1998-05-21,72.0,692900.0,72.69,71.69,71.12
1998-05-22,71.88,2285300.0,74.0,73.69,71.81
1998-05-26,73.5,1433400.0,74.44,72.12,72.12
1998-05-27,72.19,990300.0,72.62,71.62,70.75
1998-05-28,71.38,1136500.0,74.25,74.0,71.38
1998-05-29,74.0,838400.0,74.25,71.88,71.69
1998-06-01,72.0,882200.0,72.31,71.94,71.5
1998-06-02,73.0,2686400.0,73.88,72.44,72.0
1998-06-03,72.25,839900.0,72.38,71.62,71.44
1998-06-04,71.62,679200.0,71.75,71.25,71.06
1998-06-05,70.38,808000.0,72.25,71.31,70.38
1998-06-08,71.0,438900.0,72.25,71.75,71.0
1998-06-09,71.62,567500.0,72.25,71.94,71.5
1998-06-10,71.94,1156100.0,74.0,72.62,71.81
1998-06-11,72.12,1033100.0,72.5,70.75,69.88
1998-06-12,70.5,799600.0,71.0,70.75,70.06
1998-06-15,70.62,891600.0,70.94,68.25,68.25
1998-06-16,68.38,1079800.0,70.88,70.69,68.31
