date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.38,651100.0,38.63,37.63,37.31
1998-01-05,37.63,700600.0,37.78,37.13,36.75
1998-01-06,37.13,1230800.0,37.38,35.69,35.56
1998-01-07,35.5,2164200.0,36.44,34.69,34.25
1998-01-08,34.56,1692800.0,36.0,35.75,34.0
1998-01-09,35.75,720600.0,36.0,35.13,34.38
1998-01-12,34.5,1023900.0,35.38,35.13,34.25
1998-01-13,35.38,477900.0,35.63,35.56,35.0
1998-01-14,35.63,365400.0,35.63,35.19,35.06
1998-01-15,35.13,797700.0,35.25,34.0,33.75
1998-01-16,34.38,1094200.0,34.38,34.03,33.75
1998-01-20,34.25,983300.0,35.38,35.13,34.13
1998-01-21,35.0,594600.0,35.25,34.13,34.06
1998-01-22,34.25,1951100.0,36.5,34.13,33.63
1998-01-23,34.38,934500.0,35.5,34.88,34.13
1998-01-26,35.13,806300.0,35.25,34.25,34.13
1998-01-27,34.25,852700.0,34.38,33.63,33.13
1998-01-28,33.88,1295700.0,35.13,34.88,33.75
1998-01-29,35.19,2337800.0,37.13,36.56,35.0
1998-01-30,36.69,632900.0,36.81,36.56,36.38
1998-02-02,37.0,1357900.0,37.88,37.75,36.69
1998-02-03,37.88,1030400.0,38.63,38.38,37.25
1998-02-04,37.75,774300.0,39.0,38.84,37.63
1998-02-05,39.0,730700.0,39.06,37.75,37.25
1998-02-06,37.88,878400.0,39.13,38.13,37.88
1998-02-09,38.44,1213100.0,38.5,36.63,36.5
1998-02-10,37.0,943200.0,37.25,36.81,36.0
1998-02-11,37.0,1255400.0,38.38,37.75,36.69
1998-02-12,37.88,821700.0,37.94,37.81,37.5
1998-02-13,37.75,438600.0,38.25,37.88,37.63
1998-02-17,38.0,833300.0,38.69,38.38,37.88
1998-02-18,38.44,391500.0,38.81,38.63,38.31
1998-02-19,38.63,841100.0,38.63,37.19,37.0
1998-02-20,37.25,925400.0,37.75,37.5,36.63
1998-02-23,37.5,611700.0,38.25,37.81,37.5
1998-02-24,37.88,1406500.0,38.25,36.63,36.0
1998-02-25,36.88,1157100.0,38.13,37.75,36.75
1998-02-26,38.0,2563100.0,40.13,39.88,37.94
1998-02-27,39.75,1200300.0,39.94,39.56,39.13
1998-03-02,39.56,1881200.0,41.06,40.69,39.5
1998-03-03,40.56,1079000.0,41.25,40.31,40.13
1998-03-04,40.25,963100.0,40.41,39.5,38.88
1998-03-05,38.25,610500.0,39.25,38.56,38.13
1998-03-06,38.75,857000.0,39.88,39.19,38.5
1998-03-09,38.88,833600.0,40.25,39.94,38.75
1998-03-10,40.19,565800.0,40.5,40.38,39.5
1998-03-11,41.5,1202400.0,42.0,41.75,41.13
1998-03-12,41.88,512400.0,41.94,41.0,40.5
1998-03-13,41.0,386400.0,41.13,40.5,40.25
1998-03-16,40.5,203500.0,40.63,40.44,40.13
1998-03-17,40.31,540200.0,41.44,41.0,40.0
1998-03-18,41.13,269800.0,41.38,41.0,40.88
1998-03-19,41.0,420500.0,41.13,40.88,40.63
1998-03-20,41.06,798800.0,41.88,41.63,40.75
1998-03-23,41.69,215500.0,41.69,40.81,40.69
1998-03-24,40.94,770000.0,42.13,41.94,40.5
1998-03-25,42.13,1237300.0,43.13,42.5,41.75
1998-03-26,42.25,1049400.0,43.13,43.06,41.38
1998-03-27,43.19,583000.0,43.19,42.75,42.38
1998-03-30,43.56,2081000.0,45.19,44.88,43.5
1998-03-31,44.88,1502500.0,46.44,45.31,44.69
1998-04-01,45.38,1848700.0,46.38,46.06,44.75
1998-04-02,45.88,1804100.0,47.75,46.19,45.88
1998-04-03,46.0,973600.0,46.81,46.38,45.25
1998-04-06,46.5,1072200.0,47.25,44.44,44.19
1998-04-07,44.25,853000.0,44.5,43.63,43.25
1998-04-08,43.88,439900.0,43.88,43.31,43.13
1998-04-09,43.38,579500.0,43.5,43.13,42.5
1998-04-13,43.25,595100.0,43.88,43.5,43.13
1998-04-14,43.44,737600.0,44.75,44.5,43.44
1998-04-15,44.63,695100.0,45.75,45.38,44.5
1998-04-16,45.0,292200.0,45.38,45.19,44.38
1998-04-17,44.81,562800.0,45.56,45.56,44.75
1998-04-20,45.06,331600.0,46.0,45.5,45.06
1998-04-21,45.25,623200.0,45.5,45.25,44.13
1998-04-22,46.5,668400.0,46.88,46.5,45.13
1998-04-23,46.38,1158000.0,47.25,46.69,45.13
1998-04-24,46.63,1770400.0,48.88,48.13,46.44
1998-04-27,47.69,965500.0,47.69,45.44,45.19
1998-04-28,45.75,749600.0,46.38,45.06,45.0
1998-04-29,46.31,2083400.0,47.75,46.5,45.63
1998-04-30,47.63,1871800.0,49.0,48.13,47.44
1998-05-01,48.25,1071300.0,48.5,47.81,47.5
1998-05-04,48.0,835400.0,48.38,47.88,47.75
1998-05-05,48.13,900000.0,48.13,46.94,46.69
1998-05-06,46.88,744900.0,47.5,47.03,46.5
1998-05-07,47.0,530800.0,47.19,46.44,46.38
1998-05-08,46.38,508400.0,46.88,46.69,46.25
1998-05-11,46.88,927800.0,47.38,46.69,46.63
1998-05-12,46.88,540800.0,46.88,46.75,45.75
1998-05-13,46.63,551700.0,48.25,48.06,46.5
1998-05-14,47.75,626700.0,48.38,47.94,47.5
1998-05-15,48.13,436900.0,48.13,47.0,47.0
