date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,40.13,609267.0,41.0,40.25,39.81
1998-01-05,40.25,850400.0,41.44,40.44,40.13
1998-01-06,39.5,538867.0,40.0,40.0,39.38
1998-01-07,39.75,451267.0,39.88,39.56,39.13
1998-01-08,39.13,360400.0,39.75,38.88,38.63
1998-01-09,38.88,924067.0,38.88,36.0,34.88
1998-01-12,35.0,1052267.0,36.69,36.69,34.5
1998-01-13,36.94,716600.0,39.0,39.0,36.94
1998-01-14,39.0,690000.0,39.13,38.19,36.94
1998-01-15,37.75,1013600.0,37.75,36.0,36.0
1998-01-16,36.0,1639467.0,36.63,36.38,35.56
1998-01-20,36.63,989600.0,36.75,36.5,35.63
1998-01-21,36.13,733800.0,36.38,36.06,35.5
1998-01-22,35.56,532867.0,35.75,34.88,34.75
1998-01-23,34.75,390600.0,35.0,34.56,34.13
1998-01-26,34.81,406000.0,35.06,34.75,34.44
1998-01-27,34.38,829800.0,35.25,34.88,34.25
1998-01-28,35.0,1084200.0,36.75,36.63,34.88
1998-01-29,36.75,634267.0,37.56,36.88,36.63
1998-01-30,37.06,387200.0,37.69,36.5,36.31
1998-02-02,36.88,876667.0,38.38,37.75,36.88
1998-02-03,37.81,482867.0,37.81,37.5,37.25
1998-02-04,37.5,550600.0,38.44,38.25,37.19
1998-02-05,38.5,408467.0,38.75,37.19,37.19
1998-02-06,37.19,628000.0,38.44,37.38,37.13
1998-02-09,38.06,360800.0,38.06,37.63,37.56
1998-02-10,37.56,578400.0,38.75,38.63,37.56
1998-02-11,38.31,489067.0,38.75,38.63,38.06
1998-02-12,38.75,603667.0,39.88,39.75,38.38
1998-02-13,39.56,504600.0,39.69,39.31,39.13
1998-02-17,39.44,431267.0,39.69,38.94,38.44
1998-02-18,39.0,271267.0,39.44,39.31,38.75
1998-02-19,39.06,347067.0,39.75,39.63,38.56
1998-02-20,39.69,453267.0,39.69,39.19,38.88
1998-02-23,39.44,466000.0,39.44,39.25,38.63
1998-02-24,38.5,450467.0,38.94,38.63,38.38
1998-02-25,38.56,588467.0,39.06,38.25,38.25
1998-02-26,38.0,592400.0,38.5,37.94,37.56
1998-02-27,37.44,755267.0,38.63,37.75,37.44
1998-03-02,37.81,1143067.0,38.44,37.88,37.44
1998-03-03,37.88,696200.0,38.31,38.0,37.75
1998-03-04,37.88,612467.0,37.94,37.44,37.25
1998-03-05,37.19,575867.0,37.44,36.81,36.63
1998-03-06,36.88,615400.0,38.13,38.13,36.88
1998-03-09,38.38,355400.0,38.63,37.94,37.94
1998-03-10,38.19,389600.0,38.38,37.94,37.69
1998-03-11,38.44,459600.0,39.5,39.19,38.38
1998-03-12,39.81,644267.0,39.81,39.19,39.0
1998-03-13,39.44,501000.0,39.94,39.31,39.31
1998-03-16,39.38,456200.0,40.25,40.0,39.38
1998-03-17,40.0,586667.0,40.63,40.44,39.75
1998-03-18,40.56,733667.0,41.94,41.56,40.31
1998-03-19,41.81,405067.0,41.81,41.13,40.56
1998-03-20,41.31,437267.0,41.56,40.94,40.94
1998-03-23,40.0,942200.0,41.0,39.94,39.63
1998-03-24,40.0,467400.0,40.75,40.56,40.0
1998-03-25,40.88,564800.0,41.13,39.69,39.38
1998-03-26,39.44,850600.0,39.75,38.56,38.38
1998-03-27,39.06,565600.0,39.31,38.13,38.13
1998-03-30,37.88,573600.0,38.13,37.06,37.0
1998-03-31,37.06,1040267.0,38.13,38.0,37.06
1998-04-01,38.25,645400.0,38.31,37.56,37.13
1998-04-02,37.44,670467.0,37.94,37.25,37.13
1998-04-03,37.44,1540800.0,37.88,37.06,36.81
1998-04-06,38.5,2346067.0,40.31,39.63,38.44
1998-04-07,39.63,1770867.0,39.63,38.31,37.75
1998-04-08,38.06,929000.0,38.88,38.88,37.94
1998-04-09,39.25,690200.0,40.19,39.94,39.13
1998-04-13,39.75,623867.0,40.25,40.0,39.5
1998-04-14,40.0,558467.0,40.44,39.94,39.75
1998-04-15,38.25,2196600.0,39.06,36.5,36.19
1998-04-16,36.75,1978800.0,36.94,35.44,34.56
1998-04-17,35.0,1695867.0,35.69,35.0,34.81
1998-04-20,35.5,1266600.0,35.75,34.44,34.25
1998-04-21,34.13,1483867.0,34.38,33.75,33.5
1998-04-22,35.63,1672467.0,36.13,35.88,35.06
1998-04-23,35.75,1141600.0,36.31,34.81,34.06
1998-04-24,34.5,802000.0,35.0,34.44,34.25
1998-04-27,34.0,925600.0,34.06,33.13,32.75
1998-04-28,33.13,991000.0,34.06,33.06,32.88
1998-04-29,33.5,694600.0,33.75,33.25,33.19
1998-04-30,33.75,1592067.0,35.88,35.0,33.75
1998-05-01,35.25,596600.0,35.75,35.56,35.06
1998-05-04,35.44,832067.0,35.63,35.44,35.0
1998-05-05,35.94,781000.0,36.0,35.38,35.06
1998-05-06,35.13,604400.0,35.5,33.69,33.56
1998-05-07,33.69,896467.0,34.0,33.56,33.13
1998-05-08,33.81,1148200.0,35.25,35.13,33.81
1998-05-11,34.75,566200.0,35.31,34.69,34.38
1998-05-12,34.56,638200.0,34.88,34.88,34.25
1998-05-13,34.81,1266800.0,36.0,35.88,34.81
1998-05-14,35.94,1072667.0,36.44,36.31,35.38
1998-05-15,36.44,1125667.0,37.75,36.44,36.31
1998-05-18,36.25,675400.0,36.44,36.06,35.75
1998-05-19,35.94,723000.0,36.25,35.44,35.31
1998-05-20,35.13,1544600.0,35.13,35.13,35.13
1998-05-21,35.25,897200.0,35.31,35.0,34.75
1998-05-22,34.81,430867.0,34.94,34.44,34.0
1998-05-26,34.69,305400.0,34.81,33.69,33.69
1998-05-27,33.25,883400.0,33.38,32.69,32.0
1998-05-28,32.88,484400.0,33.38,33.19,32.75
1998-05-29,33.25,709600.0,33.94,33.19,33.0
1998-06-01,33.0,638800.0,33.31,33.19,32.31
1998-06-02,34.19,781600.0,34.19,33.31,33.13
1998-06-03,33.56,564800.0,34.13,33.13,33.06
1998-06-04,33.06,590267.0,34.13,33.94,32.94
1998-06-05,34.19,248000.0,34.44,34.38,33.75
1998-06-08,34.44,890267.0,35.69,35.44,34.0
1998-06-09,35.38,453867.0,35.88,35.56,35.0
1998-06-10,35.75,380467.0,36.06,35.5,35.37
1998-06-11,35.44,630667.0,35.69,34.38,34.38
1998-06-12,34.31,1079467.0,34.38,33.0,32.75
1998-06-15,32.38,1249600.0,32.88,31.38,31.13
1998-06-16,31.44,1023667.0,32.0,31.19,30.69
1998-06-17,30.94,930067.0,32.38,31.94,30.94
1998-06-18,31.75,475000.0,32.5,31.44,31.44
1998-06-19,31.56,650000.0,32.0,30.63,30.63
1998-06-22,30.69,434200.0,31.5,30.88,30.69
1998-06-23,30.38,1747000.0,30.81,30.0,29.81
1998-06-24,29.94,1159600.0,30.19,29.88,29.81
1998-06-25,29.75,1063667.0,29.94,29.63,29.56
1998-06-26,29.75,776867.0,30.63,30.19,29.5
1998-06-29,30.75,782467.0,32.19,31.69,30.75
1998-06-30,31.75,1313867.0,32.94,32.63,31.69
1998-07-01,33.5,1880867.0,35.13,34.75,33.38
1998-07-02,35.13,838067.0,35.31,35.13,34.69
1998-07-06,35.94,937000.0,35.94,35.06,34.81
1998-07-07,35.25,719267.0,35.75,35.63,35.06
1998-07-08,35.44,992800.0,36.88,36.63,35.44
1998-07-09,36.69,746667.0,36.88,35.56,35.25
1998-07-10,35.88,986067.0,36.44,36.31,34.81
1998-07-13,36.44,499600.0,36.44,36.13,35.63
1998-07-14,35.38,549867.0,36.0,35.63,35.38
1998-07-15,35.5,628200.0,35.5,35.13,34.88
1998-07-16,35.19,873800.0,36.88,36.81,35.0
1998-07-17,37.38,3678600.0,43.5,41.25,37.06
1998-07-20,40.63,3329467.0,46.0,42.13,40.38
1998-07-21,41.88,1594467.0,42.5,42.38,41.38
1998-07-22,42.0,1165800.0,44.38,42.88,41.25
1998-07-23,41.5,1000800.0,41.88,39.25,39.25
1998-07-24,39.25,696267.0,40.44,40.19,38.63
1998-07-27,39.63,876467.0,40.56,40.5,38.13
1998-07-28,40.25,633667.0,40.25,38.25,38.06
1998-07-29,38.5,575067.0,39.25,37.88,37.63
1998-07-30,38.13,503267.0,38.5,37.94,37.69
1998-07-31,38.19,513467.0,38.31,37.5,37.31
1998-08-03,37.5,618467.0,37.56,37.06,36.06
1998-08-04,37.75,916600.0,38.13,35.19,35.19
1998-08-05,35.19,818067.0,35.88,35.13,34.5
1998-08-06,35.0,634000.0,37.69,37.44,35.0
1998-08-07,37.44,621200.0,39.56,38.44,37.06
1998-08-10,37.88,607800.0,37.94,36.06,36.0
1998-08-11,35.31,652800.0,35.69,35.44,34.5
1998-08-12,35.31,407800.0,36.5,36.44,34.5
1998-08-13,37.0,633867.0,37.44,36.44,36.19
1998-08-14,36.38,755400.0,36.88,35.06,34.56
1998-08-17,35.0,791200.0,37.5,37.25,34.5
1998-08-18,37.5,569067.0,38.63,38.56,36.81
1998-08-19,38.5,559267.0,38.94,36.44,36.44
1998-08-20,36.44,470200.0,36.56,36.06,35.88
1998-08-21,35.5,589800.0,35.5,35.13,34.44
1998-08-24,35.63,433667.0,36.75,35.81,35.06
1998-08-25,36.0,603067.0,37.13,37.0,35.94
1998-08-26,36.75,832200.0,37.0,35.94,35.88
1998-08-27,35.5,1048467.0,35.56,32.63,32.44
1998-08-28,33.0,1055400.0,33.44,32.13,31.25
1998-08-31,32.06,1390000.0,32.56,29.88,29.63
1998-09-01,29.88,1868600.0,30.94,30.38,27.75
1998-09-02,30.94,1168267.0,33.69,31.25,30.63
1998-09-03,29.5,864600.0,31.38,30.75,29.13
1998-09-04,30.75,827667.0,31.38,30.56,29.94
1998-09-08,32.5,845600.0,34.75,34.31,32.5
1998-09-09,33.75,851267.0,34.25,34.13,33.0
1998-09-10,33.13,1030600.0,33.19,32.38,31.56
1998-09-11,31.75,602600.0,34.0,34.0,31.19
1998-09-14,34.25,659200.0,35.69,35.25,34.25
1998-09-15,35.0,813667.0,37.31,37.19,34.75
1998-09-16,39.0,2131400.0,40.81,40.56,38.81
1998-09-17,38.25,931667.0,39.5,39.31,37.56
1998-09-18,39.81,1403867.0,40.25,40.19,39.0
1998-09-21,38.25,1011400.0,39.38,39.06,36.69
1998-09-22,39.56,969267.0,40.69,40.56,39.5
1998-09-23,40.69,1023867.0,43.13,43.13,40.31
1998-09-24,42.25,1090067.0,43.0,40.06,39.25
1998-09-25,39.88,607000.0,40.94,40.69,38.81
1998-09-28,40.94,1038667.0,43.0,41.5,40.94
1998-09-29,41.5,569867.0,41.94,40.63,40.56
1998-09-30,40.25,800800.0,40.5,39.38,38.75
1998-10-01,38.63,1381800.0,38.69,36.56,36.31
1998-10-02,36.5,902800.0,39.75,39.25,36.06
1998-10-05,39.25,1165600.0,39.25,36.56,35.81
1998-10-06,37.5,1185067.0,38.13,37.0,36.31
1998-10-07,37.0,1287600.0,37.56,35.06,34.75
1998-10-08,34.5,2378067.0,34.94,34.75,31.63
1998-10-09,35.19,1488800.0,38.88,38.88,35.19
1998-10-12,40.25,1848667.0,42.44,39.94,39.88
1998-10-13,40.0,1234667.0,43.0,41.81,39.5
1998-10-14,41.81,1346800.0,43.63,42.56,41.44
1998-10-15,41.88,2520400.0,44.38,44.0,39.63
1998-10-16,44.94,3514067.0,46.19,45.69,44.0
1998-10-19,44.31,2556867.0,46.25,45.75,43.63
1998-10-20,45.94,2374067.0,46.94,44.5,43.81
1998-10-21,44.5,1762800.0,44.5,42.25,41.81
1998-10-22,42.38,925600.0,44.44,44.0,41.25
1998-10-23,44.5,1139267.0,46.0,45.38,44.5
1998-10-26,45.0,657600.0,45.0,44.44,44.06
1998-10-27,44.25,1007867.0,44.5,42.19,41.88
1998-10-28,42.19,937067.0,44.25,44.06,42.06
1998-10-29,44.0,946400.0,45.25,44.19,43.69
1998-10-30,45.0,1373600.0,48.0,48.0,44.88
1998-11-02,49.88,1893467.0,50.5,49.19,49.0
1998-11-03,49.0,748667.0,50.19,49.31,49.0
1998-11-04,50.31,1961400.0,53.81,53.75,50.06
1998-11-05,53.69,2562400.0,58.5,58.38,52.63
1998-11-06,57.5,2123467.0,57.75,54.06,54.0
1998-11-09,54.13,874667.0,54.44,53.0,52.44
1998-11-10,52.13,884000.0,52.63,51.31,51.13
1998-11-11,51.75,741467.0,52.63,49.69,49.63
1998-11-12,49.69,1187000.0,50.31,49.63,49.0
