date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,21.38,1400.0,21.38,21.38,21.38
1998-01-05,21.38,10400.0,21.38,21.38,21.38
1998-01-06,21.12,8600.0,21.38,21.12,21.12
1998-01-07,21.12,200.0,21.12,21.12,21.12
1998-01-08,23.37,168200.0,24.38,23.37,22.88
1998-01-09,23.13,47200.0,23.25,23.0,23.0
1998-01-12,22.75,44600.0,23.0,22.5,22.5
1998-01-13,22.5,1467.0,22.5,22.5,22.5
1998-01-14,22.88,0.0,22.88,22.88,22.88
1998-01-15,22.88,7667.0,23.25,23.0,22.88
1998-01-16,23.0,467.0,23.62,23.62,23.0
1998-01-20,23.25,26400.0,23.62,23.62,23.25
1998-01-21,23.0,267.0,23.0,23.0,23.0
1998-01-22,23.5,22000.0,23.62,23.25,23.25
1998-01-23,23.62,30000.0,24.0,23.62,23.62
1998-01-26,23.5,41867.0,23.62,23.62,23.37
1998-01-27,23.75,69400.0,23.75,23.75,23.37
1998-01-28,23.62,4800.0,23.75,23.62,23.62
1998-01-29,23.62,717400.0,24.0,23.75,23.62
1998-01-30,24.5,66467.0,24.75,24.63,24.38
1998-02-02,24.87,11400.0,25.5,25.12,24.75
1998-02-03,25.38,363267.0,25.5,25.5,25.12
1998-02-04,25.5,5067.0,25.5,25.5,25.5
1998-02-05,25.75,14667.0,25.88,25.5,25.5
1998-02-06,25.5,2400.0,25.5,25.5,25.5
1998-02-09,25.62,3800.0,25.62,25.5,25.5
1998-02-10,25.25,600.0,25.25,25.25,25.25
1998-02-11,25.25,10400.0,25.62,25.25,25.25
1998-02-12,25.62,41200.0,25.88,25.88,25.5
1998-02-13,25.5,2200.0,25.88,25.88,25.5
1998-02-17,25.5,14067.0,25.88,25.88,25.5
1998-02-18,25.62,20867.0,25.62,25.5,25.5
1998-02-19,25.5,20067.0,25.62,25.5,25.5
1998-02-20,25.62,2000.0,25.62,25.5,25.5
1998-02-23,25.5,66467.0,25.75,25.75,25.5
1998-02-24,25.88,38000.0,26.62,26.37,25.88
1998-02-25,27.25,123800.0,27.38,27.12,27.12
1998-02-26,27.75,104400.0,28.5,28.5,27.75
1998-02-27,29.0,41600.0,29.0,28.62,28.5
1998-03-02,28.25,11667.0,28.25,28.12,28.12
1998-03-03,28.12,25467.0,28.38,28.38,28.12
1998-03-04,28.0,4400.0,28.25,28.25,27.87
1998-03-05,27.87,200.0,27.87,27.87,27.87
1998-03-06,27.75,75867.0,28.12,27.87,27.75
1998-03-09,27.75,600.0,27.75,27.75,27.75
1998-03-10,27.75,7867.0,27.75,27.75,27.75
1998-03-11,27.75,1200.0,27.75,27.75,27.75
1998-03-12,27.75,20600.0,27.87,27.87,27.75
1998-03-13,28.12,7667.0,28.12,28.12,28.12
1998-03-16,28.12,11867.0,28.12,28.12,28.12
1998-03-17,28.12,800.0,28.12,28.12,28.12
1998-03-18,28.12,16200.0,28.62,28.5,28.12
1998-03-19,28.38,106000.0,28.5,28.5,28.38
1998-03-20,28.38,1867.0,28.5,28.25,28.25
1998-03-23,28.75,18200.0,28.88,28.25,28.25
1998-03-24,28.38,30067.0,28.5,28.25,28.25
1998-03-25,28.62,128667.0,28.88,28.62,28.25
1998-03-26,28.62,175667.0,29.37,29.37,28.5
1998-03-27,29.75,521000.0,30.12,30.12,29.25
1998-03-30,30.75,229800.0,31.12,30.87,30.75
1998-03-31,31.0,208000.0,31.25,30.75,30.5
1998-04-01,30.38,25067.0,30.63,30.5,30.38
1998-04-02,29.88,667.0,30.12,30.12,29.75
1998-04-03,29.75,21667.0,30.5,29.75,29.75
1998-04-06,29.75,2800.0,30.0,30.0,29.75
1998-04-07,31.62,98400.0,31.88,31.25,31.25
1998-04-08,32.13,73867.0,32.13,31.88,31.88
1998-04-09,32.25,88667.0,33.0,32.75,32.25
1998-04-13,32.5,17200.0,32.75,32.5,32.37
1998-04-14,32.75,33867.0,33.12,33.12,32.75
1998-04-15,33.0,8000.0,33.12,33.0,33.0
1998-04-16,33.25,186667.0,33.5,33.38,33.0
1998-04-17,33.38,72800.0,33.5,33.38,33.38
1998-04-20,33.25,15667.0,33.38,32.75,32.75
1998-04-21,33.0,43000.0,33.12,33.12,33.0
1998-04-22,32.75,2400.0,33.0,33.0,32.75
1998-04-23,32.88,8200.0,33.0,32.75,32.75
1998-04-24,32.88,600.0,33.0,32.88,32.88
1998-04-27,32.88,16000.0,32.88,32.37,32.37
1998-04-28,32.37,289600.0,32.62,32.37,32.25
1998-04-29,32.0,9467.0,32.25,31.88,31.88
1998-04-30,31.75,38600.0,31.88,31.88,31.75
1998-05-01,31.75,1267.0,31.75,31.75,31.75
1998-05-04,31.75,7000.0,31.88,31.62,31.62
1998-05-05,32.25,200.0,32.25,32.25,32.25
1998-05-06,32.25,3800.0,32.25,32.25,32.25
1998-05-07,32.25,47600.0,34.25,33.5,32.25
1998-05-08,33.75,19067.0,34.12,33.75,33.75
1998-05-11,33.75,35800.0,34.12,34.12,33.75
1998-05-12,33.25,21867.0,33.75,33.12,33.12
1998-05-13,33.38,17200.0,33.5,33.38,33.38
1998-05-14,33.5,1267.0,33.5,33.38,33.0
1998-05-15,33.0,3400.0,33.0,33.0,33.0
1998-05-18,33.12,667.0,33.12,33.12,33.12
1998-05-19,32.75,267.0,33.0,33.0,32.75
