date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,16.62,76900.0,16.94,16.12,16.0
1998-01-05,16.75,144200.0,16.75,15.94,15.75
1998-01-06,16.25,128800.0,16.25,15.94,15.88
1998-01-07,16.0,243900.0,16.0,14.94,14.5
1998-01-08,14.88,127200.0,14.88,14.13,14.13
1998-01-09,14.06,608100.0,14.25,12.63,12.56
1998-01-12,12.31,542200.0,12.63,12.5,11.5
1998-01-13,12.5,424100.0,13.63,13.56,12.13
1998-01-14,13.69,267700.0,14.81,14.38,13.63
1998-01-15,14.44,99400.0,14.44,14.44,14.25
1998-01-16,14.5,148100.0,15.44,15.0,14.38
1998-01-20,16.0,154200.0,16.12,15.56,15.13
1998-01-21,15.56,116800.0,15.75,15.63,15.13
1998-01-22,15.75,184200.0,15.75,15.38,15.13
1998-01-23,15.5,138600.0,15.63,14.94,14.88
1998-01-26,15.13,42700.0,15.25,14.81,14.75
1998-01-27,14.88,201400.0,15.5,15.5,14.63
1998-01-28,15.63,226800.0,16.37,16.31,15.63
1998-01-29,16.12,177500.0,17.12,16.75,16.12
1998-01-30,17.06,89300.0,17.06,16.69,16.62
1998-02-02,16.87,55300.0,16.87,16.06,16.06
1998-02-03,16.25,50000.0,16.37,16.19,16.12
1998-02-04,16.0,68600.0,16.25,15.88,15.88
1998-02-05,16.12,91800.0,16.81,16.62,16.0
1998-02-06,17.0,96300.0,17.5,17.0,16.75
1998-02-09,17.37,46100.0,17.37,17.0,16.87
1998-02-10,16.75,30200.0,17.12,17.12,16.75
1998-02-11,17.06,47000.0,17.37,17.31,16.87
1998-02-12,17.37,71600.0,17.5,17.37,17.25
1998-02-13,17.44,97000.0,17.5,17.44,17.25
1998-02-17,17.5,42600.0,17.75,17.44,17.37
1998-02-18,17.5,63700.0,18.0,17.87,17.5
1998-02-19,17.81,109600.0,18.0,17.94,17.75
1998-02-20,18.0,65400.0,18.0,17.81,17.75
1998-02-23,18.0,71000.0,18.0,17.5,17.37
1998-02-24,17.37,150100.0,17.62,16.75,16.5
1998-02-25,17.0,124700.0,17.0,16.31,16.12
1998-02-26,16.5,81100.0,16.5,16.0,16.0
1998-02-27,16.0,112500.0,16.06,15.88,15.88
1998-03-02,16.0,63400.0,16.0,15.88,15.88
1998-03-03,16.12,113000.0,16.12,16.0,15.88
1998-03-04,16.0,69500.0,16.0,15.88,15.88
1998-03-05,15.75,32700.0,15.94,15.88,15.75
1998-03-06,15.75,79300.0,15.88,15.31,15.31
1998-03-09,15.38,165600.0,15.75,15.13,15.13
1998-03-10,15.13,198000.0,15.5,15.5,14.75
1998-03-11,15.13,69000.0,16.37,16.25,15.13
1998-03-12,16.37,528800.0,18.87,18.75,16.37
1998-03-13,18.5,601300.0,20.62,19.56,18.0
1998-03-16,19.94,270800.0,20.44,19.94,19.5
1998-03-17,20.25,201400.0,21.0,20.62,19.87
1998-03-18,20.94,365300.0,21.75,21.75,20.5
1998-03-19,21.94,631600.0,24.0,22.75,21.5
1998-03-20,23.0,256500.0,24.0,23.62,22.87
1998-03-23,24.0,235900.0,24.25,22.87,22.62
1998-03-24,23.0,233000.0,23.0,22.5,21.87
1998-03-25,22.31,140500.0,22.75,22.62,22.25
1998-03-26,22.62,55400.0,22.75,22.37,22.37
1998-03-27,22.37,111700.0,22.5,22.31,22.25
1998-03-30,22.5,93700.0,22.5,21.62,21.5
1998-03-31,21.5,99400.0,22.12,21.87,21.37
1998-04-01,21.87,178800.0,24.37,24.25,21.75
1998-04-02,24.5,538600.0,26.87,25.37,23.75
1998-04-03,25.37,466700.0,26.94,26.12,25.31
1998-04-06,26.75,312400.0,27.25,26.37,26.12
1998-04-07,26.81,155300.0,26.81,25.37,25.25
1998-04-08,25.37,316800.0,26.12,26.12,23.87
1998-04-09,26.75,169800.0,26.75,26.0,25.5
1998-04-13,26.12,72100.0,26.12,25.62,25.37
1998-04-14,25.5,186500.0,26.0,26.0,25.5
1998-04-15,25.62,54200.0,26.0,25.62,25.56
1998-04-16,24.5,68700.0,25.37,24.62,24.25
1998-04-17,24.75,47400.0,24.87,24.44,24.44
1998-04-20,24.12,124800.0,25.87,25.87,23.75
1998-04-21,25.94,155700.0,26.25,25.25,25.25
1998-04-22,25.25,133200.0,25.75,25.62,25.0
1998-04-23,25.19,78100.0,26.62,26.0,25.0
1998-04-24,26.25,243200.0,27.25,26.87,26.25
1998-04-27,26.37,300300.0,26.87,26.87,25.37
1998-04-28,26.37,99800.0,27.12,26.69,26.12
1998-04-29,27.25,540600.0,28.5,28.25,26.75
1998-04-30,28.25,431400.0,30.0,28.75,28.25
1998-05-01,29.5,141200.0,29.5,28.0,27.5
1998-05-04,29.5,287800.0,29.75,29.31,28.5
1998-05-05,29.31,129700.0,29.5,28.87,28.37
1998-05-06,29.0,89500.0,29.12,28.5,28.37
1998-05-07,28.75,95700.0,28.75,28.31,27.87
1998-05-08,28.5,63400.0,29.25,28.5,28.0
1998-05-11,29.37,480500.0,31.25,30.5,29.0
1998-05-12,30.62,127600.0,31.12,30.37,30.31
1998-05-13,31.0,1006000.0,35.63,34.5,30.75
1998-05-14,34.75,419300.0,35.25,33.5,33.0
1998-05-15,33.75,305200.0,34.0,33.5,33.13
1998-05-18,33.63,299800.0,35.75,35.75,33.38
1998-05-19,36.75,630100.0,39.81,36.88,36.25
1998-05-20,37.25,463000.0,40.06,39.88,36.5
1998-05-21,42.0,644800.0,44.0,41.5,40.38
1998-05-22,42.75,188700.0,43.0,41.5,40.13
1998-05-26,42.13,515500.0,42.25,36.63,36.5
1998-05-27,33.75,967300.0,35.0,34.38,32.63
1998-05-28,34.38,476900.0,36.38,34.5,33.75
1998-05-29,35.94,729800.0,38.13,34.5,34.5
1998-06-01,35.0,367600.0,35.0,32.25,31.25
1998-06-02,33.38,391600.0,33.88,33.75,32.25
1998-06-03,35.0,556800.0,37.0,36.5,34.88
1998-06-04,38.0,419000.0,38.38,36.88,36.5
1998-06-05,37.13,133900.0,37.13,36.88,36.5
1998-06-08,37.75,136100.0,38.0,37.63,37.13
1998-06-09,37.5,152000.0,37.81,37.81,37.13
1998-06-10,38.0,150700.0,38.5,36.88,35.5
1998-06-11,37.13,186100.0,37.13,35.38,34.5
1998-06-12,35.25,144000.0,36.25,35.06,34.56
1998-06-15,34.25,168100.0,36.13,34.38,33.25
1998-06-16,35.13,79000.0,35.5,34.75,34.31
1998-06-17,35.5,202200.0,36.88,36.5,34.5
1998-06-18,36.44,69000.0,36.88,36.13,35.75
1998-06-19,37.5,162400.0,38.38,36.19,35.63
1998-06-22,35.0,51600.0,36.13,36.0,34.75
1998-06-23,35.75,95500.0,36.38,35.38,35.25
1998-06-24,36.25,149700.0,37.38,37.0,35.38
1998-06-25,37.0,123700.0,37.0,35.06,34.75
1998-06-26,34.75,58200.0,36.0,35.13,34.75
1998-06-29,36.0,205200.0,37.63,36.63,35.13
1998-06-30,36.56,524000.0,38.5,38.5,35.75
1998-07-01,38.44,192800.0,38.44,36.88,36.75
1998-07-02,37.13,62300.0,37.13,35.69,35.5
1998-07-06,36.13,204200.0,37.0,36.88,35.63
1998-07-07,37.06,82000.0,37.25,36.88,36.56
1998-07-08,36.56,92900.0,36.69,35.44,35.38
1998-07-09,36.0,196400.0,36.5,35.13,34.88
1998-07-10,34.75,35100.0,35.63,35.25,34.75
1998-07-13,35.75,43600.0,36.06,36.0,35.19
1998-07-14,36.0,229800.0,36.13,35.13,35.0
1998-07-15,36.25,105500.0,36.25,35.5,34.75
1998-07-16,35.25,23900.0,35.25,34.75,34.5
1998-07-17,35.13,90900.0,35.13,34.63,34.0
1998-07-20,34.88,43300.0,34.88,34.88,34.38
1998-07-21,34.88,68800.0,34.88,34.0,34.0
1998-07-22,34.0,120200.0,34.38,33.5,33.5
1998-07-23,33.75,139200.0,33.75,31.12,31.12
1998-07-24,31.62,221600.0,32.5,30.75,30.12
1998-07-27,30.5,272900.0,31.0,30.0,28.69
1998-07-28,29.87,504300.0,30.37,27.37,25.75
1998-07-29,28.0,196800.0,30.0,27.0,25.75
1998-07-30,27.0,129000.0,29.0,28.5,27.0
1998-07-31,28.37,110500.0,28.37,26.37,26.37
1998-08-03,26.87,192700.0,26.87,25.5,25.0
1998-08-04,25.0,331600.0,26.37,23.5,21.87
1998-08-05,24.37,282800.0,24.87,22.75,21.25
1998-08-06,23.25,2937600.0,31.12,27.94,22.87
1998-08-07,28.75,885000.0,29.87,28.75,27.81
1998-08-10,29.56,206100.0,30.0,29.0,28.5
1998-08-11,27.5,315700.0,28.25,27.25,26.0
1998-08-12,28.37,167300.0,28.87,27.75,27.69
1998-08-13,27.75,241300.0,28.5,26.5,26.19
1998-08-14,27.37,159200.0,27.5,25.87,25.5
1998-08-17,25.5,76700.0,26.25,26.0,25.5
1998-08-18,27.0,162300.0,27.25,26.94,26.37
1998-08-19,27.0,169900.0,27.0,26.5,26.5
1998-08-20,26.75,92300.0,26.75,25.75,25.37
1998-08-21,25.62,135100.0,25.62,24.69,24.12
1998-08-24,25.37,103000.0,25.37,24.25,24.0
1998-08-25,24.25,110300.0,24.69,24.0,23.5
1998-08-26,23.25,231000.0,23.75,22.37,21.75
1998-08-27,22.0,303400.0,22.12,20.12,19.25
1998-08-28,20.0,273600.0,21.5,18.0,18.0
1998-08-31,19.37,653200.0,19.37,15.13,14.75
