date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,26.19,16900.0,26.19,25.94,25.75
1998-01-05,25.88,71800.0,26.0,25.88,25.88
1998-01-06,25.88,56600.0,25.94,25.75,25.5
1998-01-07,25.75,30700.0,25.75,25.62,25.62
1998-01-08,25.69,69100.0,25.75,25.5,25.44
1998-01-09,25.62,20100.0,25.62,25.5,25.38
1998-01-12,25.25,215100.0,25.25,25.0,25.0
1998-01-13,25.12,9700.0,25.12,25.12,24.88
1998-01-14,25.12,293600.0,25.62,25.56,25.12
1998-01-15,25.31,45600.0,25.31,25.25,25.12
1998-01-16,25.5,82300.0,25.5,25.5,25.5
1998-01-20,25.62,104300.0,26.12,26.0,25.56
1998-01-21,26.12,65000.0,26.75,26.12,25.88
1998-01-22,26.19,122800.0,26.62,26.5,26.19
1998-01-23,26.5,48700.0,26.88,26.5,26.38
1998-01-26,26.62,41400.0,26.94,26.62,26.5
1998-01-27,26.69,19500.0,27.0,26.75,26.69
1998-01-28,27.0,19500.0,27.0,26.75,26.75
1998-01-29,26.81,21700.0,27.0,26.75,26.75
1998-01-30,26.81,60600.0,27.88,27.88,26.75
1998-02-02,27.88,26400.0,27.88,27.44,27.12
1998-02-03,27.44,130300.0,28.0,26.88,26.88
1998-02-04,27.0,25300.0,27.0,26.56,26.56
1998-02-05,26.69,11000.0,26.69,26.44,26.31
1998-02-06,26.25,53400.0,26.5,26.31,26.25
1998-02-09,26.31,37900.0,26.38,26.19,26.0
1998-02-10,26.19,30400.0,26.19,26.0,25.88
1998-02-11,26.19,37500.0,26.62,26.5,26.06
1998-02-12,26.38,8100.0,26.38,26.12,26.12
1998-02-13,26.12,27100.0,26.5,26.5,26.0
1998-02-17,26.44,8600.0,26.62,26.56,26.38
1998-02-18,26.56,26400.0,26.56,26.12,25.94
1998-02-19,26.12,42500.0,26.5,26.25,26.12
1998-02-20,26.25,25900.0,26.62,26.5,26.25
1998-02-23,26.62,62000.0,27.19,27.12,26.62
1998-02-24,27.12,11200.0,27.12,27.0,27.0
1998-02-25,27.0,4000.0,27.06,26.88,26.88
1998-02-26,26.69,29000.0,26.69,26.5,26.5
1998-02-27,26.62,4700.0,26.62,26.56,26.56
1998-03-02,26.62,23500.0,26.62,26.12,26.12
1998-03-03,25.94,5700.0,25.94,25.75,25.75
1998-03-04,25.88,15700.0,25.88,25.88,25.75
1998-03-05,25.81,31300.0,25.88,25.0,25.0
1998-03-06,25.25,29500.0,25.44,25.25,25.25
1998-03-09,25.25,10300.0,25.62,25.62,25.25
1998-03-10,25.62,17900.0,25.62,25.62,25.25
1998-03-11,25.62,19000.0,25.62,25.0,25.0
1998-03-12,25.12,3700.0,25.19,25.19,25.12
1998-03-13,24.94,101900.0,24.94,24.25,24.12
1998-03-16,24.25,103600.0,24.25,24.12,24.0
1998-03-17,24.31,29800.0,24.44,24.38,24.12
1998-03-18,24.44,57400.0,24.44,24.0,23.94
1998-03-19,24.0,2100.0,24.19,24.19,24.0
1998-03-20,24.38,15300.0,25.0,24.88,24.38
1998-03-23,25.12,14800.0,25.31,25.19,25.0
1998-03-24,25.12,10500.0,25.44,25.38,25.12
1998-03-25,25.38,63700.0,25.88,25.06,25.06
1998-03-26,25.0,26700.0,25.25,25.0,24.81
1998-03-27,24.5,68900.0,25.56,25.56,24.44
1998-03-30,25.56,6400.0,25.56,25.38,25.38
1998-03-31,25.38,15400.0,25.62,25.56,25.19
1998-04-01,25.5,2700.0,25.69,25.69,25.5
1998-04-02,25.56,17800.0,26.5,26.25,25.56
1998-04-03,26.12,5800.0,26.56,26.44,26.12
1998-04-06,26.38,16500.0,26.75,26.5,26.38
1998-04-07,26.75,37600.0,26.75,26.5,26.38
1998-04-08,26.38,19700.0,26.38,26.38,25.81
1998-04-09,26.25,54700.0,26.38,26.38,26.25
1998-04-13,26.25,7600.0,26.56,26.0,26.0
1998-04-14,25.88,176800.0,26.31,25.75,25.75
1998-04-15,25.81,16700.0,25.81,25.62,25.5
1998-04-16,25.69,2900.0,25.69,25.5,25.5
1998-04-17,25.5,138900.0,25.5,25.0,24.88
1998-04-20,24.88,44000.0,24.94,24.62,24.62
1998-04-21,24.38,166500.0,24.38,23.75,23.75
1998-04-22,23.81,33900.0,23.88,23.88,23.56
1998-04-23,23.94,7600.0,24.0,23.88,23.75
1998-04-24,23.94,14400.0,23.94,23.56,23.44
1998-04-27,23.69,30000.0,23.69,23.38,23.38
1998-04-28,23.56,19100.0,23.75,23.5,23.38
1998-04-29,23.62,10000.0,23.88,23.81,23.62
1998-04-30,23.81,17200.0,24.0,24.0,23.81
1998-05-01,24.0,1000.0,24.06,24.06,23.94
1998-05-04,24.0,29400.0,24.0,24.0,23.88
1998-05-05,24.0,23500.0,24.0,23.94,23.88
1998-05-06,23.94,29300.0,23.94,23.56,23.5
