date,1. open,5. volume,2. high,4. close,3. low
2017-03-02,24.0,217109769.0,26.05,24.48,23.5
2017-03-03,26.39,148227379.0,29.44,27.09,26.06
2017-03-06,28.17,72938848.0,28.25,23.77,23.77
2017-03-07,22.21,71899652.0,22.5,21.44,20.64
2017-03-08,22.03,49834423.0,23.43,22.81,21.31
2017-03-09,23.17,25803174.0,23.68,22.71,22.51
2017-03-10,23.36,18337600.0,23.4,22.07,22.0
2017-03-13,22.05,20605862.0,22.15,21.09,20.96
2017-03-14,20.9,20033167.0,20.98,20.58,20.15
2017-03-15,20.08,24985920.0,21.4,20.77,20.05
2017-03-16,20.65,25630157.0,20.69,19.89,19.75
2017-03-17,19.8,34251973.0,19.85,19.54,18.9
2017-03-20,19.94,21016038.0,20.43,19.93,19.72
2017-03-21,20.04,20080142.0,20.54,20.38,19.55
2017-03-22,20.65,47599301.0,22.25,21.82,20.52
2017-03-23,22.69,40645418.0,23.3,23.13,22.22
2017-03-24,23.05,17263232.0,23.1,22.74,22.34
2017-03-27,23.09,48398210.0,24.4,23.83,22.6
2017-03-28,23.31,49889866.0,23.36,22.21,22.17
2017-03-29,21.77,31475593.0,22.71,22.55,21.33
2017-03-30,22.55,17094311.0,22.85,22.23,22.0
2017-03-31,22.05,15087074.0,22.62,22.53,22.0
2017-04-03,22.7,12521294.0,22.9,22.35,22.11
2017-04-04,22.21,16313506.0,22.67,22.14,21.88
2017-04-05,22.15,26099307.0,22.22,20.7,20.67
2017-04-06,20.76,21933897.0,20.76,20.57,20.03
2017-04-07,20.68,10574747.0,21.08,20.82,20.6
2017-04-10,21.09,8629845.0,21.27,20.97,20.7
2017-04-11,21.01,13310727.0,21.2,20.7,20.34
2017-04-12,20.7,9362568.0,20.83,20.22,20.18
2017-04-13,20.2,13600361.0,20.37,20.19,19.81
2017-04-17,20.09,11714666.0,20.21,19.94,19.8
2017-04-18,19.83,15974661.0,20.89,20.55,19.73
2017-04-19,20.5,8737757.0,20.91,20.62,20.41
2017-04-20,20.63,10025578.0,21.26,21.15,20.62
2017-04-21,21.37,7742074.0,21.49,20.93,20.71
2017-04-24,21.2,5928215.0,21.3,21.2,21.01
2017-04-25,21.08,9588043.0,21.4,21.34,20.56
2017-04-26,21.25,10141339.0,21.65,21.58,21.08
2017-04-27,21.58,10764391.0,22.12,22.01,21.58
2017-04-28,22.05,9031607.0,22.59,22.55,22.01
2017-05-01,22.66,7959265.0,22.84,22.21,22.11
2017-05-02,22.37,8135878.0,22.37,21.99,21.75
2017-05-03,21.8,7074347.0,22.21,21.82,21.633
2017-05-04,22.18,18997904.0,23.22,22.59,21.9
2017-05-05,23.08,12833904.0,23.25,23.19,22.51
2017-05-08,23.17,18088030.0,23.57,22.46,22.225
