date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,35.75,1551700.0,35.75,35.06,31.38
1998-01-05,35.13,1009600.0,35.38,34.81,33.88
1998-01-06,34.62,937700.0,34.75,33.06,32.88
1998-01-07,32.75,630500.0,33.13,32.44,32.38
1998-01-08,32.38,805500.0,32.63,32.0,31.75
1998-01-09,32.38,1085600.0,33.5,31.38,30.75
1998-01-12,30.88,1249600.0,33.25,33.13,30.88
1998-01-13,33.5,607200.0,34.5,34.0,33.25
1998-01-14,34.38,261500.0,34.94,34.63,34.13
1998-01-15,34.5,517600.0,34.88,33.88,33.75
1998-01-16,34.0,344900.0,34.75,34.5,33.88
1998-01-20,34.38,427100.0,35.75,35.63,34.13
1998-01-21,35.25,460600.0,35.63,35.13,34.5
1998-01-22,34.5,385600.0,35.06,34.75,34.38
1998-01-23,34.75,399400.0,35.0,34.13,33.88
1998-01-26,34.0,244400.0,34.75,34.0,33.94
1998-01-27,33.88,554400.0,34.0,33.25,32.63
1998-01-28,33.5,653300.0,33.81,33.44,33.13
1998-01-29,33.5,1039600.0,34.63,34.03,33.25
1998-01-30,29.5,7106800.0,31.13,30.94,29.38
1998-02-02,31.38,906000.0,33.44,33.0,31.13
1998-02-03,33.0,858700.0,33.75,33.5,32.88
1998-02-04,33.38,817200.0,34.63,34.5,32.75
1998-02-05,34.38,1078600.0,34.75,33.81,33.5
1998-02-06,33.75,330900.0,35.0,34.0,33.75
1998-02-09,34.0,653200.0,35.06,34.06,33.88
1998-02-10,34.0,814400.0,34.75,34.13,33.88
1998-02-11,34.0,505800.0,34.75,34.5,34.0
1998-02-12,34.5,719100.0,34.75,34.31,34.0
1998-02-13,34.13,386700.0,34.75,34.56,34.13
1998-02-17,34.81,558000.0,35.69,34.69,34.63
1998-02-18,34.38,315900.0,34.88,34.56,34.38
1998-02-19,34.5,515100.0,34.63,34.63,34.0
1998-02-20,34.5,615500.0,35.13,35.0,34.5
1998-02-23,35.13,1005200.0,35.75,34.5,34.13
1998-02-24,34.38,550900.0,34.63,34.44,34.25
1998-02-25,34.38,642900.0,36.0,36.0,34.38
1998-02-26,35.38,490700.0,37.44,35.81,35.38
1998-02-27,35.75,1381200.0,35.88,34.94,34.41
1998-03-02,35.0,620800.0,35.25,34.63,34.5
1998-03-03,34.63,559500.0,34.69,33.88,33.38
1998-03-04,33.63,962300.0,33.88,33.5,32.81
1998-03-05,32.25,859600.0,33.5,31.75,31.75
1998-03-06,32.0,859300.0,33.63,33.0,31.88
1998-03-09,32.63,297000.0,33.0,31.81,31.81
1998-03-10,32.25,337200.0,32.63,32.38,32.25
1998-03-11,32.25,601200.0,32.5,31.63,31.63
1998-03-12,31.5,1078800.0,31.88,30.13,29.75
1998-03-13,30.38,1552500.0,32.62,32.0,30.0
1998-03-16,32.25,607800.0,32.5,32.5,31.63
1998-03-17,32.5,465700.0,32.63,31.5,30.63
1998-03-18,30.88,1085600.0,32.0,30.69,30.5
1998-03-19,30.5,588900.0,30.88,30.06,29.5
1998-03-20,30.0,477800.0,30.25,30.0,29.75
1998-03-23,29.88,509700.0,30.25,29.5,29.13
1998-03-24,29.63,1081700.0,30.75,30.56,29.25
1998-03-25,31.19,1586900.0,32.75,32.38,31.13
1998-03-26,32.13,1123800.0,33.25,33.0,32.13
1998-03-27,33.0,585900.0,33.13,32.75,32.5
1998-03-30,32.69,350400.0,33.63,32.69,32.5
1998-03-31,33.25,883900.0,33.31,32.75,32.69
1998-04-01,32.63,383100.0,33.13,32.88,31.5
1998-04-02,32.75,416200.0,33.25,32.63,32.38
1998-04-03,32.88,682200.0,33.25,33.13,32.5
1998-04-06,33.25,1235400.0,33.38,31.44,31.06
1998-04-07,31.5,981100.0,31.63,30.97,30.5
1998-04-08,31.0,538800.0,31.5,31.0,30.69
1998-04-09,31.13,508700.0,31.5,31.09,30.75
1998-04-13,31.25,2084000.0,32.75,32.69,29.63
1998-04-14,33.13,2589600.0,35.38,35.0,33.13
1998-04-15,35.38,525500.0,35.38,35.13,34.19
1998-04-16,35.63,826800.0,35.91,34.56,34.25
1998-04-17,34.5,713800.0,36.25,36.0,34.5
1998-04-20,35.75,832100.0,36.94,36.75,35.75
1998-04-21,38.94,2021100.0,39.63,38.94,36.88
1998-04-22,39.13,1506900.0,39.25,39.13,38.25
1998-04-23,39.0,1131900.0,39.13,37.63,37.38
1998-04-24,37.63,921600.0,38.25,38.0,37.63
1998-04-27,37.38,1210600.0,37.38,35.63,35.0
1998-04-28,39.75,4174400.0,41.38,41.0,39.38
1998-04-29,41.0,2476400.0,43.0,42.38,40.13
1998-04-30,43.0,1456000.0,43.13,43.0,41.25
1998-05-01,42.38,1022400.0,43.25,42.63,41.94
1998-05-04,42.63,1279900.0,44.19,43.63,41.75
1998-05-05,43.5,450300.0,43.56,42.0,42.0
1998-05-06,41.88,547100.0,42.0,41.19,40.0
1998-05-07,41.5,386700.0,42.13,41.31,40.69
1998-05-08,41.25,310900.0,42.13,41.25,41.0
1998-05-11,41.56,951600.0,42.5,40.31,39.5
1998-05-12,40.75,579400.0,42.06,41.63,40.47
1998-05-13,42.38,507400.0,43.25,42.88,41.75
1998-05-14,42.38,464200.0,43.38,43.19,42.0
1998-05-15,44.5,1494800.0,46.25,44.63,44.38
1998-05-18,45.0,729000.0,45.0,43.44,43.44
1998-05-19,43.63,379300.0,44.13,43.63,43.25
1998-05-20,43.5,599700.0,44.44,43.12,43.12
1998-05-21,43.5,413700.0,44.5,44.38,42.75
1998-05-22,44.13,741100.0,44.13,42.63,42.63
1998-05-26,43.0,434800.0,43.06,40.88,40.38
1998-05-27,40.0,828600.0,42.5,41.81,39.38
1998-05-28,42.13,867400.0,44.16,43.56,41.5
1998-05-29,43.63,797200.0,44.06,42.94,42.75
1998-06-01,42.75,679700.0,43.38,40.38,40.0
1998-06-02,40.63,964300.0,43.19,41.88,40.38
1998-06-03,42.25,660900.0,42.63,41.38,41.0
1998-06-04,41.25,727300.0,43.38,43.38,41.0
1998-06-05,43.38,552700.0,44.38,44.19,42.63
1998-06-08,44.13,1010700.0,46.06,45.44,43.25
1998-06-09,45.38,331900.0,46.0,45.81,45.0
1998-06-10,45.12,725700.0,45.88,45.62,45.0
1998-06-11,45.38,955500.0,45.5,43.38,42.97
1998-06-12,42.88,851100.0,43.38,43.0,40.25
1998-06-15,42.38,602900.0,42.81,42.0,41.75
1998-06-16,42.0,1403600.0,42.75,42.75,40.88
1998-06-17,43.0,637200.0,43.75,42.25,42.13
1998-06-18,42.0,1024100.0,42.75,42.25,41.0
1998-06-19,42.5,985800.0,42.63,41.38,41.13
1998-06-22,41.5,861700.0,41.69,40.75,40.75
1998-06-23,41.0,1335000.0,42.31,42.13,40.75
1998-06-24,42.5,1482500.0,46.13,45.63,42.13
1998-06-25,45.56,902600.0,46.0,44.5,44.38
1998-06-26,44.63,820400.0,45.13,44.94,43.88
1998-06-29,45.13,863100.0,46.0,45.63,45.13
1998-06-30,46.06,901200.0,46.06,45.75,44.88
1998-07-01,46.06,781300.0,46.06,44.75,44.13
1998-07-02,44.0,668800.0,44.13,42.69,42.63
1998-07-06,42.69,1345100.0,43.0,40.75,40.63
1998-07-07,41.38,417800.0,42.38,41.5,41.0
1998-07-08,41.44,1472100.0,42.38,40.88,39.38
1998-07-09,41.0,818600.0,42.0,42.0,38.75
1998-07-10,42.06,375900.0,43.0,41.0,41.0
1998-07-13,40.94,237500.0,42.0,41.88,40.25
1998-07-14,41.63,533600.0,42.13,40.63,40.0
1998-07-15,41.0,394200.0,42.13,42.0,40.75
1998-07-16,42.0,367200.0,43.0,42.44,41.25
1998-07-17,42.06,321200.0,43.19,41.63,41.25
1998-07-20,41.5,266100.0,42.44,41.5,41.13
1998-07-21,41.5,579500.0,42.13,41.38,40.88
1998-07-22,39.75,1458700.0,40.38,39.94,37.88
1998-07-23,39.75,731500.0,40.0,37.44,37.38
1998-07-24,37.63,598400.0,38.5,38.25,36.63
1998-07-27,37.63,443700.0,39.0,38.38,37.63
1998-07-28,37.75,581200.0,40.0,39.63,37.75
1998-07-29,39.63,425400.0,40.38,39.25,38.75
1998-07-30,39.63,636500.0,39.63,38.5,37.38
