date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,32.63,103352.0,32.81,32.63,32.38
1998-01-05,33.0,193517.0,33.63,33.06,33.0
1998-01-06,33.25,287491.0,33.5,32.94,32.63
1998-01-07,33.0,224288.0,33.0,32.75,32.63
1998-01-08,32.94,185702.0,33.0,32.69,32.63
1998-01-09,32.88,190098.0,32.94,32.13,32.0
1998-01-12,32.13,176910.0,32.38,31.94,31.5
1998-01-13,31.94,472510.0,32.06,31.75,31.63
1998-01-14,31.94,241872.0,32.5,32.38,31.88
1998-01-15,32.56,283682.0,33.31,32.94,32.56
1998-01-16,33.0,214715.0,33.25,32.31,32.31
1998-01-20,32.5,167630.0,32.75,32.56,32.38
1998-01-21,32.81,169193.0,32.94,32.69,32.69
1998-01-22,32.69,203090.0,32.94,32.88,32.69
1998-01-23,33.0,164211.0,33.13,32.94,32.88
1998-01-26,33.19,172124.0,33.19,32.88,32.88
1998-01-27,33.0,255352.0,33.06,32.63,32.63
1998-01-28,32.81,89285.0,33.0,32.88,32.75
1998-01-29,33.0,209635.0,33.13,32.94,32.88
1998-01-30,32.94,135687.0,33.25,33.19,32.94
1998-02-02,33.25,196252.0,33.44,33.25,33.19
1998-02-03,33.44,188144.0,33.5,33.38,33.13
1998-02-04,33.0,75902.0,33.0,33.0,32.63
1998-02-05,32.88,259651.0,33.19,32.94,32.81
1998-02-06,33.0,96514.0,33.0,33.0,32.88
1998-02-09,33.0,109507.0,33.13,32.94,32.88
1998-02-10,33.13,553003.0,33.25,33.13,32.94
1998-02-11,33.25,165774.0,33.44,33.19,33.19
1998-02-12,33.38,147702.0,33.38,33.31,33.0
1998-02-13,33.25,98175.0,33.5,33.25,33.19
1998-02-17,33.44,120154.0,33.5,33.0,33.0
1998-02-18,33.13,149363.0,33.63,33.63,32.88
1998-02-19,33.0,176226.0,33.06,32.5,32.38
1998-02-20,32.63,329301.0,32.75,32.25,32.25
1998-02-23,32.38,399245.0,32.38,31.69,31.63
1998-02-24,31.88,451019.0,31.88,31.38,31.25
1998-02-25,31.25,266586.0,31.5,31.38,31.25
1998-02-26,31.31,361245.0,31.5,31.19,31.19
1998-02-27,31.38,126699.0,31.38,30.88,30.75
1998-03-02,31.31,149851.0,31.31,31.06,31.0
1998-03-03,31.06,115075.0,31.13,30.94,30.88
1998-03-04,31.0,138031.0,31.13,30.88,30.81
1998-03-05,30.69,217939.0,30.88,30.5,30.38
1998-03-06,30.75,410283.0,31.0,30.75,30.63
1998-03-09,30.81,296185.0,31.13,30.88,30.5
1998-03-10,30.88,215496.0,31.19,31.0,30.88
1998-03-11,30.75,638967.0,31.38,30.94,30.75
1998-03-12,31.0,784911.0,32.25,31.75,31.0
1998-03-13,32.0,320705.0,32.31,32.25,31.75
1998-03-16,32.25,872145.0,32.75,31.75,31.63
1998-03-17,31.94,265121.0,32.25,32.0,31.81
1998-03-18,32.0,181502.0,32.31,32.0,32.0
1998-03-19,32.0,211101.0,32.38,32.0,31.94
1998-03-20,33.13,345810.0,33.44,32.88,32.63
1998-03-23,32.94,114977.0,32.94,32.69,32.5
1998-03-24,32.75,175445.0,32.88,32.69,32.5
1998-03-25,32.88,473486.0,33.75,33.63,32.75
1998-03-26,33.81,630469.0,34.5,34.06,33.75
1998-03-27,34.06,378828.0,34.13,33.63,33.63
1998-03-30,33.63,172417.0,34.0,33.88,33.38
1998-03-31,34.38,434607.0,34.44,34.25,33.88
1998-04-01,34.25,243825.0,34.25,34.06,33.75
1998-04-02,34.13,129923.0,34.44,34.44,34.13
1998-04-03,34.75,129923.0,34.88,34.38,34.38
1998-04-06,34.38,172807.0,34.69,34.19,34.0
1998-04-07,34.19,159327.0,34.56,34.44,34.13
1998-04-08,34.5,159034.0,34.5,33.88,33.75
1998-04-09,34.0,116345.0,34.38,34.31,33.38
1998-04-13,34.13,150437.0,34.63,34.5,34.06
1998-04-14,34.63,132854.0,34.63,34.13,33.94
1998-04-15,34.25,70627.0,34.25,34.06,33.75
1998-04-16,34.13,125625.0,34.19,34.0,33.88
1998-04-17,33.75,272155.0,33.75,33.56,33.31
1998-04-20,33.44,128946.0,33.69,33.31,33.0
1998-04-21,33.06,547337.0,33.25,32.13,32.0
1998-04-22,32.25,285635.0,32.63,32.25,32.13
1998-04-23,32.5,297553.0,32.5,32.44,32.13
1998-04-24,32.38,169779.0,32.75,32.75,32.31
1998-04-27,32.5,133928.0,32.75,32.75,32.06
1998-04-28,32.88,65743.0,32.88,32.38,32.25
1998-04-29,32.25,149753.0,32.88,32.88,32.25
1998-04-30,33.0,158741.0,33.13,32.94,32.69
1998-05-01,32.94,336139.0,33.19,33.06,32.69
1998-05-04,32.88,233666.0,33.38,33.19,32.63
1998-05-05,33.19,118689.0,33.75,33.56,33.13
1998-05-06,33.25,112926.0,33.44,33.25,32.88
1998-05-07,33.0,206216.0,33.19,32.88,32.63
1998-05-08,32.56,112535.0,32.94,32.81,32.44
1998-05-11,32.19,177594.0,32.94,32.81,32.19
1998-05-12,32.88,83424.0,32.94,32.75,32.75
1998-05-13,32.75,108823.0,32.88,32.69,32.25
1998-05-14,32.5,138226.0,32.75,32.69,32.38
1998-05-15,32.56,253008.0,32.75,32.44,32.31
1998-05-18,32.44,59198.0,32.88,32.69,32.25
1998-05-19,32.81,276160.0,32.88,32.38,32.38
1998-05-20,32.38,73265.0,32.38,32.38,32.38
1998-05-21,32.63,70432.0,32.75,32.5,32.38
1998-05-22,32.5,213738.0,32.81,32.69,32.25
1998-05-26,33.0,348741.0,33.0,32.81,32.63
1998-05-27,32.63,158643.0,32.88,32.81,32.5
1998-05-28,32.81,159913.0,32.94,32.94,32.75
1998-05-29,32.94,269224.0,33.5,33.38,32.88
1998-06-01,33.25,292473.0,34.13,34.0,33.13
1998-06-02,33.88,158838.0,34.06,33.88,33.88
1998-06-03,33.75,94658.0,33.94,33.31,33.31
1998-06-04,33.44,36925.0,33.44,33.13,32.88
1998-06-05,33.25,51872.0,33.25,33.06,32.81
1998-06-08,32.94,65743.0,33.38,33.19,32.75
1998-06-09,33.0,183846.0,33.13,32.75,32.19
1998-06-10,32.63,83913.0,32.87,32.38,32.38
1998-06-11,32.5,84401.0,32.75,32.44,32.38
