date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,10.25,100500.0,10.25,10.12,10.06
1998-01-05,10.06,295000.0,10.38,10.0,9.75
1998-01-06,9.62,696700.0,10.0,9.25,9.25
1998-01-07,9.38,185900.0,9.38,9.25,9.12
1998-01-08,9.25,349600.0,9.5,8.88,8.62
1998-01-09,8.62,375300.0,8.88,8.12,8.0
1998-01-12,7.88,610600.0,7.88,7.12,7.0
1998-01-13,7.19,474300.0,8.38,7.94,7.19
1998-01-14,8.0,362800.0,8.25,7.81,7.62
1998-01-15,7.88,199400.0,8.06,8.0,7.69
1998-01-16,8.12,223600.0,8.12,8.06,7.81
1998-01-20,8.12,392000.0,9.0,9.0,8.0
1998-01-21,8.88,238300.0,9.25,8.94,8.62
1998-01-22,8.38,288300.0,8.75,8.12,8.0
1998-01-23,8.12,174200.0,8.38,8.0,7.94
1998-01-26,7.88,206400.0,8.12,7.81,7.75
1998-01-27,8.0,179800.0,8.0,7.56,7.5
1998-01-28,7.62,346200.0,7.75,7.62,7.5
1998-01-29,7.69,478800.0,8.12,8.0,7.69
1998-01-30,8.12,130900.0,8.38,8.0,7.94
1998-02-02,7.94,395200.0,8.25,7.62,7.5
1998-02-03,7.78,200600.0,8.12,7.81,7.5
1998-02-04,7.88,309000.0,8.62,8.31,7.62
1998-02-05,8.38,338400.0,8.75,8.44,8.25
1998-02-06,8.75,201900.0,8.75,8.56,8.38
1998-02-09,8.38,179100.0,8.56,8.56,8.25
1998-02-10,8.69,327100.0,9.25,9.0,8.5
1998-02-11,9.12,184300.0,9.12,8.84,8.75
1998-02-12,8.75,150100.0,9.0,8.5,8.44
1998-02-13,8.38,200800.0,8.56,8.25,8.12
1998-02-17,8.31,174200.0,8.62,8.06,7.88
1998-02-18,8.12,316600.0,8.12,7.94,7.75
1998-02-19,8.06,418900.0,8.12,8.0,7.88
1998-02-20,8.0,279100.0,8.25,8.25,7.81
1998-02-23,8.38,386000.0,8.5,8.0,7.75
1998-02-24,8.06,335900.0,8.12,7.91,7.81
1998-02-25,7.94,200200.0,8.06,8.03,7.81
1998-02-26,8.31,437500.0,9.0,8.81,8.12
1998-02-27,9.0,383700.0,9.0,8.88,8.69
1998-03-02,9.0,475400.0,9.5,9.34,8.88
1998-03-03,9.5,714900.0,9.75,9.75,9.12
1998-03-04,9.75,1450800.0,10.44,10.25,9.62
1998-03-05,9.88,664400.0,10.12,9.94,9.38
1998-03-06,10.0,410800.0,10.19,9.5,9.38
1998-03-09,9.44,370500.0,9.75,8.94,8.88
1998-03-10,9.12,246100.0,9.38,9.06,8.88
1998-03-11,9.12,256100.0,9.12,8.88,8.62
1998-03-12,8.62,422300.0,8.75,8.75,8.38
1998-03-13,8.62,142000.0,9.0,8.66,8.62
1998-03-16,8.75,259300.0,8.75,8.25,8.0
1998-03-17,8.12,525900.0,8.19,7.56,7.5
1998-03-18,7.56,305200.0,8.38,8.31,7.56
1998-03-19,8.5,390300.0,9.12,8.88,8.5
1998-03-20,9.12,203700.0,9.31,9.31,9.06
1998-03-23,10.0,1293000.0,10.5,10.0,9.75
1998-03-24,10.0,395600.0,10.0,9.62,9.5
1998-03-25,9.5,167200.0,9.75,9.56,9.44
1998-03-26,9.56,183000.0,9.88,9.62,9.38
1998-03-27,9.88,506500.0,10.25,10.12,9.88
1998-03-30,10.31,168300.0,10.38,9.94,9.88
1998-03-31,9.88,166800.0,10.12,9.75,9.62
1998-04-01,10.0,227900.0,10.19,9.94,9.75
1998-04-02,10.25,175800.0,10.25,9.94,9.75
1998-04-03,9.88,123600.0,10.06,9.97,9.88
1998-04-06,9.94,376500.0,10.38,10.06,9.94
1998-04-07,10.06,361100.0,10.06,9.91,9.81
1998-04-08,9.88,178500.0,10.12,10.0,9.81
1998-04-09,10.0,172000.0,10.25,10.12,10.0
1998-04-13,10.25,170300.0,10.38,10.22,10.12
1998-04-14,10.19,653000.0,11.0,10.75,10.19
1998-04-15,10.69,289300.0,10.88,10.75,10.62
1998-04-16,10.75,386800.0,11.0,10.94,10.69
1998-04-17,11.0,742400.0,11.88,11.56,10.94
1998-04-20,11.56,381000.0,11.88,11.62,11.5
1998-04-21,11.38,519300.0,11.56,10.88,10.88
1998-04-22,10.88,363700.0,11.62,11.19,10.88
1998-04-23,11.5,275300.0,11.5,11.44,11.0
1998-04-24,11.25,506200.0,11.5,11.06,11.0
1998-04-27,11.06,277000.0,11.06,10.56,10.38
1998-04-28,10.75,396500.0,11.31,11.31,10.75
1998-04-29,11.44,530900.0,12.0,11.5,11.12
1998-04-30,11.5,340900.0,11.62,11.12,10.94
1998-05-01,11.0,259100.0,11.38,11.0,10.88
1998-05-04,11.25,201000.0,11.31,10.62,10.62
1998-05-05,11.0,174400.0,11.0,10.81,10.69
1998-05-06,10.88,230200.0,11.0,10.75,10.56
1998-05-07,10.5,244400.0,10.75,10.62,10.5
1998-05-08,10.75,157100.0,10.88,10.75,10.5
1998-05-11,10.62,273100.0,11.12,10.94,10.62
1998-05-12,11.0,78200.0,11.0,10.81,10.81
1998-05-13,10.88,51400.0,10.88,10.81,10.62
1998-05-14,10.88,164200.0,10.88,10.75,10.5
1998-05-15,10.69,201500.0,11.0,10.5,10.5
1998-05-18,10.75,422800.0,10.75,10.31,10.25
1998-05-19,10.25,190300.0,10.62,10.31,10.25
1998-05-20,10.38,330100.0,10.5,9.81,9.5
1998-05-21,9.88,521300.0,10.0,9.81,9.75
1998-05-22,9.81,207100.0,10.0,9.62,9.62
1998-05-26,9.62,165600.0,9.69,9.0,8.88
1998-05-27,8.88,228900.0,9.25,9.12,8.44
1998-05-28,9.25,157600.0,9.62,9.62,9.12
1998-05-29,9.75,388400.0,10.0,9.62,9.5
1998-06-01,9.62,99200.0,9.88,9.12,9.12
1998-06-02,9.0,116000.0,9.19,9.0,8.88
1998-06-03,8.88,129800.0,9.06,8.88,8.62
1998-06-04,8.94,75400.0,9.25,9.19,8.75
1998-06-05,9.12,116500.0,9.72,9.5,9.12
1998-06-08,9.56,66000.0,9.62,9.44,9.44
1998-06-09,9.38,100500.0,9.62,8.88,8.88
1998-06-10,8.88,119800.0,9.0,8.62,8.62
1998-06-11,8.75,174500.0,8.75,8.31,8.06
1998-06-12,8.44,275900.0,8.5,8.19,7.62
1998-06-15,7.88,141800.0,8.12,7.5,7.5
1998-06-16,8.25,346200.0,8.25,7.56,7.56
1998-06-17,7.81,391800.0,8.5,8.0,7.75
1998-06-18,8.12,4066200.0,8.12,5.88,4.88
1998-06-19,6.44,1490100.0,6.44,5.88,5.12
