date,1. open,5. volume,2. high,4. close,3. low
2010-02-11,80.47,52700.0,81.25,76.98,76.31
2010-02-12,79.27,53085.0,79.33,76.34,75.95
2010-02-16,74.68,46491.0,75.93,73.63,73.4
2010-02-17,72.65,46603.0,73.74,72.5,72.286
2010-02-18,72.41,42315.0,72.75,70.76,70.55
2010-02-19,71.4,45370.0,71.98,70.95,70.0
2010-02-22,70.18,31762.0,72.18,71.39,70.13
2010-02-23,71.54,53770.0,75.04,74.26,71.53
2010-02-24,72.98,65996.0,73.31,71.94,71.06
2010-02-25,74.21,57543.0,75.6,71.44,71.44
2010-02-26,72.0,45820.0,72.6889,71.05,70.81
2010-03-01,70.22,54512.0,70.27,67.9201,67.7
2010-03-02,67.3,22132.0,67.81,67.4,66.184
2010-03-03,67.16,27488.0,67.91,67.4,66.25
2010-03-04,67.03,44793.0,67.96,66.56,66.32
2010-03-05,64.9,60531.0,65.34,63.61,63.28
2010-03-08,63.19,28516.0,63.31,63.09,62.7
2010-03-09,63.64,81218.0,63.64,62.0,61.0
2010-03-10,61.45,54491.0,61.56,60.51,60.11
2010-03-11,60.88,66091.0,61.2003,59.92,59.88
2010-03-12,59.16,54299.0,60.39,59.83,59.16
2010-03-15,60.2384,55408.0,61.39,60.1899,59.78
2010-03-16,59.66,49572.0,60.15,59.03,58.82
2010-03-17,58.83,71805.0,59.0045,58.75,57.77
2010-03-18,58.41,57902.0,58.8,58.05,57.81
2010-03-19,57.38,86648.0,59.61,59.1,57.38
2010-03-22,59.65,144852.0,59.9,57.44,56.71
2010-03-23,57.14,108107.0,57.8324,56.3,56.1
2010-03-24,56.58,124001.0,57.3899,56.9,56.51
2010-03-25,55.726,133667.0,57.44,57.37,55.0
2010-03-26,56.61,93173.0,57.97,57.02,55.93
2010-03-29,56.24,75459.0,56.69,56.28,55.7801
2010-03-30,55.79,51164.0,56.7,55.73,55.25
2010-03-31,56.33,107190.0,56.77,56.34,55.5501
2010-04-01,55.82,86860.0,57.7261,56.46,54.72
2010-04-05,56.19,114736.0,56.52,54.9,54.55
2010-04-06,55.32,92344.0,55.55,54.46,53.97
2010-04-07,54.85,109279.0,55.67,54.74,54.1
2010-04-08,55.31,64192.0,56.07,54.55,54.24
2010-04-09,54.35,75518.0,54.77,53.52,53.43
2010-04-12,53.37,79733.0,53.66,53.35,52.94
2010-04-13,53.53,139542.0,53.8199,52.51,52.44
2010-04-14,51.7,145350.0,51.9,50.68,50.647
2010-04-15,50.68,126404.0,50.68,50.06,49.87
2010-04-16,50.53,256201.0,52.7,51.64,50.01
2010-04-19,52.34,247135.0,53.71,51.86,51.44
2010-04-20,51.0,140172.0,52.04,51.16,50.7088
2010-04-21,50.05,156886.0,51.03,50.14,49.72
2010-04-22,51.63,310568.0,52.42,49.36,49.21
2010-04-23,49.41,110733.0,49.8599,48.76,48.61
2010-04-26,48.63,134461.0,49.28,49.09,48.33
2010-04-27,49.6,284112.0,52.526,52.1,49.0
2010-04-28,51.25,513931.0,53.23,52.02,51.25
2010-04-29,51.3,280039.0,51.3,49.33,49.06
2010-04-30,49.41,264167.0,52.35,52.25,49.17
2010-05-03,51.61,237215.0,51.64,50.0349,49.3
2010-05-04,51.9,456924.0,55.54,54.56,51.88
2010-05-05,56.07,484660.0,57.15,55.29,54.3016
2010-05-06,56.43,745042.0,75.41,60.92,47.55
2010-05-07,62.3,755235.0,69.05,64.9101,59.99
2010-05-10,56.92,560562.0,57.28,55.48,55.25
2010-05-11,56.89,401143.0,57.3,55.42,53.21
2010-05-12,54.65,284272.0,54.82,52.4,52.2
2010-05-13,53.02,265232.0,55.12,54.83,51.79
2010-05-14,56.08,421273.0,59.86,57.96,56.05
2010-05-17,57.54,285804.0,61.1101,57.52,56.7699
2010-05-18,56.0,282372.0,60.4899,59.76,55.64
2010-05-19,60.42,570409.0,63.1699,61.19,59.03
2010-05-20,64.58,623021.0,68.36,67.17,64.31
2010-05-21,71.22,763751.0,71.97,66.43,64.24
2010-05-24,65.94,426621.0,66.56,65.96,63.66
2010-05-25,70.92,781979.0,72.82,66.47,66.0501
2010-05-26,65.35,400388.0,68.86,68.44,62.5199
2010-05-27,63.76,469167.0,64.41,60.75,60.75
2010-05-28,60.59,487352.0,63.3999,61.87,60.34
2010-06-01,62.43,375863.0,63.74,63.65,59.2174
2010-06-02,62.45,288764.0,63.72,59.13,58.89
2010-06-03,58.57,428781.0,59.5901,57.36,57.0472
2010-06-04,60.96,734625.0,63.75,63.12,58.7701
2010-06-07,62.12,524986.0,66.75,66.6,61.71
2010-06-08,66.19,762519.0,69.68,66.92,65.74
2010-06-09,65.7,570461.0,69.23,68.705,63.7874
2010-06-10,66.07,671988.0,66.7,62.7,62.5701
2010-06-11,64.63,594079.0,64.69,61.05,60.84
2010-06-14,59.31,380859.0,61.3,61.2,58.05
2010-06-15,60.12,436591.0,60.24,56.21,55.91
2010-06-16,56.54,459035.0,56.84,55.32,54.6
2010-06-17,54.56,296746.0,56.31,54.62,54.4001
2010-06-18,54.47,238163.0,55.1601,54.59,53.55
2010-06-21,52.66,716535.0,57.0,56.01,52.4201
2010-06-22,55.43,679120.0,57.7,57.37,54.21
2010-06-23,57.19,548842.0,59.47,58.06,56.64
2010-06-24,58.87,476271.0,61.25,61.01,58.38
2010-06-25,60.24,279546.0,62.3,60.95,59.55
2010-06-28,60.95,331498.0,62.9,61.65,60.0
2010-06-29,64.52,779488.0,70.09,68.47,64.34
2010-06-30,69.47,670187.0,72.35,71.83,67.4
2010-07-01,71.36,1001173.0,76.66,72.51,70.74
2010-07-02,72.21,438208.0,75.13,73.11,71.42
2010-07-06,69.99,631027.0,74.26,72.43,68.52
2010-07-07,71.74,412585.0,71.9,65.58,65.34
2010-07-08,64.03,400781.0,66.79,64.6,63.65
2010-07-09,64.59,374288.0,66.95,62.55,62.55
2010-07-12,62.73,284553.0,63.33,62.01,60.96
2010-07-13,60.44,375210.0,61.84,59.88,58.99
2010-07-14,59.42,334022.0,60.06,58.7,57.8231
2010-07-15,59.16,383665.0,60.91,58.39,58.058
2010-07-16,59.31,571933.0,63.6,63.09,59.0
2010-07-19,62.83,565881.0,64.43,61.81,61.4
2010-07-20,64.79,528757.0,65.33,59.45,59.45
2010-07-21,57.68,428755.0,62.28,61.88,57.6
2010-07-22,59.46,398461.0,59.4761,57.68,56.47
2010-07-23,58.41,534999.0,58.77,56.1781,56.06
2010-07-26,56.0,203393.0,56.75,54.9,54.75
2010-07-27,54.01,288320.0,55.61,54.75,53.88
2010-07-28,55.08,223202.0,56.76,55.98,54.33
2010-07-29,55.27,525585.0,59.08,57.41,54.92
2010-07-30,58.83,706234.0,59.86,56.98,56.0
2010-08-02,54.98,444808.0,55.57,53.9,53.42
2010-08-03,54.03,261305.0,55.2635,54.55,53.87
2010-08-04,53.74,213870.0,54.43,52.96,52.7101
2010-08-05,53.66,226071.0,54.25,53.16,52.99
2010-08-06,55.04,377077.0,55.859,53.4,53.06
2010-08-09,52.68,153980.0,53.68,53.68,52.0
2010-08-10,53.69,314070.0,55.0,53.52,52.88
2010-08-11,56.46,355075.0,58.72,57.98,56.3704
2010-08-12,61.38,431952.0,61.75,59.42,58.76
2010-08-13,60.16,231365.0,60.77,60.77,59.42
2010-08-16,61.72,295783.0,62.46,60.4101,59.1798
2010-08-17,59.19,301608.0,59.436,57.98,56.5
2010-08-18,58.48,237343.0,59.06,57.3,56.35
2010-08-19,58.4,454123.0,61.14,59.81,57.8
2010-08-20,60.21,296796.0,61.25,59.87,59.42
2010-08-23,58.49,278348.0,61.56,61.54,58.11
