date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,14.75,12100.0,14.75,14.5,14.25
1998-01-05,14.38,37400.0,14.38,14.0,13.88
1998-01-06,13.88,100300.0,14.38,14.38,13.5
1998-01-07,14.5,186600.0,14.88,14.63,14.25
1998-01-08,14.94,117300.0,15.38,15.13,14.63
1998-01-09,15.13,51800.0,15.13,14.38,14.38
1998-01-12,13.88,35700.0,14.13,13.25,12.75
1998-01-13,13.5,9800.0,14.0,14.0,13.5
1998-01-14,14.0,44700.0,14.0,13.25,13.13
1998-01-15,13.5,35100.0,13.63,13.63,13.25
1998-01-16,13.63,12000.0,13.63,13.38,13.38
1998-01-20,13.63,116800.0,13.63,13.38,13.25
1998-01-21,13.25,31500.0,14.88,14.38,13.25
1998-01-22,14.38,51100.0,14.88,14.63,14.38
1998-01-23,15.0,4200.0,15.0,14.75,14.5
1998-01-26,14.38,81200.0,14.63,14.5,14.38
1998-01-27,14.5,20200.0,14.63,14.38,14.25
1998-01-28,14.63,53700.0,14.63,14.13,14.13
1998-01-29,14.5,7300.0,14.5,14.25,14.13
1998-01-30,14.13,10900.0,14.38,14.25,14.13
1998-02-02,14.13,154000.0,14.38,14.38,14.0
1998-02-03,14.25,33900.0,14.31,14.0,14.0
1998-02-04,13.88,16100.0,14.25,13.88,13.88
1998-02-05,14.0,129200.0,14.25,14.13,14.0
1998-02-06,14.13,488700.0,14.75,14.31,14.0
1998-02-09,14.0,318100.0,14.25,13.38,11.0
1998-02-10,13.5,87600.0,13.63,13.5,13.0
1998-02-11,13.25,9500.0,13.63,13.44,13.25
1998-02-12,13.25,18300.0,13.25,12.88,12.88
1998-02-13,13.25,220400.0,14.25,14.13,12.88
1998-02-17,14.25,92700.0,14.25,14.0,13.75
1998-02-18,14.13,22600.0,14.25,13.94,13.94
1998-02-19,14.25,23000.0,14.25,13.63,13.38
1998-02-20,13.63,72800.0,13.63,13.0,12.0
1998-02-23,13.0,33200.0,13.13,13.0,12.63
1998-02-24,13.25,25000.0,13.38,13.38,12.75
1998-02-25,13.38,4700.0,13.38,13.0,13.0
1998-02-26,13.5,29400.0,13.5,13.0,13.0
1998-02-27,13.25,23600.0,13.25,13.0,12.75
1998-03-02,12.5,72300.0,13.13,12.25,12.25
1998-03-03,12.75,157300.0,13.5,13.38,11.88
1998-03-04,13.63,168800.0,14.25,14.25,13.0
1998-03-05,13.25,224800.0,14.0,13.63,12.63
1998-03-06,14.0,59400.0,14.0,14.0,13.63
1998-03-09,14.0,38400.0,14.38,14.25,13.5
1998-03-10,13.88,109600.0,14.38,14.25,13.75
1998-03-11,14.38,209900.0,14.75,14.38,14.0
1998-03-12,14.5,50800.0,14.5,14.38,14.0
1998-03-13,14.31,76000.0,14.63,14.63,14.25
1998-03-16,15.0,230700.0,15.13,15.13,14.88
1998-03-17,15.13,140200.0,15.13,14.75,14.38
1998-03-18,15.38,96200.0,15.38,14.81,14.63
