date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,71.25,167900.0,71.75,71.0,70.63
1998-01-05,70.75,233100.0,72.69,71.69,70.75
1998-01-06,71.19,243500.0,71.38,70.75,70.0
1998-01-07,70.75,254600.0,70.75,69.25,68.06
1998-01-08,69.19,396600.0,69.75,68.06,67.88
1998-01-09,69.0,293000.0,69.0,66.0,65.31
1998-01-12,65.25,385700.0,67.44,67.38,65.25
1998-01-13,67.44,129900.0,68.25,68.19,67.0
1998-01-14,69.0,173200.0,69.56,69.44,68.38
1998-01-15,69.25,152600.0,69.25,68.44,68.25
1998-01-16,69.0,273800.0,69.94,69.5,68.81
1998-01-20,69.75,153200.0,70.0,69.94,69.38
1998-01-21,69.75,304500.0,69.88,68.56,68.19
1998-01-22,68.5,172000.0,68.69,67.75,67.69
1998-01-23,67.75,300200.0,68.25,67.5,66.75
1998-01-26,67.75,360900.0,69.0,68.75,67.75
1998-01-27,68.25,243200.0,69.94,69.81,68.25
1998-01-28,69.75,248400.0,71.5,70.63,69.69
1998-01-29,69.75,580400.0,72.25,70.56,69.69
1998-01-30,70.31,226300.0,70.38,69.25,69.19
1998-02-02,69.5,208800.0,71.44,71.13,69.5
1998-02-03,70.63,177400.0,72.31,71.94,70.38
1998-02-04,70.94,228700.0,72.13,72.0,70.81
1998-02-05,71.75,144000.0,72.25,71.56,71.0
1998-02-06,71.69,202300.0,73.0,72.69,71.69
1998-02-09,72.75,155400.0,72.75,72.25,71.38
1998-02-10,72.38,238700.0,73.63,72.56,72.38
1998-02-11,72.56,100500.0,73.25,73.0,72.25
1998-02-12,72.75,284500.0,72.75,72.13,71.5
1998-02-13,72.0,125300.0,72.0,71.56,71.25
1998-02-17,71.81,171000.0,72.56,72.13,71.5
1998-02-18,72.25,174100.0,73.13,72.81,72.06
1998-02-19,72.56,173100.0,72.88,72.88,72.19
1998-02-20,73.19,187000.0,73.19,72.5,71.38
1998-02-23,72.38,162200.0,72.81,72.63,71.88
1998-02-24,72.38,267500.0,72.81,72.56,72.19
1998-02-25,72.88,344400.0,74.13,73.56,72.69
1998-02-26,73.56,141700.0,73.56,73.38,73.0
1998-02-27,73.0,159400.0,74.13,73.75,72.81
1998-03-02,73.63,182100.0,74.13,74.06,73.13
1998-03-03,73.94,101600.0,74.19,74.13,73.5
1998-03-04,74.13,106100.0,74.13,73.69,73.25
1998-03-05,73.19,200500.0,73.38,72.56,72.06
1998-03-06,72.5,192700.0,74.44,74.06,72.5
1998-03-09,73.81,126100.0,74.0,73.81,73.19
1998-03-10,73.81,190400.0,74.56,74.06,73.75
1998-03-11,73.81,198700.0,74.88,74.75,73.69
1998-03-12,74.25,164000.0,74.88,74.5,73.94
1998-03-13,74.5,209700.0,74.81,74.31,74.25
1998-03-16,74.56,264300.0,76.38,76.38,74.56
1998-03-17,76.25,174700.0,76.5,76.0,75.56
1998-03-18,76.0,117800.0,76.38,76.06,75.75
1998-03-19,76.31,211800.0,76.44,76.44,76.13
1998-03-20,77.44,467600.0,77.44,76.5,76.31
1998-03-23,76.31,168800.0,76.44,75.31,75.13
1998-03-24,75.56,130000.0,76.63,76.25,75.56
1998-03-25,76.5,419000.0,77.0,75.31,74.56
1998-03-26,75.06,219200.0,76.19,75.81,74.56
1998-03-27,76.25,158600.0,76.44,75.5,74.75
1998-03-30,75.38,179100.0,75.56,73.81,73.31
1998-03-31,74.5,290800.0,76.44,75.38,74.5
1998-04-01,75.56,343300.0,75.56,74.63,73.38
1998-04-02,74.88,244800.0,75.88,75.5,74.75
1998-04-03,75.5,309700.0,76.63,75.69,75.13
1998-04-06,76.0,280000.0,77.25,76.25,75.81
1998-04-07,76.38,218300.0,76.44,75.44,74.5
1998-04-08,75.88,262300.0,76.0,73.88,73.5
1998-04-09,74.5,338900.0,75.25,75.13,74.0
1998-04-13,75.63,518700.0,77.5,76.75,75.63
1998-04-14,78.75,668200.0,79.69,79.19,78.5
1998-04-15,79.44,764500.0,80.38,80.38,78.31
1998-04-16,80.38,576900.0,80.38,80.06,78.63
1998-04-17,80.06,457400.0,82.13,81.94,79.44
1998-04-20,82.13,333000.0,82.13,81.0,80.56
1998-04-21,80.75,380100.0,80.88,80.81,79.63
1998-04-22,80.56,294200.0,82.25,82.19,80.5
1998-04-23,81.94,251100.0,82.0,80.38,79.81
1998-04-24,80.5,230300.0,81.13,78.94,78.81
1998-04-27,78.94,490400.0,79.13,78.13,77.63
1998-04-28,78.63,269500.0,79.25,78.94,78.44
1998-04-29,78.81,237100.0,79.5,79.5,78.75
1998-04-30,79.38,240900.0,81.63,81.44,79.31
1998-05-01,81.44,153800.0,81.5,81.5,80.0
1998-05-04,81.75,190500.0,81.75,80.38,80.38
1998-05-05,80.25,139900.0,80.25,79.56,78.88
1998-05-06,79.25,256500.0,79.44,78.5,78.0
1998-05-07,78.56,190400.0,78.56,77.94,77.44
1998-05-08,77.69,241400.0,79.38,78.69,77.69
1998-05-11,79.0,196900.0,79.25,78.44,78.13
1998-05-12,78.5,169500.0,80.0,79.75,78.19
1998-05-13,80.0,99100.0,80.31,79.25,79.06
1998-05-14,79.25,136600.0,79.5,79.06,78.94
1998-05-15,79.06,248800.0,79.5,79.31,78.75
1998-05-18,79.25,152000.0,79.25,79.0,78.5
1998-05-19,78.94,137600.0,79.5,79.19,78.5
1998-05-20,79.38,205400.0,79.63,79.63,79.38
1998-05-21,80.31,144800.0,81.75,80.69,80.25
1998-05-22,80.5,118800.0,80.63,79.56,79.5
1998-05-26,79.81,176600.0,79.94,78.69,78.69
1998-05-27,78.25,434800.0,79.06,78.56,77.63
1998-05-28,78.31,346700.0,79.13,78.75,77.75
1998-05-29,79.0,354900.0,79.31,79.0,78.38
1998-06-01,79.06,278700.0,80.31,79.63,78.88
1998-06-02,79.63,164300.0,80.19,78.81,78.63
1998-06-03,78.63,196400.0,79.25,78.0,78.0
1998-06-04,78.0,352700.0,78.31,78.06,77.06
1998-06-05,78.06,347800.0,79.13,79.13,77.56
1998-06-08,79.63,148100.0,79.94,79.63,79.31
1998-06-09,79.75,326900.0,79.75,79.25,78.88
1998-06-10,79.31,191700.0,80.88,79.31,79.0
1998-06-11,79.31,210100.0,79.44,78.31,78.31
1998-06-12,78.25,279400.0,79.0,78.38,77.81
1998-06-15,78.0,248000.0,79.06,78.0,77.63
1998-06-16,78.38,310100.0,78.5,78.13,77.25
1998-06-17,78.38,284800.0,79.94,79.38,78.19
1998-06-18,79.5,259700.0,80.0,79.13,79.0
1998-06-19,79.0,343400.0,79.13,78.69,78.5
1998-06-22,78.94,338500.0,79.81,79.5,78.94
1998-06-23,79.5,149100.0,80.38,79.69,79.44
1998-06-24,79.69,595100.0,81.75,81.5,79.25
1998-06-25,81.63,237200.0,82.44,81.56,81.0
1998-06-26,81.69,168300.0,82.56,82.44,81.56
1998-06-29,82.69,549800.0,83.44,82.75,82.69
1998-06-30,82.5,178700.0,82.5,81.31,81.06
1998-07-01,81.5,298000.0,83.19,83.19,81.0
1998-07-02,83.0,108800.0,83.0,82.63,82.25
1998-07-06,82.38,200900.0,83.38,83.25,82.25
1998-07-07,83.44,211900.0,83.88,83.63,82.44
1998-07-08,83.62,222300.0,85.56,85.31,83.62
1998-07-09,85.5,195800.0,85.5,84.19,84.0
1998-07-10,84.25,139200.0,85.06,84.56,83.13
1998-07-13,84.56,396600.0,85.88,83.75,83.75
1998-07-14,84.0,290200.0,86.75,86.69,84.0
1998-07-15,86.44,241100.0,86.63,85.19,85.0
1998-07-16,85.19,172200.0,86.69,86.63,84.94
1998-07-17,86.56,269000.0,87.75,87.44,86.5
1998-07-20,81.88,6052600.0,81.88,79.0,77.5
1998-07-21,81.5,2707400.0,81.56,76.81,76.56
1998-07-22,76.81,1676700.0,77.38,75.88,75.56
1998-07-23,75.94,899400.0,75.94,74.31,73.88
1998-07-24,74.38,920300.0,74.69,73.31,73.19
1998-07-27,73.31,718500.0,73.38,73.25,72.13
1998-07-28,73.19,819300.0,74.31,72.75,72.13
1998-07-29,72.75,1017100.0,73.25,71.63,71.38
1998-07-30,71.81,447000.0,72.56,72.31,71.63
1998-07-31,72.69,498300.0,74.63,73.0,72.31
1998-08-03,73.06,549100.0,73.31,71.25,71.06
1998-08-04,71.5,943000.0,71.5,67.81,67.63
1998-08-05,68.75,1336100.0,69.25,68.75,68.06
1998-08-06,68.75,527000.0,69.75,69.38,68.31
1998-08-07,69.63,753200.0,69.69,68.38,68.19
1998-08-10,68.25,422700.0,69.0,67.88,67.38
1998-08-11,67.0,966900.0,67.0,65.13,64.0
1998-08-12,67.0,456900.0,67.0,66.25,64.0
1998-08-13,66.38,448000.0,66.63,65.88,65.31
1998-08-14,66.25,380600.0,67.0,65.5,65.19
1998-08-17,65.44,634700.0,65.63,65.63,64.81
1998-08-18,65.75,949500.0,66.5,66.06,65.38
1998-08-19,66.19,1027000.0,66.38,65.31,64.88
1998-08-20,65.31,545100.0,65.75,65.0,65.0
1998-08-21,64.88,741900.0,64.88,63.81,62.63
1998-08-24,64.25,563300.0,64.69,63.38,63.25
1998-08-25,63.88,559400.0,64.44,62.44,62.25
1998-08-26,61.5,639900.0,61.81,61.25,60.63
1998-08-27,61.19,771200.0,61.19,59.25,58.38
1998-08-28,58.75,976000.0,59.56,57.63,57.63
1998-08-31,57.63,1068300.0,58.47,56.06,56.0
1998-09-01,56.0,1416000.0,56.88,56.44,54.0
1998-09-02,56.5,1002200.0,58.44,57.0,56.13
1998-09-03,56.38,808100.0,57.13,56.19,55.75
1998-09-04,56.44,560100.0,56.75,55.0,54.31
1998-09-08,57.75,1044400.0,58.19,58.13,57.0
1998-09-09,58.13,594200.0,58.19,57.06,56.75
1998-09-10,56.63,661700.0,56.69,54.94,54.13
1998-09-11,54.75,1161000.0,58.0,58.0,54.5
1998-09-14,60.25,762100.0,60.88,60.25,59.44
1998-09-15,60.25,628400.0,61.88,61.63,59.69
1998-09-16,62.13,433000.0,63.13,62.13,61.5
1998-09-17,61.5,430400.0,61.5,60.31,59.81
1998-09-18,60.38,482600.0,60.75,60.63,59.88
1998-09-21,59.88,393700.0,60.81,60.38,59.0
1998-09-22,60.94,349000.0,61.25,60.5,60.25
1998-09-23,60.94,582800.0,64.38,64.38,60.94
1998-09-24,64.13,643700.0,64.38,61.56,61.0
1998-09-25,61.5,472900.0,61.88,60.88,59.81
1998-09-28,62.5,979000.0,64.0,62.88,62.38
1998-09-29,63.88,527800.0,64.0,63.25,62.69
1998-09-30,63.13,739200.0,63.13,62.0,61.56
1998-10-01,61.63,879800.0,61.75,61.25,60.19
1998-10-02,61.69,632300.0,64.19,63.13,61.19
1998-10-05,63.0,1069100.0,63.06,62.25,60.31
1998-10-06,62.75,566200.0,63.88,61.19,60.25
1998-10-07,61.19,544400.0,61.5,59.56,58.25
1998-10-08,58.25,633000.0,58.63,58.5,55.06
1998-10-09,59.38,596700.0,62.44,62.31,58.75
1998-10-12,63.13,836100.0,64.44,63.81,63.0
1998-10-13,64.0,886800.0,66.38,64.44,63.56
1998-10-14,64.19,824600.0,65.38,65.0,63.81
1998-10-15,64.56,807300.0,67.5,67.06,64.56
1998-10-16,68.5,802600.0,69.88,68.06,67.06
1998-10-19,68.06,709500.0,69.56,69.13,67.88
1998-10-20,69.5,2344800.0,71.81,70.63,69.44
1998-10-21,70.38,993200.0,70.38,68.81,68.38
1998-10-22,68.25,548000.0,69.56,69.25,67.63
1998-10-23,69.13,304600.0,69.19,67.44,67.13
1998-10-26,67.44,243600.0,67.88,67.25,66.63
1998-10-27,67.38,618000.0,67.81,66.31,66.06
1998-10-28,66.06,385800.0,66.69,66.5,65.63
1998-10-29,66.44,383300.0,68.19,67.94,65.56
1998-10-30,68.63,405100.0,69.69,69.69,68.63
1998-11-02,69.75,513900.0,70.63,70.63,69.0
1998-11-03,70.63,676800.0,71.69,71.25,70.31
1998-11-04,71.94,466400.0,72.56,72.44,71.25
1998-11-05,72.19,404100.0,74.13,73.81,71.69
1998-11-06,74.0,504600.0,74.0,72.81,72.44
1998-11-09,72.75,535000.0,72.75,71.81,71.25
1998-11-10,71.56,748800.0,72.13,70.81,70.81
1998-11-11,71.0,652000.0,71.13,68.88,68.81
1998-11-12,68.75,574900.0,69.81,69.13,68.06
1998-11-13,69.19,618100.0,71.56,70.5,69.19
1998-11-16,70.75,774800.0,71.88,70.75,70.56
1998-11-17,70.88,509400.0,72.81,71.69,70.56
1998-11-18,72.13,450000.0,72.25,70.81,70.31
1998-11-19,70.94,584800.0,70.94,70.5,69.88
1998-11-20,71.38,526500.0,71.44,70.75,70.38
1998-11-23,71.25,678200.0,74.0,73.81,71.06
1998-11-24,74.06,801100.0,74.06,72.38,72.38
1998-11-25,72.56,608200.0,73.06,72.12,71.75
1998-11-27,71.88,172700.0,71.88,70.94,70.88
1998-11-30,70.69,734100.0,70.81,69.81,69.25
1998-12-01,69.56,691700.0,70.06,70.0,69.19
1998-12-02,69.75,503900.0,71.69,71.69,69.5
1998-12-03,71.63,713400.0,72.38,71.94,70.94
1998-12-04,72.5,872200.0,74.88,74.75,72.5
1998-12-07,74.81,506400.0,75.0,74.81,73.88
1998-12-08,74.56,356700.0,74.56,72.88,72.75
1998-12-09,73.0,286000.0,73.19,72.5,71.56
1998-12-10,72.44,270500.0,72.56,71.56,71.25
1998-12-11,71.06,586300.0,71.06,70.31,69.94
1998-12-14,69.63,635300.0,70.0,70.0,69.63
1998-12-15,70.13,930900.0,71.5,71.31,69.88
1998-12-16,71.63,399200.0,71.63,70.63,70.0
1998-12-17,71.63,535400.0,74.31,74.25,71.56
1998-12-18,75.5,692000.0,75.5,73.5,72.81
1998-12-21,73.25,314400.0,74.81,73.56,73.25
1998-12-22,73.63,353200.0,74.44,74.0,73.63
1998-12-23,75.5,896500.0,77.5,77.5,74.88
1998-12-24,77.63,158600.0,77.69,77.25,77.0
1998-12-28,77.5,399400.0,78.25,77.75,77.38
1998-12-29,78.63,731100.0,79.0,79.0,77.25
1998-12-30,79.88,990100.0,80.5,79.81,79.38
1998-12-31,80.06,2665000.0,80.63,76.5,76.5
1999-01-04,76.5,3070400.0,77.0,76.88,73.81
1999-01-05,76.63,1617400.0,79.44,78.81,76.63
1999-01-06,79.19,1544500.0,79.44,78.94,78.5
1999-01-07,77.94,1180300.0,78.69,78.25,77.44
1999-01-08,78.75,1071800.0,79.81,79.81,77.25
1999-01-11,79.0,741100.0,79.19,78.94,77.75
1999-01-12,77.0,1032300.0,77.63,77.19,76.69
1999-01-13,76.25,1405200.0,76.25,76.25,74.13
1999-01-14,75.5,680100.0,75.75,72.69,72.06
1999-01-15,72.94,713000.0,75.19,75.19,72.94
1999-01-19,75.31,710100.0,75.31,72.63,70.75
1999-01-20,72.5,702800.0,72.5,71.56,71.38
1999-01-21,70.75,565100.0,71.81,71.0,70.44
1999-01-22,70.5,612500.0,70.5,69.94,69.25
1999-01-25,69.75,764400.0,70.44,69.69,69.19
1999-01-26,69.63,869500.0,69.63,69.0,68.38
1999-01-27,69.13,780400.0,69.56,68.75,67.88
1999-01-28,68.75,667400.0,69.44,69.31,68.38
1999-01-29,70.0,714200.0,70.44,70.44,68.56
1999-02-01,70.69,423400.0,71.25,69.5,69.0
1999-02-02,69.0,952700.0,69.0,68.25,67.31
1999-02-03,68.13,759500.0,68.88,68.75,67.25
1999-02-04,69.0,860600.0,69.0,66.69,66.69
1999-02-05,67.0,588800.0,67.56,67.5,66.88
1999-02-08,67.25,564500.0,67.25,65.88,65.81
1999-02-09,65.81,691000.0,66.63,65.19,64.56
1999-02-10,65.06,572700.0,65.44,64.94,64.69
1999-02-11,65.13,444000.0,67.13,66.88,64.81
1999-02-12,66.69,503900.0,67.69,67.5,66.0
1999-02-16,68.0,599600.0,68.81,67.44,66.75
1999-02-17,67.44,494800.0,68.63,67.31,67.0
1999-02-18,67.44,534700.0,67.69,66.5,66.31
1999-02-19,66.5,549600.0,66.56,65.94,65.69
1999-02-22,65.69,699800.0,69.44,69.19,65.69
1999-02-23,68.94,388600.0,69.94,68.38,68.0
1999-02-24,69.0,734200.0,70.38,67.25,67.25
1999-02-25,66.88,445200.0,67.38,67.38,66.5
1999-02-26,68.0,552800.0,68.75,67.94,67.06
1999-03-01,67.75,409600.0,68.44,68.38,67.25
1999-03-02,68.63,497400.0,68.81,66.69,66.56
1999-03-03,66.38,595700.0,66.81,66.81,65.88
1999-03-04,67.0,367400.0,67.19,67.0,66.44
1999-03-05,68.0,609900.0,68.63,68.44,67.31
1999-03-08,68.44,352700.0,68.88,68.69,68.13
1999-03-09,68.44,451900.0,69.63,69.13,67.94
1999-03-10,69.31,548400.0,69.44,68.94,68.56
1999-03-11,69.13,427700.0,69.69,69.13,68.44
1999-03-12,69.69,324100.0,69.69,68.88,68.63
1999-03-15,69.13,498700.0,70.0,69.69,69.13
1999-03-16,69.94,441900.0,69.94,67.63,67.63
1999-03-17,67.56,466200.0,67.56,66.69,66.19
1999-03-18,66.56,478800.0,68.5,68.13,66.56
1999-03-19,69.5,922100.0,69.5,66.5,66.5
1999-03-22,67.0,384600.0,67.0,66.25,65.94
1999-03-23,66.38,523100.0,66.38,64.13,63.63
1999-03-24,64.38,428100.0,64.5,63.5,63.13
1999-03-25,64.0,434400.0,64.44,63.25,63.13
1999-03-26,63.38,365000.0,63.5,63.13,62.63
1999-03-29,63.13,571100.0,65.81,65.69,63.13
1999-03-30,65.38,532800.0,65.38,62.69,62.56
1999-03-31,62.94,839900.0,63.19,62.25,60.44
1999-04-01,65.0,759200.0,65.0,63.63,63.06
1999-04-05,64.38,713100.0,65.75,65.63,64.06
1999-04-06,65.13,446200.0,65.75,65.19,64.75
1999-04-07,66.13,702500.0,66.38,66.06,65.5
1999-04-08,66.63,522700.0,68.63,68.63,66.25
1999-04-09,68.88,475700.0,69.0,68.88,67.88
1999-04-12,68.56,508400.0,69.75,69.63,68.5
1999-04-13,69.88,1124000.0,72.13,71.38,69.88
1999-04-14,71.5,646900.0,73.0,71.5,71.44
1999-04-15,70.75,471600.0,70.88,70.38,70.0
1999-04-16,70.25,365000.0,70.31,70.0,69.0
1999-04-19,70.0,639300.0,72.69,70.81,69.88
1999-04-20,70.56,322200.0,71.38,71.31,70.0
1999-04-21,71.31,503400.0,71.88,71.56,69.88
1999-04-22,71.44,315100.0,71.44,70.81,70.06
1999-04-23,70.69,211200.0,71.25,70.5,70.13
1999-04-26,70.25,414800.0,70.25,69.06,68.88
1999-04-27,69.0,460900.0,71.0,71.0,68.94
1999-04-28,70.88,465400.0,71.81,71.5,70.56
1999-04-29,71.5,463100.0,72.69,71.69,71.38
1999-04-30,71.44,494700.0,71.88,71.5,70.38
1999-05-03,71.5,366800.0,72.94,72.63,71.44
1999-05-04,72.63,363200.0,72.63,70.19,70.13
1999-05-05,71.13,356000.0,71.5,71.44,70.5
1999-05-06,70.75,370700.0,71.0,71.0,69.63
1999-05-07,70.75,268300.0,71.38,71.0,70.0
1999-05-10,70.75,217000.0,70.94,70.06,69.81
1999-05-11,69.81,336200.0,70.38,69.81,69.13
1999-05-12,69.56,415300.0,70.06,69.81,68.56
1999-05-13,69.81,613700.0,71.25,71.06,69.56
1999-05-14,70.81,363500.0,70.81,68.38,68.19
1999-05-17,68.0,325000.0,68.38,68.0,67.38
1999-05-18,67.5,469100.0,68.06,67.19,66.06
1999-05-19,67.19,371800.0,67.56,67.38,66.5
1999-05-20,67.69,440900.0,67.75,67.25,66.75
1999-05-21,66.75,497300.0,66.88,66.88,65.25
1999-05-24,66.63,331300.0,67.38,66.69,65.75
1999-05-25,66.56,515800.0,67.38,65.75,65.75
1999-05-26,66.0,514800.0,68.13,67.94,65.38
1999-05-27,67.0,648400.0,67.0,66.25,66.0
1999-05-28,66.25,437800.0,67.75,67.5,66.25
1999-06-01,67.25,349700.0,67.25,66.38,65.63
1999-06-02,66.63,292900.0,67.06,66.69,65.81
1999-06-03,66.75,305800.0,67.5,67.31,66.69
1999-06-04,67.13,260600.0,67.44,67.13,66.13
1999-06-07,66.38,342800.0,68.25,67.44,66.31
1999-06-08,67.44,296900.0,67.44,66.94,66.38
1999-06-09,66.69,360500.0,67.5,65.88,65.69
1999-06-10,65.81,295400.0,65.81,64.69,64.0
1999-06-11,64.63,403300.0,65.0,64.06,63.63
1999-06-14,64.19,390900.0,64.5,64.06,63.63
1999-06-15,64.5,394400.0,65.44,64.5,64.13
1999-06-16,65.25,412200.0,66.19,65.81,65.13
1999-06-17,65.75,285100.0,67.19,67.13,65.75
1999-06-18,67.13,549500.0,67.81,67.69,66.81
1999-06-21,67.44,362900.0,68.81,68.81,67.13
1999-06-22,68.75,407100.0,69.0,68.5,67.75
1999-06-23,68.38,348400.0,68.38,67.63,66.19
1999-06-24,67.0,358600.0,67.0,65.88,65.31
1999-06-25,66.13,275300.0,67.31,66.94,66.13
1999-06-28,67.19,352300.0,68.63,67.88,67.19
1999-06-29,68.06,319700.0,68.75,68.56,67.44
1999-06-30,68.13,584500.0,69.81,69.44,66.75
1999-07-01,69.0,378700.0,69.94,69.88,68.13
1999-07-02,69.63,291400.0,70.06,70.06,69.38
1999-07-06,69.88,296100.0,70.44,70.0,69.19
1999-07-07,70.0,304900.0,70.75,70.5,69.81
1999-07-08,70.31,441000.0,70.88,70.19,69.81
1999-07-09,70.19,287600.0,70.75,70.75,70.0
1999-07-12,70.75,229900.0,70.75,69.25,68.88
1999-07-13,69.25,304000.0,69.25,68.94,68.13
1999-07-14,69.25,313100.0,69.38,68.38,67.38
1999-07-15,69.0,450500.0,69.13,69.06,68.44
1999-07-16,69.31,336700.0,70.0,70.0,69.13
1999-07-19,69.63,295600.0,70.13,70.0,69.25
1999-07-20,69.63,324000.0,69.69,68.0,67.75
1999-07-21,68.06,193900.0,68.31,67.13,66.63
1999-07-22,67.25,330800.0,67.94,67.38,66.25
1999-07-23,67.31,284200.0,67.5,66.13,65.38
1999-07-26,65.5,296400.0,67.38,66.5,65.44
1999-07-27,66.25,299000.0,66.88,66.75,66.25
1999-07-28,67.63,293100.0,67.63,66.13,66.13
1999-07-29,65.38,295800.0,65.75,65.19,64.75
1999-07-30,65.25,305000.0,65.5,64.5,63.75
1999-08-02,65.13,318700.0,66.0,64.88,64.44
1999-08-03,64.81,249300.0,65.44,65.13,64.31
1999-08-04,65.13,307900.0,65.56,64.0,64.0
1999-08-05,64.13,257800.0,64.31,63.63,63.0
1999-08-06,63.56,377200.0,63.56,62.5,61.56
1999-08-09,62.75,566300.0,65.13,64.06,62.63
1999-08-10,64.31,547300.0,64.63,62.88,62.63
1999-08-11,63.13,345500.0,63.69,63.5,62.56
1999-08-12,63.5,207200.0,63.81,62.94,62.88
1999-08-13,63.56,428200.0,65.44,65.25,63.38
1999-08-16,65.31,287700.0,65.31,64.56,64.0
1999-08-17,65.44,393200.0,66.44,66.44,65.13
1999-08-18,66.19,270800.0,66.31,65.69,64.88
1999-08-19,65.69,290000.0,65.69,65.06,64.75
1999-08-20,65.19,510200.0,66.44,66.25,64.88
1999-08-23,66.13,350000.0,67.88,67.88,66.06
1999-08-24,67.81,572100.0,69.13,68.31,67.38
1999-08-25,67.88,650900.0,67.88,67.75,65.44
1999-08-26,67.63,513700.0,68.19,66.5,66.38
1999-08-27,66.56,589400.0,68.13,67.13,66.56
1999-08-30,67.0,409000.0,67.19,64.06,63.94
1999-08-31,64.25,629600.0,65.5,64.31,64.13
1999-09-01,64.31,385300.0,65.06,65.06,64.31
1999-09-02,65.0,682800.0,65.19,65.13,63.75
1999-09-03,66.25,660100.0,67.69,67.25,66.0
1999-09-07,67.31,416900.0,67.31,65.38,65.19
1999-09-08,64.75,710900.0,65.81,65.63,64.0
1999-09-09,65.75,622100.0,66.0,65.94,65.63
1999-09-10,66.75,285100.0,66.81,65.81,65.5
1999-09-13,65.69,361900.0,65.88,65.56,64.88
1999-09-14,65.25,497400.0,65.38,65.13,65.0
1999-09-15,65.63,645500.0,66.88,65.75,65.63
1999-09-16,66.63,791100.0,66.63,66.5,65.63
1999-09-17,66.5,496900.0,66.63,66.25,65.69
1999-09-20,66.06,465100.0,66.38,66.13,66.0
1999-09-21,65.25,399500.0,65.5,64.75,64.56
1999-09-22,64.94,566100.0,65.56,65.38,64.63
1999-09-23,65.25,472000.0,66.0,64.56,64.56
1999-09-24,64.56,548700.0,65.25,65.19,64.56
1999-09-27,65.69,546300.0,65.88,64.44,64.44
1999-09-28,64.38,721000.0,65.25,65.0,64.38
1999-09-29,65.0,430600.0,66.06,65.25,64.81
1999-09-30,65.44,793100.0,65.88,65.75,65.0
1999-10-01,65.94,802900.0,67.25,66.88,65.56
1999-10-04,66.88,396300.0,68.69,68.69,66.88
1999-10-05,69.69,1010400.0,69.81,68.44,68.31
1999-10-06,68.56,662800.0,69.75,69.69,68.56
1999-10-07,69.94,518100.0,69.94,69.19,69.0
1999-10-08,69.31,527000.0,70.94,70.94,68.94
1999-10-11,70.0,299900.0,70.25,69.81,69.69
1999-10-12,69.25,841800.0,69.31,68.75,67.63
1999-10-13,67.5,417800.0,68.44,67.13,66.94
1999-10-14,66.75,589900.0,67.31,66.44,65.81
1999-10-15,66.44,556500.0,66.44,64.19,64.19
1999-10-18,64.44,582300.0,66.5,66.5,64.44
1999-10-19,68.75,791900.0,69.75,67.81,67.5
1999-10-20,68.0,641200.0,68.5,68.5,67.63
1999-10-21,68.0,453000.0,68.56,68.56,67.13
1999-10-22,68.81,881300.0,70.31,70.0,68.69
1999-10-25,69.81,471100.0,69.81,69.38,68.44
1999-10-26,69.25,379800.0,70.06,69.13,69.0
1999-10-27,69.19,713900.0,71.19,70.75,69.13
1999-10-28,72.25,1615800.0,75.13,75.13,72.19
1999-10-29,74.81,965300.0,74.94,73.19,72.88
1999-11-01,73.94,424600.0,73.94,73.38,72.75
