date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,58.44,174100.0,58.75,57.81,57.13
1998-01-05,57.81,319500.0,58.63,57.75,57.5
1998-01-06,57.75,397500.0,58.13,56.69,56.69
1998-01-07,56.69,524700.0,56.94,54.88,54.81
1998-01-08,54.88,577800.0,55.25,54.94,54.0
1998-01-09,54.88,375700.0,55.13,51.5,51.38
1998-01-12,50.75,835300.0,53.38,52.5,49.63
1998-01-13,53.0,294400.0,55.69,55.63,53.0
1998-01-14,56.56,414200.0,57.06,56.75,55.81
1998-01-15,56.75,429200.0,57.0,54.94,54.88
1998-01-16,55.13,288300.0,56.31,54.94,54.94
1998-01-20,54.94,452700.0,55.94,55.88,54.13
1998-01-21,55.75,345700.0,56.38,54.94,54.63
1998-01-22,54.88,394400.0,55.44,54.63,54.5
1998-01-23,54.88,419900.0,55.63,54.75,54.13
1998-01-26,55.0,182100.0,55.88,55.06,55.0
1998-01-27,54.81,420600.0,56.81,56.13,54.81
1998-01-28,56.19,580400.0,57.63,56.0,55.63
1998-01-29,56.25,571600.0,58.0,57.5,55.94
1998-01-30,57.25,366600.0,57.5,56.0,55.81
1998-02-02,56.5,387800.0,58.56,58.25,56.5
1998-02-03,57.88,294100.0,58.88,58.88,57.56
1998-02-04,59.06,487900.0,60.25,59.5,58.75
1998-02-05,59.5,349600.0,60.31,60.25,59.44
1998-02-06,60.13,314000.0,61.13,61.13,60.13
1998-02-09,61.13,205500.0,61.13,60.19,60.0
1998-02-10,60.19,235900.0,60.31,59.31,59.25
1998-02-11,59.31,261700.0,60.25,59.13,59.0
1998-02-12,58.88,287600.0,59.06,58.75,58.0
1998-02-13,58.5,237500.0,58.63,57.88,57.38
1998-02-17,58.5,253700.0,59.63,59.63,58.25
1998-02-18,59.0,725000.0,60.88,60.5,58.56
1998-02-19,60.25,235500.0,60.25,60.13,59.88
1998-02-20,60.19,278600.0,60.69,60.69,59.94
1998-02-23,60.44,373000.0,61.81,61.0,60.44
1998-02-24,61.0,221800.0,61.0,59.75,59.63
1998-02-25,60.13,193300.0,61.94,61.63,60.13
1998-02-26,61.94,281200.0,62.75,62.38,61.31
1998-02-27,62.13,169300.0,62.31,61.81,61.25
1998-03-02,62.19,169800.0,62.19,61.0,60.63
1998-03-03,61.0,305600.0,61.5,60.5,60.06
1998-03-04,60.13,189200.0,60.25,59.5,59.31
1998-03-05,59.56,179500.0,59.63,59.13,58.88
1998-03-06,59.06,397100.0,62.13,61.81,59.06
1998-03-09,61.56,327600.0,63.63,61.5,61.38
1998-03-10,61.25,564900.0,63.5,63.5,61.19
1998-03-11,63.88,618000.0,65.63,65.19,63.81
1998-03-12,65.0,432400.0,68.0,66.88,64.75
1998-03-13,66.5,305100.0,67.31,66.19,65.25
1998-03-16,65.94,254400.0,67.25,67.25,65.88
1998-03-17,67.63,214200.0,67.88,67.5,66.5
1998-03-18,67.5,211300.0,67.5,66.44,66.06
1998-03-19,66.88,167600.0,69.06,68.88,66.75
1998-03-20,68.63,357300.0,69.75,68.75,67.56
1998-03-23,69.25,194200.0,69.38,68.5,68.25
1998-03-24,68.75,287500.0,70.38,69.5,68.63
1998-03-25,69.5,363300.0,70.25,67.56,66.25
1998-03-26,66.75,321200.0,67.19,66.88,66.56
1998-03-27,68.88,389000.0,68.94,67.44,67.13
1998-03-30,67.44,190200.0,68.0,67.44,65.25
1998-03-31,66.25,544500.0,68.72,68.06,66.25
1998-04-01,68.13,248700.0,68.13,67.63,67.19
1998-04-02,68.0,426600.0,69.88,69.63,67.75
1998-04-03,71.75,483100.0,71.94,71.31,71.31
1998-04-06,72.0,350600.0,73.25,70.5,70.0
1998-04-07,70.5,217900.0,71.0,70.88,70.31
1998-04-08,71.13,232500.0,71.13,68.94,68.31
1998-04-09,69.19,227900.0,71.19,71.06,69.19
1998-04-13,72.31,259400.0,72.5,71.56,70.63
1998-04-14,71.75,390200.0,72.5,72.0,71.38
1998-04-15,72.25,205800.0,73.19,73.19,72.0
1998-04-16,73.19,276800.0,73.19,72.19,71.56
1998-04-17,72.25,296400.0,73.44,73.31,71.56
1998-04-20,73.31,176000.0,74.0,73.25,72.38
1998-04-21,73.06,384700.0,73.94,72.94,72.88
1998-04-22,72.94,404500.0,74.31,72.75,72.56
1998-04-23,73.0,235400.0,73.44,72.88,72.06
1998-04-24,73.13,402400.0,73.5,71.0,70.31
1998-04-27,70.5,473200.0,70.63,68.81,68.0
1998-04-28,69.5,249800.0,69.94,69.69,69.13
1998-04-29,70.5,464500.0,70.5,69.13,69.06
1998-04-30,69.63,303900.0,71.81,71.5,69.56
1998-05-01,71.75,265800.0,72.38,71.56,71.31
1998-05-04,71.81,184200.0,72.25,71.38,71.25
1998-05-05,71.44,305100.0,71.44,70.38,69.5
1998-05-06,70.19,231300.0,70.44,70.0,69.31
1998-05-07,69.88,226600.0,69.94,68.56,68.5
1998-05-08,68.75,417900.0,69.63,68.25,68.06
1998-05-11,68.63,230400.0,68.81,67.69,67.63
1998-05-12,67.94,190600.0,68.94,68.88,67.75
1998-05-13,68.88,227500.0,68.88,68.31,67.56
1998-05-14,68.38,332400.0,69.0,67.19,67.13
1998-05-15,66.94,222000.0,68.0,67.69,66.81
1998-05-18,67.75,205300.0,70.0,68.63,67.69
1998-05-19,68.5,170000.0,69.88,68.5,68.13
1998-05-20,68.13,237800.0,68.13,68.13,68.13
1998-05-21,70.0,283800.0,70.5,69.63,69.56
1998-05-22,69.38,142000.0,69.63,69.06,68.5
1998-05-26,69.44,163000.0,69.63,67.94,67.94
1998-05-27,67.06,237900.0,67.75,66.75,66.38
1998-05-28,67.5,270500.0,68.25,68.13,66.91
1998-05-29,68.13,234000.0,69.13,68.94,68.0
1998-06-01,68.94,188800.0,69.94,68.5,68.13
1998-06-02,68.63,158900.0,68.94,67.0,67.0
1998-06-03,67.25,247900.0,67.94,66.06,66.06
1998-06-04,66.06,238700.0,66.56,66.44,65.13
1998-06-05,66.38,167900.0,68.56,67.94,66.13
1998-06-08,68.44,127100.0,69.06,68.06,67.94
1998-06-09,67.5,143700.0,68.5,68.0,66.88
1998-06-10,67.94,148700.0,69.19,67.5,67.5
1998-06-11,67.25,187900.0,67.88,66.19,66.0
1998-06-12,66.44,166400.0,66.69,66.63,64.69
1998-06-15,66.0,122700.0,66.31,65.44,65.44
