date,1. open,5. volume,2. high,4. close,3. low
2002-12-11,11.5,36719700.0,12.0,11.5,11.25
2002-12-12,11.5,9195600.0,11.59,11.18,11.02
2002-12-13,11.1,7739400.0,11.65,11.42,10.95
2002-12-16,11.32,3836400.0,11.62,11.61,11.13
2002-12-17,11.6,2729900.0,11.78,11.5,11.45
2002-12-18,11.42,2152800.0,11.43,11.2,11.13
2002-12-19,11.15,6450800.0,11.2,10.76,10.71
2002-12-20,10.85,2930900.0,10.94,10.81,10.56
2002-12-23,10.71,3455900.0,10.71,10.4,10.2
2002-12-24,10.4,3302500.0,10.45,10.24,10.0
2002-12-26,10.05,2019200.0,10.2,10.03,10.0
2002-12-27,10.0,1639400.0,10.13,10.13,9.86
2002-12-30,10.22,2742800.0,10.55,10.47,10.0
2002-12-31,10.3,3730800.0,10.96,10.73,10.3
2003-01-02,10.75,3473000.0,10.76,10.5,10.25
2003-01-03,10.5,1716600.0,10.75,10.75,10.33
2003-01-06,10.9,4041400.0,11.57,11.43,10.85
2003-01-07,11.5,6823500.0,12.25,12.25,11.4
2003-01-08,12.05,4623100.0,12.24,12.2,11.95
2003-01-09,12.3,9553400.0,12.95,12.6,12.25
2003-01-10,11.5,7554700.0,11.95,11.1,10.7
2003-01-13,11.15,2834700.0,11.28,10.23,10.15
2003-01-14,10.23,1629200.0,10.35,10.25,10.0
2003-01-15,10.36,2588100.0,10.88,10.77,10.19
2003-01-16,10.98,1443400.0,11.1,11.01,10.78
2003-01-17,10.98,2000000.0,11.0,10.8,10.4
2003-01-21,10.9,1165700.0,10.98,10.24,10.21
2003-01-22,10.34,3488500.0,10.34,9.52,9.3
2003-01-23,9.75,2498200.0,10.15,10.0,9.61
2003-01-24,10.17,2772100.0,10.43,9.95,9.8
2003-01-27,9.8,1150600.0,9.9,9.35,9.32
2003-01-28,9.43,1267000.0,9.71,9.4,9.4
2003-01-29,9.43,1174400.0,9.71,9.4,9.4
2003-01-30,9.79,720700.0,9.89,9.4,9.4
2003-01-31,9.3,1402500.0,9.34,9.18,8.99
2003-02-03,9.23,1002400.0,9.45,9.17,9.16
2003-02-04,9.18,1087700.0,9.18,9.05,8.95
2003-02-05,9.12,1233500.0,9.21,9.05,8.98
2003-02-06,9.1,923500.0,9.34,9.05,9.03
2003-02-07,9.15,1069500.0,9.17,9.0,8.96
2003-02-10,8.75,10046400.0,8.75,8.7,7.78
2003-02-11,8.7,2238900.0,8.93,8.93,8.23
2003-02-12,8.95,1726000.0,8.95,8.34,8.18
2003-02-13,8.35,2111000.0,8.45,8.06,8.0
2003-02-14,8.06,881000.0,8.4,8.4,8.06
2003-02-18,8.4,2049100.0,8.74,8.74,8.39
2003-02-19,8.81,1506300.0,9.0,8.99,8.74
2003-02-20,8.89,760000.0,9.15,9.01,8.87
2003-02-21,9.03,1519300.0,9.36,9.2,9.03
2003-02-24,9.25,1055600.0,9.4,9.0,8.88
2003-02-25,9.0,3049400.0,9.75,9.68,8.97
2003-02-26,9.65,782300.0,9.74,9.52,9.42
2003-02-27,9.42,387000.0,9.69,9.45,9.32
2003-02-28,9.5,808500.0,9.5,9.27,9.18
2003-03-03,9.25,575800.0,9.52,9.3,9.22
2003-03-04,9.33,517600.0,9.39,9.27,9.2
2003-03-05,9.23,1017700.0,9.42,9.29,9.14
2003-03-06,9.19,1481100.0,9.75,9.58,9.19
2003-03-07,9.48,898800.0,9.84,9.7,9.39
2003-03-10,9.45,1837100.0,9.76,9.76,9.45
2003-03-11,9.7,1960400.0,9.75,9.55,9.45
2003-03-12,9.35,4556400.0,9.4,9.03,8.95
2003-03-13,9.03,4223600.0,9.15,9.05,8.88
2003-03-14,9.02,2401400.0,9.1,8.96,8.75
2003-03-17,8.96,994400.0,9.43,9.35,8.85
2003-03-18,9.35,782500.0,9.56,9.54,9.35
2003-03-19,9.45,874000.0,9.51,9.34,9.18
2003-03-20,9.25,1609600.0,9.45,9.44,9.2
2003-03-21,9.5,2559900.0,9.99,9.8,9.4
2003-03-24,9.45,1945600.0,9.76,9.55,9.43
2003-03-25,9.5,4664700.0,10.22,10.0,9.45
2003-03-26,9.85,2908700.0,10.19,10.1,9.75
