date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,46.94,139300.0,47.0,45.56,45.25
1998-01-05,45.5,158900.0,46.75,45.38,45.0
1998-01-06,44.5,176400.0,44.81,44.19,44.0
1998-01-07,44.13,299100.0,44.44,44.19,43.75
1998-01-08,44.0,289600.0,44.25,44.13,43.88
1998-01-09,44.31,203900.0,44.44,42.94,42.75
1998-01-12,42.25,350800.0,44.56,44.0,42.25
1998-01-13,44.0,90500.0,44.13,43.69,43.5
1998-01-14,43.81,110000.0,43.94,43.88,43.13
1998-01-15,43.94,118800.0,44.06,43.56,43.31
1998-01-16,43.94,182200.0,44.63,44.13,43.63
1998-01-20,44.13,113400.0,46.06,46.06,44.13
1998-01-21,46.06,229800.0,46.06,45.13,44.88
1998-01-22,44.88,564800.0,44.94,44.56,44.44
1998-01-23,44.0,664700.0,44.81,44.31,44.0
1998-01-26,44.44,342200.0,45.13,44.56,44.38
1998-01-27,44.56,346000.0,45.06,44.94,44.56
1998-01-28,45.0,72400.0,45.0,44.5,44.19
1998-01-29,44.25,339800.0,44.94,44.69,44.19
1998-01-30,44.69,326700.0,45.0,44.25,44.25
1998-02-02,46.0,540200.0,46.69,46.25,46.0
1998-02-03,46.25,340000.0,46.25,45.5,45.47
1998-02-04,45.25,512900.0,46.94,46.94,45.25
1998-02-05,46.81,285500.0,46.81,45.88,45.5
1998-02-06,45.63,253700.0,46.94,46.13,45.63
1998-02-09,46.13,250000.0,46.94,46.44,46.06
1998-02-10,46.38,136800.0,46.63,46.5,46.31
1998-02-11,46.25,137600.0,46.44,46.44,45.75
1998-02-12,46.31,134900.0,47.0,47.0,46.19
1998-02-13,46.69,139900.0,46.94,46.94,46.31
1998-02-17,46.75,112600.0,46.94,46.69,46.56
1998-02-18,46.75,247700.0,47.5,47.0,46.75
1998-02-19,46.94,162600.0,47.25,46.06,45.63
1998-02-20,46.31,142300.0,46.63,46.06,45.88
1998-02-23,46.31,108100.0,46.56,46.06,45.88
1998-02-24,45.75,162400.0,46.13,45.88,45.75
1998-02-25,45.88,183500.0,47.13,47.06,45.88
1998-02-26,47.19,97800.0,47.19,46.94,46.38
1998-02-27,46.81,135300.0,47.94,47.81,46.81
1998-03-02,47.81,243400.0,48.5,48.38,47.63
1998-03-03,48.63,114300.0,49.19,48.75,48.44
1998-03-04,48.5,234700.0,49.19,48.63,48.5
1998-03-05,48.25,101500.0,48.56,48.19,48.0
1998-03-06,48.19,212700.0,50.5,49.81,48.19
1998-03-09,49.56,96700.0,50.0,49.38,49.0
1998-03-10,49.31,71200.0,49.94,49.31,49.13
1998-03-11,49.25,171700.0,49.88,49.63,49.25
1998-03-12,49.56,259400.0,51.25,51.25,49.44
1998-03-13,51.38,167800.0,52.06,50.88,50.69
1998-03-16,50.75,122800.0,52.25,52.0,50.75
1998-03-17,51.88,319400.0,52.38,52.0,51.63
1998-03-18,52.0,170900.0,52.44,52.0,52.0
1998-03-19,51.81,209800.0,53.0,53.0,51.81
1998-03-20,53.5,230400.0,54.0,53.31,53.31
1998-03-23,53.31,144300.0,53.81,52.75,52.69
1998-03-24,52.75,88500.0,53.13,53.13,52.75
1998-03-25,53.13,106700.0,53.38,52.63,52.44
1998-03-26,52.69,107100.0,52.81,52.69,52.38
1998-03-27,52.88,151100.0,53.38,53.31,52.81
1998-03-30,53.25,163100.0,54.25,53.88,53.25
1998-03-31,53.88,147000.0,56.06,55.75,53.88
1998-04-01,55.5,119700.0,55.5,55.25,54.75
1998-04-02,55.19,102700.0,55.75,55.75,55.06
1998-04-03,54.63,124600.0,55.94,55.25,54.63
1998-04-06,55.38,97400.0,55.75,55.44,55.0
1998-04-07,55.56,67900.0,55.56,54.19,53.81
1998-04-08,54.13,64400.0,54.5,54.06,53.81
1998-04-09,54.19,90600.0,55.31,54.81,54.0
1998-04-13,54.69,103000.0,54.69,54.44,53.56
