date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,12.88,16000.0,12.94,12.81,12.62
1998-01-05,12.75,56000.0,12.88,12.69,12.38
1998-01-06,12.56,18500.0,12.56,12.38,12.38
1998-01-07,12.38,26600.0,12.44,12.12,12.12
1998-01-08,12.12,18800.0,12.19,12.19,12.0
1998-01-09,12.19,35400.0,12.19,11.12,11.0
1998-01-12,11.06,39500.0,11.44,11.31,11.0
1998-01-13,11.38,19100.0,11.75,11.69,11.25
1998-01-14,11.75,59100.0,12.19,12.06,11.62
1998-01-15,12.12,33800.0,12.12,11.69,11.69
1998-01-16,11.81,26500.0,11.94,11.81,11.69
1998-01-20,11.88,45500.0,11.88,11.81,11.69
1998-01-21,11.81,22400.0,11.81,11.75,11.5
1998-01-22,11.75,34800.0,11.75,11.25,11.12
1998-01-23,11.38,29200.0,11.38,11.0,10.88
1998-01-26,11.06,70800.0,11.19,11.19,11.06
1998-01-27,11.25,25600.0,11.31,11.12,11.12
1998-01-28,11.0,29600.0,11.38,10.75,10.75
1998-01-29,11.0,18900.0,11.19,11.12,10.94
1998-01-30,11.12,15600.0,11.12,11.0,10.88
1998-02-02,11.0,64700.0,11.0,10.94,10.69
1998-02-03,10.94,56300.0,11.0,10.94,10.75
1998-02-04,11.0,168200.0,12.0,11.38,11.0
1998-02-05,11.38,37300.0,11.56,11.31,11.25
1998-02-06,11.44,94100.0,11.5,11.38,11.25
1998-02-09,11.5,64600.0,11.75,11.56,11.44
1998-02-10,11.5,150200.0,11.56,11.44,11.38
1998-02-11,11.5,129700.0,11.5,11.5,11.31
1998-02-12,11.38,67900.0,11.5,11.5,11.31
1998-02-13,11.5,56000.0,11.5,11.44,11.38
1998-02-17,11.38,55600.0,11.5,11.31,11.25
1998-02-18,11.31,58200.0,11.31,10.94,10.88
1998-02-19,11.0,64900.0,11.0,11.0,10.88
1998-02-20,10.94,45200.0,11.19,10.94,10.81
1998-02-23,10.94,29000.0,11.06,10.88,10.81
1998-02-24,10.81,32600.0,10.94,10.94,10.75
1998-02-25,10.94,18500.0,11.0,10.94,10.88
