date,1. open,5. volume,2. high,4. close,3. low
2014-07-31,23.0,56477500.0,24.0,23.0,22.6
2014-08-01,22.9,6458100.0,23.0,23.0,22.67
2014-08-04,23.1,3453900.0,23.13,23.0,22.9
2014-08-05,22.99,4449000.0,23.01,23.0,22.67
2014-08-06,22.8,6993400.0,22.98,22.98,22.67
2014-08-07,22.89,3186900.0,23.0,22.93,22.8
2014-08-08,22.93,2855000.0,23.03,22.95,22.8
2014-08-11,22.9,1767500.0,22.93,22.93,22.8
2014-08-12,22.89,1549700.0,23.0,23.0,22.83
2014-08-13,23.0,1659100.0,23.23,23.18,22.88
2014-08-14,23.2,1391700.0,23.22,23.01,22.95
2014-08-15,23.02,1948100.0,23.08,23.0,23.0
2014-08-18,23.06,1073700.0,23.17,23.17,23.02
2014-08-19,23.2,2851800.0,24.435,24.41,23.2
2014-08-20,24.3,3544500.0,25.59,25.19,24.26
2014-08-21,25.47,2358000.0,25.52,25.39,24.92
2014-08-22,25.25,891600.0,25.43,25.36,25.1
2014-08-25,25.37,1185400.0,25.4,25.12,24.88
2014-08-26,25.0,951000.0,25.1,25.05,24.94
2014-08-27,25.0,1230600.0,25.54,25.47,24.95
2014-08-28,25.4,981700.0,25.84,25.69,25.31
2014-08-29,25.81,981200.0,25.94,25.79,25.45
2014-09-02,25.7,1873200.0,25.9,25.79,25.52
2014-09-03,25.99,996500.0,25.997,25.79,25.63
2014-09-04,25.53,1117500.0,25.75,25.7,25.51
2014-09-05,25.7,1089800.0,26.02,25.77,25.62
2014-09-08,25.82,2534800.0,25.98,24.84,24.62
2014-09-09,25.3,3608600.0,25.6,25.04,24.7
2014-09-10,25.19,1974600.0,25.305,24.7,24.69
2014-09-11,24.75,2029100.0,25.02,24.65,24.63
2014-09-12,24.53,1106800.0,24.75,24.5,24.44
2014-09-15,24.35,1125600.0,24.38,24.15,23.92
2014-09-16,24.24,1512100.0,24.36,24.31,23.88
2014-09-17,24.45,940400.0,24.69,24.55,24.36
2014-09-18,24.57,879100.0,24.84,24.67,24.56
2014-09-19,24.85,5257900.0,25.49,25.41,24.71
2014-09-22,25.28,735765.0,25.36,24.84,24.75
2014-09-23,24.66,939952.0,24.7,24.58,24.18
2014-09-24,24.73,964606.0,25.0,24.92,24.675
2014-09-25,24.98,1349775.0,24.98,24.63,24.61
2014-09-26,24.61,1252820.0,24.8,24.77,24.34
2014-09-29,24.57,1482038.0,24.775,24.7,24.34
2014-09-30,24.87,8795069.0,25.12,24.55,24.21
2014-10-01,24.44,1196643.0,24.59,24.22,24.18
2014-10-02,24.35,1252964.0,24.69,24.58,23.76
2014-10-03,24.78,1737477.0,25.09,24.83,24.41
2014-10-06,24.86,1057137.0,25.105,25.0,24.75
2014-10-07,24.94,803747.0,24.967,24.85,24.55
2014-10-08,24.81,1074471.0,25.02,25.02,24.7
2014-10-09,25.02,2536330.0,25.06,24.55,24.43
2014-10-10,24.5,1561676.0,24.72,24.2,24.14
2014-10-13,24.26,1726060.0,24.77,24.46,24.2
2014-10-14,24.63,1036448.0,24.95,24.85,24.5801
2014-10-15,24.74,1529454.0,24.97,24.52,24.03
2014-10-16,24.2,1888961.0,24.8,24.6,24.13
2014-10-17,24.72,981663.0,25.1,24.78,24.65
2014-10-20,24.75,938297.0,24.855,24.71,24.4
2014-10-21,24.77,1699674.0,25.26,25.17,24.71
2014-10-22,25.25,1546051.0,25.45,25.38,25.15
2014-10-23,25.47,970103.0,25.91,25.81,25.44
2014-10-24,25.75,1223120.0,26.36,26.11,25.75
2014-10-27,26.08,1011418.0,26.794,26.53,26.02
2014-10-28,26.73,1002285.0,27.1026,26.85,26.6025
2014-10-29,26.81,730107.0,27.08,27.0,26.67
2014-10-30,29.0,1038922.0,29.16,29.03,28.6408
2014-10-31,27.05,934642.0,27.11,27.02,26.85
2014-11-03,27.08,983695.0,27.76,27.34,26.85
2014-11-04,27.3,999259.0,27.45,27.01,26.25
2014-11-05,27.19,587333.0,27.5,27.47,26.701
2014-11-06,27.51,993082.0,27.77,27.58,27.27
2014-11-07,27.72,1165771.0,28.17,28.15,27.25
2014-11-10,28.23,1474182.0,28.87,28.77,28.0
2014-11-11,28.8,1643700.0,29.26,29.11,28.7
2014-11-12,29.0,1033749.0,29.16,29.03,28.6408
2014-11-13,29.01,1656777.0,29.23,28.99,28.82
2014-11-14,28.92,1912049.0,29.56,29.05,28.85
2014-11-17,29.05,1010340.0,29.25,29.13,28.83
2014-11-18,29.21,948922.0,29.43,28.95,28.785
2014-11-19,28.99,2141818.0,29.0,28.94,28.65
2014-11-20,28.96,1300558.0,29.35,29.24,28.91
2014-11-21,29.3,1003929.0,29.4,29.17,29.01
2014-11-24,29.27,1177464.0,29.41,28.97,28.85
2014-11-25,28.93,5938515.0,29.32,28.66,28.03
2014-11-26,28.83,1327421.0,29.08,28.8,28.74
2014-11-28,28.75,425175.0,29.03,29.01,28.75
2014-12-01,29.0,1020970.0,29.13,28.88,28.73
2014-12-02,28.94,1091159.0,29.305,29.05,28.8872
2014-12-03,29.12,730226.0,29.14,29.0,28.9
2014-12-04,29.01,828984.0,29.34,29.15,28.91
2014-12-05,29.28,818673.0,29.29,29.25,28.93
2014-12-08,29.29,1644063.0,29.84,29.51,29.02
2014-12-09,29.53,1086930.0,29.635,29.52,29.1975
2014-12-10,29.55,759983.0,29.9,29.65,29.5
2014-12-11,29.67,1057901.0,30.0,29.52,29.432
2014-12-12,29.33,1632487.0,29.48,29.0,28.93
2014-12-15,29.15,1310487.0,29.21,28.63,28.16
2014-12-16,28.6,2241546.0,28.66,28.44,28.15
2014-12-17,28.52,1311935.0,28.99,28.9,28.32
2014-12-18,29.38,1015666.0,29.88,29.75,28.94
2014-12-19,29.82,1338635.0,30.05,30.0,29.79
2014-12-22,29.61,770971.0,29.97,29.85,29.505
2014-12-23,30.04,504084.0,30.3,30.0,29.72
2014-12-24,30.11,78580.0,30.17,30.11,29.97
2014-12-26,30.17,426545.0,30.62,30.5,30.066
2014-12-29,30.45,299211.0,30.64,30.46,30.27
2014-12-30,30.49,518111.0,30.5,30.0,29.89
2014-12-31,30.11,429964.0,30.13,29.75,29.68
2015-01-02,29.79,579959.0,29.8,29.48,29.35
2015-01-05,29.38,1593916.0,29.62,29.25,28.68
2015-01-06,29.4,2198339.0,29.43,28.85,28.45
2015-01-07,29.52,1365129.0,29.68,29.2,28.91
2015-01-08,29.53,835026.0,30.1,29.98,29.49
2015-01-09,30.07,472157.0,30.07,29.7,29.49
2015-01-12,29.76,756826.0,29.8,29.53,29.53
2015-01-13,29.77,630157.0,30.0,29.71,29.46
2015-01-14,29.39,866825.0,29.6,29.15,29.07
2015-01-15,29.19,1094307.0,29.25,28.52,27.92
2015-01-16,28.34,425216.0,29.05,28.99,28.206
2015-01-20,28.99,958207.0,29.195,29.1,28.61
2015-01-21,29.1,863735.0,29.29,29.18,28.97
2015-01-22,29.22,2514827.0,29.5,29.05,28.43
2015-01-23,30.0,3174311.0,32.0,30.97,29.0
2015-01-26,30.8,3123229.0,31.46,31.33,30.72
2015-01-27,31.19,1401782.0,31.4999,31.32,30.89
2015-01-28,31.76,1038068.0,31.76,31.25,31.1
2015-01-29,31.22,1383433.0,31.49,31.23,31.0
2015-01-30,31.11,1255059.0,31.33,30.86,30.77
2015-02-02,30.84,758830.0,31.19,31.16,30.69
2015-02-03,31.3,919994.0,31.5,31.13,30.96
2015-02-04,31.11,1276172.0,31.38,31.25,30.98
2015-02-05,31.27,1114358.0,32.08,32.0,31.13
2015-02-06,32.07,1115925.0,32.68,32.14,31.965
2015-02-09,32.12,1118072.0,32.405,32.4,32.01
2015-02-10,32.62,2354003.0,33.13,33.11,32.37
2015-02-11,33.25,2110842.0,33.61,33.55,33.01
2015-02-12,33.74,2334621.0,33.96,33.61,33.53
2015-02-13,33.39,1234821.0,33.57,32.8,32.62
2015-02-17,32.8,1728014.0,32.81,31.92,31.85
2015-02-18,31.8,1054540.0,32.2,31.91,31.75
2015-02-19,31.94,556185.0,32.08,31.88,31.79
2015-02-20,31.96,2082271.0,32.77,32.59,31.675
2015-02-23,32.56,868710.0,32.7108,32.62,32.25
2015-02-24,32.46,1028756.0,33.0,32.36,31.91
2015-02-25,32.33,672495.0,32.59,32.29,32.1
2015-02-26,32.53,356757.0,32.71,32.45,32.36
2015-02-27,32.37,553121.0,32.55,31.95,31.93
2015-03-02,31.67,785989.0,32.04,31.96,31.2212
2015-03-03,32.16,484593.0,32.25,32.14,31.85
2015-03-04,32.05,439583.0,32.05,31.89,31.82
2015-03-05,31.98,485965.0,32.47,31.96,31.78
2015-03-06,31.94,694099.0,32.0,31.2,31.19
2015-03-09,31.34,776250.0,32.155,31.98,31.25
2015-03-10,31.8,912289.0,31.93,31.1,31.085
2015-03-11,31.25,588889.0,31.72,31.55,31.11
2015-03-12,31.78,503184.0,32.02,31.89,31.56
2015-03-13,31.87,889927.0,31.94,31.82,31.26
2015-03-16,32.0,628174.0,32.0,31.95,31.79
2015-03-17,31.68,818485.0,32.44,32.23,31.58
2015-03-18,32.21,630626.0,32.21,31.92,31.63
2015-03-19,31.92,657002.0,32.4,32.37,31.84
2015-03-20,32.5,1498010.0,32.885,32.25,32.21
2015-03-23,32.19,653907.0,32.53,31.78,31.77
2015-03-24,31.78,723565.0,31.92,31.65,31.5
2015-03-25,31.38,1175374.0,31.51,30.92,30.83
2015-03-26,31.01,887918.0,31.03,30.61,30.37
2015-03-27,30.74,960646.0,30.74,30.06,29.93
2015-03-30,30.16,577155.0,30.41,30.29,30.06
2015-03-31,30.24,1384355.0,30.49,30.35,29.97
2015-04-01,30.13,1138728.0,30.69,30.41,29.91
2015-04-02,30.4,841350.0,30.71,30.61,30.24
2015-04-06,30.5,1070757.0,30.8299,29.84,29.69
2015-04-07,30.13,1467380.0,30.72,29.76,29.5
2015-04-08,29.8,734317.0,30.15,29.97,29.7275
2015-04-09,30.02,839598.0,30.35,30.14,29.9
2015-04-10,30.24,1288773.0,30.75,30.59,30.15
2015-04-13,30.51,1199517.0,30.805,30.64,30.4
2015-04-14,30.67,806462.0,30.84,30.52,30.51
2015-04-15,30.51,389864.0,30.81,30.68,30.48
2015-04-16,30.7,1208431.0,30.94,30.77,30.3001
2015-04-17,31.0,1362547.0,31.0,30.52,30.22
2015-04-20,31.1,2179450.0,31.28,30.9,30.6
2015-04-21,30.98,1879755.0,31.35,31.2,30.9
2015-04-22,31.8,2040650.0,32.04,31.04,31.02
2015-04-23,31.52,1391268.0,31.55,30.96,30.83
2015-04-24,30.93,661697.0,31.12,30.82,30.63
2015-04-27,30.83,625480.0,31.01,30.62,30.56
2015-04-28,30.81,567723.0,30.88,30.66,30.5
2015-04-29,30.57,1600425.0,31.06,30.74,30.27
2015-04-30,30.71,1228557.0,31.4,31.15,30.64
2015-05-01,31.39,594781.0,31.55,31.52,31.245
2015-05-04,31.55,609980.0,31.72,31.71,31.45
2015-05-05,31.9,1271574.0,32.25,31.94,31.74
2015-05-06,32.17,943264.0,32.23,32.09,31.78
2015-05-07,32.06,1095478.0,32.66,32.65,31.81
2015-05-08,32.73,936180.0,33.21,33.2,32.64
2015-05-11,33.17,549231.0,33.31,32.89,32.785
2015-05-12,32.34,2022512.0,33.34,33.12,32.04
2015-05-13,33.12,1075821.0,33.42,32.9,32.74
2015-05-14,32.98,1448969.0,33.13,32.77,32.37
2015-05-15,32.86,1300124.0,32.905,31.81,31.765
2015-05-18,31.82,796481.0,31.87,31.84,31.5
2015-05-19,31.84,743144.0,32.06,32.06,31.8002
2015-05-20,32.19,634498.0,32.76,32.65,31.9861
2015-05-21,32.59,430394.0,32.78,32.47,32.39
2015-05-22,32.41,360571.0,32.7,32.5,32.17
2015-05-26,32.46,566169.0,32.5,32.12,31.87
2015-05-27,32.13,346149.0,32.6,32.46,32.1
2015-05-28,32.33,355820.0,32.66,32.53,32.25
2015-05-29,32.56,849985.0,32.59,32.29,32.125
2015-06-01,32.36,483049.0,32.62,32.41,31.9
2015-06-02,32.28,466741.0,32.77,32.65,32.26
2015-06-03,32.69,1834946.0,33.62,33.18,32.51
2015-06-04,33.04,793011.0,33.11,32.75,32.675
2015-06-05,32.85,318954.0,32.89,32.8,32.51
2015-06-08,32.79,484041.0,32.8,32.65,32.585
2015-06-09,32.62,700272.0,32.92,32.86,32.5
2015-06-10,32.97,731181.0,33.34,33.3,32.82
2015-06-11,33.29,1152193.0,33.88,33.22,33.16
2015-06-12,33.17,489013.0,33.4,33.12,32.86
2015-06-15,32.92,1670466.0,33.14,32.97,32.53
2015-06-16,33.0,632006.0,33.16,32.5,32.445
2015-06-17,32.6,497659.0,32.99,32.75,32.44
2015-06-18,32.8,590456.0,33.14,32.82,32.69
2015-06-19,32.91,492127.0,32.97,32.92,32.69
2015-06-22,33.03,459039.0,33.25,32.91,32.77
2015-06-23,32.99,664924.0,33.28,32.99,32.91
2015-06-24,32.99,521696.0,33.205,32.76,32.71
2015-06-25,32.86,705712.0,32.86,32.81,32.43
2015-06-26,32.88,2129424.0,33.16,32.7,32.5
2015-06-29,32.42,738689.0,32.56,32.23,32.17
2015-06-30,32.56,911643.0,33.045,32.93,32.374
2015-07-01,33.1,570175.0,33.33,33.32,32.83
2015-07-02,33.37,489977.0,33.38,33.14,32.95
2015-07-06,32.91,1133400.0,32.91,32.5,32.32
2015-07-07,32.61,1575200.0,32.79,32.5,32.17
2015-07-08,32.44,621531.0,32.46,32.01,31.945
2015-07-09,32.56,811691.0,32.97,32.6,32.38
2015-07-10,32.9,727158.0,33.38,33.07,32.72
2015-07-13,33.33,1054607.0,33.5,33.35,32.94
2015-07-14,33.38,999771.0,33.93,33.77,33.25
2015-07-15,33.9,830967.0,34.365,34.14,33.63
2015-07-16,34.26,636575.0,34.46,34.13,34.07
2015-07-17,34.5,1233963.0,35.73,35.08,34.19
2015-07-20,35.3,1192762.0,36.21,35.99,35.3
2015-07-21,36.02,822130.0,36.4,35.61,35.566
2015-07-22,35.58,784684.0,35.88,35.68,35.07
2015-07-23,35.84,507264.0,36.07,35.63,35.43
2015-07-24,35.53,831323.0,35.67,34.68,34.63
2015-07-27,34.62,487549.0,34.9,34.62,34.27
2015-07-28,34.75,1762153.0,34.89,34.23,33.98
2015-07-29,34.27,1141699.0,34.71,34.48,34.196
2015-07-30,34.58,989147.0,34.81,34.6,34.2
2015-07-31,34.61,941816.0,34.76,34.36,34.35
2015-08-03,34.43,569162.0,34.54,34.36,34.16
2015-08-04,34.37,1228452.0,34.8,34.41,34.3
2015-08-05,34.6,919691.0,34.78,34.56,34.25
2015-08-06,34.78,631577.0,34.82,34.13,34.03
2015-08-07,34.06,646830.0,34.21,33.98,33.435
2015-08-10,34.12,504533.0,34.64,34.62,34.03
2015-08-11,34.59,942887.0,34.68,34.67,34.12
2015-08-12,34.67,1265596.0,35.0,34.96,34.26
2015-08-13,34.96,797757.0,35.35,35.16,34.72
2015-08-14,35.5,529529.0,35.5,35.14,34.79
2015-08-17,34.86,505656.0,35.35,35.32,34.5
2015-08-18,35.27,567503.0,35.4599,35.14,34.98
2015-08-19,34.88,669139.0,35.27,34.96,34.43
2015-08-20,34.62,1342319.0,34.685,34.36,34.16
2015-08-21,33.9,2185382.0,34.18,33.72,33.605
2015-08-24,32.22,3017046.0,33.66,33.15,30.27
