date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,74.0,2181600.0,75.19,74.94,73.75
1998-01-05,74.0,2952200.0,74.0,72.81,71.63
1998-01-06,72.56,2907900.0,72.75,72.5,72.06
1998-01-07,72.19,2019400.0,72.94,72.94,71.69
1998-01-08,72.0,1847000.0,72.25,72.25,71.25
1998-01-09,72.13,1637600.0,72.88,71.56,70.75
1998-01-12,71.0,1603000.0,72.63,72.63,70.94
1998-01-13,73.0,1320500.0,73.31,73.31,72.56
1998-01-14,73.38,1210000.0,73.63,73.63,73.13
1998-01-15,73.63,1357400.0,74.25,73.94,72.31
1998-01-16,74.25,1473200.0,74.94,74.25,74.0
1998-01-20,74.75,1397100.0,75.63,75.56,74.13
1998-01-21,75.19,916100.0,75.19,75.06,73.81
1998-01-22,74.81,1259400.0,76.94,76.94,74.44
1998-01-23,76.06,1454700.0,76.33,75.63,75.0
1998-01-26,75.5,1069800.0,75.94,75.94,74.38
1998-01-27,76.44,1968800.0,79.0,77.81,76.44
1998-01-28,77.94,1731300.0,78.0,77.0,76.69
1998-01-29,77.0,2037300.0,78.38,78.25,76.94
1998-01-30,78.31,1453900.0,78.38,77.75,77.63
1998-02-02,77.94,1654000.0,79.0,78.63,77.94
1998-02-03,78.25,1413400.0,78.88,78.56,77.56
1998-02-04,78.38,1018500.0,78.75,78.5,77.94
1998-02-05,78.31,1298200.0,78.63,76.94,76.31
1998-02-06,77.19,1019700.0,77.88,77.69,77.06
1998-02-09,77.75,832200.0,77.88,77.25,76.31
1998-02-10,77.13,1203900.0,77.75,77.38,76.75
1998-02-11,77.25,1015000.0,77.38,76.38,75.88
1998-02-12,76.13,1378600.0,76.94,76.56,74.94
1998-02-13,76.25,990300.0,76.5,76.5,75.5
1998-02-17,76.81,943700.0,77.88,76.81,76.56
1998-02-18,76.63,1027500.0,77.63,77.63,76.5
1998-02-19,77.56,832300.0,77.56,76.94,76.63
1998-02-20,76.94,1085400.0,77.0,76.88,76.0
1998-02-23,77.0,805200.0,77.13,76.56,75.5
1998-02-24,76.0,1345100.0,76.06,75.13,74.31
1998-02-25,75.56,797500.0,76.44,76.38,75.5
1998-02-26,76.38,797600.0,76.69,76.31,75.94
1998-02-27,76.0,710200.0,76.0,75.63,74.81
1998-03-02,75.38,1150000.0,77.13,76.94,75.13
1998-03-03,76.5,1268500.0,76.69,76.56,75.94
1998-03-04,76.56,820400.0,76.56,75.88,75.25
1998-03-05,75.38,843600.0,75.5,75.13,74.56
1998-03-06,75.19,1098100.0,77.75,77.63,75.13
1998-03-09,77.44,888200.0,78.06,77.88,77.13
1998-03-10,77.75,742700.0,78.13,77.31,76.81
1998-03-11,77.56,1001500.0,78.88,78.5,77.31
1998-03-12,78.31,1075400.0,80.06,79.38,78.25
1998-03-13,79.38,894100.0,80.38,79.63,79.38
1998-03-16,80.13,829300.0,81.25,80.66,80.06
1998-03-17,80.63,1078300.0,80.88,80.19,79.88
1998-03-18,79.94,1263800.0,81.94,81.81,79.81
1998-03-19,82.0,1302500.0,83.75,83.75,81.88
1998-03-20,42.13,2281800.0,44.19,43.88,41.56
1998-03-23,44.06,4454000.0,45.31,45.0,44.0
1998-03-24,45.44,3118600.0,46.25,46.0,45.13
1998-03-25,46.0,2889700.0,46.56,44.69,44.5
1998-03-26,44.56,3240500.0,44.63,43.44,43.19
1998-03-27,43.81,2065800.0,43.81,43.25,42.38
