date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,33.63,158000.0,33.81,33.69,33.0
1998-01-05,33.25,112300.0,33.75,33.0,32.81
1998-01-06,33.13,138500.0,33.13,32.38,31.63
1998-01-07,32.25,97700.0,32.5,31.81,31.25
1998-01-08,31.25,166800.0,31.75,30.5,29.88
1998-01-09,30.38,384700.0,31.0,29.63,29.25
1998-01-12,29.25,272900.0,31.5,30.25,29.25
1998-01-13,30.63,213700.0,33.0,32.81,30.13
1998-01-14,32.88,267200.0,32.88,30.63,30.0
1998-01-15,30.69,289900.0,31.91,31.5,29.69
1998-01-16,32.38,121300.0,32.5,31.38,30.88
1998-01-20,31.0,217900.0,32.75,32.0,31.0
1998-01-21,31.31,165100.0,33.0,31.88,31.25
1998-01-22,32.0,49200.0,32.63,31.38,31.25
1998-01-23,31.5,108400.0,31.56,30.91,30.75
1998-01-26,30.88,161500.0,32.5,32.06,30.88
1998-01-27,32.0,290100.0,33.13,32.56,31.88
1998-01-28,32.38,266400.0,32.63,32.06,31.0
1998-01-29,32.13,243200.0,32.19,32.06,31.75
1998-01-30,31.5,69500.0,32.13,31.75,31.38
1998-02-02,32.25,317600.0,32.5,32.06,31.5
1998-02-03,31.75,211200.0,32.06,31.81,31.5
1998-02-04,31.63,173100.0,32.94,32.75,31.63
1998-02-05,33.0,179100.0,34.0,34.0,32.25
1998-02-06,33.5,243700.0,35.63,35.38,33.5
1998-02-09,35.13,186300.0,35.5,34.0,33.56
1998-02-10,34.0,279500.0,36.75,36.38,34.0
1998-02-11,35.75,161500.0,36.5,35.31,35.0
1998-02-12,35.0,154600.0,36.63,36.25,35.0
1998-02-13,36.0,163800.0,36.63,36.5,36.0
1998-02-17,36.25,148600.0,36.63,36.13,35.88
1998-02-18,35.5,267700.0,35.75,32.13,32.13
1998-02-19,32.13,563900.0,33.63,32.5,31.19
1998-02-20,33.5,335600.0,33.5,31.44,31.25
1998-02-23,31.5,230000.0,32.0,31.13,30.88
1998-02-24,31.5,79600.0,32.13,31.75,31.13
1998-02-25,32.0,74300.0,32.0,31.75,31.38
1998-02-26,31.38,133900.0,32.31,32.25,31.38
1998-02-27,32.38,100300.0,32.38,31.25,31.25
1998-03-02,31.13,152400.0,32.38,31.94,31.13
1998-03-03,32.0,363600.0,32.19,32.03,31.5
1998-03-04,32.25,73100.0,32.25,32.06,31.63
1998-03-05,31.88,200800.0,32.06,31.5,31.38
1998-03-06,32.13,127500.0,32.13,32.0,31.38
1998-03-09,31.81,133300.0,32.13,32.0,31.56
1998-03-10,31.88,45600.0,32.13,31.88,31.63
1998-03-11,32.13,45900.0,32.14,31.69,31.63
1998-03-12,31.63,51600.0,32.13,32.0,31.63
1998-03-13,31.88,153900.0,32.13,32.06,31.88
1998-03-16,32.13,242900.0,33.25,32.94,32.0
1998-03-17,32.63,144700.0,33.0,33.0,32.06
1998-03-18,32.5,171200.0,33.63,33.38,32.5
1998-03-19,33.38,95400.0,33.88,33.88,33.0
1998-03-20,33.75,134700.0,34.0,33.81,33.63
1998-03-23,33.69,113700.0,34.69,33.94,33.69
1998-03-24,33.88,140200.0,35.13,34.88,33.88
1998-03-25,34.5,94700.0,35.0,34.19,34.13
1998-03-26,34.0,129100.0,34.13,33.13,33.0
1998-03-27,33.88,114400.0,33.88,32.63,31.88
1998-03-30,33.0,72200.0,34.0,33.94,32.94
1998-03-31,34.13,185300.0,35.13,35.0,34.0
1998-04-01,35.0,253700.0,35.13,34.94,34.13
1998-04-02,34.75,125700.0,35.25,35.13,34.75
1998-04-03,34.88,110800.0,35.25,34.63,34.5
1998-04-06,35.13,55100.0,35.13,33.94,33.75
1998-04-07,33.5,176900.0,34.63,34.0,32.94
1998-04-08,33.63,109400.0,34.0,33.19,33.0
1998-04-09,33.13,70900.0,34.63,34.5,33.0
1998-04-13,34.5,143000.0,34.5,33.38,32.75
1998-04-14,33.25,69800.0,34.0,33.94,33.25
1998-04-15,33.75,181600.0,34.78,34.56,33.63
1998-04-16,34.75,119300.0,34.75,33.63,33.38
1998-04-17,33.31,91000.0,35.0,35.0,33.25
1998-04-20,34.5,92900.0,35.0,34.13,33.75
1998-04-21,34.75,104000.0,34.75,34.75,33.75
1998-04-22,34.75,45400.0,35.0,34.75,34.63
1998-04-23,35.25,168800.0,35.25,33.63,33.13
1998-04-24,33.5,73900.0,34.13,33.88,33.0
1998-04-27,33.25,120600.0,34.25,34.25,33.13
1998-04-28,34.25,104900.0,35.13,35.0,34.0
1998-04-29,35.25,219300.0,35.25,34.5,33.94
1998-04-30,34.63,178900.0,36.75,35.75,34.63
1998-05-01,36.0,213700.0,37.63,36.94,35.63
1998-05-04,37.25,163300.0,37.63,37.38,36.88
1998-05-05,37.13,107300.0,37.38,36.31,36.25
1998-05-06,36.31,90300.0,37.13,36.5,36.25
1998-05-07,36.5,117600.0,37.0,36.75,36.19
1998-05-08,36.5,103000.0,37.5,36.88,36.5
1998-05-11,36.88,60200.0,37.44,37.31,36.81
1998-05-12,37.0,90600.0,37.5,37.38,36.31
1998-05-13,37.0,153600.0,38.38,38.0,37.0
1998-05-14,37.5,95400.0,37.88,37.0,36.56
1998-05-15,37.5,136100.0,37.5,36.88,36.63
1998-05-18,37.0,57200.0,37.63,37.56,36.5
1998-05-19,37.13,189100.0,38.5,38.5,37.13
1998-05-20,39.0,75400.0,39.0,38.5,38.13
1998-05-21,38.63,86500.0,38.63,38.25,37.69
1998-05-22,38.13,115300.0,39.38,38.88,38.13
1998-05-26,39.0,202100.0,39.0,38.41,37.75
1998-05-27,37.88,74500.0,38.63,38.13,37.38
1998-05-28,38.13,126000.0,38.13,37.75,37.5
1998-05-29,38.13,78600.0,38.25,37.5,37.5
1998-06-01,37.5,107600.0,39.38,39.38,37.5
1998-06-02,39.25,127900.0,39.5,39.0,38.5
1998-06-03,39.5,79600.0,39.5,38.38,38.13
1998-06-04,38.13,184900.0,38.13,37.0,36.5
1998-06-05,37.25,146200.0,38.25,38.25,36.63
1998-06-08,38.25,61300.0,38.75,38.5,37.75
1998-06-09,38.75,163800.0,39.25,37.5,37.5
1998-06-10,38.0,78900.0,38.25,37.38,37.27
1998-06-11,37.38,75800.0,38.0,36.56,36.56
1998-06-12,36.56,38800.0,37.56,37.38,36.56
1998-06-15,37.5,85000.0,38.06,37.63,36.88
1998-06-16,37.63,70500.0,38.0,36.75,36.63
1998-06-17,36.63,130400.0,38.47,37.81,36.63
1998-06-18,37.5,201900.0,38.63,38.63,37.06
1998-06-19,38.38,224800.0,38.63,37.63,37.13
1998-06-22,37.63,120400.0,38.63,38.0,37.5
1998-06-23,38.5,90600.0,38.88,38.13,38.13
1998-06-24,38.0,473500.0,38.0,35.81,34.88
1998-06-25,36.38,106800.0,36.75,36.0,35.75
1998-06-26,35.75,191700.0,38.25,37.88,35.75
1998-06-29,37.75,273600.0,38.13,36.28,36.25
1998-06-30,36.25,276100.0,36.94,34.0,34.0
1998-07-01,34.75,269100.0,37.0,36.5,34.38
1998-07-02,36.75,136400.0,36.75,36.0,35.5
1998-07-06,36.13,62500.0,36.25,36.0,35.13
1998-07-07,34.75,35100.0,36.13,35.56,34.75
1998-07-08,35.94,125300.0,36.0,35.38,35.0
1998-07-09,34.88,24100.0,35.63,35.31,34.88
1998-07-10,35.5,72200.0,36.13,35.94,35.25
1998-07-13,35.5,81200.0,36.13,36.0,35.5
1998-07-14,35.5,46200.0,36.19,36.13,35.5
1998-07-15,36.25,53600.0,36.44,35.75,35.75
1998-07-16,36.0,86800.0,36.5,36.38,35.88
1998-07-17,36.5,98300.0,36.75,36.75,36.0
