date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,67.94,362500.0,68.44,68.25,67.44
1998-01-05,68.31,646100.0,69.19,69.12,68.31
1998-01-06,68.12,559200.0,69.62,69.31,68.0
1998-01-07,69.56,1017300.0,70.12,68.25,68.12
1998-01-08,68.0,814300.0,69.5,68.88,67.56
1998-01-09,68.88,718800.0,69.31,66.94,66.38
1998-01-12,66.56,972200.0,68.12,68.06,65.56
1998-01-13,68.31,725900.0,69.75,69.44,68.0
1998-01-14,69.62,508200.0,69.88,69.75,68.5
1998-01-15,69.75,268500.0,69.94,69.5,68.81
1998-01-16,70.38,475400.0,70.81,70.19,69.56
1998-01-20,70.44,513300.0,73.94,73.69,70.38
1998-01-21,72.69,469500.0,73.0,72.75,70.81
1998-01-22,72.5,448000.0,72.56,72.0,71.5
1998-01-23,72.0,686800.0,72.44,72.38,70.69
1998-01-26,72.0,930600.0,72.31,71.81,71.06
1998-01-27,71.69,619300.0,72.12,70.38,70.12
1998-01-28,70.88,573100.0,72.62,72.56,70.38
1998-01-29,72.44,489600.0,74.5,72.0,71.75
1998-01-30,72.19,829000.0,73.5,71.94,71.12
1998-02-02,72.88,845300.0,74.19,74.19,72.81
1998-02-03,73.94,708700.0,74.5,74.44,73.88
1998-02-04,74.44,892700.0,74.44,74.0,73.69
1998-02-05,74.38,799700.0,75.75,75.0,74.38
1998-02-06,76.0,866800.0,77.0,75.62,75.38
1998-02-09,75.69,749500.0,75.75,74.06,72.62
1998-02-10,74.31,1351900.0,74.44,74.06,73.62
1998-02-11,73.94,1350900.0,73.94,72.5,72.5
1998-02-12,72.75,1486100.0,73.44,73.0,72.19
1998-02-13,73.12,665300.0,73.31,73.0,72.81
1998-02-17,73.75,2048200.0,75.25,75.06,73.5
1998-02-18,74.62,791700.0,75.88,75.88,74.12
1998-02-19,75.5,2454700.0,76.25,74.38,74.0
1998-02-20,75.5,663100.0,76.19,76.0,74.75
1998-02-23,76.25,618700.0,76.88,76.19,75.56
1998-02-24,76.25,474100.0,76.38,75.19,75.0
1998-02-25,76.0,430300.0,77.88,77.38,75.88
1998-02-26,77.38,827900.0,78.06,77.06,76.75
1998-02-27,76.94,363300.0,77.44,77.31,76.06
1998-03-02,77.12,746900.0,78.81,77.81,77.12
1998-03-03,79.0,1530700.0,80.25,80.06,78.06
1998-03-04,81.0,1380800.0,82.12,80.44,80.25
1998-03-05,79.75,847900.0,80.0,79.0,78.38
1998-03-06,79.25,1497500.0,80.75,80.62,78.75
1998-03-09,80.75,682000.0,81.62,81.0,80.5
1998-03-10,81.5,859600.0,81.75,81.12,80.88
1998-03-11,81.38,750200.0,82.5,82.5,80.56
1998-03-12,82.81,1333900.0,84.25,83.94,82.5
1998-03-13,85.0,1093300.0,86.5,85.69,84.75
1998-03-16,86.12,686900.0,86.75,86.0,85.81
1998-03-17,86.0,686900.0,87.56,85.94,85.62
1998-03-18,86.19,544100.0,86.94,85.31,85.12
1998-03-19,85.31,498000.0,86.19,85.25,84.88
1998-03-20,85.5,620800.0,85.5,85.06,84.5
1998-03-23,84.75,534100.0,84.75,84.06,83.38
1998-03-24,84.0,456500.0,86.44,86.12,84.0
1998-03-25,87.38,1204400.0,87.94,86.25,85.06
1998-03-26,86.25,562500.0,86.94,86.69,85.69
1998-03-27,87.25,564000.0,88.38,87.69,86.75
1998-03-30,87.44,466700.0,87.62,87.19,86.75
1998-03-31,87.31,627400.0,89.25,88.0,87.0
1998-04-01,88.0,683100.0,89.88,89.62,87.88
1998-04-02,89.62,534200.0,89.62,88.88,88.44
1998-04-03,87.75,672600.0,89.38,88.12,87.75
1998-04-06,88.38,533400.0,89.25,87.69,87.44
1998-04-07,86.88,562800.0,87.5,85.88,85.5
1998-04-08,85.62,665900.0,86.38,84.88,84.19
1998-04-09,85.0,569400.0,85.94,85.44,84.94
1998-04-13,85.25,477900.0,85.38,85.12,84.75
1998-04-14,85.38,393800.0,85.62,84.94,84.69
1998-04-15,85.38,597000.0,87.06,86.88,84.94
1998-04-16,86.75,563300.0,86.75,86.25,85.25
1998-04-17,86.25,262200.0,86.25,85.38,85.19
1998-04-20,85.44,852900.0,85.44,83.56,82.38
1998-04-21,84.31,925800.0,84.31,83.75,82.88
1998-04-22,84.0,688200.0,84.19,83.75,83.5
1998-04-23,83.12,385000.0,84.75,84.38,82.69
1998-04-24,84.25,519400.0,85.44,83.25,82.44
1998-04-27,83.0,908900.0,83.69,82.31,81.5
1998-04-28,83.0,699300.0,83.19,81.88,81.5
1998-04-29,82.5,692500.0,85.25,84.62,82.12
1998-04-30,86.0,612500.0,87.75,87.31,85.75
1998-05-01,44.0,587550.0,44.94,44.62,43.31
1998-05-04,45.0,1238500.0,45.25,44.31,44.31
1998-05-05,43.81,1373800.0,44.25,43.5,42.88
1998-05-06,43.25,926700.0,43.38,43.25,42.56
1998-05-07,43.62,870300.0,43.94,42.88,42.81
1998-05-08,42.62,813300.0,43.62,42.5,42.0
1998-05-11,42.88,633100.0,43.12,42.75,42.5
1998-05-12,42.94,1333600.0,44.12,44.0,42.69
1998-05-13,44.19,1724300.0,45.31,45.06,43.88
1998-05-14,45.12,976500.0,45.75,44.31,44.06
1998-05-15,44.38,782500.0,44.62,43.44,43.31
1998-05-18,44.12,1054100.0,44.31,44.12,43.69
1998-05-19,44.38,1478100.0,46.5,45.69,43.69
1998-05-20,45.88,968700.0,46.69,46.69,45.44
1998-05-21,46.69,1114800.0,46.75,46.06,45.81
1998-05-22,45.69,568600.0,46.5,46.12,45.69
1998-05-26,46.12,747300.0,46.5,45.44,45.31
1998-05-27,45.25,815400.0,45.25,44.75,44.12
1998-05-28,44.88,870500.0,46.38,46.0,44.25
1998-05-29,46.12,1418300.0,47.88,46.38,46.06
1998-06-01,46.38,1118100.0,48.31,47.94,46.38
1998-06-02,48.5,841400.0,48.69,48.31,47.75
1998-06-03,48.5,1019100.0,48.62,48.31,47.88
1998-06-04,48.25,1005400.0,49.12,48.69,46.81
1998-06-05,48.75,1011600.0,51.12,51.06,48.75
1998-06-08,51.12,1403100.0,51.5,51.12,50.0
1998-06-09,50.0,1298500.0,51.19,51.12,49.81
1998-06-10,51.12,1569800.0,53.0,52.12,50.75
1998-06-11,52.06,1241400.0,52.12,50.5,50.5
1998-06-12,50.62,1154400.0,50.88,50.62,49.81
1998-06-15,49.88,1330000.0,50.94,48.94,48.75
1998-06-16,49.0,2145300.0,49.44,48.38,46.81
1998-06-17,48.31,2207400.0,49.19,49.19,48.12
1998-06-18,48.94,1129400.0,49.69,49.12,48.38
1998-06-19,48.88,2238200.0,49.06,47.94,47.25
1998-06-22,48.19,1037400.0,49.06,48.94,47.69
1998-06-23,49.12,1119100.0,49.88,49.62,48.75
1998-06-24,49.25,840500.0,49.75,49.69,48.69
1998-06-25,49.75,1531800.0,49.88,48.62,48.56
1998-06-26,48.31,852200.0,49.0,48.75,48.25
1998-06-29,49.0,1734300.0,49.62,49.5,48.56
1998-06-30,49.25,1545300.0,49.25,48.5,48.5
1998-07-01,49.25,1344400.0,50.38,50.0,49.25
1998-07-02,51.38,742000.0,51.38,50.38,49.81
1998-07-06,50.75,1082400.0,52.25,52.25,50.5
1998-07-07,52.12,1055600.0,52.44,50.5,50.06
1998-07-08,50.88,708700.0,51.88,51.31,50.81
1998-07-09,51.56,1826500.0,51.75,49.94,49.44
1998-07-10,49.94,1922500.0,50.0,49.94,48.38
1998-07-13,49.94,1344700.0,50.12,50.06,48.75
1998-07-14,50.0,2085200.0,52.5,52.06,50.0
1998-07-15,51.69,1257900.0,52.38,51.75,51.69
1998-07-16,51.62,939100.0,52.31,52.31,51.5
1998-07-17,52.31,952100.0,53.5,52.56,52.19
1998-07-20,52.56,1012700.0,53.38,52.62,51.75
1998-07-21,52.56,1207200.0,53.0,52.25,51.25
1998-07-22,53.0,1813300.0,53.19,52.06,51.81
1998-07-23,52.0,1576800.0,52.0,49.06,48.81
1998-07-24,48.81,2685600.0,49.0,48.69,47.94
