date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,34.13,281600.0,34.13,33.06,32.38
1998-01-05,33.13,496400.0,33.75,33.69,32.63
1998-01-06,33.31,402900.0,33.75,32.75,32.75
1998-01-07,32.88,446500.0,33.0,32.88,32.13
1998-01-08,32.63,470300.0,34.0,33.69,32.5
1998-01-09,33.63,621600.0,34.25,32.25,31.75
1998-01-12,31.75,712300.0,31.88,31.31,31.0
1998-01-13,31.31,501500.0,33.5,33.25,31.31
1998-01-14,33.13,322900.0,33.81,33.81,32.5
1998-01-15,33.56,864700.0,35.13,34.69,32.63
1998-01-16,35.25,797600.0,35.75,35.44,35.0
1998-01-20,36.13,718500.0,36.13,36.06,34.69
1998-01-21,35.63,304900.0,36.31,35.38,35.25
1998-01-22,35.25,138800.0,35.69,35.13,34.94
1998-01-23,34.88,666800.0,35.0,34.81,34.63
1998-01-26,34.81,700100.0,34.81,33.88,33.38
1998-01-27,34.38,776000.0,35.13,34.5,34.0
1998-01-28,34.5,594600.0,34.63,33.63,33.38
1998-01-29,33.63,668000.0,34.63,33.88,33.44
1998-01-30,34.5,431600.0,34.5,33.88,33.5
1998-02-02,34.63,681000.0,35.0,34.94,34.38
1998-02-03,34.94,617800.0,36.19,36.06,34.63
1998-02-04,35.94,493000.0,36.13,36.06,35.5
1998-02-05,36.13,408500.0,36.31,35.38,35.25
1998-02-06,35.44,367200.0,35.88,35.69,35.25
1998-02-09,36.0,442900.0,36.94,36.94,35.88
1998-02-10,37.38,617600.0,37.75,37.44,37.0
1998-02-11,37.31,177000.0,37.56,36.88,36.63
1998-02-12,36.5,293000.0,37.44,37.19,35.63
1998-02-13,36.94,248000.0,37.38,37.31,36.69
1998-02-17,38.5,1122200.0,39.88,39.25,38.06
1998-02-18,39.0,398300.0,39.38,39.0,38.31
1998-02-19,38.75,512900.0,38.94,38.44,38.0
1998-02-20,38.69,401200.0,39.13,38.94,38.25
1998-02-23,39.0,390200.0,39.44,39.19,38.94
1998-02-24,39.13,563400.0,39.31,38.69,38.06
1998-02-25,39.0,291800.0,39.75,39.13,38.88
1998-02-26,39.13,245200.0,39.88,39.88,38.81
1998-02-27,39.5,364300.0,39.63,38.88,38.31
1998-03-02,38.88,432000.0,39.0,38.56,37.81
1998-03-03,38.75,345100.0,39.38,39.25,38.13
1998-03-04,39.25,329600.0,39.63,38.69,38.31
1998-03-05,38.5,450400.0,39.44,38.5,38.25
1998-03-06,38.88,473800.0,40.38,39.13,38.75
1998-03-09,39.13,810600.0,39.88,39.44,39.0
1998-03-10,39.63,1027300.0,41.0,40.94,39.38
1998-03-11,41.25,821100.0,42.75,42.13,41.25
1998-03-12,42.44,498600.0,43.0,42.81,41.5
1998-03-13,42.75,1087700.0,44.75,43.5,42.75
1998-03-16,44.38,1272500.0,45.69,45.0,43.5
1998-03-17,45.0,1498800.0,47.5,45.88,44.88
1998-03-18,45.88,895600.0,47.0,45.69,45.5
1998-03-19,45.31,749000.0,45.31,45.13,44.44
