date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,44.0,378400.0,44.25,43.19,43.19
1998-01-05,43.0,434200.0,43.31,42.31,42.06
1998-01-06,41.88,353400.0,42.75,42.06,41.63
1998-01-07,41.88,624200.0,41.94,41.19,41.19
1998-01-08,41.06,684500.0,41.13,40.19,39.88
1998-01-09,40.13,515300.0,40.31,39.94,39.38
1998-01-12,39.25,693000.0,39.88,39.5,39.19
1998-01-13,39.5,375800.0,40.44,40.44,39.5
1998-01-14,40.13,257700.0,40.63,40.5,40.0
1998-01-15,40.44,447600.0,40.44,40.25,39.56
1998-01-16,40.31,377500.0,41.0,40.5,40.31
1998-01-20,40.75,283900.0,41.38,41.0,40.13
1998-01-21,40.75,218200.0,40.75,40.56,40.0
1998-01-22,40.31,169100.0,40.63,40.06,39.69
1998-01-23,40.25,445200.0,40.56,39.44,39.06
1998-01-26,39.5,308300.0,39.88,39.06,38.56
1998-01-27,38.88,294000.0,39.69,39.5,38.81
1998-01-28,39.5,294300.0,39.88,39.69,39.25
1998-01-29,39.75,417900.0,40.13,38.75,38.75
1998-01-30,38.75,578900.0,39.13,39.0,37.94
1998-02-02,39.75,405200.0,40.56,40.5,39.63
1998-02-03,40.25,290100.0,40.56,40.5,39.69
1998-02-04,40.06,217800.0,40.19,40.0,39.63
1998-02-05,40.5,346700.0,40.94,39.63,39.38
1998-02-06,39.5,320400.0,40.19,40.06,39.38
1998-02-09,39.88,226300.0,40.38,39.88,39.5
1998-02-10,39.75,410800.0,39.88,39.13,39.0
1998-02-11,39.12,254700.0,39.31,39.19,38.75
1998-02-12,39.25,258200.0,39.63,39.44,38.94
1998-02-13,39.31,188800.0,39.63,39.63,39.19
1998-02-17,39.38,308200.0,39.69,38.56,38.5
1998-02-18,38.63,631600.0,39.0,38.81,38.5
1998-02-19,38.81,386100.0,39.19,39.19,38.44
1998-02-20,39.19,388700.0,39.44,39.19,38.75
1998-02-23,39.19,464000.0,39.63,39.44,39.13
1998-02-24,39.69,483400.0,40.0,39.44,39.38
1998-02-25,39.69,545100.0,41.0,41.0,39.63
1998-02-26,40.88,397500.0,41.5,41.19,40.81
1998-02-27,41.0,507300.0,41.25,41.0,40.75
1998-03-02,40.75,503000.0,40.94,39.88,39.75
1998-03-03,39.94,274300.0,40.0,40.0,39.63
1998-03-04,40.0,389500.0,40.5,40.19,39.69
1998-03-05,39.25,707700.0,40.0,39.81,39.25
1998-03-06,39.63,612000.0,40.0,39.88,39.44
1998-03-09,39.38,385000.0,39.94,39.31,39.06
1998-03-10,39.69,668500.0,39.75,39.25,38.94
1998-03-11,39.0,643600.0,39.44,38.56,38.25
1998-03-12,38.56,767800.0,38.75,38.44,38.06
1998-03-13,38.5,377500.0,38.81,38.31,38.06
1998-03-16,38.13,793700.0,38.69,37.63,37.5
1998-03-17,37.81,679100.0,37.94,37.25,37.0
1998-03-18,37.25,757700.0,37.5,37.31,36.63
1998-03-19,37.13,539900.0,38.63,38.44,37.06
1998-03-20,38.63,378300.0,38.94,38.38,37.56
1998-03-23,37.88,484000.0,38.0,37.38,37.0
1998-03-24,37.63,626800.0,39.19,39.0,37.63
1998-03-25,39.19,685900.0,40.06,39.81,39.19
1998-03-26,39.25,376700.0,40.0,40.0,39.06
1998-03-27,40.0,244900.0,40.0,39.44,39.19
1998-03-30,39.25,224200.0,39.81,39.25,39.0
1998-03-31,39.5,522300.0,40.69,40.38,39.13
1998-04-01,40.13,617300.0,41.44,41.38,40.13
1998-04-02,41.25,820400.0,42.88,42.44,41.06
1998-04-03,42.19,402900.0,42.31,41.13,41.13
1998-04-06,41.06,521700.0,41.75,40.88,40.38
1998-04-07,41.13,3767600.0,41.31,40.69,40.63
1998-04-08,40.69,594900.0,40.88,40.75,40.63
1998-04-09,40.81,338500.0,41.38,41.19,40.75
1998-04-13,41.0,490400.0,41.06,41.0,40.69
1998-04-14,40.81,505100.0,41.88,41.75,40.75
1998-04-15,41.94,595400.0,41.94,41.44,41.0
