date,1. open,5. volume,2. high,4. close,3. low
2010-02-11,78.12,17990.0,83.5,83.05,77.87
2010-02-12,80.79,44780.0,84.11,83.39,80.32
2010-02-16,85.35,50082.0,86.815,86.62,84.01
2010-02-17,87.78,99878.0,88.11,88.09,86.4571
2010-02-18,88.0,202130.0,90.29,89.76,87.47
2010-02-19,89.15,242088.0,90.93,89.76,88.47
2010-02-22,90.82,132821.0,90.82,89.13,88.12
2010-02-23,88.6401,214150.0,89.12,85.65,84.47
2010-02-24,87.16,183912.0,89.25,88.24,86.69
2010-02-25,85.42,237371.0,88.795,88.19,83.71
2010-02-26,87.93,150009.0,89.66,89.29,87.06
2010-03-01,90.42,74095.0,93.5,93.1201,90.42
2010-03-02,93.94,126156.0,95.7,93.68,93.43
2010-03-03,94.73,124883.0,95.55,94.2,93.29
2010-03-04,94.53,76663.0,95.37,95.24,93.06
2010-03-05,97.27,69955.0,99.89,99.45,96.75
2010-03-08,99.54,65984.0,100.7,99.98,99.54
2010-03-09,99.43,120877.0,103.31,101.75,99.35
2010-03-10,101.89,104310.0,104.86,104.24,101.82
2010-03-11,103.61,140302.0,105.3464,105.2,102.92
2010-03-12,106.36,94047.0,106.36,105.44,104.23
2010-03-15,104.74,110330.0,105.45,104.73,102.5
2010-03-16,105.7585,121237.0,107.01,106.71,104.66
2010-03-17,107.01,103630.0,108.97,107.45,106.56
2010-03-18,107.82,135892.0,108.88,108.54,107.11
2010-03-19,109.73,104216.0,109.73,106.62,105.48
2010-03-22,105.37,153008.0,110.78,109.5,104.97
2010-03-23,110.25,144007.0,112.03,111.79,108.54
2010-03-24,111.0,232331.0,111.24,110.2,109.5
2010-03-25,112.7,244573.0,114.07,109.51,109.42
2010-03-26,111.07,219473.0,112.19,110.08,108.35
2010-03-29,111.74,99059.0,112.73,111.59,110.77
2010-03-30,112.51,103865.0,113.73,112.76,110.47
2010-03-31,111.5,155022.0,113.0,111.24,110.47
2010-04-01,112.48,303645.0,114.63,111.02,108.53
