date,1. open,5. volume,2. high,4. close,3. low
2011-12-07,27.5,1413700.0,27.76,27.45,24.0
2011-12-08,26.06,719600.0,27.78,26.55,25.759
2011-12-09,27.93,716200.0,28.0,27.91,26.7
2011-12-12,28.28,393300.0,28.28,27.45,27.0
2011-12-13,28.53,452500.0,28.53,27.5,27.01
2011-12-14,28.19,444400.0,28.19,27.12,26.85
2011-12-15,27.87,1417600.0,29.1,28.33,27.6
2011-12-16,29.92,966700.0,29.92,28.46,28.0
2011-12-19,28.69,1048500.0,29.46,28.97,28.408
2011-12-20,29.5,2017200.0,30.62,30.25,29.47
2011-12-21,30.0,2871800.0,30.0,27.67,27.51
2011-12-22,27.12,6294100.0,27.6,24.53,23.99
2011-12-23,24.71,2744200.0,27.14,26.02,24.5
2011-12-27,25.36,2887400.0,26.1,25.94,24.63
2011-12-28,25.25,2098600.0,25.98,25.77,24.94
2011-12-29,25.54,2247300.0,25.66,24.82,24.79
2011-12-30,24.97,1798400.0,25.55,25.21,24.64
2012-01-03,26.15,3721800.0,27.35,26.63,26.105
2012-01-04,25.82,1681000.0,26.09,25.68,25.41
2012-01-05,24.57,1534700.0,25.82,25.52,24.57
2012-01-06,25.52,1484800.0,26.02,25.57,25.17
2012-01-09,25.74,1965300.0,26.77,26.26,25.65
2012-01-10,26.73,4177500.0,28.24,27.75,26.59
2012-01-11,26.69,1803300.0,28.22,27.79,26.56
2012-01-12,27.87,2005600.0,29.17,28.46,27.8
2012-01-13,28.22,1993400.0,29.77,29.51,27.93
2012-01-17,29.58,3210100.0,29.8,28.99,28.91
2012-01-18,28.69,1205200.0,29.43,29.03,28.52
2012-01-19,29.1,2712900.0,30.885,30.33,29.02
2012-01-20,30.42,1307600.0,30.49,30.4,29.82
2012-01-23,30.54,2565400.0,30.79,30.38,30.23
2012-01-24,30.14,1299100.0,30.75,30.69,29.97
2012-01-25,30.55,2349300.0,32.33,31.49,30.55
2012-01-26,31.48,1881500.0,31.94,31.05,30.46
2012-01-27,30.39,1227500.0,31.46,31.24,30.35
2012-01-30,30.96,904500.0,31.84,31.64,30.64
2012-01-31,30.84,1261100.0,33.04,32.91,30.84
2012-02-01,33.11,3610100.0,35.17,35.06,33.08
2012-02-02,35.28,2447800.0,35.6,34.88,33.83
2012-02-03,35.07,2993500.0,35.93,35.38,35.07
2012-02-06,35.35,1968000.0,35.75,35.15,35.06
2012-02-07,35.28,2235900.0,35.48,34.84,34.82
2012-02-08,34.78,3220900.0,34.97,34.34,33.02
2012-02-09,28.28,12923400.0,29.85,29.34,27.99
2012-02-10,29.02,3623600.0,30.89,30.04,28.65
2012-02-13,30.07,2396400.0,30.13,28.59,28.5
2012-02-14,28.7,4072100.0,28.788,27.63,26.929
2012-02-15,27.8,4922800.0,30.1,29.28,27.52
2012-02-16,29.27,2583300.0,30.65,30.4,28.73
2012-02-17,30.5,1939900.0,30.94,30.7,29.95
2012-02-21,30.61,2462700.0,30.74,30.67,30.12
2012-02-22,30.95,3275500.0,30.95,30.0,29.85
2012-02-23,30.0,2041700.0,30.69,30.59,29.56
2012-02-24,30.19,1904100.0,32.0,31.8,30.19
2012-02-27,31.38,1438400.0,32.08,31.91,31.14
2012-02-28,32.09,2442000.0,33.49,32.31,32.0
2012-02-29,32.32,1356200.0,32.43,32.23,31.67
2012-03-01,31.89,2641400.0,32.88,32.62,31.09
2012-03-02,32.37,1640400.0,33.09,32.45,32.04
2012-03-05,32.29,648900.0,32.4099,31.97,31.81
2012-03-06,31.5,1034800.0,31.8,31.42,30.8
2012-03-07,31.5,1478100.0,31.66,31.07,30.91
2012-03-08,31.2,1151700.0,31.79,31.26,31.14
2012-03-09,31.3,705500.0,31.3499,30.7,30.56
2012-03-12,30.73,1490800.0,31.06,30.7,30.5
2012-03-13,30.92,2280100.0,30.99,30.48,30.25
2012-03-14,30.4,1230200.0,31.0,30.99,30.23
2012-03-15,31.14,2319000.0,32.54,32.47,30.925
2012-03-16,32.51,4298000.0,34.92,34.0,31.99
2012-03-19,33.8,855800.0,34.15,34.0,33.8
2012-03-20,33.46,1064500.0,34.29,34.09,33.46
2012-03-21,34.17,1316200.0,34.4,33.77,33.35
2012-03-22,33.51,1047200.0,33.76,33.25,33.02
2012-03-23,33.01,531200.0,33.36,33.27,32.8108
2012-03-26,33.31,2182000.0,34.5,34.3,32.86
2012-03-27,34.3,2897800.0,36.05,35.29,33.9
2012-03-28,35.15,1842600.0,35.73,34.57,34.08
2012-03-29,34.25,1575000.0,35.1775,35.16,33.92
2012-03-30,35.28,3047000.0,36.86,35.67,35.27
2012-04-02,35.62,3569600.0,37.78,37.37,35.04
2012-04-03,37.42,1833000.0,37.59,36.59,36.54
2012-04-04,36.41,1635000.0,36.8,36.25,35.8
2012-04-05,36.04,2259000.0,36.9325,36.23,35.85
2012-04-09,35.56,1097200.0,35.83,35.5,35.16
2012-04-10,35.45,1154100.0,35.56,34.58,34.47
2012-04-11,35.01,1014600.0,35.4125,34.785,34.74
2012-04-12,34.84,1290800.0,35.47,35.1,34.75
2012-04-13,35.06,559500.0,35.3599,34.5,34.39
2012-04-16,34.63,918800.0,34.84,33.83,33.74
2012-04-17,34.16,1941400.0,35.18,35.0,33.98
2012-04-18,34.78,937400.0,35.6,35.44,34.75
2012-04-19,35.33,1065200.0,36.43,35.22,35.16
2012-04-20,35.35,1228300.0,35.66,35.02,34.94
2012-04-23,34.72,3340600.0,34.75,33.94,33.75
2012-04-24,33.79,927200.0,34.2,33.38,33.23
2012-04-25,33.73,1181900.0,34.1,33.69,33.53
2012-04-26,33.74,1977600.0,34.51,34.38,33.27
2012-04-27,36.24,5913200.0,37.85,36.87,35.88
2012-04-30,36.46,2465500.0,37.54,37.51,36.4
2012-05-01,36.38,4908600.0,37.89,36.53,36.07
2012-05-02,43.25,7645700.0,44.46,42.63,42.08
2012-05-03,42.63,3519600.0,43.5,40.9,40.24
2012-05-04,39.99,4765300.0,40.69,40.2,39.75
2012-05-07,39.8,3029100.0,40.98,40.97,39.8
2012-05-08,40.69,2288500.0,41.3,41.2,39.4
2012-05-09,40.54,1071200.0,41.08,40.68,40.1
2012-05-10,41.19,1546800.0,41.7,40.79,40.45
2012-05-11,40.57,1494900.0,42.05,41.73,40.5
2012-05-14,41.4,1306600.0,42.57,41.64,41.01
2012-05-15,41.81,2558300.0,43.09,42.65,41.47
2012-05-16,42.93,3112900.0,43.84,43.64,42.72
2012-05-17,43.69,2521900.0,43.73,41.03,40.73
2012-05-18,41.57,3278800.0,41.59,40.66,39.81
2012-05-21,40.87,2208700.0,42.63,42.17,40.33
2012-05-22,42.33,2271500.0,44.224,42.63,41.99
2012-05-23,42.21,3128000.0,45.82,45.15,41.91
2012-05-24,45.04,1650000.0,45.32,44.4,44.25
2012-05-25,44.53,2139200.0,45.23,45.0,44.515
2012-05-29,45.8,1567700.0,45.8,45.26,44.39
2012-05-30,44.88,2061700.0,44.88,43.16,42.71
2012-05-31,43.48,2499100.0,43.8499,42.88,42.14
2012-06-01,41.61,2355900.0,41.8,41.02,39.92
2012-06-04,41.16,1525100.0,41.62,41.49,40.12
2012-06-05,41.21,1301600.0,42.21,41.09,40.44
2012-06-06,40.86,2165700.0,43.81,42.99,40.86
2012-06-07,44.0,1862200.0,44.0,41.67,41.59
2012-06-08,42.01,1976700.0,43.15,43.02,41.56
2012-06-11,44.46,2273900.0,44.86,42.94,42.53
2012-06-12,43.04,2116600.0,45.07,45.018,42.8
2012-06-13,44.49,1474300.0,45.31,43.43,43.31
2012-06-14,43.63,957000.0,44.567,44.05,42.7
2012-06-15,44.18,1995900.0,44.45,44.38,43.5
2012-06-18,44.14,1449000.0,45.41,44.91,43.77
2012-06-19,45.0,1842000.0,45.12,44.24,43.63
2012-06-20,44.1,1370100.0,44.1,43.29,42.74
2012-06-21,43.53,977800.0,43.8483,43.01,42.35
2012-06-22,43.46,3595400.0,46.09,45.53,43.37
2012-06-25,44.76,1158500.0,45.39,44.07,43.98
2012-06-26,44.05,890600.0,44.879,44.01,43.95
2012-06-27,44.36,996800.0,45.35,44.42,43.88
2012-06-28,43.97,1209500.0,44.26,43.58,42.18
2012-06-29,44.74,1908900.0,46.3,44.69,44.13
2012-07-02,44.73,1814900.0,47.0,46.0,44.72
2012-07-03,46.02,562800.0,46.17,46.05,44.7
2012-07-05,46.09,1517900.0,47.44,46.27,45.71
2012-07-06,45.84,887100.0,46.54,46.36,45.355
2012-07-09,46.27,926100.0,46.69,45.44,44.95
2012-07-10,45.7,1248500.0,45.81,44.76,43.76
2012-07-11,44.96,923100.0,45.47,44.28,43.98
2012-07-12,43.695,1544400.0,44.54,43.88,43.26
2012-07-13,44.01,2290500.0,46.95,45.85,43.49
2012-07-16,45.91,1010600.0,46.2446,46.15,44.44
2012-07-17,47.0,1760700.0,47.03,45.52,45.37
2012-07-18,45.28,815300.0,46.07,45.42,45.28
2012-07-19,45.42,2613600.0,47.81,45.1,44.75
2012-07-20,45.33,2210600.0,46.4,44.9,44.81
2012-07-23,44.15,2383600.0,46.01,45.61,43.06
2012-07-24,46.25,6151600.0,46.38,43.47,43.14
2012-07-25,36.13,9251500.0,37.45,36.18,35.005
2012-07-26,36.765,6637500.0,37.01,35.04,34.03
2012-07-27,35.57,3029600.0,36.63,35.41,35.12
