date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,63.13,275300.0,63.25,62.19,61.75
1998-01-05,62.25,225700.0,63.63,63.38,62.0
1998-01-06,63.25,212100.0,63.25,62.5,62.38
1998-01-07,62.88,396900.0,62.88,61.63,61.13
1998-01-08,61.13,171000.0,61.5,59.75,59.38
1998-01-09,60.0,374600.0,60.13,54.88,54.75
1998-01-12,50.5,732700.0,55.0,53.38,50.25
1998-01-13,55.38,229700.0,58.38,57.5,55.0
1998-01-14,57.63,324900.0,59.38,58.75,56.75
1998-01-15,58.5,389900.0,59.38,56.88,56.75
1998-01-16,57.38,391500.0,58.75,58.12,56.0
1998-01-20,58.25,235500.0,60.0,59.75,57.88
1998-01-21,59.63,332500.0,60.5,58.56,58.13
1998-01-22,58.0,435400.0,58.0,55.81,55.5
1998-01-23,56.38,317300.0,56.5,54.75,52.13
1998-01-26,55.25,128800.0,55.25,54.25,54.13
1998-01-27,54.0,169000.0,55.25,54.88,54.0
1998-01-28,55.25,577100.0,57.88,56.88,54.75
1998-01-29,57.0,580100.0,60.0,58.88,56.5
1998-01-30,59.25,753100.0,66.25,64.75,58.63
1998-02-02,66.13,469100.0,66.75,64.25,63.19
1998-02-03,65.63,236900.0,65.63,65.63,64.5
1998-02-04,64.75,401600.0,69.75,67.25,64.5
1998-02-05,68.25,185300.0,68.25,66.13,66.0
1998-02-06,67.25,298000.0,67.38,67.0,66.0
1998-02-09,67.38,282100.0,68.13,65.31,65.25
1998-02-10,65.88,361800.0,68.5,68.0,65.25
1998-02-11,68.25,155400.0,68.25,68.13,67.13
1998-02-12,66.88,168100.0,69.75,69.5,66.5
1998-02-13,69.5,266100.0,69.5,66.5,66.0
1998-02-17,68.0,286900.0,68.5,66.75,65.38
1998-02-18,66.69,88300.0,67.13,66.88,65.63
1998-02-19,67.38,325200.0,69.0,68.75,66.38
1998-02-20,69.13,241300.0,69.5,68.13,67.75
1998-02-23,69.13,288200.0,69.25,68.0,67.63
1998-02-24,68.5,88300.0,68.5,67.25,66.75
1998-02-25,67.25,192500.0,67.75,66.5,66.5
1998-02-26,67.25,326600.0,67.5,66.5,66.0
1998-02-27,67.13,396000.0,67.13,66.38,65.0
1998-03-02,67.0,281100.0,68.25,67.63,66.0
1998-03-03,67.5,299100.0,70.38,69.88,67.0
1998-03-04,70.25,359900.0,71.0,68.88,67.88
1998-03-05,67.5,63300.0,68.5,67.0,66.5
1998-03-06,68.0,125400.0,69.38,69.0,67.0
1998-03-09,69.0,67900.0,69.5,69.25,68.13
1998-03-10,68.75,101500.0,69.75,69.13,67.63
1998-03-11,70.13,120300.0,70.13,69.5,69.0
1998-03-12,69.5,131100.0,70.81,70.0,69.25
1998-03-13,70.0,121100.0,70.88,69.5,69.5
1998-03-16,69.75,136200.0,70.0,69.75,69.0
1998-03-17,69.75,233400.0,71.94,71.25,68.25
1998-03-18,71.5,158000.0,72.25,70.75,70.25
1998-03-19,71.75,299100.0,74.88,73.75,70.56
1998-03-20,73.38,291800.0,73.75,72.5,72.25
1998-03-23,72.75,103100.0,73.25,70.88,70.88
1998-03-24,72.0,140200.0,72.0,70.63,70.0
1998-03-25,71.38,163200.0,71.63,69.5,68.88
1998-03-26,69.88,151500.0,70.0,69.63,67.75
1998-03-27,70.0,100900.0,70.75,69.88,69.0
1998-03-30,69.5,141600.0,70.31,68.56,68.0
1998-03-31,68.75,213600.0,71.0,70.38,68.19
1998-04-01,70.5,261100.0,71.5,71.25,69.88
1998-04-02,71.5,353700.0,73.0,72.59,70.75
1998-04-03,72.0,217500.0,73.0,71.44,70.88
1998-04-06,73.31,172300.0,73.88,73.25,72.5
1998-04-07,73.0,184000.0,73.25,72.63,71.25
1998-04-08,73.25,120100.0,73.5,71.5,71.5
1998-04-09,73.0,160200.0,73.0,72.44,71.5
1998-04-13,73.0,186400.0,74.75,73.38,72.75
1998-04-14,74.0,95500.0,74.38,72.63,72.63
1998-04-15,73.88,198000.0,73.88,71.13,70.5
1998-04-16,72.0,385100.0,75.13,73.5,71.0
1998-04-17,75.13,342300.0,76.5,75.38,75.0
1998-04-20,76.75,307700.0,78.13,76.88,75.63
1998-04-21,75.38,533000.0,77.88,75.38,74.5
1998-04-22,77.88,611500.0,78.25,77.88,74.63
1998-04-23,77.88,304100.0,79.25,78.19,76.81
1998-04-24,78.25,236100.0,78.25,76.5,76.0
1998-04-27,75.25,348300.0,75.25,71.88,71.5
1998-04-28,74.38,353700.0,74.38,71.38,70.94
1998-04-29,71.0,432200.0,73.75,73.0,70.0
1998-04-30,73.88,279200.0,75.5,75.5,73.88
1998-05-01,38.5,104600.0,38.75,37.0,36.5
1998-05-04,37.5,429900.0,38.13,36.0,35.88
1998-05-05,36.0,196500.0,37.0,36.38,35.0
1998-05-06,37.38,249400.0,37.38,36.5,35.75
1998-05-07,36.56,430200.0,36.75,35.0,34.75
1998-05-08,35.0,294300.0,36.25,35.38,34.5
1998-05-11,36.25,346200.0,36.88,35.88,35.25
1998-05-12,35.25,180200.0,36.5,36.38,35.0
1998-05-13,36.5,197400.0,37.13,36.56,36.13
1998-05-14,36.75,207200.0,36.75,35.75,35.5
1998-05-15,36.0,194100.0,36.63,34.0,34.0
1998-05-18,34.0,287200.0,35.88,35.5,33.5
1998-05-19,35.88,228800.0,36.25,36.25,35.25
1998-05-20,36.75,146100.0,36.88,36.13,36.13
1998-05-21,36.75,139800.0,36.75,36.16,35.75
1998-05-22,36.5,222900.0,36.5,35.06,35.0
1998-05-26,35.5,231800.0,36.25,34.13,33.88
1998-05-27,33.88,555900.0,34.63,34.0,33.0
1998-05-28,34.25,315400.0,34.63,34.38,33.75
1998-05-29,34.88,409900.0,35.88,35.44,34.5
1998-06-01,35.63,630200.0,35.63,34.38,34.13
1998-06-02,35.0,531500.0,35.0,34.81,34.0
1998-06-03,35.06,278700.0,35.63,35.0,35.0
1998-06-04,35.63,181100.0,35.63,35.0,34.56
1998-06-05,35.13,378200.0,35.75,35.06,35.0
1998-06-08,34.75,541600.0,35.06,34.38,33.5
1998-06-09,34.25,371100.0,36.0,35.75,34.25
1998-06-10,35.25,331500.0,35.75,34.88,34.5
1998-06-11,35.13,227300.0,35.44,35.19,34.56
1998-06-12,35.38,300600.0,35.38,34.0,33.5
1998-06-15,33.75,359400.0,34.38,33.38,32.5
1998-06-16,34.38,448000.0,34.38,33.75,32.88
1998-06-17,34.0,544200.0,35.38,34.75,33.63
1998-06-18,35.0,196700.0,35.38,34.56,34.5
1998-06-19,34.38,254800.0,35.38,35.09,34.25
1998-06-22,34.75,561400.0,35.38,35.13,34.38
1998-06-23,35.5,374400.0,35.75,35.25,34.75
1998-06-24,35.0,460300.0,36.0,35.5,34.5
1998-06-25,35.63,453600.0,36.63,36.0,35.38
1998-06-26,36.0,330000.0,36.88,36.69,35.63
1998-06-29,36.94,293200.0,38.5,38.25,36.69
1998-06-30,38.38,427900.0,38.38,37.56,37.25
1998-07-01,38.0,270400.0,38.25,38.13,37.38
1998-07-02,38.38,227800.0,38.38,37.88,37.5
1998-07-06,38.0,327600.0,38.13,37.69,37.5
1998-07-07,37.5,712600.0,39.5,38.5,37.5
1998-07-08,38.5,379000.0,39.75,39.38,38.38
1998-07-09,39.25,621300.0,40.0,39.56,38.88
1998-07-10,39.94,233200.0,40.5,40.13,39.63
1998-07-13,40.5,370000.0,42.5,41.75,39.63
1998-07-14,41.63,324200.0,42.13,41.5,41.13
