date,1. open,5. volume,2. high,4. close,3. low
2003-11-18,9.6,1944300.0,9.7,9.54,9.21
2003-11-19,9.7,1183100.0,9.8,8.91,8.86
2003-11-20,8.92,1028000.0,9.03,8.15,8.04
2003-11-21,8.06,2821500.0,8.15,7.8,7.37
2003-11-24,7.53,1091600.0,8.42,8.33,7.41
2003-11-25,8.96,2205800.0,9.18,8.72,8.5
2003-11-26,9.0,960200.0,9.05,8.86,8.76
2003-11-28,9.66,371900.0,9.71,9.01,8.91
2003-12-01,9.34,2214700.0,9.5,8.66,8.61
2003-12-02,8.58,1207600.0,8.85,8.7,8.33
2003-12-03,8.8,417400.0,8.9,8.69,8.6
2003-12-04,8.65,774900.0,8.7,8.46,8.0
2003-12-05,8.24,361600.0,8.75,8.37,8.24
2003-12-08,8.21,1774000.0,8.39,7.55,7.51
2003-12-09,7.14,1440700.0,7.75,7.36,7.08
2003-12-10,7.15,1980100.0,7.4,7.12,6.94
2003-12-11,7.0,796200.0,7.3,6.99,6.87
2003-12-12,7.54,636100.0,7.59,7.38,7.0
2003-12-15,7.56,484300.0,7.7,7.57,7.11
2003-12-16,7.55,233400.0,7.75,7.51,7.45
2003-12-17,7.58,278600.0,7.78,7.75,7.44
2003-12-18,7.78,246900.0,7.79,7.53,6.75
2003-12-19,7.39,248600.0,7.61,7.36,7.31
2003-12-22,7.4,508500.0,7.51,7.15,7.14
2003-12-23,6.8,849900.0,7.23,7.2,6.75
2003-12-24,7.39,254400.0,7.48,7.48,7.25
2003-12-26,7.69,471600.0,7.94,7.94,7.45
2003-12-29,7.7,609100.0,7.7,7.67,7.5
2003-12-30,7.55,264900.0,7.8,7.7,7.54
2003-12-31,7.75,337000.0,8.07,7.96,7.75
2004-01-02,7.88,243300.0,8.07,7.93,7.8
2004-01-05,8.15,1003900.0,8.61,8.57,7.94
2004-01-06,8.64,740800.0,8.83,8.53,8.48
2004-01-07,8.59,716700.0,8.59,7.87,7.8
2004-01-08,8.05,575300.0,8.3,8.25,7.8
2004-01-09,8.19,401100.0,8.44,8.27,8.15
2004-01-12,8.4,398700.0,8.4,7.92,7.85
2004-01-13,7.8,398700.0,8.1,8.01,7.45
2004-01-14,7.76,561400.0,7.84,7.66,7.5
2004-01-15,7.63,590700.0,7.65,7.36,7.1
2004-01-16,7.05,475300.0,7.43,7.34,7.05
2004-01-20,7.32,362400.0,7.62,7.55,7.32
2004-01-21,7.4,272500.0,7.6,7.47,7.33
2004-01-22,7.44,1053600.0,7.44,7.21,7.08
2004-01-23,6.96,978000.0,7.81,7.65,6.91
2004-01-26,7.5,722800.0,7.78,7.27,7.06
2004-01-27,7.17,586300.0,7.59,7.58,7.1
2004-01-28,7.6,468800.0,7.63,7.28,7.24
2004-01-29,7.31,416400.0,7.35,7.13,7.02
2004-01-30,7.1,267200.0,7.4,7.35,7.05
2004-02-02,7.44,5774000.0,7.44,5.55,5.4
2004-02-03,5.6,2122600.0,5.82,5.79,5.45
2004-02-04,5.85,661800.0,5.89,5.7,5.6
2004-02-05,5.75,618700.0,6.06,5.94,5.75
2004-02-06,6.07,766900.0,6.4,6.31,6.0
2004-02-09,6.45,445600.0,6.59,6.49,6.4
2004-02-10,6.54,274600.0,6.62,6.38,6.35
2004-02-11,6.35,481700.0,6.49,6.43,6.17
2004-02-12,6.4,237800.0,6.45,6.36,6.32
2004-02-13,6.4,437300.0,6.49,6.17,6.05
2004-02-17,6.35,304200.0,6.55,6.46,6.35
2004-02-18,6.55,156200.0,6.55,6.23,6.13
2004-02-19,6.1,279600.0,6.25,6.09,5.96
2004-02-20,6.04,444500.0,6.15,5.95,5.76
2004-02-23,5.63,229600.0,6.0,5.87,5.59
2004-02-24,5.76,319600.0,6.09,5.91,5.76
2004-02-25,6.0,402600.0,6.0,5.67,5.57
2004-02-26,5.62,327600.0,5.75,5.69,5.6
2004-02-27,5.63,162300.0,5.84,5.75,5.6
2004-03-01,5.98,217900.0,6.03,5.98,5.76
2004-03-02,6.07,279200.0,6.07,5.88,5.74
2004-03-03,5.63,390900.0,5.84,5.8,5.62
2004-03-04,5.73,379100.0,6.0,5.84,5.73
2004-03-05,5.97,490100.0,6.05,5.89,5.85
2004-03-08,5.81,242700.0,6.06,5.9,5.81
2004-03-09,6.0,287800.0,6.0,5.85,5.83
2004-03-10,5.85,280900.0,5.9,5.65,5.62
2004-03-11,5.67,451600.0,5.7,5.36,5.31
2004-03-12,5.36,488600.0,5.39,5.08,4.85
2004-03-15,5.05,383400.0,5.22,4.95,4.86
2004-03-16,4.9,467700.0,5.0,4.81,4.61
2004-03-17,4.76,461100.0,5.39,5.24,4.76
2004-03-18,5.55,799500.0,5.7,5.59,5.33
2004-03-19,5.48,988700.0,6.1,6.02,5.48
2004-03-22,6.13,605800.0,6.18,5.9,5.8
2004-03-23,5.9,193400.0,6.04,5.71,5.67
2004-03-24,5.7,218200.0,5.7,5.41,5.41
2004-03-25,5.53,78500.0,5.57,5.54,5.35
2004-03-26,5.7,156600.0,5.83,5.56,5.56
2004-03-29,5.69,410400.0,5.79,5.74,5.55
2004-03-30,5.81,179300.0,5.81,5.74,5.69
2004-03-31,5.7,228800.0,5.78,5.64,5.49
2004-04-01,5.8,207900.0,5.97,5.8,5.56
2004-04-02,5.69,147000.0,5.86,5.75,5.65
2004-04-05,5.63,163000.0,5.93,5.92,5.63
2004-04-06,6.02,586700.0,6.12,6.08,5.94
