date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,82.25,61000.0,82.38,82.06,81.88
1998-01-05,82.06,110200.0,83.63,83.06,82.06
1998-01-06,83.06,115100.0,83.06,81.75,81.69
1998-01-07,81.5,126200.0,81.75,81.44,81.13
1998-01-08,81.44,201100.0,81.44,79.69,79.69
1998-01-09,79.81,279700.0,80.0,75.69,75.63
1998-01-12,75.5,375100.0,77.94,77.56,74.63
1998-01-13,77.56,162300.0,78.25,78.25,77.56
1998-01-14,78.63,150400.0,78.63,77.94,77.25
1998-01-15,77.75,161100.0,78.0,78.0,77.38
1998-01-16,78.25,93200.0,78.75,78.13,77.75
1998-01-20,82.5,1397500.0,85.31,85.13,82.5
1998-01-21,85.19,1431800.0,85.25,84.56,84.06
1998-01-22,84.5,755700.0,87.0,86.75,84.25
1998-01-23,88.0,692900.0,88.13,87.88,86.75
1998-01-26,87.81,700900.0,87.88,87.31,87.0
1998-01-27,87.25,614600.0,87.31,86.69,86.56
1998-01-28,86.56,541700.0,87.19,86.94,86.5
1998-01-29,87.0,685100.0,87.0,86.63,86.5
1998-01-30,86.5,723400.0,87.06,87.03,85.94
1998-02-02,87.13,754200.0,87.5,87.0,86.88
1998-02-03,87.06,489100.0,88.19,87.94,87.0
1998-02-04,87.94,314400.0,87.94,87.13,86.88
1998-02-05,87.13,540500.0,87.88,87.88,86.44
1998-02-06,87.88,254400.0,88.5,88.0,87.56
1998-02-09,88.0,504800.0,88.31,88.0,87.81
1998-02-10,88.0,422000.0,88.13,87.44,87.25
1998-02-11,87.75,386200.0,88.0,87.56,87.5
1998-02-12,87.56,589400.0,87.56,86.5,84.88
1998-02-13,86.5,232100.0,87.0,87.0,86.13
1998-02-17,87.5,429800.0,88.31,88.19,87.5
1998-02-18,88.06,242100.0,88.5,88.13,87.75
1998-02-19,88.06,262700.0,88.13,87.13,87.13
1998-02-20,87.38,316000.0,88.75,88.56,87.0
1998-02-23,88.75,238300.0,89.13,87.75,87.5
1998-02-24,87.63,255300.0,87.88,87.19,86.88
1998-02-25,87.38,223800.0,88.0,87.38,86.94
1998-02-26,87.44,247000.0,88.31,87.81,87.25
1998-02-27,88.13,524100.0,88.75,88.63,87.94
1998-03-02,88.44,158800.0,88.75,88.56,88.06
1998-03-03,88.63,215000.0,88.69,87.0,87.0
1998-03-04,87.44,228100.0,87.88,87.81,87.38
1998-03-05,87.5,304400.0,87.81,87.81,87.44
1998-03-06,87.81,294400.0,89.31,89.31,87.75
1998-03-09,89.25,405400.0,90.88,90.56,89.0
1998-03-10,90.56,220000.0,91.13,90.56,90.38
1998-03-11,90.5,431700.0,92.25,91.94,90.38
1998-03-12,91.88,289600.0,91.88,91.81,91.25
1998-03-13,91.81,198400.0,92.25,92.06,91.75
1998-03-16,92.06,323300.0,92.69,92.44,92.06
1998-03-17,92.5,381800.0,94.0,93.88,92.44
1998-03-18,93.88,231900.0,94.0,93.75,92.75
1998-03-19,93.69,337800.0,94.31,94.19,93.63
1998-03-20,94.38,446300.0,94.38,92.5,92.38
1998-03-23,92.63,184800.0,92.94,91.13,91.13
1998-03-24,91.19,218300.0,91.19,90.25,90.25
1998-03-25,90.5,378200.0,90.75,90.06,89.38
1998-03-26,90.0,229000.0,91.0,90.5,89.69
1998-03-27,89.75,164100.0,90.63,90.06,89.5
1998-03-30,89.63,497100.0,90.06,88.94,88.81
1998-03-31,89.0,367600.0,89.81,89.13,88.88
1998-04-01,89.25,295800.0,89.25,89.0,88.75
1998-04-02,88.81,242700.0,88.94,88.69,88.06
1998-04-03,89.0,299400.0,89.25,88.94,88.19
1998-04-06,89.44,277000.0,90.75,89.81,89.13
1998-04-07,89.81,244800.0,89.94,88.13,87.94
1998-04-08,88.0,398800.0,88.06,87.38,87.25
1998-04-09,87.13,314200.0,88.31,87.75,87.13
1998-04-13,88.0,306200.0,88.0,86.69,86.56
1998-04-14,86.75,325900.0,87.5,87.25,85.94
1998-04-15,87.31,274100.0,88.25,87.75,86.5
1998-04-16,87.81,293000.0,87.81,87.19,86.75
1998-04-17,87.19,159400.0,87.69,87.13,86.63
1998-04-20,87.5,295300.0,88.25,87.88,87.0
1998-04-21,87.63,157400.0,87.69,86.88,86.63
1998-04-22,86.88,219300.0,86.88,86.38,86.31
1998-04-23,86.25,170300.0,86.56,84.75,84.75
1998-04-24,84.75,754700.0,84.75,84.25,82.94
1998-04-27,83.63,682000.0,84.13,82.81,82.63
1998-04-28,83.0,1188100.0,83.0,80.88,79.88
1998-04-29,81.25,647600.0,83.25,82.63,81.0
1998-04-30,82.75,373600.0,84.81,84.75,82.75
1998-05-01,85.25,365600.0,85.63,85.0,84.38
1998-05-04,84.75,890300.0,85.25,84.75,84.38
1998-05-05,85.25,892100.0,86.25,86.25,85.0
1998-05-06,86.5,656100.0,87.0,85.88,85.75
1998-05-07,85.63,385600.0,86.25,85.88,85.5
1998-05-08,85.88,766600.0,86.75,86.75,85.88
1998-05-11,87.0,446100.0,88.25,87.88,86.88
1998-05-12,44.0,337800.0,44.25,44.06,43.56
1998-05-13,44.44,828700.0,44.44,44.31,44.13
1998-05-14,44.5,1187600.0,44.5,44.0,43.75
1998-05-15,44.0,1089600.0,44.44,44.31,43.94
1998-05-18,44.31,610200.0,44.38,44.0,43.75
1998-05-19,44.25,697500.0,44.63,44.0,43.56
1998-05-20,43.94,465400.0,44.31,44.31,43.94
1998-05-21,44.25,373200.0,44.81,44.0,43.69
1998-05-22,43.75,488900.0,44.06,43.25,43.25
1998-05-26,43.38,655000.0,44.13,43.56,43.25
1998-05-27,43.75,531600.0,43.75,43.31,43.06
1998-05-28,43.25,726600.0,44.25,43.88,43.25
