date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,24.88,51067.0,25.38,25.25,24.81
1998-01-05,25.38,69600.0,26.31,26.19,25.38
1998-01-06,25.94,23800.0,26.13,25.38,25.38
1998-01-07,25.38,58400.0,25.88,25.69,25.25
1998-01-08,25.81,64800.0,26.56,24.63,24.19
1998-01-09,24.88,41600.0,24.94,24.0,23.5
1998-01-12,23.88,23667.0,23.94,23.75,23.44
1998-01-13,23.88,23267.0,24.38,24.06,23.88
1998-01-14,24.06,93600.0,24.06,23.38,22.5
1998-01-15,23.25,30800.0,23.69,23.44,23.25
1998-01-16,23.69,32667.0,23.75,23.38,23.19
1998-01-20,23.38,25867.0,23.63,23.25,22.88
1998-01-21,23.25,27467.0,24.06,23.44,23.25
1998-01-22,23.31,36267.0,23.75,23.75,23.31
1998-01-23,23.81,33267.0,23.81,23.81,23.56
1998-01-26,23.88,16467.0,23.88,23.06,22.88
1998-01-27,23.31,15800.0,23.81,23.44,23.25
1998-01-28,23.19,33067.0,24.5,24.5,23.19
1998-01-29,24.5,64467.0,25.38,24.38,24.25
1998-01-30,24.31,13067.0,24.75,24.44,24.19
1998-02-02,24.5,58600.0,25.38,25.25,24.44
1998-02-03,25.0,25400.0,25.75,25.56,25.0
1998-02-04,25.56,35467.0,26.0,25.81,25.19
1998-02-05,26.06,86067.0,27.0,26.81,26.06
1998-02-06,26.81,64867.0,27.0,26.31,26.06
1998-02-09,26.06,31000.0,27.0,27.0,26.06
1998-02-10,26.81,56200.0,27.25,26.94,26.19
1998-02-11,26.69,54467.0,27.25,27.0,26.44
1998-02-12,26.25,30400.0,26.81,26.81,26.25
1998-02-13,27.0,7667.0,27.0,27.0,26.88
1998-02-17,26.88,39200.0,26.88,26.38,26.0
1998-02-18,26.63,20267.0,26.75,26.44,26.31
1998-02-19,26.25,16067.0,26.25,25.69,25.44
1998-02-20,25.81,22467.0,25.81,25.0,24.94
1998-02-23,25.0,26867.0,25.88,25.75,25.0
1998-02-24,25.69,23800.0,25.88,25.75,25.63
1998-02-25,25.88,25867.0,26.25,26.06,25.88
1998-02-26,26.13,11200.0,26.5,26.25,26.13
1998-02-27,26.19,22467.0,26.5,26.25,25.88
1998-03-02,26.25,16000.0,26.5,26.0,25.88
1998-03-03,25.88,16467.0,26.38,26.38,25.88
1998-03-04,26.38,38200.0,26.81,26.81,26.19
1998-03-05,26.81,83600.0,27.44,26.94,26.81
1998-03-06,27.0,131400.0,29.0,27.94,27.0
1998-03-09,28.5,86400.0,29.13,28.88,28.38
1998-03-10,29.13,230200.0,32.0,31.25,28.88
1998-03-11,31.5,137600.0,31.5,31.0,30.0
1998-03-12,31.13,55467.0,31.13,30.44,30.13
1998-03-13,30.44,35400.0,31.0,30.56,30.44
1998-03-16,30.56,85267.0,31.75,31.0,30.56
1998-03-17,31.0,50667.0,32.13,31.75,31.0
1998-03-18,31.56,31867.0,31.56,30.88,30.63
1998-03-19,31.0,31867.0,31.31,30.81,30.63
1998-03-20,30.94,36267.0,31.94,30.81,30.81
1998-03-23,30.56,21800.0,30.88,30.44,30.38
1998-03-24,30.31,17000.0,30.75,30.69,30.31
1998-03-25,30.81,30267.0,31.0,30.56,30.31
1998-03-26,30.81,23067.0,30.81,30.56,30.38
1998-03-27,30.56,8667.0,30.69,30.5,30.31
1998-03-30,30.38,17267.0,30.5,30.25,30.19
1998-03-31,30.25,46667.0,31.25,31.25,30.25
1998-04-01,31.5,35600.0,32.0,31.31,31.0
1998-04-02,31.44,30600.0,31.44,30.5,30.5
1998-04-03,30.63,39467.0,30.63,30.56,30.38
1998-04-06,30.63,46467.0,30.63,30.06,29.63
1998-04-07,29.94,55467.0,30.75,30.38,29.69
1998-04-08,30.38,20800.0,30.44,30.31,30.0
1998-04-09,30.56,43200.0,30.56,29.69,29.5
1998-04-13,29.94,62467.0,29.94,28.25,28.25
1998-04-14,28.25,70400.0,28.94,28.75,27.63
1998-04-15,28.75,70000.0,29.69,29.38,28.75
1998-04-16,29.13,143667.0,31.13,30.88,29.13
1998-04-17,32.25,92800.0,32.38,31.63,31.19
1998-04-20,31.75,78400.0,32.38,32.25,31.69
1998-04-21,32.19,87000.0,33.44,33.0,32.19
1998-04-22,33.13,39867.0,33.63,32.56,32.38
1998-04-23,32.56,40600.0,32.56,32.0,31.63
1998-04-24,32.0,59867.0,32.0,31.13,30.06
1998-04-27,31.19,49867.0,31.19,30.0,29.81
1998-04-28,30.13,22400.0,31.5,31.19,30.13
1998-04-29,31.25,17000.0,31.25,30.94,30.56
1998-04-30,30.81,37200.0,32.13,31.44,30.81
1998-05-01,31.5,47867.0,31.63,31.38,31.31
1998-05-04,31.44,46000.0,32.13,31.94,31.25
1998-05-05,31.94,45800.0,32.06,31.38,30.63
1998-05-06,31.31,26067.0,31.81,31.81,31.19
1998-05-07,31.81,58667.0,31.88,31.5,30.56
1998-05-08,31.63,40800.0,32.25,31.75,31.63
1998-05-11,21.19,46933.0,22.0,20.81,20.81
1998-05-12,20.88,67300.0,21.5,21.38,20.75
1998-05-13,21.44,34900.0,21.63,21.38,21.13
1998-05-14,21.38,77900.0,22.25,22.0,21.38
1998-05-15,23.25,323500.0,23.94,23.25,23.06
1998-05-18,23.31,119200.0,23.5,22.13,22.06
1998-05-19,22.13,79700.0,22.5,22.13,22.13
1998-05-20,22.19,37000.0,22.38,21.69,21.63
1998-05-21,21.69,53400.0,22.0,21.56,21.56
1998-05-22,21.81,37500.0,21.88,21.44,21.38
1998-05-26,21.56,37200.0,21.88,21.25,21.19
1998-05-27,21.13,49600.0,21.44,20.88,20.69
1998-05-28,21.06,40500.0,21.13,20.56,20.5
1998-05-29,20.38,71800.0,20.94,20.88,20.38
1998-06-01,20.88,33000.0,20.94,20.69,20.44
1998-06-02,20.56,32800.0,20.69,20.44,20.25
1998-06-03,20.38,35700.0,20.69,20.44,20.25
1998-06-04,20.31,9200.0,20.69,20.63,20.25
1998-06-05,20.69,13400.0,20.75,20.69,20.5
1998-06-08,20.94,38600.0,21.13,21.0,20.75
1998-06-09,21.0,29300.0,21.75,21.38,21.0
1998-06-10,21.38,45500.0,21.88,21.31,21.31
1998-06-11,21.44,25900.0,21.88,21.56,21.38
1998-06-12,21.75,15900.0,21.75,21.56,21.5
1998-06-15,21.44,38300.0,21.56,21.0,21.0
1998-06-16,21.19,42800.0,21.5,21.38,21.19
1998-06-17,21.31,49400.0,21.5,21.31,21.13
1998-06-18,21.0,37300.0,21.19,21.0,21.0
1998-06-19,20.75,21900.0,20.75,20.38,20.19
1998-06-22,20.5,79200.0,21.63,21.5,20.38
1998-06-23,21.38,71500.0,21.75,21.13,21.13
1998-06-24,21.06,34900.0,21.44,21.31,21.0
1998-06-25,21.31,25500.0,21.75,21.5,21.31
1998-06-26,21.5,43700.0,21.5,21.0,20.5
1998-06-29,21.06,22500.0,21.25,21.13,20.88
1998-06-30,20.94,22700.0,21.06,21.0,20.75
