date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,89.5,1055719.0,90.38,89.63,88.0
1998-01-05,89.63,1946344.0,91.38,91.13,88.75
1998-01-06,90.38,3112519.0,93.19,90.0,90.0
1998-01-07,89.75,2146800.0,89.94,89.88,87.75
1998-01-08,89.88,1567200.0,91.5,89.13,89.0
1998-01-09,89.19,2194256.0,89.25,85.38,84.25
1998-01-12,83.5,2158800.0,86.13,85.0,82.5
1998-01-13,85.5,1997250.0,89.44,89.25,85.5
1998-01-14,89.25,2067431.0,90.94,90.75,87.56
1998-01-15,90.19,2961375.0,93.19,92.81,89.75
1998-01-16,92.81,1479488.0,93.75,93.0,92.0
1998-01-20,93.25,1789894.0,96.25,95.88,93.19
1998-01-21,95.5,1725638.0,97.25,95.25,94.56
1998-01-22,95.0,1324706.0,96.5,95.44,93.38
1998-01-23,96.0,836381.0,96.75,95.25,94.06
1998-01-26,95.0,1173694.0,96.31,92.19,92.19
1998-01-27,92.06,1411800.0,93.13,91.31,91.06
1998-01-28,91.75,1652119.0,94.88,94.63,91.75
1998-01-29,94.19,1550925.0,96.19,94.94,94.0
1998-01-30,95.75,1045181.0,97.5,95.63,95.38
1998-02-02,98.0,3002156.0,100.5,100.1,97.63
1998-02-03,100.1,1554169.0,100.4,99.75,98.81
1998-02-04,99.25,1325006.0,101.6,100.8,98.56
1998-02-05,101.8,1383956.0,101.8,98.0,97.94
1998-02-06,97.5,1270575.0,99.56,98.5,96.63
1998-02-09,100.0,7242581.0,112.0,110.4,99.56
1998-02-10,111.5,6547538.0,114.5,109.0,109.0
1998-02-11,112.4,3548381.0,115.4,114.5,111.0
1998-02-12,114.3,3418219.0,117.9,117.0,113.5
1998-02-13,116.5,3139950.0,117.2,114.3,114.0
1998-02-17,115.3,2656931.0,115.6,112.0,111.0
1998-02-18,112.0,1468631.0,112.6,112.5,111.1
1998-02-19,113.1,2448863.0,117.6,117.6,112.8
1998-02-20,118.5,2034169.0,119.8,119.4,117.1
1998-02-23,120.5,2500575.0,125.0,123.9,120.0
1998-02-24,123.6,2174663.0,123.8,119.1,119.1
1998-02-25,120.3,3602738.0,121.9,118.9,118.0
1998-02-26,121.1,2662031.0,124.0,123.8,119.8
1998-02-27,123.8,3171131.0,123.8,121.4,121.1
1998-03-02,121.3,1992225.0,121.8,117.6,117.6
1998-03-03,117.6,2741944.0,118.4,117.1,113.0
1998-03-04,116.0,1607363.0,118.5,113.0,113.0
1998-03-05,114.0,2525100.0,116.8,116.1,114.0
1998-03-06,118.5,2306475.0,121.9,121.5,117.7
1998-03-09,123.0,3063300.0,126.3,123.4,121.0
1998-03-10,126.0,2510288.0,126.4,123.0,122.1
1998-03-11,123.0,1954256.0,124.9,123.9,122.1
1998-03-12,124.0,1604963.0,125.8,124.3,122.6
1998-03-13,125.4,2772394.0,127.6,127.6,124.8
1998-03-16,129.1,2771044.0,130.0,129.8,126.6
1998-03-17,65.06,2006513.0,65.88,64.0,63.63
1998-03-18,64.0,1976363.0,64.06,63.5,63.13
1998-03-19,61.75,4591200.0,62.0,61.63,60.63
1998-03-20,61.31,2713163.0,63.0,62.5,61.06
1998-03-23,62.5,3615338.0,66.5,65.88,62.31
1998-03-24,67.25,4144425.0,68.44,67.88,66.75
1998-03-25,69.0,4763963.0,69.88,66.94,66.13
1998-03-26,67.38,2577450.0,67.69,66.88,66.63
1998-03-27,67.5,2512275.0,69.0,69.0,67.44
1998-03-30,69.38,3287700.0,69.75,67.75,66.94
1998-03-31,68.5,2687250.0,69.5,68.31,68.19
1998-04-01,69.25,4934925.0,73.25,72.94,69.19
1998-04-02,74.63,9049688.0,75.56,74.25,73.63
1998-04-03,75.5,3921788.0,75.56,74.5,73.5
1998-04-06,74.88,3336038.0,75.0,72.88,71.13
1998-04-07,72.56,3298575.0,72.81,70.5,69.94
