date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,45.63,2919300.0,47.81,47.81,45.38
1998-01-05,48.0,4291600.0,49.88,48.31,47.13
1998-01-06,47.94,2731700.0,49.44,47.31,46.88
1998-01-07,47.06,3456900.0,47.19,45.63,45.13
1998-01-08,44.5,5806800.0,45.44,44.31,43.5
1998-01-09,44.5,5741300.0,44.5,41.63,40.88
1998-01-12,40.25,4184600.0,43.63,42.5,40.25
1998-01-13,44.5,6658800.0,47.25,47.25,43.5
1998-01-14,46.75,3316700.0,47.0,46.25,45.44
1998-01-15,46.25,3523700.0,47.88,45.75,45.5
1998-01-16,45.75,3411600.0,45.88,45.19,44.63
1998-01-20,45.38,2909800.0,46.75,46.25,44.56
1998-01-21,44.88,7743200.0,48.94,48.0,44.5
1998-01-22,47.63,4823800.0,48.13,46.75,46.25
1998-01-23,47.25,3676200.0,48.5,48.38,46.56
1998-01-26,49.0,2878300.0,49.5,48.75,48.56
1998-01-27,49.25,4018400.0,51.88,51.5,49.0
1998-01-28,53.5,6975600.0,56.0,55.31,53.31
1998-01-29,55.0,4281200.0,56.5,53.38,52.5
1998-01-30,53.75,3905600.0,55.5,54.63,53.69
1998-02-02,56.38,2811300.0,56.5,55.5,55.19
1998-02-03,55.81,3685500.0,58.44,57.75,55.75
1998-02-04,57.5,4479700.0,57.94,56.81,56.44
1998-02-05,57.0,3882200.0,57.88,54.5,54.38
1998-02-06,53.5,3713300.0,54.88,53.88,53.19
1998-02-09,54.0,2712600.0,54.38,53.63,52.19
1998-02-10,54.13,5178800.0,57.5,55.75,54.0
1998-02-11,55.81,3380000.0,56.81,56.38,54.75
1998-02-12,56.69,3261900.0,56.88,56.31,54.19
1998-02-13,56.38,1948100.0,57.19,55.81,55.63
1998-02-17,56.06,2233800.0,56.75,55.13,55.0
1998-02-18,55.13,2351700.0,56.69,56.5,54.88
1998-02-19,57.31,5522300.0,59.38,58.88,55.88
1998-02-20,59.75,4285900.0,59.75,58.88,57.25
1998-02-23,59.38,3380500.0,60.06,59.31,58.5
1998-02-24,59.56,3214300.0,59.69,57.38,57.38
1998-02-25,57.56,4109800.0,61.5,61.25,57.31
1998-02-26,61.06,4776600.0,62.75,61.5,59.88
1998-02-27,60.0,5682600.0,60.88,58.0,57.5
1998-03-02,57.75,6286600.0,57.81,55.5,54.75
1998-03-03,53.0,5224500.0,55.0,53.06,52.5
1998-03-04,54.5,5069000.0,55.69,52.0,52.0
1998-03-05,52.13,5449700.0,53.0,53.0,51.63
1998-03-06,53.63,3604100.0,56.0,54.5,53.5
1998-03-09,54.5,3953500.0,54.5,53.0,51.81
1998-03-10,53.75,3102100.0,54.13,53.0,52.38
1998-03-11,53.75,3470500.0,54.69,54.19,53.38
1998-03-12,54.25,1766800.0,54.75,54.38,53.25
1998-03-13,54.44,2803900.0,55.5,54.19,54.0
1998-03-16,54.5,1478600.0,54.94,54.13,54.13
1998-03-17,54.25,3341600.0,55.38,55.38,53.31
1998-03-18,54.75,3154000.0,56.5,55.63,54.25
1998-03-19,55.56,1825000.0,56.0,55.75,54.63
1998-03-20,55.94,4341100.0,55.94,53.69,53.13
1998-03-23,53.13,2668200.0,54.44,53.5,53.13
1998-03-24,53.5,3038900.0,55.06,53.31,53.13
1998-03-25,54.44,4120500.0,56.13,55.56,54.38
1998-03-26,55.63,2427900.0,56.44,55.81,55.13
1998-03-27,55.81,2187200.0,55.81,54.81,54.19
1998-03-30,54.81,2384600.0,54.81,53.81,53.5
1998-03-31,53.94,1677300.0,55.38,54.13,53.88
1998-04-01,54.13,3942500.0,57.0,57.0,53.56
1998-04-02,56.63,3447600.0,57.94,56.38,55.94
1998-04-03,56.44,2150400.0,57.25,55.69,55.25
1998-04-06,55.94,1811200.0,56.25,54.25,54.0
1998-04-07,53.13,4375100.0,53.81,52.19,51.5
1998-04-08,52.25,2854900.0,53.44,52.69,52.13
1998-04-09,52.88,2344500.0,52.88,52.44,52.0
1998-04-13,52.25,1674900.0,52.94,52.31,52.0
1998-04-14,52.38,2797600.0,54.69,54.5,52.13
1998-04-15,55.75,4669700.0,57.63,56.56,55.5
1998-04-16,57.0,5537300.0,58.81,58.25,56.63
1998-04-17,58.38,3444200.0,58.69,58.5,57.75
1998-04-20,59.0,4616300.0,61.5,61.25,58.63
1998-04-21,61.88,3868300.0,63.13,63.0,61.0
1998-04-22,62.75,3738200.0,64.94,64.0,62.06
1998-04-23,62.63,2458500.0,63.5,62.25,61.75
1998-04-24,62.25,2351600.0,63.88,62.5,61.88
1998-04-27,61.0,2590500.0,62.25,60.5,59.94
1998-04-28,61.13,1486200.0,61.44,60.5,60.19
1998-04-29,60.75,2370300.0,63.0,62.0,60.31
1998-04-30,62.5,2872000.0,64.38,64.13,62.13
1998-05-01,64.0,1490800.0,64.75,64.19,63.44
1998-05-04,64.19,3055500.0,66.13,65.19,63.81
1998-05-05,65.25,2698200.0,66.88,66.25,65.25
1998-05-06,67.0,2390600.0,67.0,64.0,64.0
1998-05-07,64.25,2112400.0,65.31,64.06,63.75
1998-05-08,63.88,2678900.0,66.31,65.44,63.88
1998-05-11,65.31,1983600.0,65.31,63.88,63.88
1998-05-12,63.63,2578200.0,63.88,62.94,61.5
1998-05-13,62.75,1807900.0,63.69,63.19,62.0
1998-05-14,63.0,1443900.0,63.31,62.13,62.13
1998-05-15,62.06,2928900.0,62.06,59.13,58.63
1998-05-18,59.13,2466000.0,60.0,59.19,58.25
1998-05-19,59.5,2136000.0,60.0,58.31,57.0
1998-05-20,58.69,4184800.0,59.0,56.31,55.5
1998-05-21,55.5,3319500.0,56.25,55.06,54.63
1998-05-22,54.56,1875100.0,54.88,54.25,54.06
1998-05-26,55.0,2039800.0,55.94,54.38,54.31
1998-05-27,54.13,3041600.0,54.5,53.88,52.63
1998-05-28,54.13,3198900.0,54.69,52.75,52.38
1998-05-29,53.0,3159700.0,53.5,51.44,51.25
1998-06-01,51.0,3941800.0,52.25,49.25,48.81
1998-06-02,50.13,4415700.0,50.25,49.5,48.25
1998-06-03,49.63,3022100.0,50.94,48.0,48.0
1998-06-04,49.13,2794800.0,51.13,50.88,48.38
1998-06-05,51.06,2521300.0,52.19,50.81,50.13
1998-06-08,52.5,3715700.0,54.13,53.5,52.31
1998-06-09,53.5,3443200.0,56.0,55.88,52.88
1998-06-10,54.25,4212700.0,54.31,52.5,51.56
1998-06-11,52.5,4579700.0,53.0,49.63,49.63
1998-06-12,49.81,5046700.0,49.81,49.13,46.88
1998-06-15,48.5,3149300.0,49.75,48.0,47.88
1998-06-16,48.25,3981500.0,52.0,52.0,47.94
1998-06-17,52.0,3875600.0,53.0,50.88,50.0
1998-06-18,50.81,6463800.0,54.88,54.5,50.63
1998-06-19,55.0,7301100.0,56.0,54.19,54.06
1998-06-22,54.5,3436600.0,56.56,56.0,54.25
1998-06-23,57.0,4434700.0,58.88,58.25,56.06
1998-06-24,58.5,3516300.0,60.0,59.06,57.25
1998-06-25,59.75,3460300.0,61.31,57.94,57.69
1998-06-26,57.75,2364500.0,59.13,58.31,56.5
1998-06-29,58.69,2926400.0,60.38,59.19,58.63
1998-06-30,59.31,2475600.0,59.5,58.31,58.31
1998-07-01,59.0,3604800.0,60.0,60.0,58.31
1998-07-02,60.25,2476400.0,60.25,57.88,57.63
1998-07-06,57.63,2364800.0,57.63,55.88,55.81
1998-07-07,56.0,3723300.0,58.25,58.19,55.31
1998-07-08,58.13,2741100.0,59.94,58.56,56.75
1998-07-09,58.19,2186500.0,59.94,58.69,58.13
1998-07-10,58.5,1237200.0,59.44,58.69,57.88
1998-07-13,58.63,1988300.0,59.44,59.13,58.19
1998-07-14,59.0,2125700.0,59.44,58.38,58.31
1998-07-15,59.0,4340900.0,63.25,62.25,58.75
1998-07-16,63.38,2605500.0,63.69,62.94,61.0
1998-07-17,62.94,1352100.0,62.94,61.19,61.0
1998-07-20,60.5,2406400.0,60.5,58.94,58.25
1998-07-21,60.75,4771000.0,61.94,60.94,59.75
1998-07-22,60.63,2811300.0,61.0,61.0,58.63
1998-07-23,60.0,2137400.0,61.69,59.5,59.13
1998-07-24,59.44,2240200.0,59.5,58.06,57.0
1998-07-27,57.63,2544000.0,58.06,57.81,56.31
1998-07-28,57.81,3278800.0,59.25,59.0,57.19
1998-07-29,59.06,2451300.0,59.69,58.69,58.5
1998-07-30,59.25,2205600.0,61.0,61.0,58.94
1998-07-31,61.5,1831400.0,61.88,59.38,59.31
1998-08-03,59.0,1561000.0,61.13,60.13,58.81
1998-08-04,61.5,1750900.0,61.5,58.5,58.31
1998-08-05,58.5,1995100.0,60.06,60.0,58.19
1998-08-06,59.5,2884800.0,62.38,61.38,59.5
1998-08-07,62.25,2659200.0,63.5,63.19,61.88
1998-08-10,62.75,1430100.0,62.88,61.0,61.0
1998-08-11,59.5,2372700.0,59.69,58.56,58.06
1998-08-12,59.5,2179200.0,61.25,60.88,58.06
1998-08-13,60.75,1522600.0,61.5,59.88,59.63
1998-08-14,60.75,1134000.0,61.13,59.31,59.06
1998-08-17,59.25,2067600.0,61.31,61.31,59.25
1998-08-18,61.5,2409900.0,63.38,62.5,61.5
1998-08-19,63.0,2032500.0,63.5,60.5,60.5
1998-08-20,59.06,2532600.0,59.5,58.88,58.13
1998-08-21,58.0,2638600.0,58.38,57.94,55.25
1998-08-24,58.0,1274700.0,58.75,57.75,56.69
1998-08-25,58.44,1925300.0,58.94,57.38,57.38
1998-08-26,56.5,1710500.0,57.13,56.19,56.13
1998-08-27,55.06,3387100.0,55.63,53.63,51.69
1998-08-28,53.38,2117400.0,54.19,51.19,50.88
1998-08-31,51.25,2511600.0,51.88,47.75,46.88
1998-09-01,49.25,3049000.0,51.0,50.63,46.06
1998-09-02,51.0,2671400.0,53.0,50.25,50.06
1998-09-03,50.0,3041300.0,51.88,50.56,49.0
1998-09-04,51.38,2021300.0,51.38,49.13,48.19
1998-09-08,50.38,2475700.0,53.44,53.06,50.25
1998-09-09,53.06,2241600.0,54.25,53.31,52.38
1998-09-10,52.5,2123000.0,52.5,50.63,49.63
1998-09-11,51.25,2292600.0,52.94,52.81,50.81
1998-09-14,52.81,1892900.0,54.38,53.38,52.44
1998-09-15,53.38,1121100.0,54.0,53.0,52.38
1998-09-16,53.5,1310400.0,54.19,53.81,52.88
1998-09-17,51.63,1974900.0,54.38,53.13,51.63
1998-09-18,53.5,1405200.0,54.19,54.13,52.5
1998-09-21,52.75,2169200.0,57.0,56.88,52.69
1998-09-22,57.0,3476300.0,57.38,53.75,53.75
1998-09-23,54.81,3503100.0,56.94,56.75,53.56
1998-09-24,56.81,2892000.0,57.44,54.06,53.13
1998-09-25,53.63,2610100.0,55.25,53.75,52.38
1998-09-28,54.25,2284400.0,55.88,54.56,54.0
1998-09-29,54.69,2271800.0,55.94,55.25,53.5
1998-09-30,54.63,2175500.0,54.63,53.0,52.75
1998-10-01,52.0,2539500.0,52.5,49.56,49.38
1998-10-02,49.75,2431700.0,51.0,50.06,48.13
1998-10-05,49.38,2279400.0,49.75,47.19,47.0
1998-10-06,50.0,3032500.0,50.0,47.5,46.63
1998-10-07,47.38,2726300.0,49.38,47.56,46.88
1998-10-08,46.75,3354100.0,47.88,47.25,45.38
1998-10-09,51.06,2277700.0,51.38,51.06,47.88
1998-10-12,53.0,2058200.0,53.88,52.25,52.19
1998-10-13,52.31,2344800.0,53.19,50.13,49.75
1998-10-14,50.19,2659800.0,54.0,52.31,50.19
1998-10-15,52.0,2600100.0,56.63,56.5,51.69
1998-10-16,57.88,4051500.0,59.25,59.25,56.5
1998-10-19,59.0,3050200.0,60.69,60.38,58.06
1998-10-20,63.0,6889300.0,64.13,59.94,59.5
1998-10-21,60.13,3275900.0,60.13,59.19,58.06
1998-10-22,59.0,1642300.0,60.38,59.75,58.06
1998-10-23,59.69,1919900.0,61.13,59.81,59.25
1998-10-26,59.94,1323600.0,60.0,58.75,58.5
1998-10-27,59.63,2452200.0,61.63,60.5,59.63
1998-10-28,60.13,1892700.0,61.31,61.0,59.19
1998-10-29,61.5,4001400.0,64.44,64.0,61.38
1998-10-30,64.88,3339500.0,65.38,63.94,62.88
1998-11-02,63.88,1940600.0,64.56,63.63,62.63
1998-11-03,62.63,1962700.0,63.38,61.81,61.19
1998-11-04,62.56,3021300.0,65.44,65.19,62.5
1998-11-05,64.31,1518000.0,64.75,64.63,63.63
1998-11-06,64.5,2534700.0,65.5,64.25,63.56
1998-11-09,64.25,1902600.0,65.31,63.25,62.31
1998-11-10,63.0,1708300.0,64.44,63.88,62.38
1998-11-11,65.5,5659400.0,69.44,69.44,65.44
1998-11-12,69.06,3404400.0,69.31,67.94,67.19
1998-11-13,67.81,2534200.0,69.5,69.0,67.0
1998-11-16,69.5,2648900.0,70.38,69.13,68.31
1998-11-17,69.06,4544300.0,70.31,69.69,66.94
1998-11-18,70.0,3194500.0,73.31,72.25,70.0
1998-11-19,74.63,6115300.0,78.88,77.13,74.63
1998-11-20,77.5,3280700.0,77.5,76.5,75.5
1998-11-23,76.88,2744600.0,78.88,78.75,76.13
1998-11-24,77.38,2520600.0,79.38,77.56,77.25
1998-11-25,77.25,3045900.0,78.88,78.88,75.81
1998-11-27,78.88,677000.0,78.94,78.75,77.56
1998-11-30,78.06,2434300.0,78.38,76.38,76.38
1998-12-01,75.75,2442800.0,77.81,77.5,75.06
1998-12-02,77.5,4048600.0,79.38,78.75,76.56
1998-12-03,78.75,6317700.0,83.63,81.13,78.5
1998-12-04,82.0,3678600.0,82.88,82.88,79.56
1998-12-07,83.5,3742400.0,86.19,85.69,82.25
1998-12-08,85.69,4116600.0,88.0,86.0,85.63
1998-12-09,85.75,1957800.0,86.44,84.94,84.25
1998-12-10,84.0,2276300.0,84.5,81.81,81.13
1998-12-11,80.75,3268600.0,81.88,80.06,79.13
1998-12-14,78.5,2407400.0,79.5,78.81,76.75
1998-12-15,78.63,2802000.0,80.81,78.38,77.63
1998-12-16,79.13,2183000.0,80.38,79.38,78.5
1998-12-17,79.25,3593500.0,83.94,83.94,79.25
1998-12-18,84.88,2854300.0,87.38,86.75,83.63
1998-12-21,86.56,3341600.0,90.44,89.06,86.56
1998-12-22,87.88,2402100.0,88.19,86.0,85.0
1998-12-23,88.5,2576300.0,88.5,85.75,85.0
1998-12-24,85.38,695100.0,85.88,85.88,84.5
1998-12-28,85.63,1138300.0,87.94,85.25,85.13
1998-12-29,85.56,1287300.0,85.69,84.0,83.75
1998-12-30,84.19,2316800.0,89.5,87.5,84.13
1998-12-31,88.0,1722800.0,88.25,85.56,85.06
1999-01-04,86.06,1847000.0,87.69,87.13,86.0
1999-01-05,86.75,3296100.0,90.88,89.06,86.75
1999-01-06,91.5,3269700.0,92.25,91.69,90.25
1999-01-07,90.38,2981600.0,92.75,91.5,90.38
1999-01-08,93.38,3207100.0,94.0,93.75,91.56
1999-01-11,93.75,2549000.0,95.0,95.0,92.19
1999-01-12,94.94,1532100.0,94.94,92.25,91.5
1999-01-13,90.63,3387600.0,96.5,93.5,89.56
1999-01-14,91.75,2618400.0,92.94,90.38,90.13
1999-01-15,90.38,3160100.0,94.13,92.63,89.0
1999-01-19,93.06,2415700.0,93.88,93.0,90.88
1999-01-20,96.75,6216600.0,102.8,99.63,96.38
1999-01-21,99.56,4967000.0,100.4,96.13,93.88
1999-01-22,93.13,3419700.0,94.56,93.0,91.63
1999-01-25,93.06,1981700.0,94.44,93.63,90.56
1999-01-26,94.75,2701100.0,98.5,98.13,94.5
1999-01-27,98.5,2693200.0,99.5,95.31,95.19
1999-01-28,96.5,2238600.0,97.13,95.75,94.44
1999-01-29,97.5,3211300.0,100.9,98.88,95.69
1999-02-01,98.88,2014500.0,100.0,95.0,95.0
1999-02-02,95.06,2595600.0,97.25,96.94,95.06
1999-02-03,95.63,2951300.0,102.3,101.6,94.75
1999-02-04,100.8,2787400.0,100.8,96.0,96.0
1999-02-05,95.63,3639800.0,95.88,94.63,92.63
