date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,62.38,166400.0,62.63,62.63,61.56
1998-01-05,62.63,484300.0,63.5,62.19,61.75
1998-01-06,61.63,415600.0,61.81,60.94,60.69
1998-01-07,60.94,538700.0,60.94,59.94,59.25
1998-01-08,59.94,383300.0,60.5,60.0,59.0
1998-01-09,59.88,295200.0,59.94,58.25,58.0
1998-01-12,57.0,557900.0,58.94,58.81,57.0
1998-01-13,58.56,325900.0,59.25,59.25,58.0
1998-01-14,59.25,293400.0,59.25,58.94,57.88
1998-01-15,59.19,689300.0,60.38,58.25,58.25
1998-01-16,58.44,231300.0,59.0,58.25,58.13
1998-01-20,58.38,491000.0,58.44,57.25,57.19
1998-01-21,57.13,524100.0,58.13,57.56,57.06
1998-01-22,57.13,498900.0,58.25,57.31,57.06
1998-01-23,57.19,672400.0,57.5,56.88,56.5
1998-01-26,56.5,367200.0,57.06,56.88,56.38
1998-01-27,57.25,684200.0,58.69,56.75,56.75
1998-01-28,56.88,2387300.0,58.25,58.0,56.88
1998-01-29,58.0,2368000.0,60.13,59.5,57.88
1998-01-30,59.5,448100.0,60.31,59.81,59.06
1998-02-02,60.81,516100.0,62.19,62.13,60.63
1998-02-03,61.75,733200.0,63.63,63.63,61.56
1998-02-04,63.31,1047800.0,65.56,65.44,63.25
1998-02-05,65.88,672500.0,66.0,64.75,64.44
1998-02-06,64.75,373400.0,66.06,65.94,64.75
1998-02-09,65.88,787200.0,68.5,67.88,65.81
1998-02-10,67.94,681300.0,69.88,68.75,67.88
1998-02-11,69.25,678900.0,70.06,68.06,68.0
1998-02-12,67.25,352500.0,67.94,67.94,66.06
1998-02-13,67.06,939400.0,70.06,69.69,67.06
1998-02-17,70.0,458800.0,70.13,69.75,68.44
1998-02-18,69.63,351400.0,69.63,69.25,69.13
1998-02-19,69.0,181200.0,69.13,68.19,68.13
1998-02-20,68.44,339700.0,68.88,68.5,67.69
1998-02-23,69.94,776700.0,70.56,70.56,69.63
1998-02-24,70.5,360200.0,70.69,69.31,69.0
1998-02-25,69.31,529800.0,72.25,72.13,69.31
1998-02-26,73.0,1225600.0,75.0,74.56,72.81
1998-02-27,74.13,279300.0,74.94,74.94,73.38
1998-03-02,74.75,354200.0,75.5,74.5,73.88
1998-03-03,74.13,342300.0,74.94,73.81,73.19
1998-03-04,73.69,226300.0,74.31,73.5,73.44
1998-03-05,72.0,512400.0,72.56,72.19,71.94
1998-03-06,72.06,278000.0,73.56,73.25,72.06
1998-03-09,73.19,277100.0,73.63,73.63,72.88
1998-03-10,73.63,393600.0,73.69,72.94,72.13
1998-03-11,72.38,508100.0,72.69,71.94,71.81
1998-03-12,72.0,363600.0,72.13,72.0,71.5
1998-03-13,72.0,401200.0,72.5,71.75,71.44
1998-03-16,71.75,363900.0,73.94,73.94,71.69
1998-03-17,73.75,206400.0,74.25,74.13,73.38
1998-03-18,73.94,300800.0,74.25,73.94,72.44
1998-03-19,73.94,403100.0,75.25,75.13,73.0
1998-03-20,75.5,454100.0,76.0,75.5,74.56
1998-03-23,75.5,640900.0,78.0,77.88,75.25
1998-03-24,77.88,418400.0,78.06,77.81,77.31
1998-03-25,78.63,345100.0,79.0,78.0,77.0
1998-03-26,77.88,460100.0,77.88,77.38,76.5
1998-03-27,77.75,334300.0,77.88,76.94,76.06
1998-03-30,76.94,316100.0,77.0,76.0,75.13
1998-03-31,76.25,366000.0,77.0,77.0,75.63
1998-04-01,76.81,289700.0,77.38,76.75,75.81
1998-04-02,76.75,392100.0,77.69,77.13,76.06
1998-04-03,77.25,789300.0,78.0,77.69,76.63
1998-04-06,78.88,452200.0,79.75,79.56,78.38
1998-04-07,79.56,303400.0,79.94,79.94,78.0
1998-04-08,80.0,569800.0,80.13,79.88,79.19
1998-04-09,80.0,402300.0,80.5,80.5,79.81
1998-04-13,80.25,267600.0,80.63,80.38,79.19
1998-04-14,80.0,330800.0,80.5,80.5,79.63
1998-04-15,80.25,271700.0,80.69,80.69,79.38
1998-04-16,80.69,294500.0,80.69,80.13,79.38
1998-04-17,80.38,233700.0,80.38,80.38,79.5
1998-04-20,80.13,217600.0,80.13,79.56,78.69
1998-04-21,79.38,462600.0,79.44,79.0,78.06
1998-04-22,79.0,322600.0,80.44,80.44,79.0
1998-04-23,79.94,286700.0,80.0,79.63,79.38
1998-04-24,78.63,289600.0,80.0,77.75,77.63
1998-04-27,77.0,179500.0,77.13,75.5,75.06
1998-04-28,75.63,229900.0,75.63,73.81,73.56
1998-04-29,73.69,273200.0,76.38,75.69,73.69
1998-04-30,76.0,334000.0,78.94,78.25,76.0
1998-05-01,78.94,303000.0,79.75,78.63,78.19
1998-05-04,79.0,238100.0,79.06,78.56,78.44
1998-05-05,78.81,148200.0,78.81,76.88,76.56
