date,1. open,5. volume,2. high,4. close,3. low
2016-04-07,41.56,4896800.0,41.56,41.56,41.56
2016-04-08,41.61,3602269.0,44.35,44.02,41.3214
2016-04-11,43.64,4094387.0,43.68,41.46,40.97
2016-04-12,41.25,3613186.0,41.66,41.65,40.23
2016-04-13,41.33,4425060.0,42.68,41.8,41.33
2016-04-14,41.99,2525995.0,42.86,42.23,41.91
2016-04-15,41.82,2344083.0,42.05,42.0,41.1901
2016-04-18,41.39,2541724.0,42.54,42.42,41.39
2016-04-19,42.55,1644552.0,43.36,43.0,42.25
2016-04-20,42.86,2267344.0,43.57,42.76,42.75
2016-04-21,46.35,3270908.0,46.53,45.73,43.99
2016-04-22,45.48,2398525.0,46.18,45.06,44.09
2016-04-25,44.89,2107535.0,44.9,44.26,44.11
2016-04-26,44.21,2181075.0,44.89,43.95,43.85
2016-04-27,44.19,1280876.0,44.21,42.16,41.75
2016-04-28,42.11,1445833.0,43.09,41.89,41.84
2016-04-29,41.71,1964394.0,41.89,40.8,40.47
2016-05-02,40.57,1453798.0,40.82,40.27,39.88
2016-05-03,39.42,1539208.0,40.47,40.12,39.42
2016-05-04,38.85,4516156.0,38.9,37.39,37.04
2016-05-05,37.4,1121631.0,38.17,37.49,37.0801
2016-05-06,37.0,1346938.0,37.35,36.38,36.27
2016-05-09,36.31,1705626.0,36.72,36.31,35.9648
2016-05-10,36.59,1282790.0,37.28,36.55,36.4
2016-05-11,36.0,1941428.0,36.1189,35.23,34.805
2016-05-12,35.57,1634456.0,35.66,35.19,34.81
2016-05-13,34.97,1908143.0,35.23,34.71,34.48
2016-05-16,34.58,1695997.0,34.905,34.54,34.45
2016-05-17,34.45,1895456.0,34.74,34.47,34.095
2016-05-18,34.33,980956.0,34.4,34.22,33.7
2016-05-19,33.78,1057401.0,35.0,34.85,33.78
2016-05-20,34.89,1052853.0,35.65,35.58,34.73
2016-05-23,35.53,683835.0,36.0,34.83,34.75
2016-05-24,35.01,1143097.0,36.09,35.58,34.99
2016-05-25,35.91,1322956.0,36.0,35.48,35.35
2016-05-26,35.51,875007.0,35.51,34.92,34.91
2016-05-27,34.97,1105514.0,35.21,35.06,34.84
2016-05-31,35.24,6311364.0,35.4,34.97,34.65
2016-06-01,33.39,3080985.0,33.755,33.72,32.6259
2016-06-02,33.67,2785411.0,34.32,34.22,33.66
2016-06-03,33.78,967862.0,34.32,34.16,33.78
2016-06-06,34.17,1956465.0,34.57,34.4,34.12
2016-06-07,34.8,1441146.0,35.28,35.2,34.21
2016-06-08,35.67,1287361.0,36.55,36.44,35.2801
2016-06-09,36.23,1224965.0,36.315,36.14,35.84
2016-06-10,35.75,616887.0,36.41,35.79,35.7
2016-06-13,35.62,1254294.0,35.74,34.68,34.62
2016-06-14,34.66,1086008.0,34.75,34.4,34.0
2016-06-15,34.45,1062818.0,35.47,34.77,34.45
2016-06-16,34.22,1215871.0,34.27,33.48,33.16
2016-06-17,33.72,1302234.0,34.25,34.14,33.6
2016-06-20,34.71,845879.0,35.17,34.77,34.65
2016-06-21,34.91,585531.0,35.48,34.92,34.75
2016-06-22,34.95,635385.0,35.0099,34.32,34.26
2016-06-23,34.55,1260783.0,34.775,34.67,34.4
2016-06-24,32.85,1992297.0,33.9132,33.5,32.85
2016-06-27,32.96,1417621.0,33.075,31.9,31.31
2016-06-28,32.25,1570613.0,33.97,33.9,32.115
2016-06-29,34.595,1750614.0,36.11,35.91,34.58
2016-06-30,35.91,853283.0,36.42,36.4,35.2201
2016-07-01,36.265,922536.0,36.9799,36.84,36.2611
2016-07-05,36.5,613245.0,36.62,35.51,35.12
2016-07-06,35.345,558256.0,36.27,36.26,35.26
2016-07-07,36.2,592469.0,36.88,36.88,36.14
2016-07-08,36.82,700295.0,37.1,36.78,36.373
2016-07-11,36.87,547215.0,36.955,36.57,36.39
2016-07-12,36.62,1145476.0,38.07,37.87,36.62
2016-07-13,37.61,956793.0,38.0,37.22,36.933
2016-07-14,37.38,862302.0,37.66,37.02,36.86
2016-07-15,37.13,872239.0,37.395,37.23,36.98
2016-07-18,37.22,472422.0,37.5,37.2,37.145
2016-07-19,36.91,752065.0,37.3184,36.95,36.81
