date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,14.06,237900.0,14.19,14.06,14.0
1998-01-05,14.44,282600.0,14.5,14.5,14.31
1998-01-06,14.5,286800.0,14.5,14.38,14.38
1998-01-07,14.44,311400.0,14.75,14.75,14.38
1998-01-08,14.75,204900.0,14.75,14.69,14.62
1998-01-09,14.75,212900.0,14.81,14.69,14.62
1998-01-12,14.62,225800.0,14.69,14.62,14.44
1998-01-13,14.62,317100.0,14.75,14.62,14.44
1998-01-14,14.38,239900.0,14.5,14.38,14.25
1998-01-15,14.44,286700.0,14.44,14.25,14.25
1998-01-16,14.25,232400.0,14.25,14.19,14.12
1998-01-20,14.25,226100.0,14.31,14.19,14.19
1998-01-21,14.25,215600.0,14.25,14.25,14.19
1998-01-22,14.25,205400.0,14.25,14.25,14.19
1998-01-23,14.25,245100.0,14.25,14.19,14.12
1998-01-26,14.19,199700.0,14.19,14.12,14.06
1998-01-27,14.12,494300.0,14.19,14.12,13.94
1998-01-28,14.06,215500.0,14.06,14.0,13.94
1998-01-29,14.0,236800.0,14.0,13.94,13.94
1998-01-30,14.0,321100.0,14.0,13.88,13.88
1998-02-02,13.94,363300.0,14.0,13.94,13.88
1998-02-03,14.0,446800.0,14.06,14.0,13.94
1998-02-04,14.0,262800.0,14.0,13.94,13.94
1998-02-05,14.0,277900.0,14.06,14.0,13.94
1998-02-06,14.06,252300.0,14.06,14.0,14.0
1998-02-09,14.12,162400.0,14.12,14.06,14.06
1998-02-10,14.12,208200.0,14.12,14.12,14.06
1998-02-11,14.12,316000.0,14.19,14.12,14.06
1998-02-12,14.19,573600.0,14.25,14.25,13.94
1998-02-13,14.19,214200.0,14.25,14.06,14.06
1998-02-17,14.06,418100.0,14.25,14.25,14.06
1998-02-18,14.25,195900.0,14.31,14.31,14.12
1998-02-19,14.31,155000.0,14.31,14.31,14.19
1998-02-20,14.38,249400.0,14.38,14.19,14.12
1998-02-23,14.25,192800.0,14.31,14.25,14.12
1998-02-24,14.25,296200.0,14.25,14.06,14.0
1998-02-25,14.0,226500.0,14.25,14.25,14.0
1998-02-26,14.31,164000.0,14.31,14.19,14.12
1998-02-27,14.19,171200.0,14.19,14.0,13.94
1998-03-02,14.06,275600.0,14.12,14.0,13.94
1998-03-03,14.0,252500.0,14.12,14.06,13.94
1998-03-04,14.0,225000.0,14.12,14.0,13.94
1998-03-05,14.0,255600.0,14.06,14.0,13.94
1998-03-06,14.06,234400.0,14.06,14.0,13.94
1998-03-09,14.0,139100.0,14.06,13.94,13.94
1998-03-10,14.0,185500.0,14.0,14.0,13.88
1998-03-11,14.0,390400.0,14.0,13.94,13.94
1998-03-12,14.0,205800.0,14.0,13.94,13.81
1998-03-13,14.0,273900.0,14.06,13.94,13.81
1998-03-16,13.94,201900.0,13.94,13.88,13.88
1998-03-17,13.88,329600.0,13.94,13.75,13.75
1998-03-18,13.81,347100.0,14.0,13.88,13.75
1998-03-19,13.94,226800.0,14.0,13.94,13.75
1998-03-20,14.06,291500.0,14.12,14.0,13.94
1998-03-23,14.0,228900.0,14.06,14.06,13.88
1998-03-24,14.06,241600.0,14.19,14.19,14.0
1998-03-25,14.19,262900.0,14.19,14.19,14.12
1998-03-26,14.12,250500.0,14.19,14.12,14.06
1998-03-27,14.12,333100.0,14.38,14.38,14.06
1998-03-30,14.38,201200.0,14.44,14.44,14.12
1998-03-31,14.44,365800.0,14.56,14.5,14.44
1998-04-01,14.44,151700.0,14.5,14.31,14.31
1998-04-02,14.31,325600.0,14.44,14.31,14.31
1998-04-03,14.31,281000.0,14.5,14.5,14.25
1998-04-06,14.5,220800.0,14.5,14.5,14.38
1998-04-07,14.12,204300.0,14.38,14.19,14.06
1998-04-08,14.19,189800.0,14.19,14.12,14.06
1998-04-09,14.12,181300.0,14.19,14.12,14.0
1998-04-13,14.12,253600.0,14.12,14.12,14.0
1998-04-14,14.0,136700.0,14.12,14.06,14.0
1998-04-15,14.12,149700.0,14.12,14.06,14.0
1998-04-16,14.06,224200.0,14.06,13.94,13.94
1998-04-17,14.0,168000.0,14.0,13.94,13.88
1998-04-20,14.0,198900.0,14.0,13.94,13.88
1998-04-21,13.94,518200.0,14.0,14.0,13.88
1998-04-22,14.0,171900.0,14.0,13.94,13.94
1998-04-23,13.94,199000.0,13.94,13.81,13.75
1998-04-24,13.81,296500.0,13.81,13.69,13.62
1998-04-27,13.69,438200.0,13.69,13.31,13.31
1998-04-28,13.62,314200.0,13.69,13.44,13.31
1998-04-29,13.44,330500.0,13.69,13.5,13.44
1998-04-30,13.62,234900.0,13.69,13.56,13.5
1998-05-01,13.62,287500.0,13.62,13.5,13.5
1998-05-04,13.62,241800.0,13.62,13.62,13.5
1998-05-05,13.56,221600.0,13.62,13.62,13.5
1998-05-06,13.62,323500.0,13.81,13.75,13.56
1998-05-07,13.81,310000.0,14.0,14.0,13.75
1998-05-08,13.94,206600.0,14.0,13.81,13.81
1998-05-11,13.94,202100.0,13.94,13.81,13.75
1998-05-12,13.88,132300.0,13.94,13.94,13.75
1998-05-13,13.94,182300.0,13.94,13.88,13.75
1998-05-14,13.88,158100.0,13.94,13.81,13.81
1998-05-15,13.81,107700.0,13.94,13.81,13.81
1998-05-18,13.75,204700.0,13.81,13.62,13.62
1998-05-19,13.62,102900.0,13.75,13.75,13.62
1998-05-20,13.75,153000.0,13.94,13.81,13.69
1998-05-21,13.88,156000.0,13.94,13.81,13.75
1998-05-22,13.81,138100.0,13.88,13.75,13.69
1998-05-26,13.81,157400.0,13.88,13.81,13.69
1998-05-27,13.81,361900.0,14.0,14.0,13.75
1998-05-28,14.0,455100.0,14.06,14.0,13.88
1998-05-29,13.94,326600.0,14.12,14.12,13.94
1998-06-01,14.0,421800.0,14.31,14.25,13.94
1998-06-02,14.31,252400.0,14.31,14.19,14.06
1998-06-03,14.19,83700.0,14.31,14.19,14.06
1998-06-04,14.19,192900.0,14.25,13.94,13.88
1998-06-05,13.94,197900.0,14.0,13.88,13.69
1998-06-08,13.94,222900.0,14.0,13.75,13.75
1998-06-09,13.81,210700.0,14.06,14.06,13.81
1998-06-10,14.0,229800.0,14.19,14.0,13.94
1998-06-11,13.94,103800.0,14.06,13.94,13.94
1998-06-12,13.88,173800.0,14.0,13.81,13.75
1998-06-15,13.81,101700.0,13.88,13.81,13.75
