date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,50.44,82100.0,50.44,49.56,49.38
1998-01-05,49.69,15300.0,49.69,49.25,49.13
1998-01-06,49.19,18900.0,49.19,49.06,48.94
1998-01-07,49.06,263300.0,49.13,49.06,49.0
1998-01-08,49.19,42400.0,49.19,48.94,48.81
1998-01-09,49.0,32900.0,49.0,48.63,48.38
1998-01-12,48.44,207600.0,49.38,49.0,48.44
1998-01-13,49.06,39600.0,50.0,49.94,49.06
1998-01-14,50.19,113200.0,50.31,49.5,49.5
1998-01-15,49.75,96300.0,49.75,48.38,48.25
1998-01-16,48.5,61300.0,48.5,48.19,48.13
1998-01-20,48.19,62500.0,48.25,48.25,47.88
1998-01-21,48.25,81700.0,48.25,47.81,47.44
1998-01-22,48.0,57800.0,48.0,47.38,47.06
1998-01-23,47.38,211400.0,48.0,47.44,45.75
1998-01-26,47.56,44500.0,48.13,46.88,46.88
1998-01-27,47.0,42300.0,47.38,46.19,46.06
1998-01-28,46.44,35600.0,46.75,46.56,46.44
1998-01-29,46.44,46700.0,47.0,46.56,46.44
1998-01-30,46.56,73200.0,46.69,46.63,46.44
1998-02-02,46.88,90700.0,47.13,47.06,46.69
1998-02-03,47.0,104800.0,48.0,47.75,46.88
1998-02-04,47.69,55100.0,48.19,48.19,47.31
1998-02-05,48.31,30900.0,48.56,48.19,48.06
1998-02-06,48.0,60200.0,48.13,48.06,47.88
1998-02-09,48.06,32300.0,48.44,48.44,47.81
1998-02-10,48.44,29200.0,49.13,49.13,48.44
1998-02-11,49.56,54500.0,50.0,49.94,49.56
1998-02-12,49.88,25100.0,49.88,48.81,48.81
1998-02-13,48.81,115900.0,49.44,49.44,48.75
1998-02-17,49.94,21100.0,50.5,50.44,49.94
1998-02-18,50.31,120100.0,51.44,51.38,50.31
1998-02-19,51.13,120800.0,51.69,51.5,51.13
1998-02-20,51.5,88000.0,51.94,51.88,51.38
1998-02-23,51.88,87400.0,51.88,51.06,50.69
1998-02-24,50.94,35300.0,50.94,50.56,50.56
1998-02-25,50.56,42500.0,50.81,50.56,50.38
1998-02-26,50.69,194200.0,51.75,51.5,50.63
1998-02-27,51.5,68300.0,52.25,52.25,51.5
1998-03-02,52.19,108500.0,53.63,53.5,52.19
1998-03-03,53.5,107000.0,54.63,54.56,53.5
1998-03-04,54.44,169100.0,54.81,53.94,53.5
1998-03-05,53.88,91500.0,53.88,53.38,52.88
1998-03-06,53.5,93400.0,54.75,54.75,53.5
1998-03-09,54.75,75800.0,55.5,55.5,54.75
1998-03-10,55.38,36800.0,55.88,55.56,55.25
1998-03-11,55.56,138500.0,56.38,56.13,54.5
1998-03-12,55.94,68300.0,56.69,56.69,55.63
1998-03-13,56.81,85600.0,56.94,56.06,55.63
1998-03-16,56.25,31200.0,57.0,56.81,56.19
1998-03-17,56.81,41000.0,57.38,57.38,56.81
1998-03-18,57.38,39300.0,57.38,57.13,57.06
1998-03-19,57.13,160100.0,58.25,58.13,57.13
1998-03-20,58.0,66200.0,58.5,58.0,58.0
1998-03-23,57.75,61100.0,57.75,56.56,56.5
1998-03-24,56.63,127300.0,57.88,57.63,56.63
1998-03-25,57.69,71100.0,57.69,57.25,57.06
1998-03-26,57.25,69500.0,57.44,57.25,57.0
1998-03-27,57.06,18700.0,57.31,57.31,57.0
1998-03-30,57.25,62200.0,57.38,57.19,56.94
1998-03-31,57.44,82700.0,58.56,57.75,57.38
1998-04-01,57.88,37100.0,58.69,58.69,57.88
