date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,54.38,201100.0,54.63,54.19,53.5
1998-01-05,54.0,257600.0,54.0,52.94,52.69
1998-01-06,52.94,274100.0,53.0,52.38,52.0
1998-01-07,51.5,346800.0,52.5,52.5,51.38
1998-01-08,52.19,174600.0,52.25,51.94,51.56
1998-01-09,51.88,331100.0,52.25,49.63,49.19
1998-01-12,49.13,234000.0,50.63,50.56,49.13
1998-01-13,50.81,172300.0,51.0,51.0,50.38
1998-01-14,51.0,238500.0,51.5,51.5,50.88
1998-01-15,51.13,273400.0,51.63,51.0,51.0
1998-01-16,50.75,318800.0,51.19,51.13,50.5
1998-01-20,51.0,310000.0,52.13,52.0,50.63
1998-01-21,51.75,317600.0,51.94,51.0,50.56
1998-01-22,50.5,335700.0,50.88,49.75,49.44
1998-01-23,49.5,452600.0,49.63,49.0,48.25
1998-01-26,49.0,273900.0,49.88,49.0,48.5
1998-01-27,48.63,596200.0,49.44,48.13,48.0
1998-01-28,48.25,288800.0,49.5,49.0,48.25
1998-01-29,49.06,315100.0,49.5,48.94,48.75
1998-01-30,49.0,415600.0,49.0,48.63,48.44
1998-02-02,48.75,486300.0,49.94,49.88,48.5
1998-02-03,50.5,344000.0,51.13,51.0,49.94
1998-02-04,50.75,305800.0,51.0,50.38,50.13
1998-02-05,50.13,431500.0,50.19,49.63,48.31
1998-02-06,49.63,463300.0,50.38,49.94,49.5
1998-02-09,50.0,599200.0,50.0,49.31,49.0
1998-02-10,49.5,1227800.0,50.38,49.5,49.38
1998-02-11,50.0,942700.0,50.75,50.13,49.63
1998-02-12,49.88,665000.0,50.25,49.88,49.81
1998-02-13,50.13,609000.0,51.94,50.63,50.06
1998-02-17,50.75,253100.0,51.75,50.75,50.56
1998-02-18,50.75,304300.0,51.38,51.06,50.63
1998-02-19,51.0,436600.0,51.31,50.69,50.25
1998-02-20,50.94,454000.0,50.94,50.81,49.88
1998-02-23,51.06,615800.0,51.06,50.5,50.25
1998-02-24,51.88,789000.0,51.88,50.13,50.0
1998-02-25,50.38,796400.0,51.5,50.88,50.38
1998-02-26,50.88,327700.0,51.19,50.94,50.25
1998-02-27,50.94,752200.0,51.69,51.44,50.88
1998-03-02,51.5,739300.0,51.75,51.75,51.38
1998-03-03,51.63,935300.0,51.75,51.5,51.25
1998-03-04,51.5,501300.0,51.56,51.5,51.0
1998-03-05,51.13,319500.0,51.38,51.19,51.06
1998-03-06,51.44,288200.0,51.69,51.63,51.38
1998-03-09,51.69,237900.0,51.88,51.75,51.5
1998-03-10,51.63,252800.0,52.5,52.38,51.31
1998-03-11,52.75,348600.0,52.75,52.13,51.69
1998-03-12,52.13,377700.0,52.56,52.25,51.5
1998-03-13,52.5,353600.0,52.94,52.56,52.25
1998-03-16,52.94,318000.0,54.13,54.0,52.88
1998-03-17,54.0,346500.0,54.63,54.56,53.56
1998-03-18,54.44,318600.0,54.81,54.5,54.0
1998-03-19,54.63,364100.0,54.75,54.25,54.19
1998-03-20,54.5,297200.0,54.5,53.81,53.75
1998-03-23,53.56,241100.0,54.0,53.63,53.5
1998-03-24,53.81,159200.0,54.06,54.06,53.44
1998-03-25,54.06,638100.0,55.56,55.25,54.06
1998-03-26,55.0,275500.0,55.25,55.0,54.81
1998-03-27,55.38,365900.0,55.44,55.0,54.63
1998-03-30,55.25,279600.0,55.38,55.0,54.63
1998-03-31,55.38,365900.0,55.38,55.19,54.88
1998-04-01,55.38,298200.0,55.44,55.25,55.0
1998-04-02,55.5,183500.0,56.31,56.19,55.5
1998-04-03,56.44,224200.0,57.69,56.69,56.19
1998-04-06,56.94,281000.0,57.13,55.75,55.63
1998-04-07,55.75,281500.0,56.13,55.13,54.94
1998-04-08,55.06,173000.0,55.38,55.13,55.0
1998-04-09,55.25,176700.0,55.88,55.5,55.06
1998-04-13,55.5,422700.0,55.5,54.69,54.0
1998-04-14,55.13,239300.0,55.13,54.88,54.0
1998-04-15,54.63,203800.0,55.94,55.63,53.75
1998-04-16,55.63,159000.0,55.63,54.31,54.19
1998-04-17,54.38,155800.0,54.94,54.94,53.88
1998-04-20,54.94,157600.0,54.94,53.88,53.75
1998-04-21,54.0,307400.0,54.31,53.81,53.75
1998-04-22,54.06,591700.0,54.44,53.88,53.63
1998-04-23,54.75,992700.0,54.94,53.88,53.88
1998-04-24,54.13,445300.0,54.38,52.94,52.88
1998-04-27,53.19,544000.0,53.19,52.06,51.88
1998-04-28,52.13,678600.0,52.13,51.94,51.5
1998-04-29,52.06,794400.0,53.13,52.88,52.0
1998-04-30,52.94,352000.0,54.25,53.75,52.88
1998-05-01,53.81,200900.0,54.25,53.88,53.69
1998-05-04,55.0,619100.0,55.88,55.38,54.56
1998-05-05,55.5,485900.0,56.19,55.94,54.88
1998-05-06,55.94,452400.0,56.06,56.06,55.38
1998-05-07,56.06,617500.0,57.38,57.0,56.06
1998-05-08,56.88,577800.0,59.25,59.06,56.88
1998-05-11,59.06,993800.0,59.63,57.88,57.69
1998-05-12,57.88,235500.0,58.25,57.5,57.13
1998-05-13,56.75,360200.0,58.06,58.0,56.63
1998-05-14,58.0,171700.0,58.0,57.0,56.75
1998-05-15,57.13,190600.0,57.31,56.56,56.5
1998-05-18,56.69,331600.0,56.75,55.75,55.63
1998-05-19,55.75,385300.0,56.25,56.0,55.38
1998-05-20,56.0,283200.0,56.06,56.0,55.56
1998-05-21,56.0,295100.0,56.56,55.94,55.81
1998-05-22,55.75,228800.0,57.0,56.94,55.31
1998-05-26,57.13,238800.0,57.25,55.25,55.19
1998-05-27,55.0,132700.0,55.63,55.19,54.0
1998-05-28,55.38,144500.0,55.88,55.44,54.63
1998-05-29,56.0,226000.0,56.5,55.56,55.25
1998-06-01,55.56,237800.0,56.25,56.0,55.38
1998-06-02,55.88,257100.0,55.94,55.0,54.88
1998-06-03,55.13,230100.0,55.25,54.25,54.25
1998-06-04,54.25,236800.0,55.0,55.0,53.94
1998-06-05,55.0,272300.0,55.13,55.0,54.75
1998-06-08,55.0,363500.0,55.5,54.81,54.69
1998-06-09,54.81,196000.0,55.0,54.69,54.44
1998-06-10,54.5,283900.0,56.69,56.0,54.5
1998-06-11,55.88,265900.0,56.5,56.06,55.44
1998-06-12,56.19,124500.0,56.19,55.56,55.0
1998-06-15,55.31,175700.0,55.81,54.75,54.75
1998-06-16,55.0,259300.0,55.25,55.0,54.75
1998-06-17,55.0,297400.0,55.81,54.88,54.56
1998-06-18,55.13,153100.0,55.13,54.88,54.5
1998-06-19,54.0,253200.0,54.38,54.31,53.88
1998-06-22,54.38,151300.0,55.13,54.56,54.38
1998-06-23,54.81,121600.0,55.75,55.13,54.75
1998-06-24,55.0,272800.0,57.31,57.25,54.44
1998-06-25,57.5,158000.0,57.63,56.38,56.0
1998-06-26,56.75,234500.0,57.13,56.5,56.06
1998-06-29,56.63,529600.0,56.63,55.44,55.13
1998-06-30,55.31,905300.0,55.5,55.5,53.63
1998-07-01,55.5,375600.0,56.0,55.63,55.13
1998-07-02,55.38,170400.0,56.38,56.25,54.88
1998-07-06,56.5,236000.0,57.75,57.5,56.5
1998-07-07,57.5,376200.0,58.25,58.19,57.0
1998-07-08,58.25,178200.0,58.56,58.56,57.75
1998-07-09,58.13,266800.0,58.75,58.56,57.25
1998-07-10,58.44,447900.0,59.38,59.0,58.44
1998-07-13,58.94,175900.0,59.19,58.81,58.69
1998-07-14,59.0,296800.0,59.38,59.13,58.81
1998-07-15,59.0,172400.0,59.31,58.75,58.69
1998-07-16,58.69,80600.0,59.13,59.13,58.31
1998-07-17,58.75,74900.0,59.0,58.94,58.25
1998-07-20,58.25,135800.0,58.5,57.5,57.38
1998-07-21,57.63,444900.0,57.63,56.0,55.88
1998-07-22,56.0,425800.0,56.06,56.0,55.56
1998-07-23,53.88,3027500.0,53.94,52.5,51.75
1998-07-24,52.63,1144400.0,53.0,52.69,52.0
1998-07-27,52.75,744500.0,53.75,53.31,52.75
1998-07-28,53.0,771600.0,53.0,51.5,51.0
1998-07-29,51.25,512400.0,53.06,52.75,51.25
1998-07-30,52.75,1072300.0,53.94,53.44,52.75
1998-07-31,53.69,797200.0,54.13,52.69,52.31
1998-08-03,52.56,252300.0,53.0,52.63,51.81
1998-08-04,52.81,458200.0,52.94,51.44,51.25
1998-08-05,51.38,581500.0,52.38,51.94,51.19
1998-08-06,51.69,350300.0,52.0,51.5,51.13
1998-08-07,51.38,409400.0,52.13,51.69,50.81
1998-08-10,51.63,208600.0,51.63,50.5,50.38
1998-08-11,50.0,586000.0,50.06,48.44,48.19
1998-08-12,50.0,792000.0,50.06,49.31,48.19
1998-08-13,49.69,372200.0,50.0,48.94,48.5
1998-08-14,49.19,798700.0,49.38,47.0,46.88
1998-08-17,47.0,578200.0,48.38,47.5,47.0
1998-08-18,47.88,987900.0,49.13,48.56,47.88
1998-08-19,48.81,533200.0,49.44,49.0,48.38
1998-08-20,49.25,480500.0,49.38,48.75,48.63
1998-08-21,48.5,756000.0,49.0,48.0,48.0
1998-08-24,48.13,224600.0,48.56,48.44,48.06
1998-08-25,48.69,258400.0,49.25,47.63,47.31
1998-08-26,46.75,630000.0,48.0,47.5,46.38
1998-08-27,47.13,542600.0,47.5,46.75,46.13
1998-08-28,47.25,658000.0,47.63,46.81,46.75
1998-08-31,46.81,493300.0,46.94,44.0,44.0
1998-09-01,44.25,541400.0,46.0,45.06,44.25
1998-09-02,45.31,239300.0,46.38,45.56,45.0
1998-09-03,45.31,406600.0,45.5,45.31,44.75
