date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,73.31,472600.0,74.0,73.13,71.81
1998-01-05,73.38,720500.0,74.13,73.06,72.75
1998-01-06,72.75,580500.0,73.0,72.25,72.06
1998-01-07,71.0,779200.0,72.0,72.0,70.56
1998-01-08,72.0,577900.0,72.25,71.38,71.0
1998-01-09,70.88,839400.0,70.88,68.5,67.69
1998-01-12,68.0,1810000.0,69.81,69.69,67.0
1998-01-13,69.69,780000.0,71.19,70.94,69.63
1998-01-14,70.94,642900.0,72.5,72.38,70.81
1998-01-15,72.13,597600.0,72.13,70.88,70.75
1998-01-16,71.38,746900.0,71.81,71.25,70.75
1998-01-20,71.31,899500.0,71.69,71.38,70.25
1998-01-21,71.0,379800.0,72.25,71.63,71.0
1998-01-22,72.25,1639200.0,76.63,74.63,72.25
1998-01-23,75.5,1507100.0,75.75,74.69,74.13
1998-01-26,75.5,1479400.0,78.63,78.31,74.88
1998-01-27,78.25,998000.0,79.44,78.94,77.75
1998-01-28,79.5,1074900.0,81.31,81.31,79.13
1998-01-29,80.38,1202200.0,82.88,82.63,80.38
1998-01-30,82.88,962500.0,82.88,81.25,80.5
1998-02-02,82.75,1061200.0,84.63,84.5,82.75
1998-02-03,84.0,908600.0,85.5,85.31,83.0
1998-02-04,84.75,618000.0,84.75,84.63,83.88
1998-02-05,84.69,458200.0,85.06,84.63,83.38
1998-02-06,84.0,695700.0,85.0,84.81,83.88
1998-02-09,84.88,475300.0,84.94,84.38,84.13
1998-02-10,85.0,1114000.0,88.0,87.0,84.5
1998-02-11,87.06,571300.0,87.38,86.44,86.06
1998-02-12,86.0,440500.0,88.0,87.25,85.38
1998-02-13,87.0,444600.0,87.25,85.88,85.0
1998-02-17,86.38,518500.0,87.44,86.56,86.13
1998-02-18,86.75,643700.0,87.5,86.25,85.69
1998-02-19,86.0,469000.0,86.06,85.44,84.75
1998-02-20,85.38,570400.0,86.38,86.19,84.75
1998-02-23,86.06,315800.0,86.88,85.81,84.94
1998-02-24,85.63,311600.0,85.88,84.81,84.38
1998-02-25,85.25,759600.0,88.0,87.5,85.19
1998-02-26,88.5,1036700.0,90.0,89.94,88.0
1998-02-27,89.94,609900.0,89.94,89.31,88.0
1998-03-02,89.0,1147100.0,90.69,90.13,88.44
1998-03-03,90.0,923600.0,90.63,90.19,89.5
1998-03-04,90.38,532600.0,90.38,89.25,88.94
1998-03-05,88.38,513500.0,88.88,88.75,87.63
1998-03-06,88.94,605400.0,90.06,89.88,88.69
