date,1. open,5. volume,2. high,4. close,3. low
2002-03-21,27.0,0.0,27.0,27.0,27.0
2002-03-22,26.75,3687300.0,26.75,26.15,25.93
2002-03-25,26.05,619100.0,26.25,26.15,26.0
2002-03-26,26.15,383700.0,26.85,26.84,26.15
2002-03-27,26.95,1160700.0,27.75,27.25,26.8
2002-03-28,27.0,508200.0,27.4,27.39,26.75
2002-04-01,27.4,227300.0,27.48,27.25,26.75
2002-04-02,27.25,345400.0,27.49,27.0,27.0
2002-04-03,27.0,702500.0,27.05,26.6,26.06
2002-04-04,26.5,190400.0,27.2,27.2,26.5
2002-04-05,27.1,461100.0,27.95,27.71,27.05
2002-04-08,27.2,368200.0,27.65,27.6,27.18
2002-04-09,28.0,242100.0,28.0,27.9,27.6
2002-04-10,27.9,252300.0,28.32,28.31,27.7
2002-04-11,28.4,485100.0,28.4,28.23,28.0
2002-04-12,28.0,442400.0,28.4,28.3,27.85
2002-04-15,28.4,183200.0,28.45,28.1,28.0
2002-04-16,28.0,333200.0,28.5,28.46,28.0
2002-04-17,28.46,308700.0,28.46,28.33,28.3
2002-04-18,28.4,312600.0,28.4,27.85,27.68
2002-04-19,27.95,294300.0,27.95,27.6,27.5
2002-04-22,27.75,743500.0,28.45,28.3,27.6
2002-04-23,28.3,1032200.0,28.3,28.16,28.1
2002-04-24,28.1,583200.0,28.37,28.0,28.0
2002-04-25,27.9,269900.0,27.9,27.35,27.2
2002-04-26,27.34,666200.0,27.34,27.25,27.05
2002-04-29,27.1,316900.0,27.4,27.25,27.1
2002-04-30,27.2,384700.0,27.39,27.29,27.1
2002-05-01,27.2,458800.0,27.75,27.75,27.15
2002-05-02,27.75,593500.0,27.75,27.0,27.0
2002-05-03,27.0,474200.0,27.3,27.0,27.0
2002-05-06,27.0,407100.0,27.7,27.5,27.0
2002-05-07,27.6,908800.0,27.6,27.17,27.13
2002-05-08,27.25,312300.0,27.7,27.6,27.25
2002-05-09,27.7,248200.0,27.88,27.35,27.35
2002-05-10,27.4,525900.0,27.65,27.65,27.3
2002-05-13,27.6,70400.0,27.8,27.8,27.52
2002-05-14,27.62,266900.0,28.1,27.85,27.5
2002-05-15,27.6,237200.0,27.89,27.8,27.46
2002-05-16,27.8,245600.0,27.9,27.66,27.52
2002-05-17,27.7,326100.0,27.7,27.55,27.5
2002-05-20,27.4,179300.0,27.65,27.61,27.2
2002-05-21,27.7,434400.0,28.15,28.11,27.65
2002-05-22,28.11,490900.0,28.13,28.1,28.0
2002-05-23,27.99,262600.0,28.31,28.31,27.9
2002-05-24,28.31,60500.0,28.31,28.25,28.1
2002-05-28,28.31,395100.0,28.75,28.75,28.31
2002-05-29,28.7,1049200.0,30.4,29.99,28.7
2002-05-30,29.6,530400.0,29.65,29.5,29.2
2002-05-31,29.55,353200.0,30.15,30.0,29.55
2002-06-03,30.0,175300.0,30.3,30.0,29.85
2002-06-04,30.0,580500.0,30.0,29.76,29.71
2002-06-05,29.8,161900.0,29.85,29.75,29.5
2002-06-06,29.7,2187000.0,29.7,29.02,29.0
2002-06-07,28.2,586600.0,29.35,29.16,28.2
2002-06-10,29.41,126600.0,29.41,29.02,28.95
2002-06-11,29.25,1063200.0,29.35,28.63,28.55
2002-06-12,28.6,1232400.0,28.7,28.2,27.75
2002-06-13,27.85,710800.0,28.18,28.15,27.8
2002-06-14,27.75,336100.0,28.35,28.21,27.75
2002-06-17,28.3,408000.0,28.57,28.5,28.19
2002-06-18,28.5,585500.0,28.6,28.11,27.95
2002-06-19,28.1,254700.0,28.24,28.07,27.99
2002-06-20,28.0,491900.0,28.0,27.27,27.0
2002-06-21,27.17,686100.0,27.21,26.35,26.15
2002-06-24,26.15,623400.0,26.15,25.68,25.6
2002-06-25,25.5,745900.0,26.2,25.99,25.5
2002-06-26,25.9,446200.0,25.97,25.73,25.5
2002-06-27,25.7,501700.0,27.8,27.54,25.7
2002-06-28,27.5,215400.0,28.1,27.67,27.4
2002-07-01,27.6,192300.0,27.6,27.16,27.1
2002-07-02,26.95,337700.0,27.12,27.02,26.7
2002-07-03,27.1,284300.0,27.66,27.55,27.1
2002-07-05,27.3,39700.0,27.45,27.35,27.15
2002-07-08,27.1,58000.0,27.48,27.0,27.0
2002-07-09,27.05,211200.0,27.55,27.3,27.05
2002-07-10,27.25,38400.0,27.25,27.02,27.0
2002-07-11,26.82,249900.0,27.11,27.05,26.75
2002-07-12,27.0,474300.0,27.4,27.11,26.8
2002-07-15,27.11,605000.0,27.2,27.19,26.85
2002-07-16,27.1,484600.0,27.65,27.52,27.1
2002-07-17,27.52,524000.0,27.52,27.1,27.0
2002-07-18,27.05,337700.0,27.1,27.0,27.0
2002-07-19,26.8,330500.0,26.8,26.65,26.5
2002-07-22,26.85,670100.0,26.91,26.25,26.25
2002-07-23,26.2,545300.0,26.25,26.0,25.82
2002-07-24,25.35,384500.0,25.46,25.2,25.19
2002-07-25,25.3,114100.0,25.3,24.9,24.7
2002-07-26,24.9,149600.0,24.95,24.1,24.05
2002-07-29,24.1,210600.0,24.1,22.83,22.5
2002-07-30,22.85,640200.0,23.73,23.6,22.15
2002-07-31,23.61,1424300.0,26.1,24.5,23.61
2002-08-01,24.7,597300.0,25.25,25.1,24.3
2002-08-02,25.5,340100.0,25.7,25.37,25.37
2002-08-05,25.4,297700.0,25.56,24.1,24.0
2002-08-06,24.1,159300.0,24.5,24.3,23.85
2002-08-07,24.7,126400.0,25.15,25.14,24.6
2002-08-08,26.3,309500.0,26.3,25.79,25.5
2002-08-09,25.8,241100.0,25.8,25.35,25.23
2002-08-12,25.15,108800.0,25.15,24.82,24.65
2002-08-13,24.4,90400.0,24.63,24.35,24.35
2002-08-14,24.36,285100.0,24.52,24.52,24.05
2002-08-15,24.7,69500.0,24.7,24.55,24.5
2002-08-16,24.56,267700.0,25.95,25.91,24.56
2002-08-19,25.91,205000.0,25.95,25.2,25.2
2002-08-20,25.2,60000.0,25.2,25.09,25.0
2002-08-21,25.25,244400.0,25.5,25.36,25.25
2002-08-22,25.31,257300.0,25.35,25.02,25.0
2002-08-23,24.95,93700.0,25.4,25.35,24.9
2002-08-26,25.35,57000.0,25.48,25.37,25.3
2002-08-27,25.4,122600.0,25.65,25.25,25.0
2002-08-28,25.2,41300.0,25.49,25.42,25.2
2002-08-29,25.14,84000.0,25.31,25.3,25.0
2002-08-30,25.21,107400.0,25.68,25.6,25.21
2002-09-03,24.45,76300.0,24.75,24.52,24.45
2002-09-04,24.6,90300.0,25.05,25.05,24.2
2002-09-05,24.65,90500.0,25.1,24.95,24.45
2002-09-06,24.95,30800.0,25.35,25.25,24.9
2002-09-09,25.25,198100.0,26.1,25.84,25.22
2002-09-10,25.9,140500.0,25.9,25.35,25.3
2002-09-11,25.75,61100.0,25.75,25.6,25.6
2002-09-12,25.61,76600.0,25.61,25.21,25.15
2002-09-13,25.21,21000.0,25.31,25.2,25.2
2002-09-16,25.15,101900.0,25.29,25.27,25.15
2002-09-17,25.3,91300.0,25.3,24.87,24.85
2002-09-18,24.8,295600.0,24.8,24.59,24.55
2002-09-19,24.59,302900.0,24.6,24.07,24.05
2002-09-20,23.75,551600.0,24.69,24.65,23.74
2002-09-23,24.15,423200.0,24.21,24.16,23.9
2002-09-24,24.05,539400.0,24.06,23.85,23.85
2002-09-25,23.9,129200.0,24.4,24.15,23.75
2002-09-26,24.1,465300.0,24.1,23.84,23.69
2002-09-27,23.35,179000.0,23.36,22.87,22.75
2002-09-30,22.2,328800.0,23.0,22.75,22.0
2002-10-01,22.85,315500.0,23.6,23.55,22.55
2002-10-02,23.3,370700.0,23.9,23.2,23.2
2002-10-03,23.1,312000.0,23.8,23.59,22.95
2002-10-04,23.75,122100.0,23.75,23.55,23.4
2002-10-07,23.0,162500.0,23.24,22.95,22.95
