date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,50.25,121000.0,50.31,50.0,49.63
1998-01-05,50.63,115200.0,51.56,51.19,50.56
1998-01-06,50.94,131200.0,51.25,50.38,50.0
1998-01-07,50.38,131600.0,50.38,49.5,48.94
1998-01-08,49.75,173000.0,50.19,49.19,49.0
1998-01-09,49.13,278400.0,49.13,47.5,47.38
1998-01-12,47.5,323800.0,48.63,48.5,47.5
1998-01-13,49.0,141200.0,49.88,49.56,48.56
1998-01-14,49.38,764800.0,49.94,49.81,49.25
1998-01-15,49.69,94200.0,49.75,48.69,48.44
1998-01-16,48.94,82200.0,50.0,49.81,48.94
1998-01-20,50.0,137800.0,50.13,49.13,49.06
1998-01-21,49.0,223000.0,49.0,47.94,47.25
1998-01-22,48.0,599200.0,49.19,48.69,48.0
1998-01-23,48.69,188800.0,48.69,48.06,48.0
1998-01-26,48.13,97800.0,48.13,47.81,47.56
1998-01-27,47.63,276200.0,49.5,49.5,47.63
1998-01-28,50.25,323400.0,50.81,50.75,49.81
1998-01-29,50.13,149400.0,51.5,51.31,50.13
1998-01-30,51.31,173600.0,51.31,51.0,50.75
1998-02-02,50.75,98200.0,52.88,52.38,50.75
1998-02-03,52.38,243200.0,53.5,53.38,52.38
1998-02-04,53.25,159800.0,53.88,53.88,53.25
1998-02-05,54.31,368800.0,54.88,54.19,54.13
1998-02-06,54.13,78400.0,54.38,53.69,53.5
1998-02-09,53.19,93600.0,53.69,53.19,53.06
1998-02-10,53.38,171000.0,54.63,54.5,53.31
1998-02-11,54.25,34200.0,54.25,53.63,53.63
1998-02-12,53.63,178000.0,54.25,54.25,53.5
1998-02-13,54.0,39600.0,54.16,54.13,53.81
1998-02-17,54.25,108600.0,54.94,54.25,54.19
1998-02-18,54.5,56800.0,54.88,54.75,54.25
1998-02-19,54.75,181600.0,56.0,55.31,54.75
1998-02-20,55.44,278800.0,55.94,55.63,55.38
1998-02-23,55.63,219200.0,56.5,56.0,55.63
1998-02-24,56.0,224800.0,56.19,55.75,55.75
1998-02-25,55.75,218400.0,57.31,57.31,55.75
1998-02-26,57.25,76200.0,57.81,57.69,57.25
1998-02-27,57.69,208400.0,58.25,58.0,57.69
1998-03-02,57.88,192400.0,58.13,58.06,57.81
1998-03-03,58.0,168800.0,58.38,57.81,57.81
1998-03-04,57.5,64200.0,57.5,56.88,56.88
1998-03-05,55.75,123000.0,56.38,55.69,55.56
1998-03-06,55.88,94200.0,56.69,56.63,55.63
1998-03-09,56.5,30400.0,57.0,55.88,55.88
1998-03-10,55.63,122800.0,56.31,56.06,55.63
1998-03-11,55.5,120000.0,56.0,55.88,55.38
1998-03-12,56.13,75800.0,56.75,56.0,55.88
1998-03-13,56.25,143000.0,56.44,55.56,55.56
1998-03-16,55.63,91400.0,55.63,55.5,55.38
1998-03-17,55.38,220800.0,55.56,55.0,54.5
1998-03-18,54.5,180000.0,54.94,54.75,54.38
1998-03-19,54.63,369600.0,55.25,55.19,54.63
1998-03-20,56.0,160000.0,56.0,55.0,55.0
1998-03-23,54.75,61400.0,54.75,54.56,54.13
1998-03-24,54.38,80200.0,55.19,55.19,54.38
1998-03-25,55.75,175600.0,56.75,56.0,55.69
1998-03-26,56.0,90600.0,56.0,55.38,55.0
1998-03-27,55.13,110800.0,55.56,55.5,54.81
1998-03-30,54.13,403200.0,54.5,54.25,53.0
