date,1. open,5. volume,2. high,4. close,3. low
2005-12-05,34.45,905200.0,35.2,34.48,34.25
2005-12-06,34.66,850400.0,34.97,34.83,34.46
2005-12-07,34.75,870900.0,35.1,35.03,34.75
2005-12-08,34.83,965300.0,34.89,34.48,34.24
2005-12-09,34.66,908500.0,34.73,34.41,33.72
2005-12-12,34.4,752200.0,35.06,34.65,34.4
2005-12-13,34.58,143700.0,34.97,34.8,34.5
2005-12-14,34.9,164300.0,35.0,34.58,34.53
2005-12-15,34.4,180400.0,34.47,33.95,33.9
2005-12-16,34.15,147000.0,34.24,34.03,33.84
2005-12-19,34.03,276300.0,34.05,33.76,33.66
2005-12-20,33.6,760000.0,33.74,33.35,33.19
2005-12-21,33.32,401500.0,33.73,33.37,33.2
2005-12-22,33.4,388000.0,33.5,33.23,33.03
2005-12-23,33.23,625900.0,33.35,33.34,33.15
2005-12-27,32.0,491600.0,33.47,32.81,30.92
2005-12-28,32.81,908400.0,32.95,32.5,32.47
2005-12-29,32.5,660100.0,32.75,32.35,32.35
2005-12-30,32.15,3564700.0,33.0,32.6,32.15
2006-01-03,41.12,6392100.0,42.1,41.59,38.65
2006-01-04,41.78,6084400.0,42.2,41.98,41.68
2006-01-05,41.87,5540600.0,42.42,42.25,41.75
2006-01-06,42.4,5627600.0,42.95,42.65,42.34
2006-01-09,42.67,5130600.0,42.84,42.5,42.39
2006-01-10,42.25,4909000.0,42.51,42.4,41.53
2006-01-11,42.35,5048000.0,42.4,41.81,41.64
2006-01-12,42.58,6165400.0,42.58,41.65,41.13
2006-01-13,41.58,4719200.0,42.26,42.18,41.46
2006-01-17,41.86,4465500.0,42.15,41.7,41.61
2006-01-18,41.7,3201100.0,41.88,41.81,41.12
2006-01-19,41.95,3559200.0,42.9,42.77,41.83
2006-01-20,42.7,3967100.0,42.72,42.45,42.41
2006-01-23,42.45,3843000.0,43.23,43.15,42.27
2006-01-24,43.22,3727800.0,43.55,43.46,43.03
2006-01-25,43.48,3816900.0,43.8,43.28,43.09
2006-01-26,43.5,2461200.0,43.85,43.1,42.83
2006-01-27,43.1,2552500.0,43.59,43.29,42.79
2006-01-30,43.27,2645800.0,43.34,42.55,42.43
2006-01-31,42.55,3835300.0,42.57,41.48,41.43
2006-02-01,41.4,3465900.0,42.15,42.09,41.32
2006-02-02,42.17,2738300.0,42.33,41.77,41.41
2006-02-03,41.52,2974500.0,42.08,41.99,41.52
2006-02-06,41.99,2461600.0,42.24,41.88,41.86
2006-02-07,41.95,3277500.0,42.36,41.85,41.84
2006-02-08,41.8,2953400.0,42.51,42.5,41.41
2006-02-09,42.38,2518600.0,42.89,42.85,42.2
2006-02-10,42.85,2515300.0,43.1,42.95,42.62
2006-02-13,42.85,1838000.0,42.89,42.77,42.51
2006-02-14,42.77,2202300.0,43.44,43.19,42.51
2006-02-15,43.0,1790800.0,43.5,43.4,42.8
2006-02-16,43.5,2503300.0,43.9,43.6,43.01
2006-02-17,43.61,2299800.0,43.68,42.92,42.9
2006-02-21,42.8,1950200.0,42.8,42.42,42.22
2006-02-22,42.45,2962000.0,42.47,41.9,41.52
2006-02-23,41.35,5608400.0,41.845,40.96,40.47
2006-02-24,40.75,5639000.0,40.76,40.16,39.87
2006-02-27,40.17,3749200.0,40.49,40.16,39.97
2006-02-28,40.15,4406900.0,40.24,39.96,39.8
2006-03-01,40.0,3132700.0,40.93,40.93,39.9
2006-03-02,40.58,4475600.0,40.6,39.98,39.8
2006-03-03,39.7,3727200.0,39.98,39.79,39.673
2006-03-06,39.79,5281300.0,39.97,38.63,38.55
2006-03-07,38.51,5802100.0,38.51,38.06,37.84
2006-03-08,37.95,4306400.0,38.32,38.05,37.67
2006-03-09,38.0,3898800.0,38.39,38.28,37.73
2006-03-10,38.3,3227500.0,38.95,38.85,38.2
2006-03-13,38.82,2463300.0,38.94,38.8,38.6
2006-03-14,38.7,1755400.0,39.2,39.0,38.7
2006-03-15,38.9,2182900.0,38.97,38.86,38.59
