date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,31.63,174475.0,31.63,31.31,31.25
1998-01-05,31.13,202825.0,31.56,31.31,31.06
1998-01-06,31.25,217375.0,31.25,30.25,30.25
1998-01-07,30.31,138700.0,30.31,30.0,29.88
1998-01-08,29.94,237375.0,30.63,30.0,29.94
1998-01-09,30.0,368775.0,30.0,28.75,28.5
1998-01-12,28.0,429700.0,28.5,27.69,27.56
1998-01-13,27.56,417450.0,28.31,28.13,27.56
1998-01-14,28.38,284975.0,28.63,28.31,28.25
1998-01-15,28.38,255325.0,29.25,28.38,28.38
1998-01-16,28.56,314400.0,28.69,28.13,28.13
1998-01-20,28.13,307300.0,29.0,28.88,28.06
1998-01-21,28.75,524125.0,31.25,31.0,28.75
1998-01-22,30.88,324350.0,30.88,30.75,30.13
1998-01-23,30.75,271950.0,30.75,29.5,29.5
1998-01-26,29.75,236175.0,30.75,30.63,29.75
1998-01-27,30.63,308825.0,31.0,31.0,30.44
1998-01-28,30.88,260250.0,31.75,31.75,30.75
1998-01-29,31.5,249650.0,31.94,31.38,31.38
1998-01-30,31.75,215500.0,31.75,31.56,31.56
1998-02-02,31.75,266475.0,31.88,31.81,31.63
1998-02-03,32.38,366250.0,32.5,32.5,32.0
1998-02-04,32.25,131050.0,32.31,32.31,32.13
1998-02-05,32.56,229825.0,33.5,33.06,32.44
1998-02-06,33.0,129725.0,33.25,33.0,33.0
1998-02-09,33.0,142750.0,33.31,33.25,33.0
1998-02-10,33.38,231050.0,34.13,33.88,33.38
1998-02-11,33.81,292200.0,33.88,33.81,33.5
1998-02-12,33.81,125800.0,34.13,34.13,33.81
1998-02-13,34.06,157300.0,34.38,34.0,33.94
1998-02-17,33.75,110925.0,33.88,33.13,33.13
1998-02-18,33.13,120875.0,34.19,34.19,33.13
1998-02-19,33.94,362200.0,34.94,34.75,33.94
1998-02-20,34.75,226325.0,35.06,35.06,34.75
1998-02-23,35.06,334325.0,35.25,35.06,34.75
1998-02-24,35.06,244375.0,35.19,35.06,35.0
1998-02-25,35.13,154450.0,35.31,35.25,35.0
1998-02-26,35.31,230825.0,36.06,36.0,35.31
1998-02-27,36.0,155775.0,36.0,35.5,35.5
1998-03-02,35.75,110275.0,36.5,36.44,35.75
1998-03-03,36.19,405650.0,36.19,36.0,35.38
1998-03-04,35.63,126775.0,35.69,35.06,35.06
1998-03-05,34.75,182150.0,34.88,34.56,34.56
1998-03-06,34.5,436175.0,34.5,34.13,33.88
1998-03-09,34.25,58075.0,34.5,33.94,33.81
1998-03-10,34.25,106000.0,34.63,34.44,34.25
1998-03-11,34.5,158725.0,34.94,34.88,34.5
1998-03-12,34.88,103150.0,35.13,35.06,34.75
1998-03-13,35.0,99425.0,35.06,35.0,34.88
1998-03-16,35.0,71325.0,35.06,34.81,34.81
1998-03-17,34.38,304125.0,34.38,33.5,33.25
1998-03-18,33.5,200075.0,34.13,34.13,33.5
1998-03-19,34.06,119900.0,34.5,34.5,34.06
1998-03-20,34.75,96150.0,35.25,34.94,34.63
1998-03-23,35.13,264400.0,35.5,35.06,35.06
1998-03-24,35.0,281700.0,35.0,33.75,33.75
1998-03-25,33.88,307725.0,34.19,33.75,33.75
1998-03-26,33.88,234100.0,34.0,33.75,33.69
1998-03-27,34.0,209825.0,34.06,33.69,33.5
1998-03-30,33.75,140125.0,33.81,33.81,33.56
1998-03-31,33.63,194400.0,33.94,33.38,33.31
1998-04-01,33.63,303025.0,35.44,35.13,33.56
1998-04-02,35.13,298750.0,35.38,35.13,35.13
1998-04-03,35.13,115950.0,35.25,34.88,34.88
1998-04-06,34.75,195375.0,34.81,34.69,34.5
1998-04-07,34.63,213875.0,34.63,34.19,34.06
1998-04-08,34.19,528725.0,34.25,33.81,33.63
1998-04-09,34.0,253800.0,34.0,33.88,33.63
1998-04-13,33.88,155325.0,34.06,33.88,33.75
1998-04-14,34.0,525325.0,34.06,33.5,33.06
1998-04-15,33.38,267800.0,33.75,33.75,33.31
1998-04-16,33.69,214400.0,33.88,33.5,33.13
1998-04-17,33.5,461425.0,36.0,35.31,33.5
1998-04-20,35.19,123400.0,35.19,34.69,34.38
1998-04-21,34.69,132350.0,34.75,34.56,34.38
1998-04-22,34.56,79200.0,34.56,34.31,34.31
1998-04-23,34.25,118350.0,34.25,33.88,33.69
1998-04-24,33.88,121300.0,34.25,33.75,33.5
1998-04-27,33.63,263100.0,33.75,33.0,32.69
1998-04-28,33.0,146800.0,33.13,32.81,32.75
1998-04-29,32.88,339450.0,32.88,32.5,32.5
1998-04-30,32.56,637125.0,32.63,32.38,32.25
1998-05-01,32.25,452675.0,33.0,32.75,32.25
1998-05-04,32.69,151075.0,32.81,32.38,32.38
1998-05-05,32.75,942575.0,33.13,32.81,32.5
1998-05-06,33.0,301725.0,33.5,33.38,33.0
1998-05-07,33.13,282125.0,33.63,33.38,33.13
1998-05-08,33.38,190350.0,34.5,34.19,33.38
1998-05-11,34.19,129725.0,34.38,34.13,34.06
1998-05-12,34.25,260700.0,34.25,33.75,33.75
1998-05-13,33.81,65300.0,33.81,33.75,33.63
1998-05-14,33.75,66725.0,33.75,33.44,33.19
1998-05-15,33.38,383875.0,33.38,32.56,32.5
1998-05-18,32.5,207200.0,32.63,32.19,32.13
1998-05-19,32.19,142975.0,32.25,32.13,32.13
1998-05-20,32.13,204575.0,32.19,32.0,32.0
1998-05-21,32.13,1160600.0,33.88,33.88,32.06
1998-05-22,33.88,579475.0,34.31,34.0,33.75
1998-05-26,33.88,177000.0,33.88,33.38,33.06
1998-05-27,33.25,703325.0,33.25,32.19,32.0
1998-05-28,32.81,273700.0,32.94,32.75,32.38
1998-05-29,32.75,292200.0,32.94,32.63,32.56
1998-06-01,32.38,331250.0,32.75,32.25,32.25
1998-06-02,32.5,64100.0,32.88,32.44,32.44
1998-06-03,32.5,165500.0,33.0,32.94,32.5
1998-06-04,32.69,227325.0,34.19,34.19,32.69
1998-06-05,34.06,446875.0,35.31,35.0,34.0
1998-06-08,34.88,207850.0,34.88,34.69,34.38
1998-06-09,34.5,898275.0,34.5,33.0,32.44
1998-06-10,32.75,343625.0,33.13,32.56,32.5
1998-06-11,32.5,379175.0,32.56,31.56,31.56
1998-06-12,31.56,530575.0,32.06,31.81,31.56
1998-06-15,31.81,195475.0,31.81,31.38,31.31
1998-06-16,31.38,314300.0,32.31,32.19,31.38
1998-06-17,32.31,160475.0,32.44,32.0,32.0
1998-06-18,32.06,221200.0,32.06,31.81,31.63
1998-06-19,31.75,199975.0,31.88,31.75,31.63
1998-06-22,31.88,206425.0,32.06,31.75,31.69
1998-06-23,31.88,276325.0,32.06,31.81,31.81
1998-06-24,32.0,134325.0,32.38,32.06,31.75
1998-06-25,32.13,125350.0,32.19,31.88,31.75
1998-06-26,32.06,272950.0,32.44,32.38,31.88
1998-06-29,32.38,285200.0,33.0,32.88,32.38
1998-06-30,32.81,290775.0,33.44,33.25,32.75
1998-07-01,33.5,154575.0,33.81,33.38,33.38
1998-07-02,33.38,307175.0,33.38,32.88,32.88
1998-07-06,32.88,62575.0,32.88,32.56,32.56
1998-07-07,32.56,117275.0,32.63,32.0,31.94
1998-07-08,32.13,171525.0,32.13,31.5,31.38
1998-07-09,31.5,184000.0,31.5,31.13,31.0
1998-07-10,31.13,244825.0,31.13,30.31,30.31
1998-07-13,30.31,101850.0,30.56,30.25,30.25
1998-07-14,30.06,440875.0,30.06,29.69,29.13
1998-07-15,29.63,193400.0,30.0,29.44,29.38
1998-07-16,29.5,237275.0,29.5,29.0,28.94
1998-07-17,29.0,212000.0,29.13,28.69,28.63
1998-07-20,28.69,222725.0,28.69,27.06,27.06
1998-07-21,27.75,304675.0,27.75,26.5,26.25
1998-07-22,26.5,229400.0,26.94,26.88,26.0
1998-07-23,27.06,551800.0,27.31,27.25,26.0
1998-07-24,27.0,236300.0,27.0,26.44,26.38
1998-07-27,26.31,194175.0,26.31,25.31,25.25
1998-07-28,24.63,838975.0,25.06,24.0,24.0
1998-07-29,24.13,501050.0,24.38,24.06,24.0
1998-07-30,24.25,719500.0,24.56,24.25,24.06
1998-07-31,24.38,350625.0,24.38,23.94,23.88
1998-08-03,23.88,332775.0,24.25,24.0,23.81
1998-08-04,24.13,433875.0,24.13,23.13,23.13
1998-08-05,23.13,213875.0,23.13,22.13,22.13
1998-08-06,21.63,326650.0,22.63,22.5,21.63
1998-08-07,22.38,373700.0,22.81,22.5,22.06
1998-08-10,22.5,227425.0,22.69,22.69,22.06
1998-08-11,22.5,337150.0,22.63,22.44,22.0
1998-08-12,22.5,454550.0,22.63,22.44,22.0
1998-08-13,22.5,529375.0,22.5,21.0,20.19
1998-08-14,21.5,447325.0,22.0,21.38,21.25
1998-08-17,21.38,78100.0,21.69,21.56,21.38
1998-08-18,21.5,149525.0,22.0,21.44,21.31
1998-08-19,21.63,224150.0,22.63,22.63,21.63
1998-08-20,22.75,287500.0,23.81,23.81,22.56
1998-08-21,22.94,159275.0,23.0,22.25,21.88
1998-08-24,22.25,91325.0,22.25,21.31,21.19
1998-08-25,21.38,172175.0,21.81,21.69,21.31
1998-08-26,22.19,636800.0,22.19,21.31,21.13
1998-08-27,21.19,245700.0,21.19,20.19,20.13
1998-08-28,20.25,526850.0,20.38,18.56,18.56
1998-08-31,18.75,279400.0,19.0,17.88,17.88
1998-09-01,18.0,532775.0,18.38,18.25,17.63
1998-09-02,18.25,172625.0,19.0,18.63,18.25
1998-09-03,18.25,223600.0,19.56,19.56,18.25
1998-09-04,19.56,132025.0,19.63,19.31,19.13
1998-09-08,20.25,569075.0,20.25,20.0,19.88
1998-09-09,19.75,255425.0,19.94,19.44,19.44
1998-09-10,19.44,256750.0,19.44,19.0,19.0
1998-09-11,19.0,227200.0,19.81,19.81,19.0
1998-09-14,20.0,190675.0,20.5,20.44,20.0
1998-09-15,20.31,259150.0,20.5,20.5,19.81
1998-09-16,20.63,162225.0,21.13,20.81,20.63
1998-09-17,20.56,231250.0,20.63,20.56,20.13
1998-09-18,20.56,211350.0,20.88,20.75,20.5
1998-09-21,20.13,174150.0,20.31,20.13,20.13
1998-09-22,20.19,107425.0,20.19,19.94,19.88
1998-09-23,19.94,336275.0,21.88,21.88,19.88
1998-09-24,21.88,173275.0,21.88,20.81,20.69
1998-09-25,20.63,47475.0,21.5,20.81,20.56
1998-09-28,21.0,91775.0,22.0,21.44,20.81
1998-09-29,21.38,253250.0,21.44,20.13,20.13
1998-09-30,20.13,100200.0,20.13,19.88,19.88
1998-10-01,20.0,52400.0,20.19,19.75,19.63
1998-10-02,19.75,43425.0,19.75,19.75,19.44
1998-10-05,19.75,102175.0,19.75,19.0,18.94
1998-10-06,19.06,259825.0,19.5,19.44,19.0
1998-10-07,19.38,697850.0,19.44,19.19,19.06
1998-10-08,18.75,290550.0,18.88,18.81,18.63
1998-10-09,18.56,148550.0,19.13,18.94,18.56
1998-10-12,19.13,95825.0,19.5,19.44,19.13
