date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.56,39600.0,38.75,38.38,38.12
1998-01-05,38.38,226800.0,39.44,39.06,38.38
1998-01-06,39.0,119700.0,39.0,37.75,37.75
1998-01-07,37.75,89400.0,37.75,36.75,36.44
1998-01-08,36.69,78700.0,37.69,37.0,36.69
1998-01-09,36.75,169400.0,36.75,34.75,34.5
1998-01-12,33.0,218400.0,34.0,33.81,33.0
1998-01-13,33.94,95400.0,34.56,34.56,33.81
1998-01-14,36.69,141700.0,36.69,34.75,34.69
1998-01-15,34.81,189300.0,34.81,33.5,33.5
1998-01-16,33.69,101400.0,34.12,33.69,33.69
1998-01-20,33.25,178300.0,34.25,34.25,33.12
1998-01-21,34.25,335000.0,34.44,34.44,34.12
1998-01-22,34.12,347800.0,35.94,35.75,34.0
1998-01-23,35.75,112700.0,36.06,35.25,35.12
1998-01-26,35.0,126300.0,35.56,34.94,34.81
1998-01-27,34.69,58800.0,35.0,34.69,34.56
1998-01-28,34.62,59600.0,35.12,34.88,34.38
1998-01-29,34.38,40900.0,35.12,34.75,34.38
1998-01-30,35.0,141600.0,36.0,36.0,35.0
1998-02-02,36.75,353200.0,37.75,36.56,36.38
1998-02-03,36.69,162800.0,37.56,37.56,36.69
1998-02-04,37.19,94400.0,37.31,37.25,36.81
1998-02-05,37.25,129700.0,37.25,36.44,35.38
1998-02-06,36.38,59700.0,36.75,36.0,36.0
1998-02-09,36.19,106800.0,36.19,35.31,35.19
1998-02-10,35.56,85600.0,35.94,35.88,35.5
1998-02-11,35.94,335000.0,36.56,36.31,34.81
1998-02-12,36.88,401100.0,37.5,37.06,36.38
1998-02-13,37.06,59700.0,37.06,36.38,36.12
1998-02-17,36.62,136100.0,36.75,36.5,36.0
1998-02-18,36.5,95600.0,36.94,36.94,36.38
1998-02-19,37.0,323700.0,38.69,38.69,37.0
1998-02-20,39.12,192100.0,39.12,38.44,38.19
1998-02-23,38.38,142800.0,38.69,38.12,37.75
1998-02-24,38.12,135100.0,38.5,38.5,37.56
1998-02-25,39.12,662100.0,40.25,40.12,38.38
1998-02-26,40.06,985800.0,42.44,41.81,39.88
1998-02-27,42.25,843700.0,44.44,43.56,42.06
1998-03-02,43.31,428300.0,44.62,44.44,43.31
1998-03-03,44.44,260000.0,44.44,42.94,42.75
1998-03-04,42.81,248300.0,43.0,42.38,41.56
1998-03-05,42.31,387200.0,45.19,45.19,42.31
1998-03-06,45.19,477700.0,47.0,45.94,44.81
1998-03-09,46.19,223800.0,46.88,45.62,45.25
1998-03-10,45.12,142100.0,46.19,46.19,45.0
1998-03-11,46.5,191600.0,47.75,47.12,46.5
1998-03-12,47.31,179600.0,48.0,48.0,47.31
1998-03-13,47.75,188300.0,47.88,46.81,46.62
1998-03-16,46.88,165100.0,46.88,46.38,45.75
1998-03-17,46.31,95600.0,46.56,46.31,46.19
1998-03-18,46.31,122400.0,46.94,46.69,46.0
1998-03-19,46.81,197800.0,47.94,47.94,46.75
1998-03-20,48.25,244100.0,49.5,48.56,48.25
1998-03-23,48.5,223100.0,48.5,48.25,46.88
1998-03-24,48.0,229700.0,48.19,48.19,48.0
1998-03-25,48.19,184800.0,48.44,47.88,47.12
