date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,37.75,28300.0,37.81,37.56,37.5
1998-01-05,37.81,108800.0,38.19,36.56,36.56
1998-01-06,36.69,157800.0,40.0,39.25,36.5
1998-01-07,39.38,59000.0,39.5,38.06,38.0
1998-01-08,38.06,111100.0,41.5,41.19,38.06
1998-01-09,41.0,208300.0,41.06,40.19,39.88
1998-01-12,39.94,247800.0,40.56,40.56,38.75
1998-01-13,40.81,71800.0,41.13,40.44,39.75
1998-01-14,40.63,83800.0,40.75,40.75,40.25
1998-01-15,40.88,114700.0,41.0,40.81,40.69
1998-01-16,40.94,75600.0,41.25,41.0,40.81
1998-01-20,41.0,52900.0,41.38,41.25,41.0
1998-01-21,41.25,114200.0,42.31,42.19,41.25
1998-01-22,42.19,38200.0,42.38,42.0,41.88
1998-01-23,42.06,115600.0,42.88,42.63,42.06
1998-01-26,42.81,144800.0,43.88,42.94,42.63
1998-01-27,43.0,324400.0,46.63,46.0,43.0
1998-01-28,46.0,145000.0,47.0,47.0,45.5
1998-01-29,47.25,182400.0,48.94,46.0,44.5
1998-01-30,46.19,152200.0,46.31,46.13,45.19
1998-02-02,45.88,217300.0,46.19,46.06,45.56
1998-02-03,46.31,138300.0,46.31,45.13,44.88
1998-02-04,45.38,58300.0,45.44,45.44,44.38
1998-02-05,45.5,200200.0,46.0,46.0,45.06
1998-02-06,46.75,175500.0,47.25,46.75,46.44
1998-02-09,47.25,69100.0,48.0,48.0,46.63
1998-02-10,48.0,51700.0,48.0,47.63,47.5
1998-02-11,47.56,97100.0,47.69,47.5,47.0
1998-02-12,47.25,76400.0,48.0,48.0,45.63
1998-02-13,48.0,76200.0,48.25,47.94,47.75
1998-02-17,48.0,91000.0,48.0,47.94,46.75
1998-02-18,47.75,142400.0,49.69,49.38,47.75
1998-02-19,48.88,73400.0,49.5,49.5,48.5
1998-02-20,49.25,59000.0,49.25,49.25,48.38
1998-02-23,49.25,59300.0,50.13,50.0,49.25
1998-02-24,49.88,57800.0,49.88,49.5,48.75
1998-02-25,49.5,21100.0,49.56,49.56,49.0
1998-02-26,49.5,47200.0,49.63,48.88,48.25
1998-02-27,48.88,82400.0,49.69,49.69,48.0
1998-03-02,49.94,78000.0,50.0,48.88,48.25
1998-03-03,49.13,90700.0,49.25,48.38,47.25
1998-03-04,48.31,39000.0,48.31,46.94,46.88
1998-03-05,46.94,86900.0,47.0,46.81,46.13
1998-03-06,47.31,83600.0,47.88,47.31,47.25
1998-03-09,47.5,111100.0,47.5,46.06,46.0
1998-03-10,47.38,369600.0,48.5,48.38,47.38
1998-03-11,48.5,120200.0,49.31,48.69,48.06
1998-03-12,48.94,57900.0,50.0,49.81,48.44
1998-03-13,49.94,134800.0,50.25,49.38,49.31
1998-03-16,49.5,107400.0,49.63,49.06,49.0
1998-03-17,49.0,141600.0,49.13,49.0,48.75
1998-03-18,48.94,167000.0,49.75,49.44,48.94
