date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,28.88,171800.0,28.88,28.5,28.44
1998-01-05,28.5,285700.0,28.81,28.31,28.25
1998-01-06,28.44,177600.0,28.44,28.19,28.06
1998-01-07,28.06,178600.0,28.06,27.81,27.56
1998-01-08,27.88,186900.0,28.31,28.31,27.63
1998-01-09,28.19,414000.0,28.69,28.5,28.13
1998-01-12,28.25,250000.0,28.44,28.19,28.0
1998-01-13,28.19,95200.0,28.25,28.0,28.0
1998-01-14,28.06,407800.0,28.13,28.0,27.88
1998-01-15,28.0,382800.0,28.06,27.63,27.5
1998-01-16,27.69,87300.0,27.94,27.5,27.44
1998-01-20,27.5,229700.0,27.75,27.63,27.19
1998-01-21,27.38,394800.0,28.06,28.0,27.0
1998-01-22,27.75,115500.0,28.0,27.88,27.69
1998-01-23,28.0,253200.0,28.38,28.19,27.94
1998-01-26,28.13,63300.0,28.19,28.13,27.94
1998-01-27,27.88,143500.0,28.0,27.63,27.56
1998-01-28,27.88,272500.0,28.06,27.63,27.44
1998-01-29,27.75,179500.0,28.25,27.69,27.63
1998-01-30,27.56,247700.0,27.81,27.56,27.38
1998-02-02,27.56,215600.0,28.25,27.88,27.56
1998-02-03,27.94,212900.0,28.13,28.13,27.69
1998-02-04,28.06,252100.0,28.25,28.13,28.0
1998-02-05,28.06,453000.0,28.38,28.06,27.81
1998-02-06,28.0,390600.0,28.44,28.25,28.0
1998-02-09,28.25,1050900.0,28.25,28.25,27.94
1998-02-10,27.63,309800.0,28.0,27.88,27.63
1998-02-11,27.94,154700.0,27.94,27.69,27.56
1998-02-12,27.5,139100.0,27.88,27.63,27.25
1998-02-13,27.38,127700.0,27.5,27.19,27.19
1998-02-17,27.19,195000.0,27.38,27.25,27.0
1998-02-18,27.38,321500.0,27.56,27.44,27.06
1998-02-19,27.44,218400.0,27.44,27.13,27.13
1998-02-20,27.13,263700.0,27.31,27.25,27.06
1998-02-23,27.25,174700.0,27.44,27.38,27.25
1998-02-24,27.38,623200.0,27.5,27.06,27.06
1998-02-25,27.25,155100.0,27.38,27.38,27.19
1998-02-26,27.38,112300.0,27.5,27.38,27.31
1998-02-27,27.38,148000.0,27.44,27.25,27.25
1998-03-02,27.25,317500.0,27.69,27.38,27.06
1998-03-03,27.38,289500.0,27.75,27.69,27.38
1998-03-04,27.69,77100.0,27.69,27.44,27.31
1998-03-05,27.25,142000.0,27.44,27.31,27.19
1998-03-06,27.31,108800.0,27.88,27.75,27.31
1998-03-09,27.5,117100.0,27.75,27.69,27.31
1998-03-10,27.75,99300.0,28.19,28.0,27.69
1998-03-11,28.19,104800.0,28.25,28.19,28.06
1998-03-12,28.19,154800.0,28.19,27.94,27.81
1998-03-13,27.94,112900.0,28.25,28.06,27.94
1998-03-16,28.13,187800.0,28.13,28.06,27.75
1998-03-17,28.0,235100.0,28.25,28.06,28.0
1998-03-18,28.13,650100.0,28.44,28.38,28.13
1998-03-19,28.25,100700.0,28.38,28.31,28.13
1998-03-20,28.38,481500.0,28.63,28.63,28.38
1998-03-23,28.56,199000.0,28.75,28.44,28.25
1998-03-24,28.38,464400.0,29.19,29.06,28.38
1998-03-25,29.06,268700.0,29.38,29.06,29.0
1998-03-26,29.06,181500.0,29.38,29.0,29.0
